product_price
"32,000.00"
"23,600.00"
213.00
581.00
"1,500.00"
554.00
837.00
314.00
641.00
"1,030.00"
740.00
648.00
565.00
727.00
329.00
506.00
821.00
885.00
327.00
630.00
377.00
328.00
"29,500.00"
"96,500.00"
362.00
192.00
377.00
512.00
236.00
"1,084.00"
561.00
"1,085.00"
707.00
178.00
"3,756.00"
554.00
512.00
"1,229.00"
513.00
821.00
"96,500.00"
"32,000.00"
"23,600.00"
"4,146.00"
"3,663.00"
"3,147.00"
"2,200.00"
"8,564.00"
657.00
949.00
"2,031.00"
419.00
584.00
"3,352.00"
885.00
"2,200.00"
"8,564.00"
"3,352.00"
"32,000.00"
"23,600.00"
"4,146.00"
"3,663.00"
"3,147.00"
"2,200.00"
"8,564.00"
657.00
949.00
"2,031.00"
657.00
584.00
"1,375.00"
492.00
885.00
673.00
630.00
377.00
354.00
229.00
149.00
"51,500.00"
"96,500.00"
