,X_value,Y_value,Z_value,accel_mag,classification
2017-03-19 10:10:05.035,0.65863,3.32429,11.07218,11.5791997752,W
2017-03-19 10:10:05.124,-3.11592,3.0776,7.63532,8.80219806121,W
2017-03-19 10:10:05.124,1.62382,3.32668,13.51031,14.0082856735,W
2017-03-19 10:10:05.197,4.55533,4.22242,8.08798,10.1978077323,W
2017-03-19 10:10:05.270,3.32429,2.52435,10.77519,11.5554301721,W
2017-03-19 10:10:05.281,1.21667,2.87163,4.60083,5.55825345182,W
2017-03-19 10:10:05.352,2.29922,3.88233,7.77184,8.98667879825,W
2017-03-19 10:10:05.430,4.95051,4.54335,4.69424,8.19667418287,W
2017-03-19 10:10:05.441,3.42009,4.99362,5.81511,8.39337599686,W
2017-03-19 10:10:05.510,2.90276,4.70621,11.52723,12.7848136339,W
2017-03-19 10:10:05.510,2.79499,5.58998,8.15744,10.2763647684,W
2017-03-19 10:10:05.600,1.76992,5.92767,7.50839,9.72860775381,W
2017-03-19 10:10:05.668,2.61776,5.93725,7.47725,9.90014507685,W
2017-03-19 10:10:05.668,1.38672,5.0966,8.81367,10.275169234,W
2017-03-19 10:10:05.762,1.54239,5.33131,9.98723,11.4256989415,W
2017-03-19 10:10:05.827,1.37474,5.34089,5.49897,7.78804770919,W
2017-03-19 10:10:05.827,0.1461,4.82836,7.34792,8.79353932305,W
2017-03-19 10:10:05.916,0.27064,4.35894,7.06052,8.30208085986,W
2017-03-19 10:10:05.916,0.36404,4.93374,7.597,9.06579971702,W
2017-03-19 10:10:05.987,0.7688,4.39965,10.30098,11.2275626261,W
2017-03-19 10:10:06.065,1.41785,4.89542,8.24605,9.69395565295,W
2017-03-19 10:10:06.082,0.0024,4.18889,9.38608,10.2783900957,W
2017-03-19 10:10:06.144,2.49561,4.3781,8.5119,9.89182847062,W
2017-03-19 10:10:06.224,1.64777,3.9925,8.53106,9.56212251263,W
2017-03-19 10:10:06.234,0.07664,4.25595,7.42456,8.55821682862,W
2017-03-19 10:10:06.316,-0.05748,4.24397,9.88664,10.7591930832,W
2017-03-19 10:10:06.316,0.17484,4.24876,9.36932,10.2891538926,W
2017-03-19 10:10:06.393,0.9125,4.02603,9.72139,10.5615811952,W
2017-03-19 10:10:06.471,1.1999,4.12183,9.52499,10.4477115704,W
2017-03-19 10:10:06.471,-0.13412,3.97813,8.71548,9.58139332778,W
2017-03-19 10:10:06.556,-0.01677,3.9422,9.26873,10.0722677628,W
