,X_value,Y_value,Z_value,classification
2017-03-19 10:10:01.000,0.0,0.0,0.0,W
2017-03-19 10:10:01.069,-18.75496,-8.34747,-24.84184,W
2017-03-19 10:10:01.152,-18.75496,-7.97247,-26.46684,W
2017-03-19 10:10:01.228,-18.75496,-7.22247,-25.65434,W
2017-03-19 10:10:01.315,-19.87996,-7.97247,-24.40434,W
2017-03-19 10:10:01.388,-20.25496,-9.47247,-25.65434,W
2017-03-19 10:10:01.465,-21.75496,-9.47247,-22.77934,W
2017-03-19 10:10:01.546,-25.06746,-10.22247,-20.34184,W
2017-03-19 10:10:01.625,-25.06746,-9.84747,-20.77934,W
2017-03-19 10:10:01.705,-22.12996,-10.59747,-22.40434,W
2017-03-19 10:10:01.783,-26.19246,-11.65997,-18.71684,W
2017-03-19 10:10:01.869,-23.94246,-11.34747,-18.27934,W
2017-03-19 10:10:01.946,-24.69246,-11.65997,-21.15434,W
2017-03-19 10:10:02.023,-24.31746,-11.65997,-19.15434,W
2017-03-19 10:10:02.106,-24.31746,-11.34747,-20.34184,W
2017-03-19 10:10:02.181,-23.19246,-12.78497,-19.96684,W
2017-03-19 10:10:02.266,-23.94246,-12.40997,-18.71684,W
2017-03-19 10:10:02.340,-23.56746,-12.40997,-18.71684,W
2017-03-19 10:10:02.423,-23.94246,-13.15997,-19.09184,W
2017-03-19 10:10:02.498,-23.19246,-12.78497,-19.15434,W
2017-03-19 10:10:02.582,-23.19246,-14.65997,-20.34184,W
2017-03-19 10:10:02.662,-23.56746,-13.53497,-18.34184,W
2017-03-19 10:10:02.755,-23.19246,-14.65997,-19.52934,W
2017-03-19 10:10:02.817,-22.87996,-15.03497,-19.09184,W
2017-03-19 10:10:02.909,-22.87996,-14.28497,-20.71684,W
2017-03-19 10:10:02.978,-22.50496,-15.03497,-19.90434,W
2017-03-19 10:10:03.054,-22.12996,-14.65997,-19.09184,W
2017-03-19 10:10:03.134,-22.87996,-14.65997,-19.09184,W
2017-03-19 10:10:03.217,-22.50496,-15.78497,-18.27934,W
2017-03-19 10:10:03.302,-22.87996,-16.53497,-19.90434,W
2017-03-19 10:10:03.383,-22.50496,-16.15997,-19.52934,W
2017-03-19 10:10:03.455,-21.75496,-16.15997,-19.52934,W
2017-03-19 10:10:03.539,-22.50496,-16.15997,-19.90434,W
2017-03-19 10:10:03.609,-21.00496,-16.15997,-19.52934,W
2017-03-19 10:10:03.696,-21.75496,-16.53497,-19.52934,W
2017-03-19 10:10:03.768,-20.62996,-17.28497,-20.34184,W
2017-03-19 10:10:03.853,-19.87996,-16.15997,-19.90434,W
2017-03-19 10:10:03.927,-20.62996,-15.78497,-21.15434,W
2017-03-19 10:10:04.009,-20.25496,-16.53497,-20.71684,W
2017-03-19 10:10:04.091,-21.37996,-16.15997,-20.71684,W
2017-03-19 10:10:04.175,-21.37996,-15.78497,-20.34184,W
2017-03-19 10:10:04.251,-21.75496,-17.65997,-20.71684,W
2017-03-19 10:10:04.326,-22.50496,-16.90997,-20.71684,W
2017-03-19 10:10:04.405,-23.56746,-18.03497,-16.65434,W
2017-03-19 10:10:04.487,-25.44246,-18.40997,-11.34184,W
2017-03-19 10:10:04.562,-29.19246,-16.53497,-4.84184,W
2017-03-19 10:10:04.651,-30.31746,-15.78497,2.09566,W
2017-03-19 10:10:04.722,-29.19246,-16.90997,5.78316,W
2017-03-19 10:10:04.819,-30.31746,-14.28497,7.84566,W
2017-03-19 10:10:04.880,-31.00496,-12.78497,7.03316,W
2017-03-19 10:10:04.965,-28.06746,-21.72247,-0.77934,W
2017-03-19 10:10:05.039,-24.31746,-25.84747,-9.27934,W
2017-03-19 10:10:05.124,-21.37996,-26.90997,-12.59184,W
2017-03-19 10:10:05.200,-22.12996,-25.09747,-14.15434,W
2017-03-19 10:10:05.281,-22.50496,-25.47247,-13.02934,W
2017-03-19 10:10:05.356,-21.00496,-25.84747,-12.96684,W
2017-03-19 10:10:05.441,-21.00496,-26.53497,-12.15434,W
2017-03-19 10:10:05.515,-19.12996,-28.03497,-12.96684,W
2017-03-19 10:10:05.600,-16.50496,-28.40997,-11.77934,W
2017-03-19 10:10:05.679,-16.87996,-28.78497,-12.96684,W
2017-03-19 10:10:05.762,-16.50496,-29.15997,-14.59184,W
2017-03-19 10:10:05.833,-15.06746,-30.65997,-13.77934,W
2017-03-19 10:10:05.916,-13.56746,-29.90997,-13.40434,W
2017-03-19 10:10:05.999,-13.56746,-29.90997,-15.02934,W
2017-03-19 10:10:06.082,-13.56746,-29.15997,-15.84184,W
2017-03-19 10:10:06.152,-13.19246,-29.15997,-16.65434,W
2017-03-19 10:10:06.234,-11.69246,-29.90997,-16.21684,W
2017-03-19 10:10:06.316,-10.19246,-28.78497,-17.46684,W
2017-03-19 10:10:06.393,-11.69246,-28.40997,-18.27934,W
2017-03-19 10:10:06.471,-10.94246,-26.90997,-20.27934,W
2017-03-19 10:10:06.556,-10.94246,-26.90997,-20.27934,W
2017-03-19 10:10:06.632,-10.19246,-26.53497,-20.71684,W
2017-03-19 10:10:06.715,-10.94246,-26.22247,-19.90434,W
2017-03-19 10:10:06.791,-10.19246,-26.22247,-21.52934,W
2017-03-19 10:10:06.873,-10.56746,-26.22247,-21.09184,W
2017-03-19 10:10:06.951,-10.94246,-26.22247,-20.71684,W
2017-03-19 10:10:07.033,-10.19246,-26.53497,-21.90434,W
2017-03-19 10:10:07.103,-9.81746,-25.84747,-21.52934,W
2017-03-19 10:10:07.190,-10.19246,-27.65997,-20.71684,W
2017-03-19 10:10:07.262,-10.56746,-26.22247,-21.09184,W
2017-03-19 10:10:07.359,-11.31746,-26.53497,-20.27934,W
2017-03-19 10:10:07.420,-11.69246,-25.84747,-20.27934,W
2017-03-19 10:10:07.510,-13.19246,-26.53497,-19.90434,W
2017-03-19 10:10:07.582,-13.94246,-26.22247,-19.90434,W
2017-03-19 10:10:07.670,-13.56746,-25.84747,-19.09184,W
2017-03-19 10:10:07.739,-13.94246,-25.84747,-19.09184,W
2017-03-19 10:10:07.830,-13.94246,-25.47247,-19.46684,W
2017-03-19 10:10:07.897,-14.31746,-26.53497,-20.27934,W
2017-03-19 10:10:07.991,-14.69246,-26.22247,-18.65434,W
2017-03-19 10:10:08.055,-13.94246,-26.22247,-19.46684,W
2017-03-19 10:10:08.144,-13.56746,-26.90997,-19.90434,W
2017-03-19 10:10:08.223,-12.81746,-26.22247,-19.02934,W
2017-03-19 10:10:08.305,-12.06746,-26.22247,-18.65434,W
2017-03-19 10:10:08.373,-12.44246,-26.22247,-19.02934,W
2017-03-19 10:10:08.465,-12.81746,-26.53497,-19.09184,W
2017-03-19 10:10:08.536,-12.44246,-26.59747,-18.65434,W
2017-03-19 10:10:08.632,-11.31746,-26.59747,-19.02934,W
2017-03-19 10:10:08.696,-11.69246,-26.22247,-19.02934,W
2017-03-19 10:10:08.777,-11.69246,-26.22247,-18.21684,W
2017-03-19 10:10:08.857,-11.69246,-26.90997,-19.02934,W
2017-03-19 10:10:08.947,-12.44246,-25.47247,-19.46684,W
2017-03-19 10:10:09.010,-12.06746,-26.90997,-18.21684,W
2017-03-19 10:10:09.094,-12.06746,-27.65997,-17.84184,W
2017-03-19 10:10:09.168,-12.44246,-28.40997,-17.02934,W
2017-03-19 10:10:09.257,-13.19246,-28.03497,-16.59184,W
2017-03-19 10:10:09.326,-12.06746,-28.03497,-17.02934,W
2017-03-19 10:10:09.418,-12.81746,-28.03497,-17.02934,W
2017-03-19 10:10:09.485,-12.44246,-27.28497,-17.02934,W
2017-03-19 10:10:09.574,-13.19246,-28.40997,-15.77934,W
2017-03-19 10:10:09.644,-13.19246,-28.03497,-17.40434,W
2017-03-19 10:10:09.729,-13.56746,-28.40997,-16.59184,W
2017-03-19 10:10:09.803,-12.44246,-27.65997,-17.84184,W
2017-03-19 10:10:09.903,-12.06746,-28.40997,-17.02934,W
2017-03-19 10:10:09.961,-12.06746,-27.28497,-16.59184,W
2017-03-19 10:10:10.047,-12.06746,-27.28497,-16.21684,W
2017-03-19 10:10:10.131,-12.44246,-27.65997,-17.40434,W
2017-03-19 10:10:10.205,-12.44246,-28.03497,-17.02934,W
2017-03-19 10:10:10.287,-11.69246,-28.03497,-18.21684,W
2017-03-19 10:10:10.366,-12.44246,-28.78497,-16.96684,W
2017-03-19 10:10:10.438,-13.19246,-28.78497,-18.21684,W
2017-03-19 10:10:10.531,-12.81746,-28.40997,-16.15434,W
2017-03-19 10:10:10.601,-12.06746,-27.28497,-18.65434,W
2017-03-19 10:10:10.680,-12.44246,-27.28497,-17.40434,W
2017-03-19 10:10:10.756,-13.56746,-27.65997,-16.96684,W
2017-03-19 10:10:10.845,-13.56746,-28.03497,-16.96684,W
2017-03-19 10:10:10.916,-14.31746,-27.28497,-19.02934,W
2017-03-19 10:10:11.000,-15.44246,-26.22247,-17.84184,W
2017-03-19 10:10:11.076,-22.12996,-22.09747,-13.34184,W
