,X_value,Y_value,Z_value,classification
2017-03-19 10:10:01.000,0.0,0.0,0.0,W
2017-03-19 10:10:01.064,0.39221,0.33469,-0.02028,W
2017-03-19 10:10:01.064,-0.55854,-0.13722,0.08092,W
2017-03-19 10:10:01.152,-0.23203,-0.71726,0.01168,W
2017-03-19 10:10:01.221,-0.18783,-0.31299,-0.0549,W
2017-03-19 10:10:01.221,0.58023,-0.09728,-0.04212,W
2017-03-19 10:10:01.315,0.17703,-0.14841,-0.07727,W
2017-03-19 10:10:01.315,0.34747,0.20313,-0.31962,W
2017-03-19 10:10:01.380,0.31178,-1.23019,-0.24452,W
2017-03-19 10:10:01.465,0.48436,-1.99931,-0.38727,W
2017-03-19 10:10:01.465,-0.21233,-1.33831,0.14696,W
2017-03-19 10:10:01.541,0.29474,0.23881,-0.09165,W
2017-03-19 10:10:01.623,-0.07704,0.13122,-0.03839,W
2017-03-19 10:10:01.623,0.46731,1.01433,-0.24399,W
2017-03-19 10:10:01.698,0.1946,-1.31754,-0.85172,W
2017-03-19 10:10:01.698,-0.29648,-1.28771,-0.05703,W
2017-03-19 10:10:01.783,0.66652,0.18928,-0.02135,W
2017-03-19 10:10:01.856,-0.2608,0.06624,0.07772,W
2017-03-19 10:10:01.856,0.00605,0.33043,0.0154,W
2017-03-19 10:10:01.946,-0.14628,-0.08769,0.17519,W
2017-03-19 10:10:02.023,0.28888,-0.21499,-0.03786,W
2017-03-19 10:10:02.023,-0.00939,0.32137,-0.01549,W
2017-03-19 10:10:02.106,0.30699,-0.10367,-0.06343,W
2017-03-19 10:10:02.106,0.31977,0.5291,-0.11349,W
2017-03-19 10:10:02.181,0.33256,-0.26772,-0.04212,W
2017-03-19 10:10:02.266,0.40073,0.20206,0.00049,W
2017-03-19 10:10:02.266,0.08595,-0.20593,0.12992,W
2017-03-19 10:10:02.340,0.00712,0.15413,-0.00324,W
2017-03-19 10:10:02.423,0.08382,0.1504,0.03032,W
2017-03-19 10:10:02.423,0.05772,0.11098,-0.11935,W
2017-03-19 10:10:02.498,-0.04668,-0.00087,-0.02667,W
2017-03-19 10:10:02.582,0.06411,0.08116,-0.16622,W
2017-03-19 10:10:02.582,-0.06266,-0.08556,-0.10923,W
2017-03-19 10:10:02.650,0.03535,0.01564,-0.16409,W
2017-03-19 10:10:02.650,-0.05147,0.06305,-0.1364,W
2017-03-19 10:10:02.755,0.1227,-0.01578,-0.11083,W
2017-03-19 10:10:02.813,0.04067,-0.0275,-0.0565,W
2017-03-19 10:10:02.813,-0.05467,0.02629,-0.03253,W
2017-03-19 10:10:02.909,0.05985,0.01138,-0.06502,W
2017-03-19 10:10:02.967,0.02736,-0.0307,-0.06928,W
2017-03-19 10:10:02.967,0.01298,-0.05147,-0.0826,W
2017-03-19 10:10:03.054,0.02203,0.01245,-0.05544,W
2017-03-19 10:10:03.054,-0.02431,-0.11965,-0.081,W
2017-03-19 10:10:03.126,0.03748,-0.01419,-0.06556,W
2017-03-19 10:10:03.217,-0.06266,0.04068,-0.05703,W
2017-03-19 10:10:03.217,0.02683,-0.1271,-0.0581,W
2017-03-19 10:10:03.302,-0.0568,0.06997,-0.0597,W
2017-03-19 10:10:03.383,0.06038,0.00339,-0.06662,W
2017-03-19 10:10:03.383,-0.00833,0.09607,-0.02508,W
2017-03-19 10:10:03.444,-0.04242,-0.00886,-0.02561,W
2017-03-19 10:10:03.444,-0.09195,0.00765,-0.07887,W
2017-03-19 10:10:03.539,-0.13563,-0.14947,-0.11456,W
2017-03-19 10:10:03.609,-0.14628,-0.11965,-0.17155,W
2017-03-19 10:10:03.609,-0.09621,-0.13722,-0.23067,W
2017-03-19 10:10:03.696,-0.21499,0.24893,-0.29086,W
2017-03-19 10:10:03.763,-0.26186,-0.09674,-0.24292,W
2017-03-19 10:10:03.763,-0.41739,0.12536,-0.31003,W
2017-03-19 10:10:03.853,-0.39875,-0.22884,-0.05863,W
2017-03-19 10:10:03.922,-0.00566,0.08488,0.05375,W
2017-03-19 10:10:03.922,0.31019,0.0508,0.0463,W
2017-03-19 10:10:04.008,0.27024,-0.02164,0.08837,W
2017-03-19 10:10:04.008,0.1259,-0.02271,0.16401,W
2017-03-19 10:10:04.079,0.01777,0.01937,0.06334,W
2017-03-19 10:10:04.175,0.02043,-0.13509,-0.01069,W
