,Age Group,Lattitude,Longitude,Product Brand,ORDER.ID,Product.Name,Price...AED..,Description
59,10.00 ,-30.733151,120.774212,LEGOEducation,9641,Pneumatics Add-On Set,32000,This dual-platform digital temperature sensor can be calibrated to measure both Celsius and Fahrenheit using either the LEGO® MINDSTORMS® Education NX..
60,10.00 ,-30.733151,120.774212,LEGOEducation,45560,LEGO® MINDSTORMS® Education EV3 Expansion Set,23600,"This standard 10V DC transformer allows you to recharge your 9693 Rechargeable Battery DC or 8878 Power Functions Rechargeable Battery Box.
.."
61,14.00 ,-30.733151,120.774212,LEGOEducation,W739143 ,TETRIX Education Base Set,4146,The Atlab STEM Academy Middle and High School package has all the elements to promote the 21st century learner and walk them through a motivating and ..
62,8.00 ,-30.733151,120.774212,LEGOEducation,9686,Simple & Powered Machines Set,3663,"The ATLAB STEM Academy curriculum provides integrated hands-on activities aimed at making difficult Science and Maths concepts concrete.

Though the.."
63,2.00 ,-30.733151,120.774212,LEGOEducation,45009,ANIMAL BINGO,3147,"Everyone is a winner with Animal Bingo! Children will explore collaborative play, follow game rules, and take turns as they build the colorful animal .."
64,3.00 ,-30.733151,120.774212,LEGOEducation,45018,"BUILD ME ""EMOTIONS""",2200,Build Me “Emotions” invites preschoolers to explore emotions and physical characteristics in a fun and engaging way. As children collaborate on a rang..
65,3.00 ,-30.733151,120.774212,LEGOEducation,45004,CAFE+ SET,8564,"Stimulate children to play and collaborate as they construct various food items and learn to sort, count, match and pattern. The unique and colorful b.."
66,4.00 ,-30.733151,120.774212,LEGOEducation,9348,Community minifigure set,657,"Let children explore their world through the people that make a community function. They will construct minifigures and role-play, using expressive la.."
67,0.00 ,-30.733151,120.774212,LEGOEducation,9389,Community Starter Set,949,"A huge set with endless possibilities! Build a community with a theme park, zoo, high street or whatever else you might think of. Includes colourful b.."
68,4.00 ,-30.733151,120.774212,LEGOEducation,45005,DUPLO StoryTales,2031,This engaging and easily managed set promotes creativity and the imaginative telling and retelling of stories. Themed around the Three Billy Goat..
69,4.00 ,-30.733151,120.774212,LEGOEducation,45002,DUPLO Tech Machines Set,657,"The newly updated Tech Machines Set enables students to take their first steps into science and technology! with this fun and engaging set, .."
70,1.50 ,-30.733151,120.774212,LEGOEducation,9076,DUPLO Tubes Experiment Set,584,This updated set helps children learn how things work while seeing gravity in action. The set includes lots of tube elements that enable children to e..
71,0.00 ,-30.733151,120.774212,LEGOEducation,9286,Large Building Plate      ,1375,"Children need a foundation on which to build, and each durable baseplate forms a solid base for all LEGO® building bricks.

Includes one gray b.."
72,2.00 ,-30.733151,120.774212,LEGOEducation,45003,LEGO® Soft Starter Set,492,This award-winning set is packed with standard and curved LEGO® Soft elements that make it easy for children to develop physical skills and spatial aw..
73,2.00 ,-30.733151,120.774212,LEGOEducation,45008,MATH TRAIN,885,"Discover counting, patterning, and simple addition and subtraction with a fun and imaginative set that also teaches the purpose of stations and trains.."
74,4.00 ,-30.733151,120.774212,LEGOEducation,9385,Sceneries Set,673,"Spark children’s creativity as you encourage collaborative building and storytelling. The very large set lets children build settings, models, and cha.."
75,2.00 ,-30.733151,120.774212,LEGOEducation,450090,XL LEGO® DUPLO® Brick Set,630,"With more than 550 elements, this set is a dream come true for children looking to explore their creative potential by building all sorts of environme.."
76,2.00 ,-30.733151,120.774212,LEGOEducation,45000,Creative Builder,377,"Test winner in 2012 among kindergarten and preschool teachers in the USA, the UK and Germany. This engaging and easily managed set introduces building.."
77,5.00 ,-30.733151,120.774212,LEGOEducation,9656,Early Simple Machines Set,354,"The Early Machines Set provides eight mechanical models and eight double-sided, full-colour building instructions. The set includes gears, levers, pul.."
78,4.00 ,-30.733151,120.774212,LEGOEducation,ASAW006 ,Whole School Package,229,"The ATLAB STEM Academy curriculum provides integrated hands-on activities aimed at making difficult Science and Maths concepts concrete.

Though the.."
79,10.00 ,31.170362,120.661995,XYZ,3F1J0XAE00E,Da Vinci Junior - 3D Printer ,149,The da Vinci Jr. is perfect for first time 3D designers and aspiring inventors. This desktop 3D printer makes for a fantastic addition to your classro..
80,12.00 ,25.036439,55.182477,Y3D,Y3DP0-001-0010,DeeGreen - 3D Printer,51500,The DeeGreen 3D printer is capable of printing objects of any shape up to a maximum of 150 x 150 x 150 mm. DeeGreen is primarily intended for product ..
81,14.00 ,50.120579,14.122844,LEGOEducation,W739143,TETRIX Education Base Set,96500,The TETRIX® Education Base Set has everything needed to build metal TETRIX robots that can be controlled by the LEGO® MINDSTORMS® NXT Intelligent Bric..
