source_name,review_date,critic_name,review_detail
El antepenúltimo mohicano," February 2, 2017",Miguel Muñoz Garnica," A glance full of contagious love for small things, for the manifestations of the routine that transcend its materiality. A look made vital conviction. [Full review in Spanish]"
Cine Premiere," February 1, 2017",Mabel Salinas," Aquarius narrates a story without being controversial but inspires because of the strength of its protagonist, the Brazilian legend Sonia Braga. [Full review in Spanish]"
Clarín," January 6, 2017",Pablo A. Scholz," A deep and humanistic film, with the great performance of Sonia Braga. [Full review in Spanish]"
EscribiendoCine," January 4, 2017",Benjamín Harguindey," One of those blessed opportunities in which an older woman can lead a story not as wife, mother or grandmother but as her own character. [Full review in Spanish]"
Otroscines.com," January 4, 2017",Diego Battle," A film that is vulnerable and overwhelming, but never loses its axis or interest. [Full review in Spanish]"
MetroActive," December 31, 2016",Richard von Busack, Aquarius is a tribute to Braga. It's a Brazilian vacation with a civics lesson on the side.
Willamette Week," December 14, 2016",Curtis Cook," Aquarius is the second feature by Brazilian director Kleber Mendonça Filho (Neighboring Sounds), and the Portuguese-language film's pacing matches that of its senior protagonist: slow, deliberate and confident."
Montreal Gazette," December 8, 2016",T'Cha Dunlevy," Sônia Braga [gives] a magical, career-redefining performance."
Butaca Ancha," November 30, 2016",Rafael Paz," A film that has a protagonist whose life is like a symphony hoping to share its beauty based on patience, and has much to teach to those who are willing take a moment to listen. [Full review in Spanish]"
Blog de cine," November 29, 2016",Lucía Ros Serra," A film that has probably one of the most fascinating, strong and magnetic female characters in cinema in recent years. [Full review in Spanish]"
Concrete Playground," November 29, 2016",Sarah Ward, Understands the importance of places in shaping lives... Braga is enthralling.
The Nation," November 17, 2016",Stuart Klawans," Aquarius is far more ample than most films, multiplying its characters and situations until an entire society seems to have filled the screen."
Georgia Straight," November 16, 2016",Ken Eisner," One of Brazil's most enduring stars gets the role of a lifetime in Aquarius. This ambitious effort sums up many of the changes Sonia Braga has witnessed, in her career and her country."
El Nuevo Herald (Miami)," November 14, 2016",Pilar Ayuso," The film by the Brazilian Kleber Mendonça Filho, has virtues but flakes at the worst moment, the beginning. [Full review in Spanish]"
One Guy's Opinion," November 12, 2016",Frank Swietek, An epic-length study of senior determination anchored in Sonia Braga's ferocious lead performance.
Seattle Weekly," November 11, 2016",Robert Horton," Frank in its ambition to explore The Way We Live Today, but also mysterious and elusive. I've seen few films this year more fascinating."
Sacramento News & Review," November 10, 2016",Daniel Barnes," Braga steals the show, but the filmmaking is quietly brilliant."
Seattle Times," November 8, 2016",Soren Anderson," ""Aquarius"" is about a half-hour too long for the story it tells, yet it feels like a privilege to be in the presence of such a powerful character and such a quietly commanding performance."
Salt Lake Tribune," November 3, 2016",Sean P. Means, Braga gives the viewers many opportunities to smile.
Cinemalogue.com," October 28, 2016",Todd Jorgenson, Sonia Braga's wonderful portrayal of an aging Brazilian matriarch drives this deliberately paced character study.
Hollywood Reporter," May 17, 2016",Jordan Mintzer, Sonia Braga shines in this rather classic portrait of a woman who won't let go.
Guardian," May 17, 2016",Peter Bradshaw, A densely observed and superbly acted portrait of a woman of a certain age.
Variety," May 17, 2016",Jay Weissberg, A character study as well as a shrewd meditation on the needless transience of place and the way physical space elides with our identity.
Los Angeles Times," October 13, 2016",Justin Chang," A film with an almost Proustian understanding of how a favorite song - or, for that matter, a sacred space or a cherished piece of furniture - can become a repository of personal meaning."
Village Voice," October 12, 2016",Michael Nordine, Aquarius is something special.
Paste Magazine," October 6, 2016",Jim Hemphill," Kleber Mendonca Filho has made only two features, but with his second, Aquarius, he achieves artistic heights common only to the masters of the medium: Jean Renoir, Yasujiro Ozu, Ingmar Bergman, Abbas Kiarostami, Richard Linklater."
Cinema Movil," September 27, 2016",Oscar Uriel, One of the most outstanding films of 2016. [Full review in Spanish]
Film Comment Magazine," September 26, 2016",Yonca Talu," Achieving an uncanny blend of fragile serenity and ferocious intensity, Braga embodies a woman of all seasons: a poised and affectionate grandmother as much as she is a ruthless and sultry warrior."
Maclean's Magazine," September 19, 2016",Brian D. Johnson," Taking us into the heart of a Brazilian culture war, Aquarius serves as a bracing palate cleanser after the Olympics."
NOW Toronto," September 9, 2016",Paul Ennis, Legendary Brazilian actor Sônia Braga's star power is as luminescent as ever.
Graffiti With Punctuation," July 7, 2016",Blake Howard," There are other people in this film, but they basically have the sound turned down. Aquarius is Clara. Clara is Braga. Braga is magnificent."
The Playlist," May 23, 2016",Jessica Kiang, A stunningly intelligent and considered sophomore feature.
Sight and Sound," May 20, 2016",Jordan Cronk, Kleber Mendonça Filho's second feature and followup to his well-regarded Neighbouring Sounds is at once a refinement and a deepening of the social and stylistic preoccupations laid out so comprehensively in the critic-turned-director's debut.
Vanity Fair," May 20, 2016",Richard Lawson," An engrossing, intimate character study that manages to encompass plenty of universal truths, Aquarius is a look at the end of things that is vibrant and bursting with life."
Time Out," May 20, 2016",Geoff Andrew," A drama that's credible, complex and very satisfying. "
AV Club," May 19, 2016",Mike D'Angelo," Sonia Braga gives the performance of her long, storied career in Aquarius."
Irish Times," May 19, 2016",Donald Clarke, Clara is a creation that could slot into almost any cultural environment. In every street there's a woman determined to live life as it should be lived.
El Pais (Spain)," May 18, 2016",Carlos Boyero, Sonia Braga deserves a script where something interesting happens. [Full review in Spanish]
Daily Telegraph (UK)," May 18, 2016",Robbie Collin," The film's lucid sense of place and space, helped along by the camera's eye for sensual visual detail and sound design to make your eardrums groan in delight, is one of the film's most generous pleasures."
Village Voice," May 18, 2016",Bilge Ebiri," At the center of this emotional maelstrom is the 65-year-old Braga, herself a living legend and bridge to the past. In a long film of many turns, her performance - weathered, proud, sensuous, fragile - captivates and brings us into her world."
Slant Magazine," May 18, 2016",Sam C. Mac, Kleber Mendonça Filho's message in Aquarius is for a Brazil to recognize the strength and power of its heritage.
Cinema em Cena," May 17, 2016",Pablo Villaça," In a movie full of affection, Sonia Braga offers what's probably the best performance of her rich carreer. [Full review in Portuguese.]"
Screen International," May 17, 2016",Wendy Ide, A magnetic central performance from Sonia Braga is the driving force in a relatively conventional but compelling drama from Brazilian director Kleber Mendonça Filho.
Flick Filosopher," October 28, 2016",MaryAnn Johanson," A slow-burn battle between a woman and the developers trying to drive her from her home is a melancholy meditation on aging, memory, and family."
Detroit News," October 28, 2016",Tom Long," This isn't a movie about a situation; it's a movie about a fully formed, red-blooded character dealing with a situation while also dealing with everything else."
SF Weekly," October 27, 2016",Jeffrey Edalatpour," The battle for this property comes to represent a rapidly modernizing Brazil, but Filho is just as interested in Clara's unconscious desires as he is in fighting against corrupt developers."
Minneapolis Star Tribune," October 27, 2016",Colin Covert," In an era when movies about and for older viewers tend to be insipid comedies, this is a welcome change of pace."
San Francisco Chronicle," October 27, 2016",David Lewis," This is a film more about the sacredness of our memories than the evil ways of gentrification, but skilled director Kleber Mendonca Filho is clearly interested in both."
New Yorker," October 24, 2016",Richard Brody," Despite Sonia Braga's fierce performance as a woman of unbreakable determination and proud refinement, this drama by the Brazilian director Kleber Mendonça Filho quickly lapses into sentimental attitudinizing."
Reeling Reviews," October 22, 2016",Robin Clifford, This is first and foremost Sonia Braga's film as we follow her everyday existence with her extended family and even more extended circle of friends.
Mark Reviews Movies," October 21, 2016",Mark Dujsik, [A] thoughtful and revealing study of this woman's battles.
Washington Post," October 20, 2016",Ann Hornaday," ""Aquarius"" makes a compelling case for looking up from our ubiquitous distractions to take in the world around us - the one that we live in and, whether we're aware of it or not, lives in us."
Boston Globe," October 20, 2016",Ty Burr," Filho is a born filmmaker whose storytelling rarely follows expected narrative pathways, and ""Aquarius"" takes its sweet time, focusing on what appear to be inconsequential details and gradually building force by accretion."
Chicago Tribune," October 20, 2016",Michael Phillips," This is an easygoing, plaintively observant picture, one that putters here and there. But Braga is working on another level, and we're happy to be reminded of what she can do ..."
It's Just Movies," October 19, 2016",Ron Wilkinson, A tender and moving dialogue about values that we can keep and things that we cannot.
PopMatters," October 17, 2016",Chris Barsanti," ...features many moments of beauty and moody discomfort, but Filho's treatment can seem occasionally narcotized."
4:3," October 15, 2016",Jake Moody," Mendonça's film, aided immeasurably by Braga's performance, confirms his status as a perceptive chronicler of modern experience."
Spirituality and Practice," October 14, 2016",Frederic and Mary Ann Brussat, A portrait of an unconventional 65-year-old woman who is a consummate lover of place.
RogerEbert.com," October 14, 2016",Christy Lemire," It may feel like it drags a bit in the middle, but Aquarius has so many individual moments of grace that it rewards you for sticking around."
Reeling Reviews," October 14, 2016",Laura Clifford," Mendonça Filho's biggest achievement here is his constant connection of the past to the present. Much like Hirokazu Kore-eda's ""Our Little Sister,"" places and things are haunted by memories."
New York Times," October 13, 2016",A.O. Scott," ""Aquarius"" is a marvelous and surprising act of portraiture, a long, unhurried encounter with a single, complicated person."
Film Journal International," October 13, 2016",David Noh, One of the most glowing tributes to an actress ever made.
Metro," October 13, 2016",Matt Prigge," It is a crowd-pleaser. It's also a character study always up for a detour, a complex study of urban life, a study of aging, a cosmic mindfuck."
