source_name,review_date,critic_name,review_detail
Film Ireland Magazine," January 3, 2017",Tom Crowley," While the naturalistic storytelling and imagery is fantastic on a surface level, the finer points of the narrative require a fearless and deeply inquisitive traveller to fully appreciate, something which this reviewer cannot claim to be."
Columbus Alive," December 30, 2016",Brad Keefe, It's both a challenging and engulfing movie-going experience -- a true journey on multiple levels. And it's definitely one that should be seen on the big screen.
Total Film," December 27, 2016",Tom Bond, Mesmerising.
Financial Times," December 27, 2016",Nigel Andrews," Embrace of the Serpent is a mystical movie missile from Colombia. It's ballistic, balletic, sometimes brilliant."
Movie Habit," December 12, 2016",Robert Denerstein," I suppose, then, that it's possible to characterize Embrace of the Serpent, which seems aimed at western audiences, as an instructive and necessary act of trespass."
Sight and Sound," December 9, 2016",Demetrios Matheou, A film that honours the mysteries and majesty of a lost world.
LarsenOnFilm," December 9, 2016",Josh Larsen, ...a lament over lost culture.
Film Inquiry," December 6, 2016",Alexander Miller, Embrace of the Serpent is a very busy and smart film with a meditative slow burn that might haunt you.
Brooklyn Magazine," November 30, 2016",Benjamin Mercer," Shot in Super 35mm black and white well-suited to its lapses into the hallucinatory, Serpent conveys a superbly lucid sense of the jungle's density. "
Japan Times," November 2, 2016",James Hadfield," It's a potent blend: a psychedelic post-colonial pilgrimage with shades of Glauber Rocha, Werner Herzog and Alejandro Jodorowsky."
Times (UK)," October 10, 2016",Kevin Maher, Embrace of the Serpent is a breathtakingly gorgeous Oscar-nominated drama that caresses your eyes with its visuals as it bangs you over the head with its message.
ABC Radio Brisbane," August 27, 2016",Matthew Toomey," Providing a voice to a group of people seldom seen on the big screen, Embrace of the Serpent is a must-see."
Cinemaphile.org," August 4, 2016",David Keyes, One of the most profound filmmaking experiences of my lifetime.
Sydney Morning Herald," July 29, 2016",Sandra Hall," Shot in luminous black-and-white in the Colombian Amazon, Embrace of the Serpent looks like a series of animated photographs torn from the colonial explorers' journals that inspired it."
The Australian," July 29, 2016",Stephen Romei, Visually and emotionally stunning.
Sydney Morning Herald," July 28, 2016",Paul Byrnes, It is surely one of the most beautiful films in a long time.
FILMINK (Australia)," July 27, 2016",Mark Demetrius, ...a flawless masterpiece and essential viewing...
Urban Cinefile," July 23, 2016",Andrew L. Urban, The many awards and accolades (including an Oscar nomination as Best Foreign Language Film) together with positive reviews quoted on the marketing materials for this film lifted my expectations - perhaps too high
Urban Cinefile," July 23, 2016",Louise Keller," Visually stunning, the raw beauty of the landscape is breathtaking, yet the narrative involving two scientists and their search 40 years apart fails to embrace as it should"
Antagony & Ecstasy," July 10, 2016",Tim Brayton, There's something deliciously off-kilter about folding a story about the abuse and genocide of indigenous South American cultures into what amounts to a mismatched buddy comedy.
New Yorker," February 12, 2016",Richard Brody," The sharp, spare dialogue captures the meeting of penetrating minds with differing world views."
Salt Lake City Weekly," January 31, 2016",Scott Renshaw, A stylishly-made but tediously pedantic lecture on the evils of European imperialism. 
ReelTalk Movie Reviews," January 9, 2016",Donald J. Levit," Two minutes over two hours, 'Embrace of the Serpent' drags in places, but the total effect is powerful."
Film Comment Magazine," January 4, 2016",Violet Lucca," Although the finale definitely walks a fine line between psychedelic theory of everything and ham-handed New Age trip, it's an all-around visual feast that's well worth the trek."
Ozus' World Movie Reviews," December 8, 2015",Dennis Schwartz, A stunning visual and a culturally informative film.
Film Experience," October 21, 2015",Nathaniel Rogers, Ciro Guerra's third film wraps itself all around you with otherworldly danger.
Hollywood Reporter," October 21, 2015",Jordan Mintzer," A visually mesmerizing exploration of man, nature and the destructive powers of colonialism."
Screen International," October 21, 2015",Tim Grierson, The sublime and the insane make engaging traveling companions in Embrace Of The Serpent.
The Playlist," October 21, 2015",Jessica Kiang," It's an absorbing, even thrilling head trip."
Variety," October 21, 2015",Justin Chang," The ravages of colonialism cast a dark pall over the stunning South American landscape in Embrace of the Serpent, the latest visual astonishment from the gifted Colombian writer-director Ciro Guerra."
Wall Street Journal," February 18, 2016",Joe Morgenstern," This film conveys a haunting sense of the Western world having lost its compass. Wisdom is fleeting, it tells us. The Amazon is fragile. The rocks and plants speak to us too, if we're willing to listen."
New York Post," February 18, 2016",Farran Smith Nehme," A sudden lurch into trippy abstraction at the end simply doesn't work, but for the vast majority of the time this is a strong and original film."
Toronto Star," February 18, 2016",Peter Howell, Apocalypse wow.
NOW Toronto," February 17, 2016",Norman Wilner, An evocative journey through a changing world in search of a culture that's disappearing before the travellers' eyes.
Film Journal International," February 17, 2016",Chris Barsanti," ...anger and sadness is shot all through Guerra's remarkable film, which functions as both elegy for a doomed culture and a lush and surreal epic of the spirit."
The New Republic," February 17, 2016",Ryan Kearney," The mysteries keep piling up through the final frames, when black-and-white film can't contain the story any longer and it bursts with unworldly color. You won't want to wake up."
Guardian," February 17, 2016",Jordan Hoffman," Embrace of the Serpent is the type of film we're always searching for, yet seems so obvious once we've found it."
Spirituality and Practice," February 17, 2016",Frederic and Mary Ann Brussat, A cross-cultural masterpiece set in the Amazon.
Slant Magazine," February 17, 2016",Steve Macfarlane, Ciro Guerra's excesses in arthouse symmetry tend to arrive in the service of a just and angry correctivism.
RogerEbert.com," February 17, 2016",Matt Zoller Seitz," Intelligent and sensitive and assembled with a great care, and worth watching just for its images of the jungle ..."
New York Times," February 16, 2016",Stephen Holden," ""Embrace of the Serpent,"" a fantastical mixture of myth and historical reality, shatters lingering illusions of first-world culture as more advanced than any other, except technologically."
Cine Vértigo," February 16, 2016",Ernesto Diezmartinez, Guerra's film is not a recovery of that vanished past but something bolder: a re-imagining of it. [Full review in Spanish]
AV Club," February 16, 2016",Ignatiy Vishnevetsky, Whenever the movie teeters on the edge of poetic madness-like when Manduca voices his belief that Theo represents the redemption of the white colonials-Guerra's commitment to thesis is there to pull it back into the literalism.
Entertainment Weekly," February 16, 2016",Chris Nashawaty," While its strange rhythms may not be for everyone, it does provide something unusual in today's movies: a truly original experience for the mind and the soul."
Village Voice," February 16, 2016",Alan Scherstuhl," Embrace of the Serpent is a legitimate stunner, a river-trip that will mesmerize and jack with you, leaving you not quite certain, at its end, how to go about the rest of your day."
Metro," February 16, 2016",Matt Prigge, Movies about exotic travel tend to reduce locals to unknowable Others. 'Embrace of the Serpent' doesn't want to do that.
Letras Libres," February 15, 2016",Fernanda Solórzano, An ambitious film that stands out from the rest of latinamerican cinema because of it's themes and production values. [Full review in Spanish]
Butaca Ancha," February 15, 2016",Sofía Huerta, A fictional story about the loss of culture and how history is there to help us avoid repeating the same mistakes. [Full review in Spanish]
culturevulture.net," February 15, 2016",Emily S. Mendel, I saw [the film] twice - something I rarely do - and was mesmerized and haunted by it both times. 
Cinema Movil," February 12, 2016",Juan Tolentino, A slap to the face of Wester culture for letting traditions like the ones in the Amazon being destroyed. [Full review in Spanish]
SF Weekly," February 25, 2016",Sherilyn Connelly," The journey is, of course, more important than the destination, and both of Embrace of the Serpent's trips are worth taking."
San Francisco Chronicle," February 25, 2016",Walter V. Addiego," Creating this kind of otherworldly mood takes exceptional talent, and this is a film worth experiencing."
El Universal," February 23, 2016",Jorge Ayala Blanco, A very present and multidimensional historic adventure. It can be seen from different perspectives. [Full review in Spanish]
Vox," February 23, 2016",Todd VanDerWerff, I've never seen a movie quite like Embrace of the Serpent.
leonardmaltin.com," February 23, 2016",Leonard Maltin," Embracing such concepts as the liquidity of time, Serpent honors the Amazonian world and culture, while condemning those that would harm it."
EscribiendoCine," February 22, 2016",Emiliano Basile, An extraordinary journey through the complexity of Latinamerican culture. [Full review in Spanish]
