source_name,review_date,critic_name,review_detail
Film Ireland Magazine," January 3, 2017",Deirdre Molumby," There is a lot of fun and laughter to be had here, and I guarantee you'll come out of the theatre smiling."
Total Film," January 2, 2017",Jamie Graham," Party on, dudes! With tracks from Blondie, Van Halen, Sugar Hill Gang, The Cars and more, Linklater's frat-pack com is an absolute blast. Prepare to be amazed and amused."
TheShiznit.co.uk," January 1, 2017",Ed Williamson," Linklater presents a time in life, a few days, showing it up for what it is: a laugh while it's happening, its specific events likely soon forgotten, but no less significant for it."
3AW," December 26, 2016",Jim Schembri," Likeable, inconsequential comedy ramble about an assortment of baseball jocks who share a frat house at a Texas college."
Sunday Times (UK)," December 17, 2016",Camilla Long," At last, a proper summery hit."
Movie Habit," December 12, 2016",Robert Denerstein," For the most part, Everybody Wants Some!! is a shambling, rambling look at young people who have yet to become interesting. Judging by the movie, they may never actually achieve that status."
Arkansas Democrat-Gazette," November 14, 2016",Piers Marchant," Pointlessness is an important element in a Linklater film, but this one never is able to make much of a purpose for itself."
Japan Times," November 9, 2016",Giovanni Fazio, It's all a bit of a bro'verdose.
Pajiba," September 21, 2016",Rebecca Pahle," Honestly, it's pretty compelling."
Movie Talk," September 21, 2016",Jason Best, Frat-boy jocks usually get a bad rap in movies (filmmakers tend not to be former jocks). Yet Linklater captures his characters' bantering camaraderie and boozy machismo with disarming sympathy.
Graffiti With Punctuation," August 10, 2016",Blake Howard," Everybody Wants Some, like Dazed and Confused, feels like having old friends over, listening to records & reminiscing."
Matt's Movie Reviews," July 16, 2016",Matthew Pejkovic," Films about brotherhood come in many forms, yet rare do they capture the connection of different personalities with the engrossing, free spirited tone that Linklater does here."
Seanax.com," July 16, 2016",Sean Axmaker, Linklater offers astute observations about college life and young adults exploring their first taste of independence while reminding us that there's more on their minds than just getting some!!
Blog de cine," July 14, 2016",Alberto Abuín, Linklater proves his skills directing actors. Everyone is great in the film. [Full review in Spanish]
Q Network Film Desk," July 12, 2016",James Kendrick," while there is inherent diversity among these players, there is so much about them that is the same in terms of personality, desires, and ideologies that we start longing to get out of their world and into someone else's"
