source_name,review_date,critic_name,review_detail
Reeling Reviews," August 4, 2016",Laura Clifford," ""Gleason"" tells an incredible tale of a family struggling through the inconceivable, frequently even with humor, but the marriage at its heart faces troubling, less explored, consequences."
Washington Post," August 4, 2016",Pat Padua," ""Gleason"" portrays great strength and great suffering in equal measure, lending vivid credence to tired platitudes about what it means to live life to the fullest."
Spirituality and Practice," August 4, 2016",Frederic and Mary Ann Brussat, An emotionally rich documentary about a former NFL star and his wife finding ways to live a rich life despite the debilitations caused by ALS.
Arizona Republic," August 4, 2016",Randy Cordova," A lot of sports-themed films put a heroic, inspirational spin on the proceedings. You cheer, shed a few tears, and move on. That's so not ""Gleason."""
Common Sense Media," August 1, 2016",Sandie Angulo Chen, Emotional docu's powerful story outweighs strong language. 
Paste Magazine," August 1, 2016",Andy Crump," You'll walk away from the film with optimism in mind, and that's very much by design. Gleason ends on higher notes, the better to send us out of the theater convinced we have seen something wholly uplifting."
Little White Lies," August 1, 2016",Spencer Moleda, As inspiring as it is devastating.
Rolling Stone," July 29, 2016",Peter Travers, Tweel has crafted a film that goes beyond the facts of Gleason's football life. It promotes an awareness of ALS that trumps any well-intended ice-bucket challenge - and ranks as a profound achievement. 
Christian Science Monitor," July 29, 2016",Peter Rainer," The documentary Gleason, a big Sundance hit, is difficult to watch -- and that's the point. "
RogerEbert.com," July 29, 2016",Matt Zoller Seitz, A tearjerker of a film but also a joyous one.
New York Times," July 28, 2016",Glenn Kenny," While the director's vision never strays too far from the positive message that he and the Gleasons doubtlessly wish to impart, the movie winds up being most effective at doing what cinema cannot avoid doing."
Los Angeles Times," July 28, 2016",Sheri Linden," If this film portrait stirs deep emotions, they spring from a breathtakingly unsentimental embrace of life at its most challenging."
SF Weekly," July 28, 2016",Jeffrey Edalatpour," It's astonishing to watch a dying man plead for the sanctity of his spiritual life. All of his embarrassing bodily functions are on display, but nothing feels more intimate than having dominion over your own soul."
Wall Street Journal," July 28, 2016",Joe Morgenstern," ""Gleason"" is so powerful in its cumulative effect that it should be accompanied by a consumer advisory-something along the lines of ""This documentary may cause sudden alterations of mood and attitude."""
Entertainment Weekly," July 28, 2016",Devan Coggan, The result is a candid testament to not only Gleason himself but the many people who love him.
The Film Stage," July 28, 2016",Dan Schindel, There's something off-putting about such aggressive inspiration.
Seattle Times," July 28, 2016",Moira MacDonald, Watch it not just with your eyes but with your heart.
San Francisco Chronicle," July 28, 2016",G. Allen Johnson," Ultimately, while ""Gleason"" can be tough to watch, it has a strong message of the value of relationships and how to spend a life doing meaningful work against great odds."
AV Club," July 28, 2016",Katie Rife," If Steve Gleason wasn't a famous name, would we still be watching?"
Metro," July 27, 2016",Matt Prigge, It's easy to read this as a triumph-of-the-human-spirit jag or even a stranger-than-fiction tall tale. But it runs deeper than that. 
Washington City Paper," January 2, 2017",Tricia Olszewski," Gleason, needless to say, is not an easy sit."
