source_name,review_date,critic_name,review_detail
Laramie Movie Scope," February 8, 2017",Robert Roten," Perhaps not since 'Pulp Fiction' have I seen such a cleverly convoluted story woven together from different perspectives. Act two and three pile on more layers of detail, adding more richness to the story. "
Seanax.com," January 27, 2017",Sean Axmaker," ... has the look of a lavish period drama, the elegance of an arthouse film, the complex plotting of an ingenious caper that only the movies could sustain, and the sex of a classy softcore picture."
Winnipeg Free Press," January 12, 2017",Alison Gillmor," Like everything by Korean auteur Park Chan-wook, The Handmaiden is meticulously controlled in form and bonkers-crazy in content. That's a heady combo."
Creative Loafing," January 10, 2017",Matt Brunson," Intelligent, absorbing and erotic."
Cinema em Cena," January 8, 2017",Pablo Villaça," It combines Chan-wook's best obsessions: his aesthetic virtuosity, his dark sense of humor, his interest of sex as an unstoppable force and his characters penchant for vengeance. [Full review in Portuguese.]"
The Mary Sue," December 30, 2016",Charline Jao," Fan of [Park's] will no doubt be sucked in by the distinct style, cinematography, and lush colors."
Legion of Leia," December 29, 2016",Witney Seibold," A wonderfully twisted web of rococo theatrics, melodramatic twists, and deliciously lurid storytelling."
East Bay Express," December 27, 2016",Kelly Vance, Even the most sensational sequences in The Handmaiden fail to do much more than disrupt the plot line. 
Antagony & Ecstasy," December 17, 2016",Tim Brayton," The ending doesn't live up to what precedes it, but while it's working, this is some of the most captivating and effective cinema of 2016, or indeed any of the last several years."
Daily Dead," December 16, 2016",Heather Wixson," The Handmaiden may not be the most concise effort we've seen from Chan-Wook as a director, but it's still an absolute masterpiece all the same."
The Virginian-Pilot," December 16, 2016",Mal Vincent, The Handmaiden is a melodrama that delivers on its twists and turns.
Under the Radar," December 15, 2016",Stephen Danay," Although The Handmaiden could easily rest on its violent, sexy laurels, Park and what must have been an army of set decorators, prop masters and costumers have created a dense, fully-realized world."
LarsenOnFilm," December 14, 2016",Josh Larsen," ...the more we unfold of its mystery, the deeper we fall into suspicion, desire, and depravity."
Film School Rejects," December 13, 2016",Rob Hunter, A relentlessly beautiful film and one of the decade's most exhilarating and satisfying love stories.
Newcity," December 13, 2016",Ray Pride," The triangle that ensues is voraciously sexual, unabashedly fetishistic. And the crosses, and the double-crosses, and the twists-within-twists are almost as carnal in their voluptuousness. "
