source_name,review_date,critic_name,review_detail
The Playlist," June 28, 2016",Kevin Jagernauth," Unfortunately, [the film] which shows much finesse and nuance for most of its running time, is hampered by a swing toward conventional dramatics."
Seattle Times," July 28, 2016",Moira MacDonald," Shot in artful, quiet light (many of the frames look like elegant paintings), ""The Innocents"" is beautifully performed by its nearly all-female cast; each nun, even those unnamed, is given her own personality and story."
The Young Folks," July 27, 2016",Gary Shannon, Fontaine's greatest achievement is her assured voice which is never too comforting nor too cynical.
America Magazine," July 26, 2016",John Anderson," What is refreshing about The Innocents is its attempt to explain the inexplicable, without presuming any success. "
SSG Syndicate," July 19, 2016",Susan Granger," Starkly desolate, yet compassionate story - with timely relevance for women today."
One Guy's Opinion," July 15, 2016",Frank Swietek," A flawed telling of a fascinating story, but the central subject is sufficiently compelling to overcome the miscalculations."
National Post," July 15, 2016",Chris Knight, There is much tension in this drama from director and co-writer Anne Fontaine.
Christian Science Monitor," July 15, 2016",Peter Rainer," The ghastliness of this situation has its black comic aspects, but director Anne Fontaine keeps everything on an even keel -- too even."
Ozus' World Movie Reviews," July 15, 2016",Dennis Schwartz, A compelling religious drama.
Globe and Mail," July 15, 2016",Ellen Brait," The Innocents is a powerful, brave film that will stay with you for days."
Toronto Star," July 14, 2016",Bruce Demara," In such a dark time and place, hope does emerge."
Boston Globe," July 14, 2016",Ty Burr, It gives us war as seen by the women it rolls over and it quietly exults as they help each other back to their feet.
UR Chicago Magazine," July 13, 2016",John Esther, Offers a harrowing yet hopeful picture of what good women (and one man) can do when they do choose to rebel against patriarchal power.
Georgia Straight," July 13, 2016",Ken Eisner," If you make space for its contemplative rhythms, the movie does have something to offer the soul."
NOW Toronto," July 13, 2016",Susan G. Cole, The Innocents is a deep exploration of faith and doubt.
Playback:stl," July 8, 2016",Sarah Boslaugh," ...a beautifully paced, meditative film concerned with big philosophical issues conveyed through rich character studies. "
Blu-ray.com," July 7, 2016",Brian Orndorf," It's an emotionally complex and dramatically satisfying look at a chapter of history, unerthing a pure sense of humanity and unexpected bravery along the way."
Chicago Reader," July 7, 2016",J. R. Jones," It begins to bog down, though, as spiritual concerns take over the narrative. "
Minneapolis Star Tribune," July 7, 2016",Colin Covert," Starring, directed, filmed and written by women, balancing agnostic intelligence and respect, this is one of the most compelling films about war in years."
Washington Post," July 7, 2016",Pat Padua," Through the example of friendship and cooperation, ""The Innocents"" shines a glimmer of hope on a period of great doubt."
SF Weekly," July 6, 2016",Sherilyn Connelly," In addition to being a necessary portrait of the plight of women in post-World War II that can stand alongside Christian Petzold's Phoenix, director Fontaine's The Innocents is refreshingly poignant."
The List," November 7, 2016",Emma Simmonds," There is such warmth and wisdom in these women standing together, that what at first appears to be a story of unimaginable suffering quickly reveals itself to be a celebration of astonishing strength."
Time Out," November 7, 2016",Cath Clarke," An emotionally involving rather than harrowing film, with scenes as beautiful as oil paintings."
Total Film," November 7, 2016",Kate Stables," Echoes of Ida and Of Gods and Men sound in its stark, unsparing theme of war battling with belief, despite the odd hopeful plot twist."
HeyUGuys," October 14, 2016",Stefan Pape," Far from an entertaining cinematic experience, but undoubtedly a rewarding one."
Clarín," October 13, 2016",Pablo A. Scholz, A very well made film about novices and nuns raped by Russian soldiers in a Polish village. [Full review in Spanish]
La Nación (Argentina)," October 13, 2016",Fernando Lopez," A hard and austere film, free from any excess or emotional appeal, about motherhood, solidarity and courage. [Full review in Spanish]"
Otroscines.com," October 11, 2016",Diego Battle, A very moving film that definitely deserves to be taken into account. [Full review in Spanish]
Eye for Film," October 7, 2016",Jennie Kermode, A poignant yet powerful film made with sensitivity and poise.
El antepenúltimo mohicano," October 3, 2016",Ignacio Navarro," A film that is halfway in its intention to deal neutrally with an issue, throwing in a little lack of vitality. Even though is and interesting work. [Full review in Spanish]"
East Bay Express," September 22, 2016",Kelly Vance," Title to the contrary, there are no innocents here."
Missoula Independent," September 9, 2016",Molly Laich, The Innocents is the best foreign film I've seen this year.
Film Comment Magazine," September 6, 2016",Kristin M. Jones," A measure of peace and joy is achieved at the end of Fontaine's film, but one wonders what scars remain."
Newcity," August 29, 2016",Ray Pride," The world is transformed by being in it, by being alive to it, Fontaine demonstrates. "
Movie City News," August 29, 2016",Ray Pride," The world is transformed by being in it, by being alive to it, Fontaine demonstrates. "
Las Vegas Weekly," August 11, 2016",Josh Bell," Getting there isn't easy, for the characters or the viewer, but it's worth the effort."
Cleveland Plain Dealer," August 4, 2016",Joanna Connors, [A] sometimes ponderous but devastating film.
Salt Lake Tribune," August 4, 2016",Sean P. Means," It's not a perfectly told tale, and the final half-hour succumbs to overly melodramatic touches, but the strong performances make The Innocents riveting to the final shot."
San Diego Reader," August 4, 2016",Matthew Lickona, Director and co-writer Anne Fontaine makes every shot and every exchange count in her tender but penetrating exploration of sisterhood in a brutal world.
Austin Chronicle," August 4, 2016",Steve Davis, The humanism on display here is precise and unsentimental.
Arizona Republic," July 29, 2016",Bill Goodykoontz," Fontaine (""Gemma Bovary,"" ""Coco Before Chanel"") has just the right touch. There is no melodrama here, simply women of faith living day to day."
