source_name,review_date,critic_name,review_detail
Film School Rejects," February 6, 2016",Rob Hunter, The most romantic Marvel film since Steve Rogers first wooed Peggy Carter.
Screen International," February 6, 2016",Tim Grierson," In its foul-mouthed, aggressively violent way, ""Deadpool"" proves to be nasty fun, casting a snotty Ryan Reynolds as a vengeance-seeking jerk who may have mutant powers but never acquired the stoicism or valor of the X-Men. "
Urban Cinefile," February 6, 2016",Andrew L. Urban," It may not be original, but what the film lacks in freshness it makes up in cinematic bravura, from 'breaking the fourth wall' (talking to the audience) to self referential nonsense amidst violent mayhem"
Examiner.com," February 9, 2016",Chris Sawin," Deadpool is the bloodiest, darkest, most violent, and most hysterical comic book film to ever be released. Vulgarity hasn't been utilized this proficiently since the South Park film was released in theaters nearly two decades ago."
RedEye," February 9, 2016",Matt Pais, As funny and charming as tearing a toenail.
The Popcorn Junkie," February 9, 2016",Cameron Williams," Tries to rebel but it's as insubordinate as a kid wearing a Megadeth T-shirt to Church on a Sunday, but an okay break from saving the world."
Beliefnet," February 8, 2016",Nell Minow," Frankly, exuberantly nasty - in the nicest possible way. "
Movie Guys with Jeff & Dave," February 8, 2016",Jeffrey K. Howard," Deadpool is over-the-top funny, very bloody, violent and the best Marvel movie that's made for adults ! Not bad for an anti-hero that wears a mask, swings ninja swords and cannot die. "
What Culture," February 8, 2016",Alex Leadbeater, The superhero genre is in trouble.
HeyUGuys," February 8, 2016",Stefan Pape, Marvel (Fox) have rewritten the rules of the superhero genre with this offering.
CraveOnline," February 8, 2016",William Bibbiani," In many respects it's the best X-Men movie yet, because it seems to care less about 'world building' and 'big ideas' than about a single interesting character with a unique voice, joking his way through a satisfying, albeit conventional story."
Film Journal International," February 8, 2016",Ethan Alter," Early on, Deadpool teases audiences that it's going to lead a comedy-laced comic-book movie revolution, but it ends up joining the superhero establishment."
Lyles' Movie Files," February 8, 2016",Jeffrey Lyles, You'd be hard-pressed to find a comic book film so faithful to the tone of its source material and absolutely nailing it. Cue Deadpool winking at the double entendre.
Metro," February 8, 2016",Matt Prigge," A Marvel movie for those who think they're sick of Marvel movies but aren't really, it's as epically pleased with itself as Ryan Reynolds' lead performance. "
AtHomeInHollywood.com," February 8, 2016",Staci Layne Wilson," Oh, boy - is he fresh! Chances are you're going to love this well-written, witty, funny, romantic, sexy, silly, action packed, wild ride. I sure did!"
Bullz-Eye.com," February 8, 2016",Jason Zingale, Deadpool stretches beyond sheer fan service to deliver a unique take on [superhero movies] that audiences unfamiliar with the character will enjoy as well.
AV Club," February 8, 2016",A.A. Dowd," Just as Deadpool himself wears a mask to hide his hideous features, Deadpool conceals a highly conventional origin story under a lot of winking self-awareness."
Forbes," February 8, 2016",Scott Mendelson, I found myself both enjoying the character and certain gags while wishing I could skip ahead 2-3 years to see the presumably superior sequel.
Uproxx," February 8, 2016",Mike Ryan," Deadpool can fancy itself up as much as it wants and insist it's something totally different. But, yep, here we are: Another superhero movie origin story."
ScreenCrush," February 8, 2016",Matt Singer, Pointing out how crappy other movies are doesn't automatically make your movie good.
Time Out," February 8, 2016",Tom Huddleston," Rarely boring, but not half as smart, funny or subversive as it clearly believes itself to be."
Baret News," February 7, 2016",Kam Williams, A relentlessly-hilarious cross of Kick-Ass (2013) and Watchmen (2009) that leaves your appetite whetted for a sequel.
FILMINK (Australia)," February 7, 2016",Anthony O'Connor," ""Deadpool fans will be gratified to see their meta merc smirking, stabbing and snarking his way through his foes, stopping long enough to make a bunch of dick jokes, before it's back to the action."""
San Jose Mercury News," February 10, 2016",Randy Myers," While ""Deadpool"" heralds the arrival of a talented new director, its success belongs to Reynolds, who also served as a producer."
EricDSnider.com," February 10, 2016",Eric D. Snider," Funny and zippy though it is, 'Deadpool' is the safe, studio-sanctioned version of 'edgy.'"
Portland Mercury," February 10, 2016",Andrew Wright, A terrifically faithful adaptation of some awfully obnoxious source material.
Under the Radar," February 10, 2016",Stephen Danay, Deadpool is arguably the most faithful and entertaining cinematic interpretation of the character that fans are likely to see.
