source_name,review_date,critic_name,review_detail
The Straits Times (Singapore)," November 23, 2016",John Lui, By the film's climax -- even if you know how it will end -- viewers should be a blubbering mess.
Time Out," November 23, 2016",Tom Huddleston," We've watched this young man struggle and fight for answers, only to have them drop into his lap at precisely the right moment. It's a drastic misstep that ruins whatever chance Lion had of doing justice to a fascinating true story."
Slant Magazine," November 23, 2016",Matt Brennan," Lion's faults of structure and pacing might limit its power, but in stretches it still roars."
Film Journal International," November 23, 2016",Shirley Sealy, Lion is one of those rare films which effortlessly manages to put us inside the heads of protagonists and make us believe that their reality is our reality too. 
AV Club," November 23, 2016",Esther Zuckerman," By splitting up the story into different eras of the hero's life, Davis seems to be striving to avoid some of the conventions of melodrama. But coloring within the lines might have done a couple of favors to his actors and the flow of his film."
Us Weekly," November 22, 2016",Mara Reinstein, Ditch the cynicism; take the Kleenex.
Village Voice," November 22, 2016",Alan Scherstuhl," Here's a globe-trotting boy-on-his-own adventure, a narrative of scrappy survival and familial love and many teary reconciliations, tracing the outlines of Brierley's life in a busy two hours."
Nerdist," November 22, 2016",Luke Y. Thompson," ...it misses the mark on the duality-Saroo goes from forgetting his past completely to suddenly being all about it, and it's a lot more complicated than that"
New York Post," November 21, 2016",Kyle Smith," This is a true story, and at times a gut-wrenching one, even if it necessarily sugarcoats some aspects of the plight of lost children."
Entertainment Weekly," November 21, 2016",Darren Franich," Where Saroo goes and what he finds there left me in tears, but you feel that a complicated true story has been airbrushed into a postmodern legend."
New Yorker," November 21, 2016",Anthony Lane," Davis's film is based on a true story; though wrenching, there is barely enough of it to fill the dramatic space, and the second half is a slow and muted affair after the Dickensian punch of the first."
Black Girl Nerds," November 5, 2016",Jacqueline Coley," Patel's constant anger and destitution get a bit tedious, but the uplifting ending will move even the most stoic movie-goer to tears."
Compuserve," November 4, 2016",Harvey S. Karten," If you've ever been lost, and who hasn't? This movie is for you, featuring a five-year-old boy from India who winds up in Australia."
TheFilmFile.com," October 27, 2016",Dustin Putman," The trajectory ""Lion"" takes isn't surprisingit is quite inevitable, actuallybut the film's centerpiece true account is respectful and, ultimately, heartening."
AwardsCircuit.com," October 26, 2016",Clayton Davis," In his feature film debut, director Garth Davis creates a formally riveting and emotionally shattering look into the complexities of family and the ache of separation."
Punch Drunk Critics," October 21, 2016",Travis Hopson," Lion plays safe more often than necessary, but it definitely roars when it counts."
International Business Times," October 20, 2016",Amy West, The characters are wonderfully rounded and each performer brings them to screen with such a sense of realism that you can't help but feel both moved and inspired. 
Film Comment Magazine," December 2, 2016",Michael Sragow, The film ends with that contemporary movie rarity-an authentic and overwhelming display of gratitude.
Reeling Reviews," December 1, 2016",Robin Clifford," ""Lion"" is a good calling card for the new director [Garth Davis]"
Tribune News Service," December 1, 2016",Katie Walsh," Patel easily grows to fill the needs of this complex and conflicted character, a man caught between two worlds, two cultures and two families. "
Movie Nation," December 1, 2016",Roger Moore," An inspiring story of cruel fate, cruel people, the kindness of strangers and childhood traumas that we never forget"
New York Observer," November 30, 2016",Rex Reed, See it and I promise your own heart will skip a beat with happiness and joy.
Associated Press," November 30, 2016",Mark Kennedy," Lion is really two beautifully shot films -- the tenacious story of young Saroo Brierley, lost far from home, and the less dramatic, slightly forced, story of him all grown up and looking for his past."
The Atlantic," November 29, 2016",David Sims," Lion is ultimately an excellent example of its type-a resonant true story told, not with manipulative cliches, but with refreshing confidence."
Spliced Personality," November 28, 2016",Sean Burns, This frustrating film begins with artful evocations of Dickensian squalor and turns into a movie about a guy staring at a laptop. 
Newark Star-Ledger," November 25, 2016",Stephen Whitty, The trite tropes are thick but Saroo's drama remains undramatized and we remain mostly unmoved.
Rolling Stone," November 25, 2016",Peter Travers," Kudos to Kidman, whose unglam, unguarded take on the role is emotionally powerful and true; her scenes with Patel provide just the right blend of grit and grace. Lion is one from the heart. "
TIME Magazine," November 25, 2016",Stephanie Zacharek," Lion ... becomes ordinary, even as it moves toward a climax that's moving for all the predictable reasons."
USA Today," November 24, 2016",Brian Truitt," The finale is manipulative in every way, squeezing out the emotions of the audience. But Lion's well-plotted narrative and thoughtful characters suck you in so much that the journey there is totally worth it."
RogerEbert.com," November 24, 2016",Susan Wloszczyna," Let's just say if you are human, there is no way that Lion won't move you."
Los Angeles Times," November 24, 2016",Kenneth Turan," ""Lion"" is blessed with a Ripley's Believe It or Not story line that would warm the heart of a stone."
New York Times," November 24, 2016",A.O. Scott," If you have ever been a child, raised a child, lost a child or met a child - or a mother - this movie will wreck you."
Pajiba," November 24, 2016",Kristy Puchko," This seems exactly the kind of ""based on true events"" tale that filmmakers go gaga for...The plotting lurches, bound by reality, making for a muddled though moving affair."
TheWrap," November 23, 2016",Sam Adams," The movie could have examined the limitations of white liberalism, the damage that well-meaning people can do if they don't educate themselves along the way. Instead, it embodies that well-meaning approach, and all the harm it can do."
Vox," November 23, 2016",Alissa Wilkinson," Lion is moving, beautifully shot, and clear-eyed about its aims. It's the kind of inspirational movie even a film snob could love."
Wall Street Journal," November 23, 2016",Joe Morgenstern," Mr. Patel's commanding presence is complemented by many others... Kidman has done fine work in her career, but nothing that quite matches the hypnotic story Sue tells of a vision she had when she was 12."
L.A. Biz," November 23, 2016",Annlee Ellingson," Anchored by an impossibly adorable new talent and a familiar face showing new dramatic range, Lion explores the power of memory, technology and the pull of home."
EricDSnider.com," December 20, 2016",Eric D. Snider, An inspiring drama that earns tears without jerking them.
Cairo360," December 20, 2016",Marija Loncarevic," Lion, although a little jumbled in its second half, has everything you need from a poignant, awards-preying drama, with the story offering plenty of moments of both beauty and sadness."
Tampa Bay Times," December 20, 2016",Steve Persall, Lion can't avoid seeming lesser in the second half after Davis' mesmeric first but it's solid storytelling nonetheless.
Philadelphia Inquirer," December 20, 2016",Tirdad Derakhshani," Lion celebrates the human will and the human need to find meaning and connection in life. If the final scenes don't have you blubbering, your humanity may need some fine-tuning."
Film-Forward.com," December 17, 2016",Kent Turner," As the protagonist in the first and stronger half, pint-sized powerhouse Sunny Pawar wins the hearts and tears ducts of the audience. He's a tough act to follow."
Under the Radar," December 16, 2016",Zach Hollwedel," Immensely powerful, inspiring, and impossible to forget."
leonardmaltin.com," December 15, 2016",Leonard Maltin," What do you call a movie that has a great first act and a moving finale but bogs down on the way to that conclusion? In this case, you call it Lion. I say this with regret, because the true story it tells is remarkable and it's a shame the film is flawed"
FILMINK (Australia)," December 13, 2016",Erin Free, ...grabs you by the throat from its first frames and never lets you go.
National Post," December 9, 2016",Chris Knight," It could roar if it wanted to, but settles for an expressive, almost infrasonic growl."
Globe and Mail," December 9, 2016",Brad Wheeler," Davis offers sweeping cinematic shots, with a soundtrack that is pleasingly epic, but the second act is a bit skimpy, script-wise."
Toronto Sun," December 8, 2016",Bruce Kirkland," Unless you are an utterly immovable cynic, the Australian melodrama Lion will coax out tears of sadness and of pure joy."
Toronto Star," December 8, 2016",Peter Howell," Rarely does a film plotting the Internet amount to much more than a series of glowing screens. Lion, a fact-based story and auspicious feature debut by Garth Davis, makes for a captivating exception."
Consequence of Sound," December 8, 2016",Clint Worthington," If you think there's still room for the traditional 'true-story' drama, Lion proves these stories still have a little life left in them."
NOW Toronto," December 7, 2016",Glenn Sumi," The final reel, of course, is deeply affecting. But you knew that going in, didn't you?"
