source_name,review_date,critic_name,review_detail
Christianity Today," January 23, 2017",Jeffrey Overstreet," Its ambiguities make possible a fusion of dread and intrigue that reminds us of ways in which we've experienced adolescence, alienation, rites of passage, or self-discovery."
Detroit Free Press," December 29, 2016",John Monaghan, What the movie lacks in narrative it makes up for in mood and invention.
Baltimore Magazine," December 29, 2016",Max Weiss," Slow-paced and methodical, filled with arresting long shots."
ArtsHub," December 29, 2016",Sarah Ward," Hightower's masterful performance [is] as successful in detailing Toni's psychological state as Holmer's striking and poetic approach, and as expertly choreographed and yet naturally rhythmic, too."
Columbus Alive," December 29, 2016",Brad Keefe," It's definitely challenging, and I want to give it a second viewing. So let's go ahead and call that really good."
Seven Days," December 29, 2016",Margot Harrison, The Fits combines the energy of a dance film with the obliqueness and eerie atmosphere of an art film. I feel safe in saying I've never seen anything quite like it before.
MetroActive," December 29, 2016",Richard von Busack," One could think of The Fits as an all-ages movie, but only in the sense that The 400 Blows is about children."
Ozus' World Movie Reviews," December 23, 2016",Dennis Schwartz, A fitting psychological portrait of growing up in Cincinnati's West End.
Hammer to Nail," December 5, 2016",Don R. Lewis," I love the way the film reminds me of adolescence itself; fun, silly times shaded with impending seriousness and tinged with darkness."
AwardsCircuit.com," September 28, 2016",Shane Slater, The film envelopes you in its spellbinding narrative. 
Detroit News," September 9, 2016",Tom Long," Using a lot of real-life West End of Cincinnati dancers and athletes in the cast lends the film an authentic feel without ever feeling amateurish, and the specificity of Toni's story resonates outward."
The Australian," August 12, 2016",David Stratton, Anna Rose Holmer's strange but beautifully crafted film is worth seeking out.
FILMINK (Australia)," August 3, 2016",Sophia Watson," ...a captivating, mesmerising, and remarkably painful journey into adolescence and independence. "
Chicago Reader," July 28, 2016",Leah Pickett," [Holmer] and cinematographer Paul Yee infuse the community center, in and around which the entire film takes place, with elements of magical realism to accentuate the protagonist's passage from childhood into adolescence."
LarsenOnFilm," July 25, 2016",Josh Larsen, ...captures approaching adolescence for what it really is: an out-of-body experience.
Boston Globe," July 21, 2016",Ty Burr," The movie is a nearly perfect thing, made with such assurance that every shot holds weight and widens your heart."
Reeling Reviews," July 9, 2016",Laura Clifford," [Holmer's] given us something almost otherworldly, using the phenomenon of mass hysteria as a stepping stone into adolescence. That her film uses little dialogue, instead expressing emotion through movement, makes it that more remarkable."
"HeraldNet (Everett, WA)"," July 8, 2016",Robert Horton," I like a lot of things about The Fits, and the first thing that got me was the way it sounds."
Seattle Times," July 8, 2016",Moira MacDonald," It's a curious world that Toni is entering, and Hightower's quiet watchfulness takes it all in."
Common Sense Media," July 1, 2016",Jeffrey M. Anderson," Coming out of Sundance, this fascinating low-budget drama features the kind of bold, skillful filmmaking that seems largely missing today; it offers a profound puzzle to ponder but no easy answers. "
Hollywood Reporter," May 31, 2016",David Rooney," A transfixing meditation on gender and self-discovery, distinguished by the dreamy beauty of its visual and movement-based storytelling."
Eye for Film," May 31, 2016",Amber Wilkinson, The physicality and fluidity of adolesence are brought to the fore by Anna Rose Holmer in her tightly directed debut feature.
Village Voice," May 31, 2016",Bilge Ebiri," Holmer films the story as if it were a dance performance, one where differences in movement and posture say more than words ever could."
New Yorker," May 30, 2016",Richard Brody, The movie's natural sweetness vibrates with mysteries.
Compuserve," May 28, 2016",Harvey S. Karten," An offbeat look at a pre-teen who wonders to what extent she should give up her individuality to fit in. The title could have a double meaning: epileptic-type spasms, or fitting in."
Film Experience," May 13, 2016",Nathaniel Rogers," There's much to ponder in its metaphysical poetry, thoughtful camera work and editing and, above all else, its persistent fly-on-the-wall curiosity, the camera a soulful twin to Toni's ever-searching eyes."
Screen International," March 23, 2016",David D'Arcy, The Fits benefits from scrapping a three-act structure and avoiding crescendos and easy moralism.
Variety," March 23, 2016",Nick Schager," Even at its conclusion, Holmer's film refuses to provide easy answers regarding its meaning, instead using poised formal techniques to impart that which is not spoken."
Slant Magazine," March 10, 2016",Kenji Fujishima, This singular mix of character study and mysterious mood piece might not have come off quite so successfully if not for Royalty Hightower's internal performance.
The Film Stage," February 20, 2016",John Fink," An exploration of movement, motion, liminality, childhood and racial politics, The Fits is a fascinating psychological study."
Salt Lake City Weekly," January 31, 2016",Scott Renshaw, The complex mix of fight choreography and dance choreography provides a wonderfully unique framework for the narrative.
