source_name,review_date,critic_name,review_detail
Counterpunch.org," February 1, 2017",Louis Proyect, You'll learn more about the art of filmmaking in this documentary than from any course in the UCLA or NYU film school.
East Bay Express," December 27, 2016",Kelly Vance, [His] candid commentary reveals him to be a cultivated man with a gut-bucket sensibility trying to make mass-market commercial hits but who rarely finds the right combination of style and substance. At least we now know why he did what he did.
Financial Times," December 27, 2016",Nigel Andrews," Noah Baumbach and Jake Paltrow are the co-directors of De Palma, a scrumptious documentary about the creator of Carrie and Scarface."
Cinemaphile.org," December 22, 2016",David Keyes," By the end, regardless of how one feels about any number of his pictures, there is no question that he was a man who made movies exactly the way he intended. "
Sunday Times (UK)," December 17, 2016",Edward Porter," De Palma is a straightforward interview with the director of Carrie and Scarface, who talks about his movies with a beefy vigour akin to his cinematic style."
Film Ireland Magazine," October 21, 2016",Stephen Porzio," Just to hear the director discuss his work and his influences, all while seeing his iconic scenes on the big screen once again make this essential viewing for cinephiles."
Sunday Independent (Ireland)," October 10, 2016",Hilary A White," At 76, the New Jersey native is able to laugh at himself and his missteps (Mission To Mars, Obsession) while speaking candidly and squarely about the times he got it right (take your pick from any of Scarface, Carrie, The Untouchables, Carlito's Way)."
Total Film," September 27, 2016",James Mottram," The man himself is the sole interviewee -- a risky strategy but one that pays off here; whether dissing his Obsession star Cliff Robertson or conceding mistakes on The Bonfire of the Vanities, he's illuminating, hilarious company."
Pitch.com," September 26, 2016",Eric Melin," De Palma the movie makes a good argument for a re-assessment of De Palma the director, an artist whose work remains a fascinating and entertaining study in the public's fickle taste."
Daily Express (UK)," September 25, 2016",Henry Fitzherbert, Fascinating ...
Observer (UK)," September 25, 2016",Wendy Ide," De Palma's work is explored in his own words, and his words only, uncluttered by talking heads and critical evaluations. And frankly, De Palma is such an entertaining and open raconteur, his words are all you need."
Radio Times," September 23, 2016",Stephen Carty," For cinephiles and De Palma fans, this is essential viewing."
The Skinny," September 23, 2016",Josh Slater-Williams," Rational and often hilarious, De Palma the raconteur is as brazen as his films."
Independent (UK)," September 22, 2016",Geoffrey Macnab, The documentary convinces us of De Palma's logistical and visual flair -- his ability to choreograph astonishingly elaborate sequences and his pioneering use of Steadicam.
Guardian," September 22, 2016",Peter Bradshaw, This is a very entertaining guide.
The List," September 19, 2016",Demetrios Matheou," Whether one is a fan of those films or not, this makes for a fascinating insight into the craft."
Little White Lies," September 19, 2016",David Jenkins, Riveting and highly entertaining.
EricDSnider.com," September 2, 2016",Eric D. Snider," Anyone who loves the movie business will find his anecdotes, revelations, and observations both enlightening and entertaining."
Madison Movie," September 1, 2016",Rob Thomas, DePalma repeating himself is better than most filmmakers saying something for the first time.
Montreal Gazette," July 14, 2016",T'Cha Dunlevy," We emerge with a profound understanding of a singularly talented, wildly creative filmmaker who invested himself fully in everything he did, and whose oeuvre more than merits a second look."
Reel Film Reviews," May 16, 2016",David Nusair, ...the picture boasts a decidedly fascinating vibe that persists for the duration of its 107 minutes. 
ShockTillYouDrop.com," May 6, 2016",Chris Alexander, A remarkable film.
Flavorwire," May 3, 2016",Jason Bailey," 'De Palma' has both the scope and specificity of the essential text 'Hitchcock/Truffaut,' covering the entire career while pausing for in-depth explanations."
The Film Stage," February 21, 2016",Rory O'Connor," A fascinating, revealing, and compelling overview of a remarkably eclectic career."
Movie Mezzanine," October 7, 2015",Odie Henderson, As a fan of De Palma's work-which doesn't mean I've liked all his movies-I found De Palma riveting.
Consequence of Sound," October 5, 2015",Blake Goble," Noah Baumbach and Jake Paltrow's De Palma is a cineaste's dream. Better yet, it's like getting a minor in film studies, with De Palma as the the candid, mensch-y professor."
Guardian," October 1, 2015",Jordan Hoffman, So many documentaries about artists just want you to accept that their subject is an innovator. De Palma breaks it down and shows you why he is.
ColeSmithey.com," September 27, 2015",Cole Smithey," More edited than directed, ""De Palma"" is rightfully content to let the director of such classics as ""Carrie"" and ""Scarface"" tell the story of his career."
The Playlist," September 12, 2015",Jessica Kiang," ""De Palma"" is a joy: a hit of garrulous cinephile cocaine so pure you want to do a Tony Montana, fall face-first into it and inhale it all in one go."
Times (UK)," September 10, 2015",Wendy Ide," In this highly entertaining documentary, directed by Noah Baumbach and Jake Paltrow, De Palma mounts a robust defence of the more contentious moments of his career, while also taking a few well-aimed potshots at the current state of the film industry."
Screen International," September 10, 2015",Jonathan Romney," So revealing, and entertaining, that little is needed here other than the man, his opinions and some telling illustrations."
TheWrap," September 10, 2015",Alonso Duralde," While I wouldn't willingly subject myself to a second viewing of The Bonfire of the Vanities or Snake Eyes, I would happily listen to De Palma expound on what works and what doesn't in those movies."
Variety," September 8, 2015",Guy Lodge," Steered by Noah Baumbach and Jake Paltrow, Brian De Palma holds court in a delightful, illuminating career reflection."
Hollywood Reporter," September 8, 2015",David Rooney, Could still benefit from some structural polish but a blast nonetheless.
Entertainment Weekly," June 10, 2016",Chris Nashawaty," While his filmmaking pals have all at one time or another been household names, De Palma's never quite gotten the close-up he's deserved. Until now."
Birth.Movies.Death.," June 10, 2016",Devin Faraci, A full-throated defense of a man whose work towers over so many of his peers and yet is so often casually dismissed
RogerEbert.com," June 10, 2016",Matt Zoller Seitz," More than just a big-screen fetish object for Brian De Palma's still-loyal cult, ""De Palma"" is one of the essential documentaries on Hollywood."
Reeling Reviews," June 10, 2016",Laura Clifford, This documentary is so endlessly fascinating as DePalma talks about every aspect of filmmaking from costume to camera shots to casting that one can only hope at least several of the hours left on the cutting room floor end up on a blu ray release.
Los Angeles Times," June 9, 2016",Kenneth Turan," ""De Palma's"" biggest asset, not surprisingly, is the man himself."
NPR," June 9, 2016",Chris Klimek, De Palma walked away from Hollywood 15 years ago. He has nothing to lose by telling these stories now. They make De Palma brisk and engaging ...
Film Comment Magazine," June 9, 2016",Michael Sragow, De Palma has the best kind of ending for a director documentary: it leaves us wondering what's yet to come from this protean and multifaceted filmmaker.
New York Times," June 9, 2016",A.O. Scott," Mr. De Palma is remarkable company - witty, insightful and neither unduly modest nor overbearingly vain."
Wall Street Journal," June 9, 2016",Joe Morgenstern," Mr. De Palma is an American director of great consequence, and this movie about him and his remarkable career is long overdue."
indieWire," June 9, 2016",David Ehrlich," More rewarding for neophytes and casual fans than it is for the titular director's hardcore devotees, Noah Baumbach and Jake Paltrow's doc is nevertheless essential viewing for everyone."
New York Post," June 9, 2016",Kyle Smith," ""De Palma"" treats its subject as the gonzo genius of genre cinema, which is to say it gives him his due."
Metro," June 9, 2016",Matt Prigge," Can simply be enjoyed simply as comfort food, a chance for acolytes to escape from the world for two hours - not just into one movie but into an entire life's worth. "
Rolling Stone," June 9, 2016",Peter Travers," This conversation with polarizing director Brian De Palma accompanied by brilliantly chosen clips from his dark masterworks is heaven for movie lovers. By all means, geek out. I did; now it's your turn. "
AV Club," June 9, 2016",A.A. Dowd," De Palma is just De Palma gabbing for two hours into a camera, and that's its ultimate limitation, but also its great strength."
Time Out," June 8, 2016",Joshua Rothkopf," It all adds up to an exposure that goes well beyond appraisal, entering into rare realms of frustration, dysfunction, euphoria and cynicism."
Film Journal International," June 8, 2016",Chris Barsanti," In [directors Baumbach and Paltrow's] minimalist take on a maximalist artist, they leave the man and his work free to stand or fall on their own. "
Reverse Shot," June 8, 2016",Adam Nayman," For all the interestingly schizophrenic attitudes it captures, its gaze is finally too straightforward to honor a director who has always kept us guessing about the best place to look."
Village Voice," June 7, 2016",Bilge Ebiri," Garrulous and good-humored, De Palma presides over Paltrow and Baumbach's film, taking us through his life and career step by step, title by title, in chronological order."
Brooklyn Magazine," June 7, 2016",Keith Uhlich, This is a film about a great artist reckoning with a much-debated body of work
Slant Magazine," June 2, 2016",Chuck Bowen," Like Hitchcock, De Palma reveals himself to be guided by an unusual mixture of intuition and intellectualization. "
Globe and Mail," June 17, 2016",Barry Hertz," A trip through his wild and hugely influential filmography is mandatory for any film fan, and that's just what directors Noah Baumbach and Jake Paltrow offer in their new documentary."
Philadelphia Inquirer," June 17, 2016",Steven Rea, Immersive and illuminating ...
Toronto Star," June 16, 2016",Peter Howell," He could go on for days with his war stories, and the doc makes you wish he would."
San Diego Union-Tribune," June 16, 2016",Anders Wright," For those who have an interest in film as an art and cinema as a culture, ""De Palma"" is fairly riveting, a master class in filmmaking tied into a history of contemporary cinema, with an unexpectedly personal look into the life of De Palma himself."
Boston Globe," June 16, 2016",Ty Burr," ""De Palma"" is a cinematic sampler that makes you want to gorge on the whole unholy buffet."
National Review," June 16, 2016",Armond White," De Palma is not a shallow artist, but this documentary offers a shallow retrospective on his art, his celebrity, and his ""controversy."""
National Post," June 16, 2016",Chris Knight," The film will appeal mostly to fans of the director's work, but even the more general cinephile will find much of interest here in its plainspoken ways."
Chicago Daily Herald," June 16, 2016",Dann Gire, De Palma proves the filmmaker to be a great storyteller without the use of a camera.
San Diego Reader," June 16, 2016",Matthew Lickona," De Palma enthusiasts will benefit the most here (small surprise), but there's good material for anyone interested in how their cinematic sausage gets made."
Washington Post," June 16, 2016",Ann Hornaday," An engaging if superficial sit, not just for his fans but also for anyone who seeks to understand cinematic grammar and the often un-pretty process of how movies get made."
Chicago Tribune," June 16, 2016",Michael Phillips," ""De Palma"" deftly covers the full gamut of the man's films, from the early Robert De Niro collaboration ""The Wedding Party"" (shot in 1963) through commercial breakthroughs in the 1970s and then several more career ups and downs afterward."
Arizona Republic," June 16, 2016",Bill Goodykoontz," If you love movies, it's time well spent."
TIME Magazine," June 16, 2016",John Anderson," He's allowed to ruminate, largely, and what's revealed is an artist impulsively self-reflective, whatever side of the camera he's on."
NOW Toronto," June 15, 2016",Norman Wilner," It's a ride through a broad filmography that, while varied in terms of stories told, always finds room for elaborate homages to the cinema that shaped it. "
San Francisco Chronicle," June 15, 2016",Walter V. Addiego," None of this will win over the De Palma haters, but they are clearly outside the intended audience here."
honeycuttshollywood.com," June 14, 2016",Kirk Honeycutt, Brian De Palma has been the most neglected of the '70s Movie Brats in recent critical discourse - and unfairly so.
Vox," June 13, 2016",Todd VanDerWerff, The documentary's commitment to being thorough is admirable. But that urge to be comprehensive is also how De Palma shoots itself in the foot.
New Yorker," June 13, 2016",Anthony Lane," Alluringly smooth and uncluttered, as if taking its cue from one of the tracking shots so beloved by its subject."
Newcity," June 12, 2016",Ray Pride, Pungent retellings project-by-project across the decades of De Palma's career 
