source_name,review_date,critic_name,review_detail
The List," April 11, 2016",Nikki Baughan," Favreau has achieved the near impossible, managing to stay true to both Kipling's tales and Disney's revered 1967 animation, while offering something entirely new."
The Australian," April 8, 2016",Stephen Romei, There are so many wonderful scenes.
The Mercury," April 8, 2016",Tim Martain," Disney's live-action reimagining of The Jungle Book might not be quite as small-child-friendly as the 1967 animated version, but it is still a solid family movie."
The Straits Times (Singapore)," April 7, 2016",John Lui," The art and the story are so intertwined, it would be wrong to sing the virtues of one without praising the other."
Clarín," April 7, 2016",Pablo A. Scholz, The visual display in this film surpasses by much what Kipling had in mind... and Disney too for that matter. [Full review in Spanish]
CineVue," April 7, 2016",Joseph Walsh," An immersive, visually breathtaking family adventure and a welcome addition to Disney's new spate of live-action reimaginings."
The Standard," April 7, 2016",Matt Neal, It's a perfect mesh of subject matter and special effects ... by and large it is a beauty to behold.
Radio Times," April 7, 2016",James Luxford, This is one of those rare moments when a remake can be called a complete success.
Time Out," April 6, 2016",Cath Clarke, Forget about your worries - this is the jungle VIP.
BBC.com," April 13, 2016",Nicholas Barber, There were times during The Jungle Book when I was rooting for the tiger.
National Catholic Register," April 13, 2016",Steven D. Greydanus, The second film in a row from Jon Favreau that makes me want to hug the director.
Slant Magazine," April 13, 2016",Sam C. Mac," Jon Favreau draws heavily on his film's animated predecessor for plot, characterizations, songs, and set pieces, but doesn't know how to fit these familiar elements into his own coherent vision."
Blu-ray.com," April 13, 2016",Brian Orndorf," It's warm in spurts, intermittently humorous, but always eye candy, creating a successful new take on old material."
Consequence of Sound," April 13, 2016",Dominick Mayer," The Jungle Book features some of the more astounding visuals in recent film. For a film that's overwhelmingly digital, there's a remarkably tactile quality to so many of the film's setpieces."
Miami Herald," April 13, 2016",Rene Rodriguez," The better these talking beasts look, the more the film resembles a gorgeous screen saver. You admire The Jungle Book, but you can't lose yourself in it. "
Popular Mechanics," April 13, 2016",Tim Grierson," This remake's technical miracles are so impressive that, oddly enough, they end up being almost negligible, lost in a sea of confused decisions."
Times-Picayune," April 13, 2016",Mike Scott," Favreau has crafted a movie that, contrary to the fears of Disney purists, in no way betrays Uncle Walt's vision. Rather, it honors it -- and even enhances it."
Daily Star," April 13, 2016",Andy Lea, The four-legged stars are more Discovery Channel than Disney Channel but it's the old school art of voice casting that makes this astonishing spectacle really sing.
New York Daily News," April 13, 2016",Stephen Whitty," Disney's latest take on ""The Jungle Book"" has the bare necessities, but not much more."
Groucho Reviews," April 13, 2016",Peter Canavese, Favreau and Marks have obviously put some thought into the film's visual approach and the messages...: the animal kingdom's unexpected threats and opportunities...the work Mowgli puts in to come of age...his casual kindheartedness...
Entertainment Weekly," April 12, 2016",Chris Nashawaty, It's the first talking-animal movie I've seen where CGI seamlessly bridges the uncanny gap between fantasy and reality. It's also one of the few 3-D movies that actually benefits from being in 3-D.
Sensacine," April 12, 2016",Paula Arantzazu Ruiz," Bill Murray's Baloo is the best part of the film. The end credits are amazing, It takes a little while to get things going, but when it starts, the movie flies by itself. [Full review in Spanish]"
We Got This Covered," April 12, 2016",Matt Donato," The Jungle Book is the kind of awe-inspiring experience that turns children into cinephiles, who remember the first time a movie made them feel something more than fleeting entertainment."
Chicago Sun-Times," April 12, 2016",Richard Roeper," Thanks to director Jon Favreau's visionary guidance and some of the most impressive blends of live-action and CGI we've yet seen, The Jungle Book is a beautifully rendered, visually arresting take on Rudyard Kipling's oft-filmed tales."
Comic Book Resources," April 12, 2016",Kristy Puchko," Disney's The Jungle Book, is Favreau's masterpiece."
Metro," April 12, 2016",Matt Prigge," Doesn't try to be anything more than a well-known story retold simply, but we're reminded even a painfully familiar tale can, when done right, still bring the magic."
The Film Stage," April 12, 2016",Brian Roan, Its visuals are so undeniably convincing and intricate that the sheer wonder of how they achieved any of this will be enough to distract -- from the story's missteps and even the film itself.
ScreenCrush," April 12, 2016",Matt Singer, At its best in moments of visual splendor.
MovieWeb," April 12, 2016",Julian Roman, Disney's 'The Jungle Book' is an incredible cinematic experience that will dazzle children and adults.
Parade Magazine," April 14, 2016",Neil Pond," With this outstanding upgrade to yet another childhood classic, Kipling still gets a writing credit, but Disney--as it usually does--again gets the final word."
