source_name,review_date,critic_name,review_detail
Punch Drunk Critics," January 9, 2017",Roxana Hadadi," As much as April and the Extraordinary World veers around a little too often and gets too self-indulgent with its exposition, the film effectively builds a whole other steampunk-inspired world in which viewers can get lost, gas masks and all."
South China Morning Post," June 1, 2016",Edmund Lee, This hand-drawn animated feature by first-time directors Christian Desmares and Franck Ekinci is a steampunk marvel that will enchant both kids and adults with its high-concept premise.
The Straits Times (Singapore)," May 31, 2016",Yip Wai Yee," Given how sumptuous the details are in every scene, the alternate universe here, even as far from reality as it is, is conceivably real."
The Young Folks," May 22, 2016",Gary Shannon," ... while sometimes bits of comedy are distractingly nonsensical, the film preserves scenes of illustrated beauty, smart contemplation and clever humor."
Epoch Times," May 18, 2016",Joe Bendel," Even in today's world of banal CGI wonders, it would be a tall order to render the scope and detail of the Franklins' ominous steampunk world in a live-action tent-pole."
LarsenOnFilm," May 8, 2016",Josh Larsen," Soot and steam seep into every frame, so that you can almost sense the picture wheezing."
"Deseret News, Salt Lake City"," May 6, 2016",Josh Terry, April is a creative and compelling film set in an alternate historic reality that imagines different results from the Industrial Revolution. It's essentially a steampunk fantasy with subtitles.
Mark Reviews Movies," May 6, 2016",Mark Dujsik, The film seems constantly ready to collapse under the weight of its absurdity ... but it never does.
Salt Lake Tribune," May 5, 2016",Sean P. Means," There's enough imagination in the French-made animated adventure April and the Extraordinary World to spread across 10 movies, and enough visual wonder to match its tricky plot."
Chicago Reader," May 5, 2016",Dmitry Samarov," Should appeal to precocious children... Adults may find it as derivative and simplistic as the steampunk aesthetic to which it's indebted, but for a gateway to more resonant cinema and literature, you could do worse."
Newcity," May 4, 2016",Ray Pride," Smart, clever, ceaselessly dazzling steampunk, drawn entirely from French visual sources, about a family of scientists obsessed with longevity from the pen of artist Jacques Tardi, set in an alternate Paris, where the Industrial Revolution never happened."
Tucson Weekly," April 25, 2016",Bob Grimm," April and the Extraordinary World is really, really weird. It's also really, really great,"
Looking Closer," April 23, 2016",Jeffrey Overstreet," By the time the film finally brings the heroes face to face with the villains, these two hours are beginning to feel more like three."
"Capital Times (Madison, WI)"," April 22, 2016",Rob Thomas," ""April"" is an imaginative, gorgeously animated sci-fi steampunk adventure with an endless number of cool things to look at and to think about."
ReviewExpress.com," April 22, 2016",Jean Lowerison, A fine animated film
Philadelphia Inquirer," April 15, 2016",Tirdad Derakhshani, April and the Extraordinary World will have your imagination doing somersaults and cartwheels.
Arizona Republic," April 14, 2016",Bill Goodykoontz," ""April and the Extraordinary World"" is a visual delight, an animated French steampunk adventure that is smart, exciting and wonderfully weird."
Blu-ray.com," April 13, 2016",Brian Orndorf," It's an oddball animated picture, but often wonderfully so."
The Patriot Ledger," April 9, 2016",Al Alexander," It cavalierly toys with the history of the mechanized world, making you thankful we have luxuries like cars and electricity. But it also makes an equally solid argument that it's those luxuries we depend on that are choking the life out of our planet. "
Washington Post," April 7, 2016",Stephanie Merry," In truth, the story is practically beside the point with all the spectacular visuals."
AV Club," March 22, 2016",Noel Murray, The movie's Jules Verne-esque contraptions are fun to look at -- and will make steampunk fans drool with delight -- but by no means do Tardi and company want viewers to feel nostalgic for this alternate past.
Village Voice," March 22, 2016",Sherilyn Connelly," An all-too-rare example of steampunk done right - which also acknowledges that, however pretty such industrial imagery might seem from afar, actually living in such a world would be kind of horrible."
Slant Magazine," March 21, 2016",Oleg Ivanov, It provocatively has audiences see the world's current ecological concerns in a different and unexpected light.
Variety," March 17, 2016",Peter Debruge," Within a thrilling tale that respects the intelligence of its audience, attentive parents will find the antidote to their fear that watching cartoons might rot your brain."
