source_name,review_date,critic_name,review_detail
Film Ireland Magazine," January 3, 2017",Ronan Daly," Building on character development and plot points from the first two films, this story manages to feel both like a complete tale in and of itself and like the successful continuation."
Salt Lake Tribune," December 31, 2016",Sean P. Means, Directors Jennifer Yuh Nelson and Alessandro Carloni give Po's adventures the same gorgeously stylized look as in the previous films and find good humor in Po's unexpected return to his fellow pandas.
MovieCrypt.com," December 15, 2016",Kevin A. Ranson," While the newness of the original film is long gone, this third installment is not just the culmination of the series but the best of them... and the perfect place to stop."
Chesapeake Family Magazine," August 2, 2016",Roxana Hadadi, Kung Fu Panda 3 revisits the same themes as its predecessors ... But that familiarity doesn't lessen the film's emotional impact and solid laughs.
"The Coast (Halifax, Nova Scotia)"," July 11, 2016",Tara Thorne, It's hard to be cynical about Kung Fu Panda 3-it's part of a series that is so good-hearted and fun and it clocks in at a loose 90.
Antagony & Ecstasy," July 10, 2016",Tim Brayton," A moving character study and an exciting action-adventure-comedy, and it is also desperately gorgeous."
The Straits Times (Singapore)," May 24, 2016",Yip Wai Yee," From the colourful, psychedelic realm of the spirits to the playground-like panda kingdom, the art here is stylish and arresting."
Epoch Times," May 12, 2016",Mark Jackson," A cynical cherry-picked mish-mash of China's spiritual treasures for Hollywood's bottom line, rather than the sincere children's bedtime story it should be? It's still good."
Cinema Sight," April 6, 2016",Wesley Lovell," One of the most pleasing franchises in animation, Po and his stalwart companions mix Western and Eastern tropes together to create a pleasing amalgam with some of the industry's best animation, both traditional and modern."
South China Morning Post," April 6, 2016",Richard James Havis, A plot as patchy as a panda doesn't mar the enjoyment of this third look at the animated high-kicking bear and his fighting animal friends. The animation ... is super-smooth.
FILMINK (Australia)," April 1, 2016",Erin Free," Kung Fu Panda 3 is no game-changer, but it's a solid entry into a consistently fun and funny animated franchise."
Independent (UK)," April 1, 2016",Geoffrey Macnab," It may serve up exactly the same mix of mayhem, noodles and dumplings as the first two films in the series, but Kung Fu Panda 3 is still energetic and wildly entertaining fare. "
Contactmusic.com," April 1, 2016",Rich Cline," Both the writing and the animation are especially strong this time around, drawing in bigger themes while still keeping things both thrilling and very silly."
The Sunday Age," March 30, 2016",Craig Mathieson, Kung Fu Panda is that rare film that actually benefits from the 3D process.
Rip It Up," March 29, 2016",David 'Mad Dog' Bradley," This nearly-five-years-later follow-up to the second effort's again flat and strained, although the animation is even snazzier."
Cairo360," March 28, 2016",Marija Loncarevic, The third instalment in the beloved Kung Fu Panda franchise is as amusing and charming as ever.
The Age (Australia)," March 24, 2016",Philippa Hawker," There is plenty in Kung Fu Panda 3 that echoes the first film and the sequel, but it's not tired recycling. Instead, the movie deftly reinforces and extends what has gone before."
New Zealand Herald," March 24, 2016",Francesca Rudkin," It's smart, colourful, easy fun for the whole family."
Flicks.co.nz," March 23, 2016",Liam Maguren," We're treated to less of the same, and while that is disappointing, it doesn't deny this trilogy from being one of the best franchises to come out of DreamWorks Animation Studios."
Herald Sun (Australia)," March 23, 2016",Leigh Paatsch," If the little-'uns aren't in the mood for a repeat viewing of the far-superior Zootopia, then this just about does the trick."
USA Today," January 27, 2016",Brian Truitt," While it lacks the wonder and nuance of earlier Pandas, there are enough new faces and wowing, Asian-influenced style to also keep parents amused for an hour and a half."
CinemaBlend.com," January 26, 2016",Eric Eisenberg, A vividly entertaining adventure story with beautiful animation and a solid way to continue the arc of the titular protagonist. 
Film School Rejects," January 26, 2016",Christopher Campbell," ""The best thing Kate Hudson has done in 16 years."""
Village Voice," January 26, 2016",Alan Scherstuhl," In studio movies, especially for children, all it takes to be great at something difficult is a good heart and a training montage. Go on, America, keep yelling at Common Core while parking your kids in front of this stuff."
JoBlo's Movie Emporium," January 25, 2016",JimmyO, This is a bright and shining example of how to do a sequel right.
Slant Magazine," January 25, 2016",Sam C. Mac," It finds a benefit in its genre affiliation, evenly distributing its action in quick bursts of fluidly animated fight choreography."
Common Sense Media," January 22, 2016",Claudia Puig," Upbeat but intense threequel looks at identity, family ties."
Forbes," January 18, 2016",Scott Mendelson," While visually gorgeous and generally entertaining, this third installment of the DreamWorks Animation franchise is a comedown from the first two superb entries."
Hollywood Reporter," January 17, 2016",Michael Rechtshaffen, Refuses to panda to the lowest common denominator.
Variety," January 17, 2016",Justin Chang, A winning lightness of touch prevails in this delightful continuation of the durable DreamWorks franchise.
Nerdist," January 17, 2016",Luke Y. Thompson," He's just a Po boy, from a Po family, who must spare him his life from that monstrosity."
Screen International," January 17, 2016",Tim Grierson," Fitfully amusing and certainly heartfelt, this latest chapter in the likable animated saga will work best with younger viewers, but its life lessons and emotional beats feel slathered on rather than deftly woven into the storyline."
TheWrap," January 16, 2016",Alonso Duralde," Between the witty screenplay, delightful visuals that jump back and forth between 3-D and 2-D animation, and a consistently game voice cast, this third serving never feels like a dull retread or a lazy cash grab."
