source_name,review_date,critic_name,review_detail
Sunday Independent (Ireland)," February 6, 2017",Aine O'Connor," Important, effective and beautifully told."
Irish Independent," February 6, 2017",Paul Whitington," Worthiness, then, is not in short supply in Loving, and the solid performances of Negga and Joel Edgerton put a human face on some very ugly legislation."
Sunday Times (UK)," February 6, 2017",Camilla Long, A moving tale of a mixed-race marriage in 1950s America.
Daily Express (UK)," February 5, 2017",Nicholas Barber, Loving glows with the kind of decency and humanity that we badly need to be reminded of at the moment.
Observer (UK)," February 5, 2017",Wendy Ide," Nichols's understated approach to the story, devoid of dramatic grandstanding, chimes with the dignity of the Lovings who ""won't bother anyone"" if only they can be left alone to live their lives."
Cinegarage," February 3, 2017",Erick Estrada," Loving is, in form and substance, a silent cry for the simple right to be. That, in these days, in the next years, is and will be a demand that although quiet will be present at full volume. [Full review in Spanish]"
Newsweek," February 3, 2017",Tom Shone, What is radical about Nichols's film is the extent to which he focuses not on the legal fight and ensuing national attention but on the Lovings themselves.
RTÉ (Ireland)," February 3, 2017",Harry Guerin, A film that really gets under the skin -- in every sense.
Contactmusic.com," February 3, 2017",Rich Cline," The film is written and directed with a sharp attention to detail, which means including some facts that are rather messy"
iNews.co.uk," February 3, 2017",Matthew Turner, What could have been a bog-standard feel-good biopic is transformed into a thoughtfully observed and quietly affecting drama.
Sky Movies," February 2, 2017",Elliott Noble," Driven by two performances of exceptional nuance and restraint, this is a story that inspires us to individually live and let live and collectively do the right thing."
Radio Times," February 2, 2017",Alan Jones," A gripping, inspirational biopic with simplicity, tact and intelligence."
Daily Express (UK)," February 2, 2017",Allan Hunter," Both Joel Edgerton and Best Actress Oscar nominee Ruth Negga create convincing, deeply felt portraits of ordinary people swept away by extraordinary events."
En Filme," February 2, 2017",Luis Fernando Galván, A story that has been seen before but the neat and incredibly specific script makes this film an intimate and genuine statement . [Full review in Spanish]
Financial Times," February 2, 2017",Nigel Andrews, If Jeff Nichols' Loving were any more piously dull it could bore for the Olympics.
Empire Magazine," February 2, 2017",Dan Jolin, Loving soars thanks to its narrative approach and career-best performances from Negga and Edgerton.
Scotsman," February 2, 2017",Alistair Harkness," Stripped of any melodrama, the film does a good job of laying out the particulars of the case and the significance it had in terms of challenging the US constitutional ban on interracial marriage."
Cine Vértigo," February 1, 2017",Ernesto Diezmartinez, A poignant love story that may well have turned into an emotional and thrilling liberal court drama. Nichols has made another valuable film. [Full review in Spanish]
Independent (UK)," February 1, 2017",Geoffrey Macnab, Loving is a quiet film but a powerful and uplifting one -- an intimate domestic drama in which the protagonists themselves hardly seem to notice their own historical roles.
Blog de cine," February 1, 2017",Alberto Abuín," A film based on a real fact that avoids conventions and that highlights the importance of the family, the unshakable bonds of love in its broadest meaning. [Full review in Spanish]"
Irish Times," May 16, 2016",Donald Clarke," What lingers most is the vista of Ruth Negga's strong, furrowed, defiant face."
Slant Magazine," May 16, 2016",Sam C. Mac," It finds little grooves of humanity to explore in its characters, and in its milieu, in between the expected plot beats."
Hollywood Reporter," May 16, 2016",Todd McCarthy, A socially conscious drama that admirably underplays its importance.
Guardian," May 16, 2016",Peter Bradshaw, It is an important subject and a valuable movie.
Variety," May 16, 2016",Peter Debruge," Powerful, understated performances from Joel Edgerton and Ruth Negga carry director Jeff Nichols' oh-so-sensitive portrait of a mixed-race marriage forbidden in 1958 Virginia."
The Film Stage," May 16, 2016",Rory O'Connor," This heartwarming and wonderfully refined film might not do a whole lot of things we haven't seen before in the civil rights era picture, but it does the familiar stuff with enormous care and control."
AV Club," May 20, 2016",Mike D'Angelo," Loving just asks, over and over, ""Isn't it wrong that two people who love each other this much are being persecuted for no reason?"" Indeed it is, but I knew that before the movie started and had been hoping, quixotically, for something more."
Time Out," May 20, 2016",Dave Calhoun," A sensible, compassionate but nigglingly uncomplicated drama."
BBC.com," May 19, 2016",Nicholas Barber," If Loving can be accused of being too muted, its central performances speak volumes."
Sight and Sound," May 19, 2016",Isabel Stevens, Loving's restrained drama has a strong emotional undercurrent carried by the tender bond Nichols shows between the couple.
Times (UK)," May 19, 2016",Kate Muir," Ruth Negga slips into gentle Southern mode to play Mildred, opposite a bullock-like, stubborn Joel Edgerton as Richard in this film by Jeff Nichols."
Daily Mail (UK)," May 19, 2016",Brian Viner," Edgerton and Negga are both superb, giving heartrendingly fine performances as two people bewildered by the events that have engulfed them."
TIME Magazine," May 19, 2016",Stephanie Zacharek," Nichols ... tells the Lovings' story in a way that feels immediate and modern, and not just like a history lesson."
HeyUGuys," May 18, 2016",Jo-Anne Titmarsh," Jeff Nichols is on a roll this year with two releases so far, Midnight Special and now Loving. Will quantity be at the cost of quality? Resoundingly not."
La Jornada," May 17, 2016",Leonardo Garcia Tsao," A noble subject and an impecable execution, but zero thrills. [Full review in Spanish]"
Vanity Fair," May 17, 2016",Richard Lawson," I left feeling ambivalent. There's much to admire in Nichols's film, but there's not enough to embrace. It's respectable, but it could have been ravishing."
Village Voice," May 17, 2016",Bilge Ebiri," Nichols stays true to his sensibility, avoiding the melodrama or the back-patting triumphalism you expect from such movies. Loving downplays the historical significance of its subject in favor of a quiet humanity."
Otroscines.com," May 17, 2016",Diego Lerer," Nichols avoids falling into melodrama or ""oscar bait"" territory, keeping a low tone without over doing it. This makes the film more humane and real. [Full review in Spanish]"
El Mundo (Spain)," May 17, 2016",Luis Martínez, Loving is basically an exercise in subtelty. [Full review in Spanish]
El Pais (Spain)," May 17, 2016",Carlos Boyero, Loving confirms the director's habilities as a trustworthy narrator. [Full review in Spanish]
Cinema Movil," May 17, 2016",Oscar Uriel, The message Nichols and the cast of the film portray is so strong and efficient it will stay with you long after watching the film. [Full review in Spanish]
Otroscines.com," May 17, 2016",Diego Battle," Nichols display a lot of the psychological, visual and narrative intensity of his previous works with the support of a remarkable cast. [Full review in Spanish]"
The List," May 17, 2016",Katherine McLaughlin, Nichols approaches this momentous moment in history and true story of injustice with his usual understated assurance.
Daily Telegraph (UK)," May 17, 2016",Robbie Collin, The film's determination not to overcook any single scene means the tears it eventually draws feel honestly come by - and the wind-rustled beauty of Adam Stone's cinematography make us realise this world shouldn't be simply written off as a bad job.
We Got This Covered," May 16, 2016",Josh Cabrita, Loving has Jeff Nichols' trademarks but it lacks the nuanced storytelling that made his previous films so successful.
CineVue," May 16, 2016",John Bleasdale, Loving should confirm Nichols' reputation as a mature filmmaker of great tact and intelligence.
AwardsCircuit.com," October 26, 2016",Clayton Davis, The soul of the film is in the astounding performances of Joel Edgerton and Ruth Negga. 
Compuserve," October 17, 2016",Harvey S. Karten," A sedate, but intellectually arresting drama based on the real case of a couple who challenged laws against interracial marriage."
AwardsCircuit.com," September 28, 2016",Shane Slater," One of the more authentic depictions of true, eternal love ever put to screen."
Maclean's Magazine," September 19, 2016",Brian D. Johnson, A sublimely understated civil rights drama.
Flavorwire," September 18, 2016",Jason Bailey," Nichols knows that the key to his film is to just tell their story, simply and directly, and let the other stuff take care of itself."
ScreenCrush," September 16, 2016",Erin Whitney," A film that slowly sneaks up on you, imbued with such quiet emotions that you don't feel its full weight and beauty until it ends."
Den of Geek," September 16, 2016",Edward Douglas, It feel more like you're watching real lives and events rather than a big bombastic movie with lots of overwrought drama.
The Verge," September 12, 2016",Tasha Robinson," It's a patient film, and it requires some patience from its audience. But its rewards are gentle and winning, and for once, a cinematic history lesson that doesn't feel artificial and processed in every pore."
CraveOnline," September 11, 2016",William Bibbiani," A down to earth ode to love itself, albeit in a rather mild form, sweetly acted by two exceptional actors."
NOW Toronto," September 9, 2016",Paul Ennis, Loving has an appealing immediacy that is undercut by its reverential tone. But its message resonates.
RogerEbert.com," September 9, 2016",Brian Tallerico," Nichols' approach is careful, reserved and deeply considerate of the human story he's trying to tell."
Consequence of Sound," September 9, 2016",Sarah Kurchak," Instead of simple heroes or avatars for big ideas about equality, Loving delivers complex, imperfect human beings who are struggling to find their place in a far from perfect world. "
JoBlo's Movie Emporium," September 9, 2016",Chris Bumbray," A very strong effort for Nichols, who's truly proving himself to be one of the great American directors."
Collider," September 8, 2016",Adam Chitwood," Nichols' attention to detail, willingness to trust his audience, and desire to tackle multiple social themes of the time at once result in a rich, rewarding viewing experience."
Cinema em Cena," June 21, 2016",Pablo Villaça, Its two central performances will certainly be remembered during the next awards season. [Full review in Portuguese.]
ColeSmithey.com," June 1, 2016",Cole Smithey," [CANNES 2016] Jeff Nichols's ""Loving"" is an anodyne telling of the interracial Virginia couple (Richard and Mildred Loving) whose 1967 Supreme Court case forever altered regional laws allowing such couple's rights to marry. "
ScreenAnarchy," May 26, 2016",Jason Gorber," There may be no film more important this year, no performances more moving, no film more beautifully and poetically directed than Loving."
RogerEbert.com," May 23, 2016",Barbara Scharres," It's a well-crafted historical drama that pays minute attention to recreating the period and the couple's personal history, with much dialogue and legal particulars based on documented fact."
London Evening Standard," May 22, 2016",David Sexton," Nichols tells this shocking story straight, slowly, spaciously, beautifully, with the calm integrity with which he approaches all his film-making."
BuzzFeed News," May 20, 2016",Alison Willmore," It doesn't trumpet its importance obnoxiously, and it's packed with performances of quiet power, with Negga as the breakout."
Rolling Stone," November 3, 2016",Peter Travers, The stabbing simplicity of Negga's acting is breathtaking. Jeff Nichols has given us a quietly devastating film that resonates for the here and now and marches to the cadences of history and the heart.
New York Times," November 3, 2016",Manohla Dargis," Mr. Nichols's most distinct aesthetic choice is the movie's quietness and the hush that envelops its first scene and that eventually defines the Lovings as much as their accents, gestures, manners and battles."
America Magazine," November 3, 2016",John Anderson," Once the outrage and indignities of their arrest and jailing have come to pass, the film spends a lot of time on their daily lives, and the portrayal of their day-to-day existence is not as compelling."
Wall Street Journal," November 3, 2016",Joe Morgenstern," Loving honors its subject, its audience and the movie medium."
TheWrap," November 3, 2016",Alonso Duralde, A few fireworks wouldn't have undone the movie's quiet humanity.
NPR," November 3, 2016",Ella Taylor," Loving is modest, quiet, and deep. Like all Nichols' work with his long-time cinematographer, Adam Stone, the film highlights the lush beauty of the rural American South."
Slate," November 3, 2016",Dana Stevens," One thing that Loving gets right in a way that few civil rights dramas do: It insists on racial discrimination as a systemic problem, not merely an interpersonal one."
Entertainment Weekly," November 3, 2016",Chris Nashawaty, Nichols' marriage-equality drama is beautifully observed and quietly restrained. Maybe a bit too restrained.
AV Club," November 3, 2016",A.A. Dowd," Nichols doesn't much embellish this true story, instead simply observing two lovers standing their ground on what will slowly become the right side of history."
