DC Real Property ID,Address of Record,Owner of Record,Ward,Property Name,Address 1,City,State,Postal Code,Primary Property Type,Year Built, Reported Building Gross Floor Area (ft²) ,Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),ENERGY STAR Score,Total GHG Emissions (MtCO2e),Electricity Use - Grid Purchase and Onsite (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Other Fuel Use (kBTU),Water Use (kgal),X-Coordinate (ESRI),Y-Coordinate (ESRI)
08000029,0300 M ST SE,FEDERAL CENTER LP,6,300 M Street SE,300 M Street SE,Washington,DC,20003,Office,2001," 303,710 ",59.4,186.5,77,2284.6,5287480,,,,9313.4,399886.6595,134328.8888
10452860,1391 PENNSYLVANIA AVE SE,JENKINS ROW CONDOMINIUM,6,Jenkins Row Condominium,1391 Pennsylvania Ave SE,Washington,DC,20003,Multifamily Housing,2007," 220,808 ",13,Not Available,Not Available,362.6,839089.9,,,,13105.1,401060.0328,134652.9274
11730820,3000 K ST NW Unit: 500,RP MRP WASHINGTON HARBOUR LLC,2,Washington Harbour,3000-3050 K Street,Washington,DC,20007,Office,1985," 666,283 ",96.7,319.6,49,9036.26,18589104.4,10262.1,,,28634.7,394785.7801,137098.639
11880118,1010 - 1014 WISCONSIN AV NW,WATERFRONT CENTER LP,2,Waterfront,1010-1014 Wisconsin Ave NW,Washington,DC,20007,Office,1975," 214,141 ",79.4,246.4,59,2131,4896114,2928,,,,394500.8892,137238.707
11900078,1000 THOMAS JEFFERSON ST NW,1000 JEFFERSON ASSOCIATES,2,1000 Thomas Jefferson Street NW,1000 Thomas Jefferson Street NW,Washington,DC,20007,Office,1980," 154,807 ",98,303.6,45,1921,4445803,,,,3690,394741.2716,137222.6401
11900842,1050 THOMAS JEFFERSON ST NW,KIRSTEIN GERWIRZ AND ABEL,2,1050 Thomas Jefferson Street NW,1050 Thomas Jefferson Street NW,Washington,DC,20007,Office,1981," 206,542 ",81.4,255.5,60,2128.4,4925920,,,,5535.1,394757.8253,137294.1382
11910071,1055 THOMAS JEFFERSON ST NW,THE FOUNDRY GEORGETOWN LLC,2,Foundry Building,1055 Thomas Jefferson St NW,Washington,DC,20007,Office,1973," 226,537 ",60.1,188.7,75,1724.4,3990909,,,,3367.8,394828.2769,137334.0932
11950030,2800 PENNSYLVANIA AV NW,SHC WASHINGTON LLC,2,"Four Seasons Washington, DC",2800 Pennsylvania Avenue NW,Washington,DC,20007,Hotel,1976," 459,534 ",126,281.6,22,5431.1,9392022,258679.472,,,26721.3,395010.8457,137399.0622
12220062,3515 PROSPECT ST NW,GEORGETOWN UNIVERSITY,2,Preclinical Science & Basic Science Building (Medical Center),"3900 Reservoir Road, N.W.",Washington,DC,20057,Medical Office,1972," 274,755 ",208.6,459.5,Not Available,6018.86,6995649,,33408120,,4075,393958.668,137607.4835
12220062,3515 PROSPECT ST NW,GEORGETOWN UNIVERSITY,2,New Research Building (Medical Center),"3800 Reservoir Road, N.W.",Washington,DC,20007,Medical Office,1972," 194,942 ",524.4,1044.7,1,10137.81,9677127,,69160062,,4492,393958.668,137607.4835
12220062,3515 PROSPECT ST NW,GEORGETOWN UNIVERSITY,2,Med-Dent (Medical Center),"3900 Reservoir Road, NW",Washington,DC,20057,Office,1930," 150,161 ",288.2,556,Not Available,4213.9,3734773.9,,30504312,,4202,393958.668,137607.4835
1264E2396,2500 Q ST NW,GATEWAY GEORGETOWN CONDO,2,Gateway Georgetown,2500 Q St NW,Washington,DC,20007,Multifamily Housing,1941," 244,000 ",70.2,127.2,Not Available,1474.8,1868345.2,107533.2,,,10701.4,395415.713,137990.991
12991006,2233 WISCONSIN AV NW,FRANK H HENNEBURG,3,Georgetown Plaza (DDOE),2233 Wisconsin Avenue NW,Washington,DC,20007,Office,1964," 158,133 ",52.2,152.1,89,1087.35,2148562.5,9254.9,,,2387.9,393880.1676,139127.5192
12991026,2121 WISCONSIN AV NW,JBG 2121 WISCONSIN LLC,3,"JBG/2121 Wisconsin, L.L.C.","2121 Wisconsin Avenue, NW",Washington,DC,20007,Office,1960," 183,000 ",Not Available,Not Available,Not Available,,,,,,1824.8,393966.6675,138952.1452
12991026,2121 WISCONSIN AV NW,JBG 2121 WISCONSIN LLC,3,"JBG/2121 Wisconsin, L.L.C.",2121 Wisconsin Avenue,Washington,DC,20007,Office,1905," 183,000 ",40,136.3,91,1003.44,2035635,3737,,,1962.3,393966.6675,138952.1452
12991027,2115 WISCONSIN AV NW,JBG 2115 WISCONSIN LLC,3,"JBG/2115 Wisconsin, L.L.C.","2115 Wisconsin Avenue, NW",Washington,DC,20007,Office,1988," 208,052 ",Not Available,Not Available,Not Available,,,,,,3258.9,394018.9558,138960.9379
12991027,2115 WISCONSIN AV NW,JBG 2115 WISCONSIN LLC,3,"JBG/2115 Wisconsin, L.L.C.",2115 Wisconsin Avenue,Washington,DC,20007,Office,1905," 208,052 ",71.4,238.6,67,2104.93,4356509,,,,,394018.9558,138960.9379
12991059,2111 WISCONSIN AVE NW,THE OBSERVATORY OF GEORGETOWN,3,The Observatory of Georgetown,2111 Wisconsin Ave NW,Washington,DC,20007,Multifamily Housing,1988," 157,749 ",36.4,92.5,Not Available,628.45,1070565,20900.3,,,9955.1,394032.48531,138896.42675
13000532,2500 WISCONSIN AV NW,CARILLON HOUSE LP,3,Carillon House,"2500 Wisconsin Avenue, NW",Washington,DC,20007,Multifamily Housing,1954," 330,646 ",67,130.2,Not Available,1843.3,2660344,130734.234,,,16235.3,393578.2614,139452.3552
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,Southwest Quadrangle,"37th and O St., NW",Washington,DC,20007,Residence Hall/Dormitory,2003," 987,943 ",26.3,81,89,3493.02,6756021,,2884704,,21349.5,393479.0971,137905.9967
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,Leavey Center,"3800 Reservoir Road, N.W.",Washington,DC,20057,Hotel,1988," 260,566 ",193.2,401.4,Not Available,5117.48,5355960.6,,32027856,,16137,393479.0971,137905.9967
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,Intercultural Center,"37th and O St., NW",Washington,DC,20007,Office,1983," 224,578 ",83.6,206.1,Not Available,2139.2,3071563.2,,8293524,,4179,393479.0971,137905.9967
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,Village C,"37th and O St., NW",Washington,DC,20007,Residence Hall/Dormitory,1986," 210,032 ",69.2,149.7,72,1507.65,1687931,,8763960,,14285,393479.0971,137905.9967
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,Lauinger Library,"37th and O St., NW",Washington,DC,20007,Library,1970," 203,238 ",162.3,322.2,Not Available,3311.74,3318440.2,,21626922,,3013,393479.0971,137905.9967
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,Rafik Hariri,"37th and O St., NW",Washington,DC,20007,Office,2009," 199,372 ",81.8,187.6,Not Available,1760.59,2212790,,8755602,,1050,393479.0971,137905.9967
14990806,4801 MASSACHUSETTS AV NW,AMERICAN UNIVERSITY,3,Washington College of Law,4801 Massachusetts Ave. NW,Washington,DC,20016,College/University (Campus-Level),1984," 195,000 ",75.2,251.2,Not Available,2076.67,4298020.4,,,,3953.4,391769.0079,141920.2877
16000001,4400 MASSACHUSETTS AV NW,AMERICAN UNIVERSITY,3,American University Main Campus,4400 Massachusetts Ave NW,Washington,DC,20016,Other,1896," 1,846,932 ",108,224.1,,20015.25,31244948,927908,,,74624,392242.8149,141005.7349
16012423,4201 CATHEDRAL AVE NW,THE TOWERS CONDO,3,The Towers Condominium,4201 Cathedral Avenue NW,Washington,DC,20016,Multifamily Housing,1958," 987,343 ",47.2,83.4,Not Available,4131.9,5485612,278463,,,27011.4,392706.848,140304.506
16012461,4100 MASSACHUSETTS AVENUE NW,CondoMain 2461,3,4100 Massachusetts Avenue NW,4100 Massachusetts Avenue NW,Washington,DC,20016,Multifamily Housing,1900," 298,345 ",40.8,95.3,Not Available,1233.2,1943178,55323,,,,392857.608,140572.091
16590001,5225 WISCONSIN AV NW,C L NORRIS TRUSTEES & J S NORRIS TRUSTEES,3,5225 Wisconsin Ave,5225 Wisconsin Ave NW,Washington,DC,20015,Office,1971," 193,158 ",50.9,164.6,92,1244.7,2880668,,,,,392707.991,143388.704
16610813,5335 WISCONSIN AV NW,CLPF-CC PAVILION LP,3,16610813_Chevy Chase Pavilion,"5335 Wisconsin Avenue, NW",Washington,DC,22015,Office,1990," 304,549 ",81.2,248.1,78,3695.82,7244504,,,,16755.5,392661.3513,143619.7242
16610817,5301 WISCONSIN AV NW,5301 WISCONSIN AVENUE ASSOCIATES,3,Chevy Chase Plaza,"5301 Wisconsin Avenue, NW",Washington,DC,20015,Office,1989," 171,202 ",91.9,307.1,48,2229.07,4613439.2,,,,5103.4,392684.2478,143496.3147
16633127,4301 MILITARY RD NW,CHASE POINT CONDO,3,Chase Point Condominium,4301 Military Road NW,Washington,DC,20015,Multifamily Housing,2006," 185,670 ",Not Available,Not Available,Not Available,,,,,,1599,392654.11815,143699.6623
16992425,4200 CATHEDRAL AVE NW,4200 CATHEDRAL CONDO,3,4200 Cathedral Avenue,"4200 Cathedral Avenue, NW",Washington,DC,20016,Multifamily Housing,1956," 166,906 ",Not Available,Not Available,Not Available,,,,,,6501.1,392784.157,140163.437
17092430,4000 TUNLAW RD NW,4000 TUNLAW RD CONDO,3,4000 Tunlaw Condo,"4000 Tunlaw Rd, NW",Washington,DC,20007,Multifamily Housing,1960," 227,228 ",70.3,132.7,Not Available,1372.52,1730861.1,100793.9,,,,392977.497,139696.304
17170804,4201 MASSACHUSETTS AV,BERKSHIRE APARTMENTS LLC,3,The Berkshire,4201 Massachusetts Ave NW,Washington,DC,20016,Multifamily Housing,1952," 706,306 ",Not Available,Not Available,Not Available,,,,,,,392905.9264,140880.8079
17171064,4301 MASSACHUSETTS AVE NW,THE GREENBRIER CONDOMINIUM,3,Greenbriar Condominium,"4301 Massachusetts Avenue, NW",Washington,DC,20016,Multifamily Housing,1952," 211,159 ",57.9,117.5,Not Available,1067.77,1382202,75175.3,,,8723.8,392760.641,140959.193
17303074,4101 ALBEMARLE ST NW,CITYLINE AT TENLEY RES CONDO,3,Cityline at Tenley,4101 Albermarle ST NW,Washington,DC,20016,Multifamily Housing,2003," 323,671 ",Not Available,Not Available,Not Available,,1447959,,,,,392972.5175,142248.7622
"17981066, 18221066, 18231066",0191 39TH ST NW,MCLEAN GARDENS,3,McLean Gardens,0191 39th St NW,Washington,DC,20016,Multifamily Housing,1980," 955,548 ",17.4,42.4,Not Available,1820.1,3105432,60086,,,26534.1,393152.232,140747.461
18020024,4000 MASSACHUSETTS AV NW,EDWARD H KAPLAN,3,4000 Mass,4000 Massachusetts Avenue,Washington,DC,20016,Multifamily Housing,1961," 569,467 ",59.8,119.4,Not Available,3080.04,4208652.6,196720.1,,,24323.8,393165.118,140422.9713
18020823,4101 CATHEDRAL AV NW,2058 PARTNERSHIP LP,3,"Cathedral Avenue Cooperative, Inc.","4101 Cathedral AVenue, NW",Washington,DC,20016,Multifamily Housing,1961," 195,417 ",139.3,212.3,Not Available,1953.95,1676993,214978,,,,393090.2709,140292.2581
18050802,3900 WATSON PL NW,3900 WATSON PLACE NW INC,3,3900 Watson Place,"3900 Watson Place, NW",Washington,DC,20016,Multifamily Housing,1960," 262,800 ",48.8,95.9,Not Available,1159.49,1580919.4,74369.1,,,5336.7,393223.9321,140026.377
18051067,4100 CATHEDRAL AVE NW,CATHEDRAL WEST CONDOMINIUM,3,Cathedral West Condominium,4100 Cathedral Ave. N.W.,Washington,DC,20016,Multifamily Housing,1965," 230,360 ",64.2,116.2,Not Available,1157.6,1486183,97105.186,,,4672,393004.513,140154.665
18051068,2801 NEW MEXICO AVE,THE COLONNADE CONDOMINIUM,3,The Colonnade Condominium,"2801 N Mexico Ave, NW",Washington,DC,20007,Multifamily Housing,1964," 425,000 ",87.2,181.1,Not Available,3311.13,4443953.1,218787.4,,,13664,392956.081,139832.44
1807-0043*,,,,3903 Davis Place NW,3903 Davis Place NW,Washington,DC,20007,Multifamily Housing,1900," 157,558 ",72.8,124.6,,909.09,989414,81022,,,4828.7,Not Available,Not Available
"18191658, 18211657",3401 - 3420 38TH ST NW,VILLAGE TOWER @ MCLEAN GARDENS,3,VILLAGE TOWER @ MCLEAN GARDENS,3401 -3420 38TH ST NW,Washington,DC,20016,Multifamily Housing,1990," 216,341 ",35.9,77.9,Not Available,712.2,1196443,36776.699,,,8823.3,393582.10301,140853.27275
18230009,4000 WISCONSIN AV NW,JAN K EVANS KING TRUSTEE,3,4000 Wisconsin Avenue,"4000 Wisconsin Avenue, NW",Washington,DC,20016,Office,1987," 481,193 ",142.1,474.6,48,9682.86,20040334.3,,,,,393293.3589,141534.8415
18250816,3901 - 3827 WISCONSIN AV NW,SIDWELL FRIENDS SCHOOL,3,SFS - Middle School,3825 Wisconsin Ave.,Washington,DC,20016,K-12 School,2003," 205,586 ",60,133.2,68,1158.2,2014551,54640.011,,,1542.1,393585.5868,141315.4885
18250818,3720 UPTON ST NW,WASHINGTON HOME INCURABLES & UNITED STATES OF AMERICA,3,The Washington Home and Community Hospices,3720 Upton St NW,Washington,DC,20016,Senior Care Community,1988," 157,000 ",372.4,571.5,Not Available,4146.1,4156313,442827.298,,,13269.1,393607.5986,141531.7971
18573004,5410 CONNECTICUT AVE NW,THE GARFIELD CONDO,3,The Garfield,"5410 Connecticut Avenue, NW",Washington,DC,20015,Multifamily Housing,1957," 166,415 ",55.1,107.3,Not Available,818.93,1096360.7,54360.5,,,5635.5,393518.672,143751.955
18690825,5415 CONNECTICUT AV NW,WRIT KENMORE LLC,3,The Kenmore,"5415 Connecticut Ave, NW",Washington,DC,200152765,Multifamily Housing,1948," 264,366 ",91.1,168.9,Not Available,2076.73,2636442.9,150917.7,,,14361.3,393686.1909,143757.7018
19290014,3700 MASSACHUSETTS AV NW,SMITH PROPERTY HOLDINGS ALBAN TOWERS LLC,3,Alban Towers,3700 Massachusetts Av NW,Washington,DC,20016,Multifamily Housing,1934," 345,169 ",60.8,125.8,Not Available,1944.33,2747044.5,115986.4,,,10173.8,393607.9539,140036.804
19720001,4500 CONNECTICUT AV NW,CONNECTICUT HOUSE ASSOCIATES,3,The Connecticut House,4500 Connecticut Ave NW,Washington,DC,20008,Multifamily Housing,1968," 192,638 ",50.9,90.2,Not Available,794.78,906934.8,67025.4,,,5771.4,394240.1346,142255.762
19730804,4530 CONNECTICUT AV NW,NATIONAL SAVINGS & TRUST COMPANY TRUSTEES,3,The Clarence House,4530 Connecticut Av NW,Washington,DC,20008,Multifamily Housing,1964," 168,367 ",50.2,94.3,Not Available,730.28,931479,52672,,,2595.6,394196.2554,142351.381
19773012,4600 CONNECTICUT AVE NW,4600 CONNECTICUT AVE CONDO,3,4600 Connecticut Avenue Condominium,4600 Connecticut Avenue NW,Washington,DC,20008,Multifamily Housing,1957," 299,840 ",21.7,67.7,Not Available,918.72,1900455.6,90.7,,,7674.3,394110.3129,142436.73665
19783013,4740 CONNECTICUT AVE NW,THE ESSEX CONDO,3,The Essex Condo,4740 Connecticut Ave NW,Washington,DC,20008,Multifamily Housing,1956," 170,143 ",79.1,150.4,Not Available,1088.4,1491552,83641.657,,,6830.4,394036.008,142628.249
19810012,4817 - 4831 36TH ST NW,DAVENPORT HOUSE ASSOCIATES LTP,3,Archstone Connecticut Heights,4850 Connecticut Av NW,Washington,DC,20008,Multifamily Housing,1974," 250,128 ",110.5,194.7,Not Available,2165.31,2304605.8,197705.3,,,18414.8,394015.1291,142758.0398
20350004,4849 CONNECTICUT AV NW,"TMG ELLICOTT, LP",3,Ellicott House,4849 Connecticut Ave NW,Washington,DC,20008,Multifamily Housing,1972," 206,304 ",Not Available,Not Available,Not Available,,,,,,13240,394117.6103,142802.9409
20390001,4545 CONNECTICUT AV NW,BRANDYWINE APARTMENTS OF MARYLAND LLC,3,The Brandywine Apartments,"4545 Connecticut Ave, NW",Washington,DC,20008,Multifamily Housing,1954," 347,040 ",66.5,130.3,Not Available,2074.93,2806850,135103.1,,,13394.8,394334.0452,142374.8208
20390804,4501 CONNECTICUT AV NW,SMITH PROPERTY HOLDINGS FIVE LP,3,4501 Connecticut Avenue,4501 Connecticut Avenue,Washington,DC,20008,Multifamily Housing,1900," 273,393 ",44.8,67.3,Not Available,774.01,407271,108501,,,10194.1,394345.5853,142287.1289
