DC Real Property ID,Address of Record,Owner of Record,Ward,Property Name,Address 1,City,State,Postal Code,Primary Property Type,Year Built, Reported Building Gross Floor Area (ft²) ,Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),ENERGY STAR Score,Total GHG Emissions (MtCO2e),Electricity Use - Grid Purchase and Onsite (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Other Fuel Use (kBTU),Water Use (kgal),X-Coordinate (ESRI),Y-Coordinate (ESRI)
21320850,2600 Woodly Road,Marriot Wardman Park,3,337w0-Washington DC Marriott Wardm,2660 Woodley Rd Nw,Washington,DC,20008,Hotel,1978," 1,600,000 ",107.9,223.7,20,16255.6,23432812,927368,,,80533.4,,
21380812,2500 CALVERT ST NW,OMNI SHOREHAM CORPORATION,3,Omni Shoreham Hotel,2500 Calvert St NW,Washington,DC,20008,Hotel,1930," 953,000 ",93.7,211.3,42,9266.83,14972600,381940,,8404.64,52862.6,395342.6563,139386.5534
22050839,2601 WOODLEY PL NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,Calvert Woodley,2601 Woodley PL NW,Washington,DC,20008,Multifamily Housing,1954," 206,688 ",51.3,95.2,Not Available,902.94,1122060.5,67819.4,,,4399.1,395650.7317,139567.2085
22140806,3133 CONNECTICUT AV,THE KLINGLE CORPORATION INC,3,The Kennedy Warren,3133 Connecticut Avenue NW,Washington,DC,20008,Multifamily Housing,1931," 267,702 ",78.7,162.9,Not Available,1702.4,2326600,131357.089,,,10980.6,395180.9345,140452.8004
22140807,3131 CONNECTICUT AV,THE KLINGLE CORPORATION INC,3,The Kennedy Warren South Wing,3131 Connecticut Avenue NW,Washington,DC,20008,Multifamily Housing,2004," 158,000 ",57.4,135.1,Not Available,885.1,1608600,35808.204,,,5458.2,395192.5961,140373.049
22250842,2501 PORTER ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2501 Porter,2501 Porter St NW,Washington,DC,20008,Multifamily Housing,1988," 309,058 ",24.9,57.9,Not Available,747.4,1120388.6,38732.9,,,6320.9,395360.5692,140860.5575
22250844,2800 QUEBEC ST NW,AMERICAN SECURITY & TRUST COMPANY,3,Quebec House South,"2800 Quebec Street, NW",Washington,DC,20008,Multifamily Housing,1949," 353,727 ",65.7,128.6,Not Available,2152.34,3038052.9,128656,,,20095807.8,395180.473,140927.755
22260800,3601 CONNECTICUT AV NW,BROADMOOR COOPERATIVE,3,The Broadmoor Cooperative Apartments,3601 Connecticut Avenue NW,Washington,DC,200081928,Multifamily Housing,1928," 288,969 ",36.2,53.7,Not Available,637.4,329858.2,93242.686,,,5861.8,394922.5471,141095.9468
22260801,2801 QUEBEC ST NW,BERNARD S GEWIRZ,3,Quebec House North,"2801 Quebec Street, NW",Washington,DC,20008,Multifamily Housing,1949," 177,723 ",65.5,124.4,Not Available,1051.47,1433523.6,67450,,,10634183.9,395125.661,141037.2556
22340003,3801 CONNECTICUT AV NW,B FRANKLIN KAHN TRUSTEES,3,3801 Connecticut Ave,"3801 Connecticut Ave, NW",Washington,DC,20008,Multifamily Housing,1951," 177,403 ",81.5,150.7,Not Available,1270.09,1661510.9,87838.8,,,9779.8,394800.0329,141279.8464
22430066,2950 VAN NESS ST NW,SMITH PROPERTY HOLDINGS KENMORE LP,3,2950 Van Ness Street NW,2950 Van Ness Street NW,Washington,DC,20008,Multifamily Housing,1900," 222,415 ",13.6,42.9,Not Available,406.33,815237,2337,,,7855.8,394695.637,141663.0051
25350041,1919 CONNECTICUT AV,CJUF II DESTINATION HOTEL LLC,1,Washington Hilton,1919 Connecticut Ave,Washington,DC,20009,Hotel,1965," 973,414 ",112,238.8,33,10623.93,15995657,543616.8,,44658.34,55881,396110.0031,138722.6494
25350830,1875 CONNECTICUT AV NW,UNIVERSAL BUILDING NORTH INC,1,1875 Connecticut,1875 Connecticut,Washington,DC,20037,Office,1961," 422,199 ",64.7,164.7,85,2865.3,5636987,80938.034,,,4928.9,396071.1823,138639.9524
25350831,1825 CONNECTICUT AV NW,UNIVERSAL BUILDING INC,1,1825 Connecticut Avenue,1825 Connecticut Av,Washington,DC,20009,Office,1957," 339,848 ",117.3,260.5,50,3731.9,6436501,179161.458,,,10921.7,396042.536,138590.6091
25411133,2031 BELMONT RD NW,VALLEY VISTA CONDOMINIUM,1,The Valley Vista Condominium,2032 Belmont Rd NW,Washington,DC,20009,Multifamily Housing,1928," 248,899 ",29.7,40,Not Available,436.68,144850.1,68927,,,4620.9,395786.153,139091.45
25530073,1884 COLUMBIA RD NW,ADAMS-MORGAN ASSOCIATES,1,The Promenade,1884 Columbia Road,Washington,DC,20009,Multifamily Housing,1964," 206,478 ",57,108.4,Not Available,1069.8,1469275.8,67648,,,6457.2,396195.6043,139018.1162
25710104,2400 16TH ST NW,ENVOY ASSOCIATES LTD PTSP,1,The Envoy,2400 16th Street NW,Washington,DC,20009,Multifamily Housing,1918," 276,092 ",Not Available,Not Available,Not Available,,,,,,10015875.1,396736.9114,139286.5096
25720815,2480 16TH ST,DORCHESTER HOUSE ASSOCIATES LLC,1,Dorchester House Apartments,2480 16th Street,Washington,DC,20009,Multifamily Housing,1941," 439,502 ",100.8,145,Not Available,2787.87,1430150,394147.9,,,,396767.3132,139431.1348
25740831,2601 16TH ST NW,HOWARD UNIVERSITY,1,Merridian Hill Hall,2601 16TH ST NW,Washington,DC,20009,Residence Hall/Dormitory,1941," 182,516 ",24,73.9,93,620.65,1284532.3,,,,,396893.3805,139527.2154
25890847,1650 HARVARD ST NW,HARVARD HALL LLC,1,Harvard Hall,1650 Harvard Street NW,Washington,DC,20009,Multifamily Housing,1929," 174,971 ",57.2,97.6,Not Available,740.6,689600,76580.8,,,,396550.1179,139875.6733
25900801,1601 ARGONNE PL NW,COLUMBIA REALTY VENTURE LLC,1,Chalfonte,1601 Argonne Pl NW,Washington,DC,20009,Multifamily Housing,1926," 202,589 ",63,104.7,Not Available,994.9,1047841.1,91845.7,,,,396656.4234,139874.8296
"26240831, 26240832",3640 16TH ST NW,ROCK CREEK PLAZA WOODNER,1,The Woodner Apartments,"3636 16th Street, N.W.",Washington,DC,20010,Multifamily Housing,1952," 937,684 ",59.4,110.6,Not Available,4748.37,5915677.2,355282,,,50132.5,396689.9508,140945.7542
26330829,3900 16TH ST NW,CRESTWOOD APARTMENTS ASC,4,Crestwood Apartments,3900 16th Street NW,Washington,DC,20011,Multifamily Housing,1955," 263,260 ",52.7,92.9,Not Available,1058.68,1061972.2,102550.7,,,11723,396765.6355,141268.1016
26741933,3100 14TH STREET NW,DC USA CONDOMINIUM,1,Unit Owners Association of DC USA Condo inc,"3100 14th Street, NW",Washington,DC,20010,Retail,2008," 423,745 ",Not Available,Not Available,Not Available,,,,,,,397086.3909,140231.7781
26880043,3500 14TH ST NW,CAVALIER APARTMENTS LP,1,Cavalier Apartments,3500 14th Street NW,Washington,DC,20010,Multifamily Housing,1926," 252,792 ",27.9,60.4,Not Available,651.61,918320,39081,,,25390.4,397120.0718,140747.247
26890861,1515 OGDEN ST NW,1515 ODGEN STREET LP,1,Cromwell,1515 Ogden Street NW,Washington,DC,20010,Multifamily Housing,1949," 156,632 ",56.3,68.9,Not Available,545.76,253500.4,79563,,,,396976.9898,140915.4831
28731101,2251 SHERMAN AV,HOWARD UNIVERSITY,1,Howard Tower Plaza,2251 Sherman Avenue,Washington,DC,20059,Residence Hall/Dormitory,1989," 573,687 ",39.2,122.8,77,3183.2,6588184.3,,,,,397928.9733,139161.0446
"30570092, 30600041, 30600839, 30630801, 30640837, 30720052, 30750807, 30800073",2440 6TH ST NW,HOWARD UNIVERSITY,1,HU Sub Station,100 6TH AND TRUMBUL ST NW,Washington,DC,20001,College/University (Campus-Level),," 3,543,436 ",84.3,266,,42281.61,87509023.4,,,,,398221.3904,139576.0873
31290801,0111 MICHIGAN AV,WASHINGTON HOSPITAL CENTER,5,Children's National Medical Center,"111 Michigan Ave, N.W.",Washington,DC,20010,Hospital (General Medical and Surgical),1970," 1,957,377 ",173.9,415.6,73,38563.56,54689519.2,,153759379.8,,68258.3,398725.3075,139948.4803
"31290802, 31290803, 31290804",0106 IRVING ST,WASHINGTON HOSPITAL CENTER,5,Washington Hospital Center,"110 Irving Street, NW",Washington,DC,20010,Hospital (General Medical and Surgical),1958," 2,000,000 ",581.2,871,1,100644.35,64067545,4910017.6,218163500,5264691.38,249930.1,398816.1003,140196.1991
33590048,6856 EASTERN AV NW,DONALD JEMAL,4,"Jemal's Takoma Park, LLC","6856 Eastern Ave, 6905-6926 Willow &",Washington,DC,20012,Warehouse (Unrefrigerated),1956," 209,707 ",43.1,100.1,78,974.29,1637496.7,34418,,,1148.3,398770.9213,145080.8678
35820802,1501 ECKINGTON PL NE,FEDERAL EXPRESS CORPORATION,5,DCAA,1501 Eckington Place,Washington,DC,20002,Warehouse (Unrefrigerated),1990," 210,000 ",74.9,165.5,52,1465.88,2084604,86216,,,397.2,399665.1658,138003.5727
36300808,0611 EDGEWOOD ST NE,EDGEWOOD IV LP,5,Edgewood IV,"611 Edgewood Street, NE",Washington,DC,20017,Multifamily Housing,1973," 383,900 ",40.5,85.8,Not Available,1469.89,2127480,83074,,,14649.8,400094.1422,139424.7248
36640824,0310 - 0390 TAYLOR ST NE,HORNING ASSOCIATES,5,Heights II,310-390 Taylor Street NE,Washington,DC,20017,Multifamily Housing,1981," 181,328 ",1.5,4.8,Not Available,35.3,81744.7,,,,11431.3,399724.3417,141605.6521
36640824,0310 - 0390 TAYLOR ST NE,HORNING ASSOCIATES,5,Heights I,400-490 Taylor Street NE,Washington,DC,20017,Multifamily Housing,1979," 154,532 ",2.3,7.4,Not Available,45.9,106309.5,,,,12097.3,399724.3417,141605.6521
38210040,0400 MICHIGAN AV NE,NATIONAL SHRINE OF THE IMMACULATE CONCEPTION,5,Basilica of the National Shrine of the Immaculate Conception,400 Michigan Avenue  N.E.,Washington,DC,200171566,Worship Facility,1959," 226,301 ",93.8,221.9,2,2111.3,3920940,78590.002,,,8951.3,399936.7747,140620.0848
"38940021, 38940826",1150 VARNUM ST,PROVIDENCE HOSPITAL,5,Providence  Hospital - DC,1150 Varnum Street N.E.,Washington,DC,20017,Hospital (General Medical and Surgical),1956," 783,191 ",253.9,423.2,Not Available,16362.95,19172249.5,1334495.3,,,,400693.6971,141837.3016
43590834,2800 V ST NE,2800 V STREET LIMITED PARTNERSHIP,5,2800 V ST NE,2800 V ST NE,Washington,DC,20018,Warehouse (Unrefrigerated),1950," 242,810 ",31.9,84.8,62,938.08,1742302,18093.1,,,315.7,402746.4483,139219.0623
44930001,1501 MARYLAND AV NE,MARYLAND CROSSING REALTY LLC,5,Hechinger Mall,1601 Maryland Ave,Washington,DC,20002,Strip Mall,1979," 207,990 ",79,231.9,Not Available,1952,4303466,17438.407,,,1759.1,401658.6908,136953.4918
45090157,1501 - 1523 BENNING RD NE,PENTACLE LIMITED PARTNERSHIP,6,Pentacle Apartments,1501-1523 Benning Road NE,Washington,DC,20002,Multifamily Housing,1977," 181,010 ",2.4,7.8,Not Available,55.9,129271.7,,,,7716.9,401512.2517,136837.5404
50570803,3720 HAYES ST,MAYFAIR MANSIONS LIMITED PARTNERSHIP,7,Mayfair Mansions,"3744 1/2 Hayes Street, NE",Washington,DC,20019,Multifamily Housing,1940," 417,812 ",2.6,8.8,Not Available,155.67,322186,,,,32287.5,404468.1058,137232.2412
58690068,2607 BOWEN RD,OXFORD MANOR LP,8,Oxford Manor Apartments,"2607 Bowen Road, SE",Washington,DC,20020,Multifamily Housing,1977," 291,302 ",55.6,110,Not Available,1443.32,1928560,96146,,,12293.4,400824.0862,132378.3864
59730016,3300 - 3368 6TH ST SE,MCP-RANDLE ASSOCIATES LP,8,MCP-RANDLE ASSOCIATES LP,3300-38 6TH ST SE,Washington,DC,20032,Multifamily Housing,1968," 179,232 ",Not Available,Not Available,Not Available,,,,,,,400197.8136,130328.0311
62190032,4301 3RD ST,ATLANTIC TERRACE LTD,8,Atlantic Terrace Ltd.,"4301 3rd St., SE",Washington,DC,20032,Multifamily Housing,1964," 200,839 ",3.6,11.1,Not Available,84.87,152953,2061,,,25617.8,399773.5474,128925.737
Not Available*,,,,750 First Street,750 First Street NE,Washington,DC,20002,Office,1991," 386,890 ",77.1,257.6,78,10350.46,8745487.3,,,,,Not Available,Not Available
Not Available*,,,,Saul Subsidiary II Limited Partnership,"601 Pennsylvania Ave, NW",Washington,DC,20004,Office,1986," 250,503 ",66.3,208.2,73,2103.8,4869024,,,,5834.7,Not Available,Not Available
Not Available*,,,,1275 Penn Ave NW,12745 Penn Avenue NW,Washington,DC,20004,Office,1956," 238,380 ",73.1,227.5,63,2205.6,5104647,,,,,Not Available,Not Available
PAR01200034,125 MICHIGAN AV,TRINITY COLLEGE,5,Alumnae and Main Hall,125 Michigan Ave. NE,Washington,DC,20017,College/University (Campus-Level),1910," 290,700 ",83.4,156.2,Not Available,1891.81,1995047.1,174410.1,,,2942.7,399692.769,139926.7055
"PAR01290070, PAR01410069",800 FLORIDA AV,GALLAUDET UNIVERSITY,5,Gallaudet University,800 Florida Avenue N.E.,Washington,DC,20002,College/University,1864," 3,015,594 ",79.8,157.7,,20220.3,29689360,1392814.908,,,61151,400686.249,137809.5039
PAR01330131,3211 4TH ST NE,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,5,The Catholic University of America,620 Michigan Avenue NE,Washington,DC,20064,College/University,1889," 2,152,094 ",134.8,265.1,,26127.7,30049680,974989.976,90008300.1,,48654.8,400055.8956,140207.2217
PAR01330131,3211 4TH ST NE,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,5,US Conf catholic Bishops,3211 4th st NE,Washington,DC,20017,Office,1988," 190,000 ",72.4,198.6,72,1610.1,2905382.8,37816.2,,69761.32,824.4,400055.8956,140207.2217
