time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.054,0.15328,0.31135,9.97526
0.113,0.11496,0.22753,9.92736
0.173,0.10778,0.35925,9.89143
0.186,0.26824,0.15089,9.92496
0.232,0.22034,0.32572,9.92017
0.292,0.12694,0.26345,9.92257
0.375,0.21316,0.28740,9.92257
0.416,0.12454,0.21795,9.92736
0.473,0.16526,0.34009,9.91059
0.473,0.17005,0.24908,9.93454
0.532,0.14370,0.32572,9.92736
0.589,0.15807,0.24429,9.90580
0.661,0.14849,0.29938,9.92496
0.711,0.19400,0.27543,9.90341
0.771,0.15328,0.28740,9.92975
0.772,0.19639,0.28980,9.90341
0.841,0.17484,0.26824,9.92736
0.888,0.17963,0.25387,9.91299
0.947,0.19160,0.27303,9.92017
1.006,0.15568,0.23950,9.92975
1.070,0.20358,0.30177,9.90580
1.070,0.15089,0.26824,9.93694
1.130,0.19879,0.26345,9.91299
1.199,0.13173,0.27064,9.93454
1.245,0.18681,0.29698,9.89862
1.310,0.15089,0.27543,9.93933
1.365,0.16526,0.28980,9.91778
1.375,0.17005,0.28501,9.91299
1.426,0.16047,0.28022,9.91538
1.484,0.17484,0.27303,9.90341
1.555,0.16765,0.26345,9.90820
1.605,0.17484,0.28980,9.91538
1.662,0.16526,0.25627,9.89383
1.723,0.15568,0.27303,9.93215
1.723,0.17723,0.28501,9.92257
1.780,0.17244,0.27303,9.91778
1.856,0.16765,0.29459,9.91059
1.901,0.16765,0.27064,9.91299
1.960,0.15807,0.28740,9.91778
2.020,0.18202,0.27782,9.92496
2.033,0.16047,0.29219,9.91778
2.077,0.18442,0.27303,9.91299
2.140,0.15568,0.28022,9.92257
2.198,0.18202,0.28022,9.92017
2.264,0.16526,0.27782,9.92017
2.324,0.17005,0.27782,9.92736
2.335,0.16526,0.27543,9.91538
2.376,0.18681,0.29219,9.89622
2.435,0.16765,0.26345,9.90101
2.509,0.20118,0.28022,9.89622
2.555,0.16526,0.26585,9.92017
2.615,0.16526,0.27064,9.90580
2.615,0.19400,0.27543,9.91538
2.683,0.15328,0.28022,9.91059
2.734,0.19879,0.29219,9.93215
2.795,0.16286,0.27303,9.92017
2.865,0.18681,0.27782,9.90580
2.913,0.14849,0.26106,9.91059
2.972,0.16526,0.27543,9.92257
2.972,0.20358,0.30896,9.90820
3.033,0.14610,0.27782,9.92496
3.104,0.21316,0.28980,9.92017
3.161,0.16286,0.25866,9.89862
3.209,0.20597,0.27543,9.90820
3.274,0.15568,0.29938,9.92257
3.274,0.18921,0.26585,9.90820
3.338,-2.66566,-3.60690,10.06387
3.395,3.97573,3.16143,9.92496
3.464,0.27543,0.24908,9.90341
3.516,0.17005,0.26106,9.90101
3.575,-4.33499,-0.64666,10.00879
3.575,0.04072,2.15073,10.37523
3.649,-0.00958,0.35446,13.61569
3.694,-1.59987,1.17356,13.01693
3.747,0.78317,2.32796,11.31886
3.809,2.14354,2.33275,9.42440
3.873,1.60945,4.63197,11.94636
3.873,1.71483,3.41530,6.63420
3.924,1.85854,7.13476,7.52755
4.011,0.72090,6.32285,6.71563
4.048,1.33403,11.10810,4.18170
4.104,1.51844,11.67812,2.63692
4.164,-0.21076,11.14882,0.32572
