time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.054,0.00733,0.06056,-0.00164
0.113,-0.00013,0.00144,-0.00164
0.113,0.00094,0.00144,-0.00005
0.186,-0.00013,-0.00282,0.00155
0.232,-0.00013,-0.00069,0.00102
0.292,0.00094,-0.00069,-0.00058
0.375,0.00094,0.00037,-0.00005
0.416,0.00147,0.00037,-0.00005
0.416,0.00094,-0.00016,-0.00218
0.473,-0.00013,0.00091,-0.00005
0.532,-0.00066,0.00037,-0.00005
0.589,-0.00013,0.00037,-0.00005
0.661,0.00040,0.00037,-0.00111
0.711,0.00094,0.00304,0.00049
0.711,-0.00173,0.00037,-0.00111
0.772,-0.00013,0.00091,-0.00058
0.841,0.00200,-0.00016,-0.00005
0.888,0.00094,-0.00016,-0.00111
0.947,-0.00066,0.00091,0.00155
1.013,0.00147,0.00091,-0.00111
1.013,-0.00013,-0.00016,0.00102
1.070,-0.00066,-0.00016,-0.00111
1.130,-0.00013,-0.00176,-0.00005
1.199,0.00147,0.00091,-0.00005
1.245,0.00094,-0.00122,-0.00058
1.310,-0.00066,0.00144,0.00262
1.310,-0.00066,0.00091,-0.00058
1.375,-0.00173,0.00091,-0.00058
1.426,0.00040,-0.00229,0.00049
1.484,0.00094,0.00037,-0.00058
1.555,-0.00066,0.00037,0.00049
1.605,-0.00066,0.00037,-0.00111
1.662,0.00094,0.00037,0.00049
1.662,-0.00279,0.00091,-0.00164
1.723,-0.00226,-0.00069,-0.00005
1.780,-0.00066,0.00091,0.00049
1.856,-0.00066,-0.00069,-0.00058
1.901,0.00200,-0.00016,0.00049
1.960,-0.00066,-0.00122,0.00155
1.960,0.00200,-0.00122,-0.00005
2.033,-0.00120,-0.00069,0.00049
2.077,-0.00120,0.00037,-0.00005
2.140,0.00094,-0.00069,0.00155
2.198,-0.00066,-0.00069,-0.00005
2.264,-0.00013,-0.00069,-0.00058
2.264,-0.00013,-0.00016,-0.00005
2.335,0.00094,-0.00176,-0.00005
2.376,-0.00120,-0.00122,-0.00111
2.435,0.00094,0.00037,0.00049
2.509,-0.00120,0.00091,0.00049
2.555,0.00040,-0.00176,0.00049
2.555,0.00094,0.00197,-0.00164
2.615,-0.00013,0.00037,-0.00058
2.683,-0.00013,-0.00069,0.00049
2.734,0.00040,-0.00016,-0.00058
2.795,0.00147,0.00250,0.00102
2.865,0.00094,-0.00122,-0.00058
2.913,-0.00066,0.00091,-0.00005
2.913,-0.00013,-0.00016,-0.00111
2.972,0.00147,0.00250,-0.00058
3.033,0.00040,0.00091,0.00049
3.104,-0.00066,0.00037,-0.00005
3.161,0.00147,-0.00122,0.00155
3.209,-0.00013,-0.00069,-0.00164
3.209,0.00147,-0.00069,0.00155
3.274,-0.00066,-0.00016,-0.00005
3.338,0.00094,-0.03105,-0.00484
3.395,-0.00546,0.12554,-0.07461
