time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.027,-0.00238,0.00070,0.00003
0.086,0.00082,0.00177,-0.00103
0.120,-0.00025,-0.00036,-0.00050
0.180,-0.00131,0.00017,0.00110
0.243,-0.00025,0.00070,0.00056
0.278,-0.00025,0.00017,-0.00157
0.318,0.00029,0.00017,0.00003
0.378,-0.00131,-0.00036,-0.00210
0.421,-0.00025,0.00124,0.00110
0.486,-0.00078,0.00070,0.00110
0.517,-0.00025,0.00017,-0.00050
0.577,0.00029,0.00017,0.00003
0.616,0.00188,-0.00036,-0.00050
0.675,-0.00238,0.00230,0.00003
0.717,-0.00131,-0.00036,0.00056
0.778,0.00029,0.00017,-0.00050
0.814,-0.00078,-0.00090,0.00056
0.881,0.00029,-0.00143,-0.00157
0.915,0.00135,0.00017,-0.00103
0.975,-0.00078,-0.00036,0.00056
1.018,-0.00131,-0.00249,-0.00050
1.072,-0.00078,0.00017,0.00056
1.113,-0.00131,-0.00036,-0.00050
1.177,-0.00078,-0.00036,0.00003
1.214,-0.00025,0.00070,0.00003
1.287,0.00135,0.00177,0.00110
1.311,0.00082,-0.00036,0.00003
1.370,0.00029,0.00070,0.00163
1.430,-0.00184,0.00017,0.00056
1.469,-0.00184,0.00230,-0.00050
1.529,0.00029,0.00017,0.00056
1.569,-0.00131,0.00017,0.00003
1.630,0.00188,-0.00196,-0.00103
1.670,0.00029,0.00017,0.00163
1.727,-0.00025,-0.00036,-0.00050
1.767,-0.00025,0.00124,-0.00157
1.838,-0.00025,-0.00036,0.00003
1.870,0.00082,0.00070,0.00110
1.927,0.00082,-0.00036,0.00003
1.976,-0.00184,0.00070,-0.00103
2.026,-0.00025,0.00017,0.00003
2.070,0.00082,0.00017,-0.00157
2.127,-0.00025,-0.00090,-0.00050
2.164,-0.00025,0.00017,0.00056
2.223,0.00082,-0.00036,0.00056
2.263,0.00029,-0.00143,-0.00050
2.323,0.00082,0.00124,0.00056
2.362,-0.00025,0.00070,-0.00050
2.425,-0.00078,-0.00143,-0.00103
2.461,0.00135,-0.00090,-0.00157
2.526,-0.00025,0.00177,0.00056
2.561,0.00029,0.00070,0.00056
2.620,0.00029,0.00070,-0.00157
2.661,-0.00025,-0.00036,0.00003
2.727,0.00082,-0.00036,-0.00103
2.780,0.00029,0.00070,-0.00157
2.820,0.00082,0.00230,0.00110
2.878,-0.00131,0.00070,-0.00050
2.921,-0.00025,0.00017,0.00056
2.984,0.00188,-0.00036,0.00003
3.023,0.00029,0.00070,-0.00103
3.079,0.00029,0.00070,0.00110
3.117,0.00082,-0.00036,-0.00103
3.184,-0.00184,-0.00036,-0.00050
3.216,-0.00078,0.00017,0.00056
3.280,0.00029,0.00124,0.00003
3.318,0.00082,0.00017,-0.00050
3.375,-0.00131,0.00177,-0.00103
3.421,-0.00025,0.00230,0.00003
3.476,-0.00078,-0.00090,-0.00050
3.519,-0.00025,0.00124,0.00163
3.581,-0.00025,0.00017,-0.00103
3.613,0.00135,0.00177,0.00110
3.676,-0.00025,-0.00090,0.00003
3.950,0.00029,0.00017,0.00003
3.950,-0.00078,-0.00036,-0.00103
3.950,0.00029,0.00070,-0.00050
3.950,0.00029,-0.00143,0.00110
3.951,-0.00131,0.00070,0.00110
3.974,-0.00131,-0.00036,0.00056
4.015,0.00135,0.00124,0.00003
4.078,-0.00131,0.00070,0.00163
4.134,0.00082,0.00070,-0.00050
4.175,-0.00025,-0.00196,0.00056
4.229,-0.00078,0.00017,0.00110
4.270,0.00029,-0.00036,-0.00050
4.331,-0.00184,0.00070,0.00003
4.375,-0.00025,0.00177,0.00003
4.436,-0.00078,-0.00036,0.00003
4.468,-0.00025,-0.00090,-0.00050
4.531,0.00135,-0.00036,0.00056
4.574,0.00082,0.00017,0.00110
4.642,0.00135,-0.00090,-0.00050
4.669,0.00082,-0.00036,0.00003
4.725,-0.00025,0.00070,-0.00103
4.773,-0.00131,0.00017,0.00163
4.828,-0.00131,-0.00090,-0.00050
4.865,0.00188,-0.00143,0.00003
4.925,-0.00131,0.00124,-0.00157
4.972,0.00135,-0.00143,-0.00050
5.039,0.00082,0.00124,-0.00050
