time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.064,0.39221,0.33469,-0.02028
0.064,-0.55854,-0.13722,0.08092
0.152,-0.23203,-0.71726,0.01168
0.221,-0.18783,-0.31299,-0.05490
0.221,0.58023,-0.09728,-0.04212
0.315,0.17703,-0.14841,-0.07727
0.315,0.34747,0.20313,-0.31962
0.380,0.31178,-1.23019,-0.24452
0.465,0.48436,-1.99931,-0.38727
0.465,-0.21233,-1.33831,0.14696
0.541,0.29474,0.23881,-0.09165
0.623,-0.07704,0.13122,-0.03839
0.623,0.46731,1.01433,-0.24399
0.698,0.19460,-1.31754,-0.85172
0.698,-0.29648,-1.28771,-0.05703
0.783,0.66652,0.18928,-0.02135
0.856,-0.26080,0.06624,0.07772
0.856,0.00605,0.33043,0.01540
0.946,-0.14628,-0.08769,0.17519
1.023,0.28888,-0.21499,-0.03786
1.023,-0.00939,0.32137,-0.01549
1.106,0.30699,-0.10367,-0.06343
1.106,0.31977,0.52910,-0.11349
1.181,0.33256,-0.26772,-0.04212
1.266,0.40073,0.20206,0.00049
1.266,0.08595,-0.20593,0.12992
1.340,0.00712,0.15413,-0.00324
1.423,0.08382,0.15040,0.03032
1.423,0.05772,0.11098,-0.11935
1.498,-0.04668,-0.00087,-0.02667
1.582,0.06411,0.08116,-0.16622
1.582,-0.06266,-0.08556,-0.10923
1.650,0.03535,0.01564,-0.16409
1.650,-0.05147,0.06305,-0.13640
1.755,0.12270,-0.01578,-0.11083
1.813,0.04067,-0.02750,-0.05650
1.813,-0.05467,0.02629,-0.03253
1.909,0.05985,0.01138,-0.06502
1.967,0.02736,-0.03070,-0.06928
1.967,0.01298,-0.05147,-0.08260
2.054,0.02203,0.01245,-0.05544
2.054,-0.02431,-0.11965,-0.08100
2.126,0.03748,-0.01419,-0.06556
2.217,-0.06266,0.04068,-0.05703
2.217,0.02683,-0.12710,-0.05810
2.302,-0.05680,0.06997,-0.05970
2.383,0.06038,0.00339,-0.06662
2.383,-0.00833,0.09607,-0.02508
2.444,-0.04242,-0.00886,-0.02561
2.444,-0.09195,0.00765,-0.07887
2.539,-0.13563,-0.14947,-0.11456
2.609,-0.14628,-0.11965,-0.17155
2.609,-0.09621,-0.13722,-0.23067
2.696,-0.21499,0.24893,-0.29086
2.763,-0.26186,-0.09674,-0.24292
2.763,-0.41739,0.12536,-0.31003
2.853,-0.39875,-0.22884,-0.05863
2.922,-0.00566,0.08488,0.05375
2.922,0.31019,0.05080,0.04630
3.008,0.27024,-0.02164,0.08837
3.008,0.12590,-0.02271,0.16401
3.079,0.01777,0.01937,0.06334
3.175,0.02043,-0.13509,-0.01069
3.175,0.05186,0.12536,-0.08793
3.238,0.09554,-0.20221,-0.09805
3.326,0.14454,0.21964,-0.20511
3.326,1.18104,-0.53137,0.64231
3.397,2.53872,-1.21527,0.61728
3.397,2.41994,-0.25387,1.39332
3.487,2.12913,-2.18733,0.86016
3.558,1.82659,-1.76495,1.62289
