time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.018,0.01654,-0.03195,-0.00046
0.056,0.00802,-0.00425,-0.00898
0.105,-0.00636,0.00587,-0.00046
0.157,-0.00796,0.00001,0.00274
0.203,-0.00050,0.00800,0.00221
0.258,-0.00690,-0.00053,-0.01164
0.302,0.01228,-0.00905,0.00167
0.355,-0.00690,-0.00212,0.00647
0.403,-0.01169,-0.00798,-0.00259
0.457,-0.00796,0.00160,0.00327
0.502,-0.00263,-0.00319,0.00221
0.561,0.00429,-0.00905,-0.00632
0.603,-0.00636,-0.00372,0.00434
0.658,0.00589,0.00160,0.00380
0.717,0.00109,-0.00266,0.00700
0.753,0.01068,-0.00212,0.00380
0.809,-0.00157,-0.00106,-0.00365
0.855,-0.00370,-0.00212,0.00380
0.908,0.00056,-0.00745,-0.00205
0.959,0.00429,-0.00479,0.00700
1.006,0.00482,0.00373,-0.00365
1.054,0.00109,0.00054,0.00594
1.112,-0.00477,0.00214,-0.01164
1.157,-0.00050,-0.00639,0.00274
1.218,-0.00796,0.01492,-0.00259
1.257,-0.00530,-0.00106,0.00913
1.305,0.00482,0.00160,0.00221
1.353,0.00056,-0.00905,-0.00205
1.408,0.00429,0.00746,0.00966
1.461,-0.00157,-0.00106,-0.00685
1.510,0.00216,0.00587,-0.00525
1.555,-0.00050,0.00267,0.00807
1.604,0.00322,-0.00372,-0.00632
1.653,-0.00050,-0.00053,-0.01217
1.720,-0.01275,-0.01384,-0.00525
1.753,-0.00050,0.00267,0.00327
1.806,-0.00263,-0.00053,-0.00898
1.851,-0.00477,-0.00266,-0.00099
1.908,-0.00104,0.00160,0.00380
1.954,0.00695,-0.00692,-0.00152
2.004,0.00109,0.00267,0.00061
2.058,0.00003,0.00160,-0.00685
2.108,-0.00849,-0.00585,-0.00152
2.160,-0.00636,0.00800,-0.00312
2.203,-0.00370,0.00746,0.00380
2.257,-0.00210,0.00640,0.00008
2.301,-0.00849,-0.01331,-0.00632
2.372,-0.00263,-0.00106,0.00380
2.402,-0.00210,-0.00372,-0.00152
2.459,0.00642,0.00800,-0.00205
2.507,0.00855,-0.00159,0.00594
2.555,-0.00157,-0.00639,0.00540
2.606,0.00482,0.00427,0.00167
2.655,0.00109,0.00214,-0.00472
2.710,0.00056,-0.00372,-0.00152
2.766,0.00216,0.00214,-0.00685
2.807,-0.00104,0.00587,0.00061
2.857,0.00802,-0.00266,-0.00099
2.901,-0.00210,0.00267,0.00061
2.960,-0.00157,-0.00106,0.00008
3.003,0.00642,-0.00159,0.00913
3.063,0.00589,-0.00479,-0.00365
3.103,-0.00796,-0.00053,-0.00259
3.159,0.00003,-0.00106,0.00114
3.210,-0.01222,-0.00212,0.00274
3.257,0.00962,0.00054,-0.00046
3.309,0.00163,-0.00106,0.00008
3.356,0.00376,0.00320,-0.00259
3.418,0.00589,-0.00639,0.00221
3.458,-0.00690,-0.00319,-0.00259
3.513,0.00163,0.00214,-0.00578
3.554,0.00056,0.00959,0.00274
3.613,0.01068,-0.00053,0.00221
3.657,-0.01116,0.00160,0.00167
3.709,-0.00317,0.00001,0.00434
3.757,0.00482,0.00054,-0.00845
3.815,0.00482,-0.00053,-0.00578
3.852,0.00003,-0.00585,-0.00525
3.905,0.00749,0.00587,0.00274
3.952,-0.00956,0.00160,-0.00738
4.014,0.00535,-0.00053,0.00008
4.053,0.00908,-0.00639,-0.00685
4.110,0.00216,-0.01171,-0.00525
4.152,-0.00104,-0.00852,-0.00152
4.206,0.00269,-0.00425,-0.00099
4.253,0.00056,-0.00585,0.00647
4.330,0.00429,0.00160,-0.00685
4.353,-0.00210,-0.00319,0.00327
4.409,0.00109,0.00800,0.00594
4.453,0.00376,0.00320,-0.00046
4.507,-0.00370,0.00853,0.00434
4.551,0.00482,-0.00585,-0.00046
4.601,0.00589,-0.00106,-0.00472
4.657,0.00056,0.00001,0.00700
4.711,0.00376,-0.00266,0.00114
4.760,-0.00370,0.00640,-0.00099
4.802,0.00429,-0.00532,-0.00205
4.859,-0.00903,-0.00372,0.00753
4.903,0.00535,0.00959,0.00008
4.967,0.00269,0.00054,-0.00259
5.003,0.01015,0.00054,-0.00525
5.056,0.00216,0.00107,-0.00312
5.101,0.00216,-0.00319,-0.00205
5.162,-0.00104,0.00959,-0.00099
5.201,0.01015,0.00160,-0.01004
5.264,0.00589,0.00693,-0.00312
5.301,0.00589,0.00001,-0.00738
5.376,0.00589,-0.00319,0.00540
5.405,-0.00210,0.00533,0.00221
5.455,0.00749,0.01492,-0.00046
5.502,-0.00210,-0.00159,0.00487
5.560,0.00216,-0.00425,-0.01058
5.617,0.00482,0.01812,0.00274
5.654,0.00589,-0.00479,0.00114
5.702,0.00749,0.00800,-0.00845
5.760,-0.00210,0.00320,0.00327
5.809,-0.00423,-0.00745,-0.00951
5.854,0.00003,-0.00159,0.00753
5.901,0.00216,0.00001,0.00061
5.951,0.00535,-0.00425,0.00540
6.019,0.00962,-0.00372,-0.00152
6.054,0.00482,0.00640,-0.00418
6.108,0.00482,0.00001,0.00114
6.155,-0.00903,0.00906,0.00114
6.207,-0.00636,0.00640,-0.00152
6.259,-0.01275,0.00480,-0.00632
6.307,0.00482,-0.00425,-0.00525
6.353,-0.00530,0.00160,0.00167
6.414,0.00535,0.00533,0.00860
6.457,0.00109,0.00214,0.01073
6.516,0.00109,-0.00639,0.00380
6.551,-0.00317,-0.00425,0.00327
6.605,-0.00210,-0.00106,-0.00152
6.658,-0.00423,0.00533,0.00114
6.706,0.00642,-0.00585,-0.00578
6.752,-0.00423,-0.00372,0.00327
6.804,0.00482,-0.00585,0.00114
6.859,-0.00210,0.00373,-0.00312
6.908,0.00429,0.00640,-0.00525
6.951,0.00429,0.00054,0.00114
7.009,0.00376,0.00373,0.01020
7.052,0.00109,-0.00053,0.00327
7.113,-0.00583,0.00853,0.00114
7.155,0.01228,-0.00532,-0.00845
7.214,-0.00423,-0.01118,-0.00472
7.251,0.00163,0.00107,-0.00472
7.303,-0.01062,-0.00958,0.00114
7.359,-0.01009,0.00533,0.00594
7.403,0.00269,-0.00159,-0.00472
7.458,0.00589,0.00533,0.00540
7.506,0.00269,-0.00053,0.00487
7.559,0.00322,0.01226,0.00647
7.604,0.00642,0.00160,0.00221
7.657,0.00429,0.00853,0.00860
7.703,-0.00743,0.00267,-0.00365
7.756,0.00163,-0.00425,0.00327
7.810,0.00322,-0.00106,0.00061
7.857,0.00482,0.00001,0.00167
7.900,0.00589,-0.00159,-0.00418
7.962,-0.00317,-0.00319,-0.00578
8.002,-0.00157,-0.00372,0.00061
8.074,0.00322,0.01172,0.00540
8.101,-0.00317,0.00373,-0.00152
8.157,-0.01648,0.01066,-0.00472
8.205,-0.00423,0.00107,-0.00259
8.254,0.00056,-0.00212,-0.00312
8.304,0.01388,0.00054,0.00327
8.354,-0.00370,-0.00319,-0.00152
8.405,0.00376,0.00054,-0.00152
8.473,0.00163,0.00001,-0.00046
8.506,0.00003,-0.00106,-0.00259
8.557,-0.00477,0.00320,0.00061
8.605,0.01388,-0.00425,-0.00845
8.653,-0.00849,-0.00798,-0.00205
8.709,-0.00157,-0.00053,0.00008
