time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.070,0.00043,0.04245,0.00010
0.117,-0.02301,0.00410,0.00169
0.117,0.01747,-0.00176,0.00276
0.176,-0.02354,0.00410,0.00169
0.252,0.02173,-0.00176,-0.00204
0.296,-0.01928,0.00197,0.00116
0.356,0.00522,0.00090,0.00063
0.419,-0.01182,0.00250,0.00116
0.419,0.00203,0.00037,-0.00044
0.473,-0.00383,-0.00123,0.00116
0.532,-0.00330,0.00143,0.00010
0.592,-0.01236,0.00090,0.00010
0.651,-0.01236,0.00090,0.00116
0.719,-0.00756,0.00037,0.00010
0.719,-0.00543,0.00037,-0.00150
0.770,0.00096,-0.00070,-0.00044
0.831,0.00043,0.00090,-0.00044
0.889,-0.00330,-0.00016,0.00063
0.951,-0.00330,0.00037,-0.00150
1.016,-0.00330,-0.00176,0.00010
1.016,-0.00969,0.00143,-0.00044
1.068,-0.00916,0.00463,0.00010
1.127,-0.00330,0.00037,0.00063
1.189,-0.00543,0.00516,0.00010
1.246,-0.00011,-0.00176,0.00010
1.315,0.00043,-0.00336,0.00116
1.315,-0.00650,0.00037,0.00010
1.365,-0.00277,-0.00336,0.00010
1.429,0.00149,-0.00176,0.00223
1.503,-0.00011,0.00303,0.00063
1.552,-0.00383,0.00143,0.00063
1.605,0.00309,-0.00230,0.00010
1.687,-0.00170,0.00197,0.00063
1.687,-0.00277,0.00143,0.00010
1.735,0.00096,-0.00070,0.00116
1.783,0.00256,-0.00176,0.00010
1.847,-0.00277,0.00090,0.00116
1.905,-0.00117,-0.00123,-0.00097
1.975,0.00043,0.00037,-0.00044
1.975,-0.00011,-0.00016,0.00063
2.023,-0.00064,-0.00070,0.00063
2.086,-0.00117,0.00037,0.00116
2.152,-0.00011,0.00037,0.00063
2.200,0.00096,-0.00016,0.00063
2.259,-0.00170,0.00090,0.00116
2.259,0.00096,-0.00016,0.00010
2.340,-0.00064,-0.00123,-0.00150
2.380,-0.00117,0.00037,0.00116
2.438,-0.00170,-0.00016,0.00169
2.507,-0.00117,0.00143,0.00169
2.558,0.00256,-0.00123,-0.00044
2.558,-0.00170,-0.00016,0.00116
2.621,-0.00170,0.00037,0.00116
2.695,0.00043,-0.00123,0.00063
2.737,0.00043,0.00037,0.00169
2.797,-0.00224,0.00037,0.00010
2.879,-0.00011,-0.00123,-0.00097
2.921,0.00203,0.00037,0.00063
2.921,-0.00277,0.00037,0.00010
2.980,-0.00170,0.00090,-0.00044
3.048,0.00043,-0.00016,0.00063
3.101,0.00043,-0.00123,-0.00150
3.158,-0.00224,0.00090,0.00010
3.228,0.00043,-0.00070,0.00063
3.228,0.00043,-0.00230,0.00116
3.274,-0.00277,-0.00016,-0.00097
3.333,-0.00064,-0.00070,-0.00097
3.403,0.00203,-0.00123,0.00063
3.460,-0.00011,0.00143,-0.00097
3.511,-0.00117,-0.00016,0.00116
3.511,-0.00011,0.00143,0.00010
3.572,0.00096,0.00090,-0.00044
3.630,-0.00277,0.00143,0.00169
3.701,-0.00277,-0.00070,-0.00044
3.752,0.00149,-0.00176,-0.00044
3.810,-0.00224,-0.00123,-0.00097
3.810,-0.00224,-0.00016,0.00010
3.880,0.00096,-0.00123,-0.00044
3.930,-0.00011,-0.00070,0.00063
4.008,-0.00117,0.00090,-0.00044
4.056,-0.00011,-0.00176,0.00116
4.112,-0.00011,0.00143,0.00169
4.196,-0.00117,0.00143,-0.00097
4.196,-0.00011,-0.00176,-0.00044
4.226,-0.00011,-0.00123,-0.00044
4.288,-0.00011,0.00037,0.00010
4.357,0.00043,0.00037,0.00010
4.406,-0.00117,-0.00123,0.00116
4.484,-0.00011,0.00090,-0.00044
4.485,0.00043,0.00037,-0.00044
4.528,0.00043,-0.00016,-0.00044
4.582,-0.00064,0.00197,-0.00150
4.650,-0.00170,0.00037,0.00010
4.704,-0.00117,0.00090,-0.00097
4.762,-0.00011,0.00090,0.00063
4.762,-0.00064,-0.00123,0.00010
4.831,-0.00117,0.00037,0.00010
