time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.014,0.95322,2.92192,9.05557
0.055,0.53648,3.45601,10.07824
0.104,0.10059,2.80936,10.15009
0.154,1.45857,3.31710,8.57417
0.207,0.02395,3.07042,9.55613
0.251,0.81431,3.21891,9.24478
0.301,0.39039,3.27399,9.15137
0.355,0.68977,3.27399,9.06036
0.407,0.25148,3.00335,9.51541
0.451,0.52451,3.34584,9.41722
0.510,1.13045,3.53984,9.22322
0.555,0.74964,2.95545,8.51429
0.606,-0.19160,4.16015,11.66614
0.650,0.20118,3.30752,8.70590
0.708,-0.10778,4.38528,7.45570
0.753,1.31966,2.71116,10.09261
0.804,-0.85742,4.82357,7.97781
0.852,-0.72809,3.48715,9.42680
0.911,-0.22992,4.57688,8.89031
0.952,-0.48858,4.56251,8.10954
1.013,-0.20118,4.93374,8.55980
1.056,-0.31135,4.07153,9.32142
1.120,-1.28373,5.19240,8.61010
1.158,-1.21906,4.55054,8.38975
1.213,-1.10410,4.89542,8.78493
1.252,-1.15679,4.62957,7.43893
1.306,-1.54479,4.49306,10.30577
1.352,-1.39151,5.38161,7.51797
1.404,-0.40955,5.14929,7.50599
1.456,-8.08080,3.40093,6.69168
1.505,-4.10027,5.39598,7.52036
1.550,-3.35542,2.35909,8.96456
1.603,-6.21508,2.92911,7.29283
1.650,-4.82117,2.43813,8.41610
1.703,-5.69296,1.72920,6.08335
1.758,-6.08335,0.92208,9.40285
1.801,-3.90628,0.40236,9.04599
1.866,-8.21971,0.46942,7.86045
1.900,-7.30481,1.06099,8.59333
1.955,-9.54894,1.23104,8.94540
2.006,-6.97669,1.81782,9.76929
2.063,-4.97446,1.96392,11.08894
2.107,-3.86796,1.55916,9.73575
2.158,-1.07536,1.61424,10.50216
2.203,-2.98180,0.91011,9.76449
2.269,1.36037,1.74118,10.37043
2.300,0.39518,1.50647,7.44372
2.360,2.45011,2.11480,7.95626
2.402,0.82149,1.56874,8.38975
2.453,2.67284,1.79147,7.70717
2.505,-0.28740,1.98547,10.08303
2.557,1.08973,1.79147,7.64251
2.609,-5.18282,1.24781,9.25196
2.657,-0.72809,1.86812,9.89862
2.710,-2.95545,-0.64905,3.91586
2.756,-2.45011,-1.86812,7.21859
2.802,-1.03225,-3.70031,3.48475
2.855,-1.31487,-2.46208,12.59062
2.901,-10.54288,-8.24126,3.49433
2.952,-5.63548,-3.86796,11.49130
