time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.063,-0.84784,1.35319,5.54687
0.064,-0.61552,0.81431,12.50200
0.152,0.59396,0.66342,8.70829
0.221,-0.07664,0.54606,12.89239
0.221,1.02267,0.44068,7.47007
0.315,0.21316,1.01309,11.16558
0.380,0.11736,0.44787,9.98963
0.380,0.68019,1.12326,11.45059
0.465,-0.69216,2.03337,6.34441
0.465,1.12566,1.78668,9.73336
0.541,1.87530,1.28373,8.64842
0.619,1.63819,1.14961,8.88073
0.623,5.13013,-0.47900,10.74645
0.698,-4.11464,4.66550,7.07728
0.777,2.22497,1.81063,11.21588
0.783,2.45250,1.29331,7.76465
0.856,2.67524,1.79866,9.66869
0.856,2.10522,1.53521,9.54894
0.946,2.78780,1.76034,9.95849
1.023,2.60099,1.44180,10.43750
1.023,2.38304,1.93757,10.19081
1.106,1.99984,1.37235,10.99314
1.181,1.47294,2.14594,8.79212
1.181,2.35430,1.94476,10.24829
1.266,1.66454,2.57944,8.26521
1.266,1.75794,2.55549,8.83523
1.340,2.22976,2.25371,8.89510
1.423,2.66805,2.56746,9.23280
1.423,1.44420,2.42855,9.08910
1.498,2.80217,2.58662,10.05908
1.573,1.36277,2.59860,8.89989
1.582,2.03577,2.45969,9.73815
1.650,1.58790,2.40220,9.64235
1.742,1.66693,2.28724,9.65672
1.755,1.33642,2.31598,9.12502
1.813,1.88009,2.64650,8.61968
1.813,1.75315,2.52675,9.74773
1.909,1.79626,2.66566,9.16813
1.967,1.93278,2.72074,9.11065
1.967,1.70046,2.56507,9.43877
2.054,1.72920,2.65129,8.91905
2.126,1.82261,2.50519,9.40524
2.126,1.93039,2.67524,9.22562
2.216,1.76273,2.73990,9.24957
2.217,1.84896,2.63452,9.55134
2.302,2.01661,2.69919,9.61361
2.373,1.72681,2.56507,9.43398
2.383,1.88249,2.71835,8.57657
2.444,1.56634,2.59860,9.18490
2.525,1.57592,2.84049,8.60291
2.539,1.70525,2.50280,10.01597
2.609,1.71004,2.58183,9.61600
2.609,2.15312,2.43334,9.95610
2.696,1.54239,2.65129,8.36820
2.763,1.50886,2.49561,7.95386
2.763,0.87658,2.39262,10.02795
2.853,1.28134,2.21779,11.84816
2.922,1.06339,2.01421,11.28054
2.922,1.52563,2.43094,8.25563
3.008,0.90532,1.33403,9.66630
3.079,2.87402,2.24174,8.43286
3.079,1.52084,2.03098,10.22194
