time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.014,-3.57337,2.91713,8.78733
0.056,-4.10506,2.87642,9.81719
0.115,-4.24637,2.96264,9.99202
0.155,-5.99713,3.56618,8.05445
0.204,-4.27272,3.86077,5.62590
0.255,-8.09756,6.45937,1.82740
0.307,-7.52994,4.67029,3.58295
0.361,-9.78126,5.93486,0.53888
0.405,-10.37283,6.61744,-0.76880
0.456,-8.09038,6.18634,-2.79499
0.507,-10.62191,5.97557,0.26824
0.556,-7.97781,5.65943,-1.13045
0.624,-7.38145,5.70973,-0.74725
0.659,-5.83187,5.78637,-0.85742
0.711,-7.02938,6.60067,-2.41657
0.757,-6.90005,5.40077,-4.01405
0.816,-6.95514,10.11896,-4.80201
0.859,-4.93135,6.15999,-6.02826
0.915,-6.22466,5.63788,-7.91554
0.961,-5.39358,5.66662,-7.66167
1.012,-4.90021,5.30736,-6.72043
1.063,-4.15775,6.23424,-5.65704
1.108,-6.43781,5.39119,-6.45458
1.157,-5.20677,5.54208,-6.39710
1.211,-5.02954,5.21635,-6.26298
1.261,-5.35526,5.33610,-5.94444
1.321,-5.50615,4.90261,-7.37187
1.357,-5.40795,4.91219,-6.77312
1.418,-4.89782,5.23072,-6.65815
1.462,-4.89542,4.89063,-6.44979
1.505,-5.11816,4.27750,-7.25691
1.554,-5.41035,4.81878,-7.22338
1.606,-4.90261,5.08702,-6.76593
1.659,-5.75763,4.55533,-7.17308
1.711,-4.90979,4.96009,-6.60546
1.756,-5.31215,4.67029,-6.88329
1.810,-5.88456,4.59125,-7.17308
1.855,-5.06068,4.83554,-6.75396
1.916,-5.17803,4.75651,-6.80904
1.954,-5.43909,4.87865,-6.78988
2.005,-5.38640,4.67268,-7.19943
2.060,-5.02475,4.92656,-6.66534
2.114,-4.81159,4.78046,-6.91921
2.184,-5.02475,5.24270,-6.66773
2.204,-5.91091,4.79243,-7.25930
2.264,-5.00320,5.41274,-6.29890
2.309,-5.02954,4.94332,-6.76354
2.375,-5.60435,4.77806,-6.68689
2.403,-4.83554,4.89063,-6.59349
2.461,-5.31694,4.85470,-6.59109
2.511,-4.91698,4.97446,-6.67731
2.566,-5.54208,4.94093,-6.58630
2.605,-5.03194,5.00559,-6.70606
2.669,-5.45106,5.05589,-6.88329
2.716,-6.03545,5.02475,-6.74438
2.766,-5.32892,4.22721,-6.37794
2.819,-7.56826,5.73847,-6.90005
2.861,-5.23791,3.76258,-5.69775
2.904,-9.29747,4.89782,-1.29571
2.956,-8.12870,5.35047,-2.61536
3.011,-9.83156,5.59237,-0.95801
3.055,-9.67348,3.64043,-1.95194
3.103,-7.78381,4.37091,-0.39039
3.162,-7.90356,3.40093,-1.50647
3.209,-7.14913,3.84880,-0.75683
3.259,-8.66997,3.45601,-1.34121
3.304,-9.24957,4.50024,3.27160
3.360,-8.80409,4.65831,5.32892
3.403,-10.08782,3.31471,5.43190
3.454,-10.98835,2.21060,3.11353
3.512,-11.17277,1.03704,2.73751
3.558,-10.88776,-0.07904,2.60099
3.613,-9.02443,-0.32333,3.21651
3.655,-9.19688,-0.11257,4.06914
3.711,-8.40891,0.27782,5.20677
3.753,-8.14067,0.47900,6.00910
3.812,-7.50599,0.31375,5.84624
3.860,-7.25451,-0.39997,4.81638
3.909,-7.59461,-0.74246,4.31343
3.967,-6.15520,-1.25020,2.90276
4.010,-8.16462,-1.24062,3.31231
4.058,-9.62558,-0.45984,3.89670
4.113,-12.26250,0.73048,5.14929
4.161,-10.83267,-0.09580,6.10969
4.208,-11.39550,-1.56395,6.67971
4.261,-8.78014,-2.12199,6.74917
4.308,-7.51557,-2.56507,4.98883
4.359,-9.65432,-2.12438,3.65480
4.408,-10.74406,-1.36516,2.18905
4.454,-11.03386,0.05269,2.23695
4.516,-10.43989,-0.15089,0.01677
4.556,-10.91171,0.57001,0.65384
4.617,-9.55613,-0.42392,-0.56283
4.658,-8.66279,0.39039,-0.37602
4.707,-6.94556,1.39151,2.04056
4.759,-5.52771,-0.61313,1.38672
