time,X_value,Y_value,Z_value
8.005,0.14610,-0.07425,9.87227
8.065,-0.11496,0.13891,9.98244
8.106,0.09101,-0.00958,9.89622
8.159,0.08143,-0.05748,10.01597
8.231,-0.02874,0.06227,9.99202
8.259,0.13412,-0.09820,9.77168
8.304,0.08383,0.08383,9.80282
8.363,0.14131,-0.08143,9.97286
8.411,0.17963,-0.02635,10.02555
8.469,-0.02395,0.04790,10.04950
8.504,0.11975,0.04790,9.93454
8.563,0.09341,-0.01198,9.85311
8.610,0.07185,-0.02635,9.90341
8.665,0.06706,-0.00240,9.86988
8.703,0.04072,-0.04072,9.90341
8.757,0.10059,-0.01677,9.87706
8.804,0.06227,-0.08143,9.85311
8.872,0.02874,0.00240,9.91778
8.905,0.14131,0.02635,9.79803
8.964,0.09341,0.01916,9.97526
9.004,0.07185,0.11975,9.87227
9.058,0.13412,0.03593,9.83874
9.111,0.09101,-0.01916,9.88664
9.160,0.13412,0.04790,9.86748
9.209,-0.01677,-0.01437,9.87227
9.264,0.08383,0.03114,10.00639
9.313,0.10778,-0.05748,9.89383
9.362,0.10538,-0.01198,9.95849
9.408,0.10059,0.03593,9.86988
9.455,0.04072,0.01437,9.89383
9.508,0.04311,-0.02395,9.85551
9.552,0.08622,0.02635,9.93215
9.613,0.07425,-0.00719,9.90580
9.655,0.05509,0.06706,9.86748
9.706,0.08143,-0.00240,9.85551
9.763,0.04072,-0.01198,9.82437
9.815,0.02156,0.00719,9.89862
9.863,0.05269,-0.05748,9.91299
9.911,-0.00240,0.04072,9.94412
9.956,0.04551,-0.02874,9.93215
10.018,0.06706,-0.00479,9.98963
10.053,0.05988,0.05509,9.87467
10.110,0.05988,0.02874,9.86030
10.164,0.03832,-0.01916,9.89143
10.206,0.07664,0.07664,9.92017
10.281,0.09820,-0.06706,9.90341
10.304,-0.01198,0.00000,9.90341
10.353,0.12215,-0.00719,9.87467
10.406,-0.05988,-0.02156,9.90341
10.463,0.03832,0.00719,9.82437
10.508,-0.00958,0.00240,9.94891
10.560,0.00000,-0.08622,9.80282
10.604,0.00958,0.00240,9.83156
10.665,0.16526,0.01916,9.82916
10.711,0.01198,0.00719,9.91778
10.759,0.05509,-0.01437,9.88185
10.804,-0.00719,0.01437,9.88664
10.858,0.06227,0.00479,9.92975
10.910,-0.00958,0.00000,9.85072
10.957,-0.00719,-0.04072,9.99442
11.003,0.02395,0.00000,9.99681
11.060,0.13173,0.04072,9.94412
