date,attributes,rDev,name
Saturday at 07:40 PM,look: 1.5 | smell: 1.5 | taste: 1 | feel: 2.5 | overall: 1.5,-48.3%,Coors | Coors Brewing Company
"Feb 01, 2017",look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5,+33.9%,Coors | Coors Brewing Company
"Jan 21, 2017",look: 5 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-54.2%,Coors | Coors Brewing Company
"Jan 10, 2017",look: 4 | smell: 3.5 | taste: 4.75 | feel: 5 | overall: 4.75,+63.5%,Coors | Coors Brewing Company
"Jan 09, 2017",look: 5 | smell: 4 | taste: 5 | feel: 4 | overall: 5,+72%,Coors | Coors Brewing Company
"Jan 09, 2017",look: 2.25 | smell: 2.5 | taste: 2 | feel: 2.25 | overall: 2.25,-18.5%,Coors | Coors Brewing Company
"Jan 06, 2017",look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25,+19.9%,Coors | Coors Brewing Company
"Jan 05, 2017",look: 4.5 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.5,-5.5%,Coors | Coors Brewing Company
"Dec 27, 2016",look: 2 | smell: 1.75 | taste: 3 | feel: 2 | overall: 2.25,-11.8%,Coors | Coors Brewing Company
"Dec 23, 2016",look: 3 | smell: 2.5 | taste: 2.5 | feel: 3.25 | overall: 2.5,-3.7%,Coors | Coors Brewing Company
"Nov 19, 2016",look: 2.5 | smell: 2.5 | taste: 2.75 | feel: 3.75 | overall: 2.75,+2.6%,Coors | Coors Brewing Company
"Nov 16, 2016",look: 3 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3,+15.5%,Coors | Coors Brewing Company
"Oct 05, 2016",look: 2 | smell: 2 | taste: 2.25 | feel: 2 | overall: 2.25,-20.7%,Coors | Coors Brewing Company
"Sep 04, 2016",look: 3 | smell: 2.5 | taste: 2.75 | feel: 2.75 | overall: 2.75,look: 3 | smell: 2.5 | taste: 2.75 | feel: 2.75 | overall: 2.75,Coors | Coors Brewing Company
"Aug 15, 2016",look: 3 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75,-32.5%,Coors | Coors Brewing Company
"Jul 09, 2016",look: 3.75 | smell: 3.25 | taste: 4.25 | feel: 4.25 | overall: 4,+45%,Coors | Coors Brewing Company
"Jun 16, 2016",look: 3 | smell: 2.25 | taste: 3 | feel: 3 | overall: 3,+4.1%,Coors | Coors Brewing Company
"Jun 09, 2016",look: 3 | smell: 2 | taste: 2.75 | feel: 2.25 | overall: 2.75,-6.3%,Coors | Coors Brewing Company
"Jun 09, 2016",look: 3.5 | smell: 4 | taste: 2.5 | feel: 3.25 | overall: 2.75,+12.5%,Coors | Coors Brewing Company
"Jun 07, 2016",look: 1.75 | smell: 1.75 | taste: 2.5 | feel: 1.75 | overall: 2,-22.5%,Coors | Coors Brewing Company
"May 23, 2016",look: 2 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 2.5,-10%,Coors | Coors Brewing Company
"May 20, 2016",look: 3.25 | smell: 2.5 | taste: 2.75 | feel: 3.25 | overall: 2.75,+2.2%,Coors | Coors Brewing Company
"May 14, 2016",look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75,+1.5%,Coors | Coors Brewing Company
"May 12, 2016",look: 2 | smell: 2 | taste: 4 | feel: 2.5 | overall: 3.5,+16.2%,Coors | Coors Brewing Company
"May 11, 2016",look: 2.25 | smell: 3 | taste: 2.75 | feel: 2.5 | overall: 2.75,+1.8%,Coors | Coors Brewing Company
"Apr 21, 2016",look: 4 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3.25,+20.7%,Coors | Coors Brewing Company
"Apr 15, 2016",look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75,+38%,Coors | Coors Brewing Company
"Apr 12, 2016",look: 3 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.5,+22.9%,Coors | Coors Brewing Company
"Mar 28, 2016",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+10.7%,Coors | Coors Brewing Company
"Mar 28, 2016",look: 2.5 | smell: 2.25 | taste: 3.25 | feel: 2.5 | overall: 3,+4.8%,Coors | Coors Brewing Company
"Mar 19, 2016",look: 2.5 | smell: 2.75 | taste: 3 | feel: 2 | overall: 2.25,-1.8%,Coors | Coors Brewing Company
"Mar 13, 2016",look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25,+20.7%,Coors | Coors Brewing Company
"Mar 05, 2016",look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75,+43.2%,Coors | Coors Brewing Company
"Feb 25, 2016",look: 4.25 | smell: 3.25 | taste: 2.5 | feel: 3.25 | overall: 2.5,+5.5%,Coors | Coors Brewing Company
"Feb 25, 2016",look: 2.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3,+5.2%,Coors | Coors Brewing Company
"Feb 18, 2016",look: 1.5 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 1.75,-32.1%,Coors | Coors Brewing Company
"Feb 13, 2016",look: 1.75 | smell: 3.5 | taste: 5 | feel: 4 | overall: 3.5,+49.4%,Coors | Coors Brewing Company
"Jan 12, 2016",look: 2 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.75,-41.7%,Coors | Coors Brewing Company
"Jan 06, 2016",look: 4 | smell: 3 | taste: 4 | feel: 4 | overall: 3.75,+36.9%,Coors | Coors Brewing Company
"Dec 28, 2015",look: 1.5 | smell: 1.5 | taste: 3.5 | feel: 3.25 | overall: 3,+2.6%,Coors | Coors Brewing Company
"Dec 18, 2015",look: 4.75 | smell: 2.5 | taste: 4.5 | feel: 4.5 | overall: 4.5,+49.1%,Coors | Coors Brewing Company
"Dec 08, 2015",look: 4 | smell: 2.75 | taste: 3.25 | feel: 3 | overall: 3,+14.4%,Coors | Coors Brewing Company
"Dec 06, 2015",look: 3.5 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 4,+43.2%,Coors | Coors Brewing Company
"Dec 01, 2015",look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25,+50.6%,Coors | Coors Brewing Company
"Nov 14, 2015",look: 4 | smell: 2.75 | taste: 1.75 | feel: 1 | overall: 2.5,-18.8%,Coors | Coors Brewing Company
"Nov 06, 2015",look: 2.25 | smell: 3.5 | taste: 3.25 | feel: 4 | overall: 3.25,+22.9%,Coors | Coors Brewing Company
"Oct 23, 2015",look: 3 | smell: 2.75 | taste: 3.25 | feel: 2.75 | overall: 3.25,+13.3%,Coors | Coors Brewing Company
"Oct 12, 2015",look: 3 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3,+8.5%,Coors | Coors Brewing Company
"Oct 02, 2015",look: 2.25 | smell: 2 | taste: 1.5 | feel: 1.75 | overall: 1.5,-37.6%,Coors | Coors Brewing Company
