date,attributes,rDev,name
"Sep 09, 2016",look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 5,+122.3%,Busch Beer | Anheuser-Busch
"Aug 30, 2016",look: 2 | smell: 2 | taste: 2.5 | feel: 1 | overall: 2,-0.5%,Busch Beer | Anheuser-Busch
"Aug 25, 2016",look: 2 | smell: 3.5 | taste: 1 | feel: 2 | overall: 2,-7.1%,Busch Beer | Anheuser-Busch
"Aug 11, 2016",look: 2.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3,+35.1%,Busch Beer | Anheuser-Busch
"Jul 25, 2016",look: 4 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.25,+14.7%,Busch Beer | Anheuser-Busch
"Jul 03, 2016",look: 1 | smell: 1.25 | taste: 2 | feel: 2 | overall: 1.75,-19%,Busch Beer | Anheuser-Busch
"Jun 10, 2016",look: 4 | smell: 2.5 | taste: 1.5 | feel: 1.25 | overall: 1.25,-13.7%,Busch Beer | Anheuser-Busch
"Jun 01, 2016",look: 1.25 | smell: 1.25 | taste: 1.5 | feel: 1.5 | overall: 1.5,-32.2%,Busch Beer | Anheuser-Busch
"May 27, 2016",look: 2.5 | smell: 2.5 | taste: 4.5 | feel: 2.5 | overall: 3.5,+65.9%,Busch Beer | Anheuser-Busch
"May 13, 2016",look: 3.75 | smell: 1.75 | taste: 2 | feel: 3.75 | overall: 2,+5.2%,Busch Beer | Anheuser-Busch
"May 10, 2016",look: 2 | smell: 2 | taste: 1.75 | feel: 1.75 | overall: 1.75,-13.3%,Busch Beer | Anheuser-Busch
"Apr 30, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-5.2%,Busch Beer | Anheuser-Busch
"Apr 27, 2016",look: 4 | smell: 2.25 | taste: 2 | feel: 2.75 | overall: 2.25,+9.5%,Busch Beer | Anheuser-Busch
"Apr 23, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-5.2%,Busch Beer | Anheuser-Busch
"Apr 12, 2016",look: 2.75 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3,+38.9%,Busch Beer | Anheuser-Busch
"Apr 09, 2016",look: 2 | smell: 4 | taste: 4 | feel: 4 | overall: 5,+93.4%,Busch Beer | Anheuser-Busch
"Mar 05, 2016",look: 2 | smell: 1 | taste: 1.25 | feel: 2 | overall: 1.25,-37.9%,Busch Beer | Anheuser-Busch
"Feb 26, 2016",look: 2.5 | smell: 1 | taste: 3 | feel: 3 | overall: 2.75,+15.6%,Busch Beer | Anheuser-Busch
"Feb 22, 2016",look: 4 | smell: 3.75 | taste: 3.25 | feel: 3 | overall: 3.5,+63%,Busch Beer | Anheuser-Busch
"Feb 16, 2016",look: 2 | smell: 2 | taste: 1.5 | feel: 2 | overall: 2,-14.7%,Busch Beer | Anheuser-Busch
"Jan 09, 2016",look: 4 | smell: 2 | taste: 1.75 | feel: 1.75 | overall: 2.5,-0.5%,Busch Beer | Anheuser-Busch
"Jan 03, 2016",look: 1.5 | smell: 2 | taste: 2.25 | feel: 3 | overall: 2.25,+5.2%,Busch Beer | Anheuser-Busch
"Dec 30, 2015",look: 1 | smell: 1.5 | taste: 1 | feel: 1.25 | overall: 1.25,-43.1%,Busch Beer | Anheuser-Busch
"Dec 02, 2015",look: 2 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.25,+61.1%,Busch Beer | Anheuser-Busch
"Nov 17, 2015",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+42.2%,Busch Beer | Anheuser-Busch
"Nov 14, 2015",look: 2 | smell: 1.75 | taste: 2.25 | feel: 1.75 | overall: 2.25,-1.9%,Busch Beer | Anheuser-Busch
"Nov 13, 2015",look: 1.5 | smell: 2 | taste: 3 | feel: 3.25 | overall: 3,+28%,Busch Beer | Anheuser-Busch
"Oct 21, 2015",look: 2.5 | smell: 2.25 | taste: 1.75 | feel: 3 | overall: 2,-0.9%,Busch Beer | Anheuser-Busch
"Oct 01, 2015",look: 2.75 | smell: 2.5 | taste: 2.5 | feel: 2.75 | overall: 2.5,+20.4%,Busch Beer | Anheuser-Busch
"Aug 31, 2015",look: 4.5 | smell: 3.25 | taste: 5 | feel: 1 | overall: 3.5,+82.5%,Busch Beer | Anheuser-Busch
"Aug 19, 2015",look: 2.5 | smell: 2.25 | taste: 2 | feel: 1.5 | overall: 2,-3.3%,Busch Beer | Anheuser-Busch
"Aug 16, 2015",look: 4.5 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 4,+77.3%,Busch Beer | Anheuser-Busch
"Aug 07, 2015",look: 1.75 | smell: 1.75 | taste: 2.25 | feel: 2.5 | overall: 2.25,+0.9%,Busch Beer | Anheuser-Busch
"Jul 13, 2015",look: 2 | smell: 3.5 | taste: 5 | feel: 3 | overall: 4,+92.4%,Busch Beer | Anheuser-Busch
"Jun 30, 2015",look: 3 | smell: 3 | taste: 4.75 | feel: 4 | overall: 4,+89.6%,Busch Beer | Anheuser-Busch
"Jun 26, 2015",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+18.5%,Busch Beer | Anheuser-Busch
"Jun 25, 2015",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-5.2%,Busch Beer | Anheuser-Busch
"Jun 04, 2015",look: 1.5 | smell: 1.25 | taste: 1.5 | feel: 1 | overall: 1.5,-34.1%,Busch Beer | Anheuser-Busch
"Jun 03, 2015",look: 1.5 | smell: 1 | taste: 1.25 | feel: 1.25 | overall: 1,-45%,Busch Beer | Anheuser-Busch
"Jun 01, 2015",look: 2 | smell: 2.25 | taste: 2.5 | feel: 1.5 | overall: 1.75,+2.4%,Busch Beer | Anheuser-Busch
"May 31, 2015",look: 2.5 | smell: 2 | taste: 3 | feel: 2.5 | overall: 2.75,+24.6%,Busch Beer | Anheuser-Busch
"Apr 19, 2015",look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.5 | overall: 3.75,+86.7%,Busch Beer | Anheuser-Busch
"Apr 12, 2015",look: 2.25 | smell: 1 | taste: 2.75 | feel: 1 | overall: 2.25,-3.8%,Busch Beer | Anheuser-Busch
"Feb 21, 2015",look: 2 | smell: 2 | taste: 1 | feel: 1 | overall: 1.25,-36%,Busch Beer | Anheuser-Busch
"Feb 05, 2015",look: 1.5 | smell: 1.5 | taste: 2 | feel: 3.5 | overall: 2.25,-2.8%,Busch Beer | Anheuser-Busch
"Jan 27, 2015",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+42.2%,Busch Beer | Anheuser-Busch
"Jan 03, 2015",look: 3 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 4,+78.7%,Busch Beer | Anheuser-Busch
"Dec 30, 2014",look: 2.5 | smell: 1.5 | taste: 1.5 | feel: 3 | overall: 1.75,-16.6%,Busch Beer | Anheuser-Busch
"Dec 08, 2014","1,716 characters",+137%,Busch Beer | Anheuser-Busch
"Nov 10, 2014",553 characters,+89.6%,Busch Beer | Anheuser-Busch
"Nov 09, 2014",look: 3 | smell: 1.5 | taste: 2 | feel: 2 | overall: 1.5,-12.8%,Busch Beer | Anheuser-Busch
"Nov 08, 2014",297 characters,-28.9%,Busch Beer | Anheuser-Busch
"Nov 02, 2014",look: 3 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.5,+14.2%,Busch Beer | Anheuser-Busch
"Sep 01, 2014","1,307 characters",+48.3%,Busch Beer | Anheuser-Busch
"Aug 26, 2014",look: 2 | smell: 2 | taste: 1.75 | feel: 1 | overall: 1.5,-19.4%,Busch Beer | Anheuser-Busch
"Aug 21, 2014",527 characters,+42.2%,Busch Beer | Anheuser-Busch
"Aug 20, 2014",648 characters,+89.6%,Busch Beer | Anheuser-Busch
"Aug 18, 2014",646 characters,+18.5%,Busch Beer | Anheuser-Busch
"Aug 12, 2014",look: 2.5 | smell: 1.75 | taste: 1.5 | feel: 2 | overall: 2,-16.1%,Busch Beer | Anheuser-Busch
"Jul 16, 2014",look: 2 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-49.8%,Busch Beer | Anheuser-Busch
"Jul 09, 2014",look: 3 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3,+36.5%,Busch Beer | Anheuser-Busch
"Jun 21, 2014",look: 3 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.25,+55.5%,Busch Beer | Anheuser-Busch
"Jun 17, 2014",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+137%,Busch Beer | Anheuser-Busch
"Apr 27, 2014",look: 2.75 | smell: 2.75 | taste: 3 | feel: 2.75 | overall: 3,+37.4%,Busch Beer | Anheuser-Busch
"Apr 16, 2014",look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.5 | overall: 2.25,+8.1%,Busch Beer | Anheuser-Busch
"Apr 16, 2014",look: 3 | smell: 3 | taste: 2.5 | feel: 3.25 | overall: 2.75,+31.8%,Busch Beer | Anheuser-Busch
"Apr 10, 2014",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+42.2%,Busch Beer | Anheuser-Busch
"Mar 26, 2014",look: 3 | smell: 2 | taste: 3 | feel: 3 | overall: 3.5,+35.5%,Busch Beer | Anheuser-Busch
"Mar 23, 2014",look: 3 | smell: 3 | taste: 2.75 | feel: 2.75 | overall: 3,+36.5%,Busch Beer | Anheuser-Busch
"Mar 06, 2014",look: 4 | smell: 3.5 | taste: 2.75 | feel: 3.25 | overall: 3,+47.4%,Busch Beer | Anheuser-Busch
"Feb 22, 2014",look: 3.75 | smell: 3 | taste: 2.75 | feel: 2 | overall: 2.5,+30.3%,Busch Beer | Anheuser-Busch
"Dec 24, 2013",look: 1.75 | smell: 1.75 | taste: 2.25 | feel: 2.25 | overall: 2,-2.8%,Busch Beer | Anheuser-Busch
"Dec 12, 2013",look: 2.5 | smell: 2 | taste: 3.5 | feel: 3 | overall: 3,+38.9%,Busch Beer | Anheuser-Busch
"Dec 04, 2013",look: 3 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.5,+76.3%,Busch Beer | Anheuser-Busch
"Nov 22, 2013",look: 1.5 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-6.6%,Busch Beer | Anheuser-Busch
"Nov 09, 2013",look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 2,-13.3%,Busch Beer | Anheuser-Busch
