date,attributes,rDev,name
"Jan 28, 2017",look: 3 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3.25,+61.7%,Natural Ice | Anheuser-Busch
"Jan 16, 2017",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-50.2%,Natural Ice | Anheuser-Busch
"Jan 07, 2017",look: 3 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+25.9%,Natural Ice | Anheuser-Busch
"Jan 07, 2017",look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75,+91.5%,Natural Ice | Anheuser-Busch
"Nov 23, 2016",look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4,+92.5%,Natural Ice | Anheuser-Busch
"Nov 16, 2016",look: 3 | smell: 5 | taste: 5 | feel: 3 | overall: 4,+122.9%,Natural Ice | Anheuser-Busch
"Sep 09, 2016",look: 2 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-47.3%,Natural Ice | Anheuser-Busch
"Sep 03, 2016",look: 4.75 | smell: 3 | taste: 4 | feel: 4 | overall: 4,+89.6%,Natural Ice | Anheuser-Busch
"Jul 15, 2016",look: 2 | smell: 4 | taste: 3 | feel: 3 | overall: 4,+68.2%,Natural Ice | Anheuser-Busch
"Jul 14, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-0.5%,Natural Ice | Anheuser-Busch
"Jun 01, 2016",look: 4 | smell: 2.5 | taste: 3 | feel: 3.5 | overall: 3,+48.8%,Natural Ice | Anheuser-Busch
"May 13, 2016",look: 1.5 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 1.75,-12.4%,Natural Ice | Anheuser-Busch
"Apr 13, 2016",look: 2 | smell: 1.75 | taste: 3.25 | feel: 3.5 | overall: 2.5,+33.8%,Natural Ice | Anheuser-Busch
"Apr 13, 2016",look: 2.5 | smell: 2 | taste: 3 | feel: 2.75 | overall: 2.75,+32.3%,Natural Ice | Anheuser-Busch
"Apr 06, 2016",look: 1 | smell: 1 | taste: 2 | feel: 2 | overall: 2,-15.4%,Natural Ice | Anheuser-Busch
"Mar 27, 2016",look: 3 | smell: 2 | taste: 2.25 | feel: 2.5 | overall: 2.25,+12.4%,Natural Ice | Anheuser-Busch
"Feb 01, 2016",look: 2.25 | smell: 1.25 | taste: 1.25 | feel: 1.5 | overall: 1.5,-30.8%,Natural Ice | Anheuser-Busch
"Dec 28, 2015",look: 2 | smell: 2 | taste: 2.5 | feel: 3 | overall: 2,+14.4%,Natural Ice | Anheuser-Busch
"Dec 03, 2015",look: 2.5 | smell: 1.75 | taste: 1.75 | feel: 3 | overall: 1.75,-4.5%,Natural Ice | Anheuser-Busch
"Oct 12, 2015",look: 3.5 | smell: 2.75 | taste: 2.5 | feel: 4.25 | overall: 4,+54.2%,Natural Ice | Anheuser-Busch
"Oct 02, 2015",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+148.8%,Natural Ice | Anheuser-Busch
"Sep 26, 2015",look: 3 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3,+57.2%,Natural Ice | Anheuser-Busch
"Sep 01, 2015",look: 3 | smell: 2 | taste: 4.5 | feel: 5 | overall: 4.5,+92%,Natural Ice | Anheuser-Busch
"Jul 03, 2015",look: 1.25 | smell: 1 | taste: 1 | feel: 1 | overall: 1.5,-44.3%,Natural Ice | Anheuser-Busch
"Jun 30, 2015",look: 4 | smell: 1.25 | taste: 2 | feel: 5 | overall: 3,+21.4%,Natural Ice | Anheuser-Busch
"Jun 08, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-50.2%,Natural Ice | Anheuser-Busch
"Jun 01, 2015",look: 2 | smell: 4 | taste: 5 | feel: 4 | overall: 5,+122.9%,Natural Ice | Anheuser-Busch
"May 02, 2015",look: 2 | smell: 1.75 | taste: 2.25 | feel: 2 | overall: 2.25,+4%,Natural Ice | Anheuser-Busch
"Apr 26, 2015",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+49.3%,Natural Ice | Anheuser-Busch
"Apr 02, 2015",look: 2 | smell: 1.5 | taste: 3 | feel: 2.25 | overall: 3,+24.9%,Natural Ice | Anheuser-Busch
"Mar 27, 2015",look: 2.5 | smell: 1.75 | taste: 2.25 | feel: 2.5 | overall: 2.25,+8%,Natural Ice | Anheuser-Busch
"Mar 17, 2015",look: 1.75 | smell: 1.75 | taste: 2.5 | feel: 2.75 | overall: 2.5,+14.4%,Natural Ice | Anheuser-Busch
"Mar 12, 2015",look: 1.5 | smell: 1.5 | taste: 1.25 | feel: 1.5 | overall: 1.25,-32.8%,Natural Ice | Anheuser-Busch
"Jan 28, 2015",look: 2 | smell: 1.25 | taste: 1 | feel: 3 | overall: 2.25,-21.9%,Natural Ice | Anheuser-Busch
