date,attributes,rDev,name
"Dec 25, 2016",look: 2 | smell: 2.25 | taste: 1.25 | feel: 1.25 | overall: 1.5,-17.6%,Bud Light | Anheuser-Busch
"Dec 15, 2016",look: 1 | smell: 1 | taste: 1.5 | feel: 1.75 | overall: 1.25,-31.1%,Bud Light | Anheuser-Busch
"Oct 17, 2016",look: 2 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 1.75,-7.3%,Bud Light | Anheuser-Busch
"Oct 14, 2016",look: 2 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3,+51.3%,Bud Light | Anheuser-Busch
"Oct 09, 2016",look: 2 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-45.1%,Bud Light | Anheuser-Busch
"Sep 24, 2016",look: 3 | smell: 1.75 | taste: 1.5 | feel: 2 | overall: 1.75,-9.3%,Bud Light | Anheuser-Busch
"Sep 08, 2016",look: 1.5 | smell: 2.25 | taste: 2 | feel: 1.5 | overall: 2,+2.6%,Bud Light | Anheuser-Busch
"Sep 05, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2,+6.2%,Bud Light | Anheuser-Busch
"Aug 22, 2016",look: 2 | smell: 1.25 | taste: 2.25 | feel: 1.5 | overall: 1.75,-5.7%,Bud Light | Anheuser-Busch
"Aug 05, 2016",look: 1 | smell: 3 | taste: 3 | feel: 5 | overall: 3,+59.6%,Bud Light | Anheuser-Busch
"Jul 26, 2016",look: 2 | smell: 1.5 | taste: 3.25 | feel: 2 | overall: 2.75,+31.1%,Bud Light | Anheuser-Busch
"Jul 25, 2016",look: 2.5 | smell: 1.5 | taste: 3 | feel: 3 | overall: 2,+24.9%,Bud Light | Anheuser-Busch
"Jul 17, 2016",look: 4.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-37.3%,Bud Light | Anheuser-Busch
"Jul 14, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 3,+14%,Bud Light | Anheuser-Busch
"Jun 16, 2016",look: 3.5 | smell: 3 | taste: 3.5 | feel: 3.75 | overall: 3.5,+76.7%,Bud Light | Anheuser-Busch
"Jun 10, 2016",look: 1.25 | smell: 1 | taste: 1.25 | feel: 1.5 | overall: 1.25,-36.8%,Bud Light | Anheuser-Busch
"May 31, 2016",look: 2.5 | smell: 2 | taste: 1.25 | feel: 1.25 | overall: 1.75,-16.6%,Bud Light | Anheuser-Busch
"May 30, 2016",look: 4 | smell: 3 | taste: 3.5 | feel: 4.5 | overall: 3.75,+84.5%,Bud Light | Anheuser-Busch
"May 29, 2016",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-48.2%,Bud Light | Anheuser-Busch
"May 24, 2016",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-48.2%,Bud Light | Anheuser-Busch
"May 14, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+3.6%,Bud Light | Anheuser-Busch
"May 06, 2016",look: 3 | smell: 3 | taste: 2.5 | feel: 2.5 | overall: 3,+42.5%,Bud Light | Anheuser-Busch
"Apr 16, 2016",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-48.2%,Bud Light | Anheuser-Busch
"Apr 15, 2016",look: 1.75 | smell: 1.75 | taste: 1.5 | feel: 2.25 | overall: 2.25,-6.7%,Bud Light | Anheuser-Busch
"Apr 05, 2016",look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.5 | overall: 1.25,-33.7%,Bud Light | Anheuser-Busch
"Mar 31, 2016",look: 2 | smell: 1.5 | taste: 1.75 | feel: 2 | overall: 1.75,-10.4%,Bud Light | Anheuser-Busch
"Mar 16, 2016",look: 1.5 | smell: 1 | taste: 1.5 | feel: 1 | overall: 1,-36.3%,Bud Light | Anheuser-Busch
"Mar 14, 2016",look: 3.5 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 2.5,+31.1%,Bud Light | Anheuser-Busch
"Mar 05, 2016",look: 3.75 | smell: 1.25 | taste: 1.75 | feel: 2.5 | overall: 1.75,-5.2%,Bud Light | Anheuser-Busch
"Feb 16, 2016",look: 1.75 | smell: 2 | taste: 2 | feel: 1.5 | overall: 2,+0.5%,Bud Light | Anheuser-Busch
"Feb 12, 2016",look: 4 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75,+152.3%,Bud Light | Anheuser-Busch
"Feb 07, 2016",look: 2.75 | smell: 2 | taste: 2 | feel: 2 | overall: 2.25,+8.8%,Bud Light | Anheuser-Busch
"Jan 30, 2016",look: 3.25 | smell: 2.5 | taste: 2.5 | feel: 3.75 | overall: 3,+43.5%,Bud Light | Anheuser-Busch
"Jan 26, 2016",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 2.5,+32.1%,Bud Light | Anheuser-Busch
"Jan 26, 2016",look: 3.25 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.5,+27.5%,Bud Light | Anheuser-Busch
"Jan 15, 2016",look: 2.75 | smell: 1.5 | taste: 1.75 | feel: 1.5 | overall: 1.5,-13%,Bud Light | Anheuser-Busch
"Jan 13, 2016",look: 2.5 | smell: 3 | taste: 2 | feel: 2.75 | overall: 2,+21.8%,Bud Light | Anheuser-Busch
"Jan 12, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+3.6%,Bud Light | Anheuser-Busch
"Jan 12, 2016",look: 2.5 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2,+8.3%,Bud Light | Anheuser-Busch
"Jan 08, 2016",look: 3 | smell: 1.75 | taste: 1 | feel: 1.5 | overall: 1.5,-24.9%,Bud Light | Anheuser-Busch
"Jan 02, 2016",look: 2.5 | smell: 1 | taste: 2 | feel: 2 | overall: 2,-7.3%,Bud Light | Anheuser-Busch
"Jan 01, 2016",look: 1 | smell: 1.5 | taste: 1 | feel: 1.5 | overall: 1.25,-36.8%,Bud Light | Anheuser-Busch
"Dec 31, 2015",look: 2 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5,+11.4%,Bud Light | Anheuser-Busch
