date,attributes,rDev,name
Yesterday at 07:10 PM,look: 2 | smell: 1 | taste: 1 | feel: 1.5 | overall: 2,-36.1%,Coors Light | Coors Brewing Company
Saturday at 03:31 AM,look: 2 | smell: 2 | taste: 2.5 | feel: 2.75 | overall: 2.5,+16.1%,Coors Light | Coors Brewing Company
"Jan 06, 2017",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-51.2%,Coors Light | Coors Brewing Company
"Jan 04, 2017",look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25,+107.3%,Coors Light | Coors Brewing Company
"Dec 03, 2016",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-51.2%,Coors Light | Coors Brewing Company
"Nov 23, 2016",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+143.9%,Coors Light | Coors Brewing Company
"Oct 23, 2016",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+22%,Coors Light | Coors Brewing Company
"Sep 15, 2016",look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25,+53.7%,Coors Light | Coors Brewing Company
"Aug 27, 2016",look: 2 | smell: 2 | taste: 2.5 | feel: 3 | overall: 2.5,+17.1%,Coors Light | Coors Brewing Company
"Aug 15, 2016",look: 3 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+0.5%,Coors Light | Coors Brewing Company
"Jul 24, 2016",look: 2.5 | smell: 2.75 | taste: 3 | feel: 2.5 | overall: 2.5,+34.6%,Coors Light | Coors Brewing Company
"Jul 15, 2016",look: 2 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 1.75,-12.7%,Coors Light | Coors Brewing Company
"Jul 14, 2016",look: 2 | smell: 1 | taste: 1.25 | feel: 2 | overall: 1.25,-36.1%,Coors Light | Coors Brewing Company
"Jul 04, 2016",look: 2.25 | smell: 1.75 | taste: 1.5 | feel: 2.25 | overall: 1.5,-18%,Coors Light | Coors Brewing Company
"Jul 02, 2016",look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.75,+67.8%,Coors Light | Coors Brewing Company
"Jun 19, 2016",look: 2.25 | smell: 2.5 | taste: 3 | feel: 2.25 | overall: 3,+34.6%,Coors Light | Coors Brewing Company
"Jun 16, 2016",look: 2 | smell: 2 | taste: 3 | feel: 3 | overall: 2.5,+26.8%,Coors Light | Coors Brewing Company
"Jun 04, 2016",look: 2.75 | smell: 2.75 | taste: 3.5 | feel: 3.75 | overall: 3.5,+61%,Coors Light | Coors Brewing Company
"Jun 03, 2016",look: 2.75 | smell: 2.25 | taste: 2 | feel: 1.75 | overall: 2,+1.5%,Coors Light | Coors Brewing Company
"Jun 01, 2016",look: 1.75 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2,look: 1.75 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2,Coors Light | Coors Brewing Company
"May 30, 2016",look: 2.25 | smell: 2 | taste: 2 | feel: 2.25 | overall: 2,-0.5%,Coors Light | Coors Brewing Company
"May 29, 2016",look: 1.5 | smell: 1.25 | taste: 1.25 | feel: 1 | overall: 1,-42%,Coors Light | Coors Brewing Company
"May 24, 2016",look: 3.5 | smell: 3.5 | taste: 5 | feel: 3.5 | overall: 4.5,+109.8%,Coors Light | Coors Brewing Company
"May 24, 2016",look: 3 | smell: 2.5 | taste: 5 | feel: 3 | overall: 3.5,+84.4%,Coors Light | Coors Brewing Company
"May 23, 2016",look: 3 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3.25,+56.1%,Coors Light | Coors Brewing Company
"May 23, 2016",look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4,+95.1%,Coors Light | Coors Brewing Company
"May 21, 2016",look: 3.25 | smell: 2.5 | taste: 2.75 | feel: 3 | overall: 3,+36.6%,Coors Light | Coors Brewing Company
