date,attributes,rDev,name
Wednesday at 01:36 AM,look: 2 | smell: 1.5 | taste: 1.5 | feel: 2.25 | overall: 2.25,-3.3%,Natural Light | Anheuser-Busch
"Sep 28, 2016",look: 1.5 | smell: 1.75 | taste: 1.75 | feel: 1.5 | overall: 1.5,-8.8%,Natural Light | Anheuser-Busch
"Sep 05, 2016",look: 2 | smell: 1 | taste: 1 | feel: 1 | overall: 1.25,-39%,Natural Light | Anheuser-Busch
"Aug 29, 2016",look: 3.25 | smell: 2.5 | taste: 2.75 | feel: 2.75 | overall: 2.75,+49.5%,Natural Light | Anheuser-Busch
"Jul 03, 2016",look: 2.75 | smell: 2.25 | taste: 3 | feel: 2 | overall: 2.25,+40.7%,Natural Light | Anheuser-Busch
"Jun 15, 2016",look: 2.25 | smell: 2.5 | taste: 2.75 | feel: 2 | overall: 2.75,+42.3%,Natural Light | Anheuser-Busch
"May 26, 2016",look: 1 | smell: 1 | taste: 1.5 | feel: 1 | overall: 1.25,-31.3%,Natural Light | Anheuser-Busch
"May 24, 2016",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-45.1%,Natural Light | Anheuser-Busch
"Apr 28, 2016",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-45.1%,Natural Light | Anheuser-Busch
"Apr 13, 2016",look: 2 | smell: 1.25 | taste: 3 | feel: 3.5 | overall: 1.5,+24.7%,Natural Light | Anheuser-Busch
"Jan 15, 2016",look: 3.5 | smell: 2.5 | taste: 3 | feel: 3.25 | overall: 3,+61.5%,Natural Light | Anheuser-Busch
"Jan 07, 2016",look: 2 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-41.8%,Natural Light | Anheuser-Busch
"Dec 24, 2015",look: 3 | smell: 2 | taste: 2 | feel: 2 | overall: 2,+13.2%,Natural Light | Anheuser-Busch
"Dec 16, 2015",look: 3 | smell: 3 | taste: 3 | feel: 4.5 | overall: 3.5,+78.6%,Natural Light | Anheuser-Busch
"Dec 05, 2015",look: 4 | smell: 3 | taste: 5 | feel: 3 | overall: 4.25,+125.8%,Natural Light | Anheuser-Busch
"Nov 17, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-45.1%,Natural Light | Anheuser-Busch
"Nov 09, 2015",look: 1 | smell: 1 | taste: 1.5 | feel: 1.25 | overall: 1.25,-29.7%,Natural Light | Anheuser-Busch
"Oct 21, 2015",look: 3.5 | smell: 2.5 | taste: 3 | feel: 3.25 | overall: 3,+61.5%,Natural Light | Anheuser-Busch
"Oct 20, 2015",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75,+172%,Natural Light | Anheuser-Busch
"Oct 03, 2015",look: 3 | smell: 3 | taste: 4 | feel: 4 | overall: 3,+92.3%,Natural Light | Anheuser-Busch
"Sep 26, 2015",look: 3 | smell: 3 | taste: 3.5 | feel: 2.75 | overall: 3,+74.7%,Natural Light | Anheuser-Busch
"Sep 13, 2015",look: 1.5 | smell: 2 | taste: 2.25 | feel: 2 | overall: 2.25,+16.5%,Natural Light | Anheuser-Busch
"Aug 02, 2015",look: 1.5 | smell: 1.75 | taste: 2 | feel: 1.5 | overall: 1.5,-3.3%,Natural Light | Anheuser-Busch
"Jul 13, 2015",look: 3.5 | smell: 2.25 | taste: 1.5 | feel: 2 | overall: 2,+7.1%,Natural Light | Anheuser-Busch
"Jun 22, 2015",look: 2.5 | smell: 2.25 | taste: 4 | feel: 4.25 | overall: 3.75,+90.7%,Natural Light | Anheuser-Busch
"Jun 20, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-45.1%,Natural Light | Anheuser-Busch
"Jun 18, 2015",look: 2 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 2,-10.4%,Natural Light | Anheuser-Busch
"May 18, 2015",look: 5 | smell: 1 | taste: 5 | feel: 5 | overall: 5,+122%,Natural Light | Anheuser-Busch
"Apr 28, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-45.1%,Natural Light | Anheuser-Busch
"Apr 01, 2015",look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 5,+130.8%,Natural Light | Anheuser-Busch
"Mar 12, 2015",look: 1 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5,-19.2%,Natural Light | Anheuser-Busch
