date,attributes,rDev,name
"Jan 31, 2017",look: 4.5 | smell: 1.5 | taste: 3 | feel: 3 | overall: 3.75,+18.5%,Budweiser | Anheuser-Busch
"Jan 29, 2017",look: 3 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-15.2%,Budweiser | Anheuser-Busch
"Jan 22, 2017",look: 4 | smell: 2.75 | taste: 3 | feel: 4 | overall: 3.25,+29.6%,Budweiser | Anheuser-Busch
"Jan 14, 2017",look: 4.5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75,+100%,Budweiser | Anheuser-Busch
"Jan 12, 2017",look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 2.25,-0.4%,Budweiser | Anheuser-Busch
"Dec 21, 2016",look: 2.25 | smell: 1.5 | taste: 1.5 | feel: 2.25 | overall: 2,-29.2%,Budweiser | Anheuser-Busch
"Sep 25, 2016",look: 4 | smell: 4.25 | taste: 5 | feel: 5 | overall: 4.75,+93.8%,Budweiser | Anheuser-Busch
"Sep 18, 2016",look: 3 | smell: 1.75 | taste: 1.5 | feel: 1.25 | overall: 2,-28.8%,Budweiser | Anheuser-Busch
"Aug 19, 2016",look: 1.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1.5,-53.5%,Budweiser | Anheuser-Busch
"Aug 15, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-17.7%,Budweiser | Anheuser-Busch
"Aug 04, 2016",look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4,+64.6%,Budweiser | Anheuser-Busch
"Jul 29, 2016",look: 3 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+4.1%,Budweiser | Anheuser-Busch
"Jul 17, 2016",look: 4.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-50.2%,Budweiser | Anheuser-Busch
"Jul 16, 2016",look: 2 | smell: 2.25 | taste: 3.5 | feel: 3.25 | overall: 2.75,+21%,Budweiser | Anheuser-Busch
"Jul 14, 2016",look: 2.25 | smell: 2.25 | taste: 3.25 | feel: 2.25 | overall: 3.25,+17.3%,Budweiser | Anheuser-Busch
"Jun 30, 2016",look: 2.75 | smell: 3 | taste: 2.75 | feel: 3.25 | overall: 3,+19.8%,Budweiser | Anheuser-Busch
"Jun 19, 2016",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Jun 19, 2016",look: 4 | smell: 3.75 | taste: 3 | feel: 2.75 | overall: 3,+32.5%,Budweiser | Anheuser-Busch
"Jun 18, 2016",look: 3 | smell: 2.25 | taste: 2.25 | feel: 2.75 | overall: 2.25,-3.3%,Budweiser | Anheuser-Busch
"Jun 10, 2016",look: 1.5 | smell: 1 | taste: 1 | feel: 2 | overall: 1.75,-47.3%,Budweiser | Anheuser-Busch
"Jun 04, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-17.7%,Budweiser | Anheuser-Busch
"Jun 01, 2016",look: 1.25 | smell: 1 | taste: 1.25 | feel: 1.5 | overall: 1.25,-49.8%,Budweiser | Anheuser-Busch
"May 23, 2016",look: 2 | smell: 2.25 | taste: 2.75 | feel: 3 | overall: 2.5,+5.3%,Budweiser | Anheuser-Busch
"May 22, 2016",look: 2.75 | smell: 1.75 | taste: 1 | feel: 2.5 | overall: 2,-32.5%,Budweiser | Anheuser-Busch
"May 17, 2016",look: 2.5 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.5,-2.1%,Budweiser | Anheuser-Busch
"May 14, 2016",look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75,+13.2%,Budweiser | Anheuser-Busch
"May 10, 2016",look: 3.25 | smell: 2.75 | taste: 2 | feel: 1.75 | overall: 2,-8.2%,Budweiser | Anheuser-Busch
"May 07, 2016",look: 2.5 | smell: 2.5 | taste: 3.25 | feel: 3.25 | overall: 3,+22.6%,Budweiser | Anheuser-Busch
"May 04, 2016",look: 3 | smell: 2 | taste: 1.75 | feel: 2.5 | overall: 1.5,-21.4%,Budweiser | Anheuser-Busch
"May 02, 2016",look: 3 | smell: 3 | taste: 1 | feel: 3 | overall: 1,-25.9%,Budweiser | Anheuser-Busch
"May 01, 2016",look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25,+76.1%,Budweiser | Anheuser-Busch
"May 01, 2016",look: 3 | smell: 2.5 | taste: 2.25 | feel: 3 | overall: 2.75,+4.1%,Budweiser | Anheuser-Busch
"Apr 30, 2016",look: 3.25 | smell: 3.5 | taste: 3 | feel: 4.25 | overall: 3.5,+38.3%,Budweiser | Anheuser-Busch
"Apr 28, 2016",look: 3 | smell: 1.25 | taste: 1.5 | feel: 2.5 | overall: 1,-37%,Budweiser | Anheuser-Busch
"Apr 27, 2016",look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75,+52.7%,Budweiser | Anheuser-Busch
"Apr 27, 2016",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-17.7%,Budweiser | Anheuser-Busch
"Apr 22, 2016",look: 2.25 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2,-14.4%,Budweiser | Anheuser-Busch
"Apr 16, 2016",look: 4 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 4,+56.8%,Budweiser | Anheuser-Busch
"Apr 13, 2016",look: 3.5 | smell: 2.5 | taste: 3.25 | feel: 3.25 | overall: 3.25,+27.2%,Budweiser | Anheuser-Busch
"Apr 11, 2016",look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25,+29.6%,Budweiser | Anheuser-Busch
"Apr 09, 2016",look: 3 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 4,+52.3%,Budweiser | Anheuser-Busch
"Apr 07, 2016",look: 2.25 | smell: 2.5 | taste: 2.5 | feel: 2.25 | overall: 2.75,+3.3%,Budweiser | Anheuser-Busch
"Apr 04, 2016",look: 2.5 | smell: 2.75 | taste: 3.5 | feel: 4 | overall: 3.25,+34.2%,Budweiser | Anheuser-Busch
"Mar 30, 2016",look: 2.25 | smell: 2.5 | taste: 3 | feel: 3.25 | overall: 3,+17.7%,Budweiser | Anheuser-Busch
"Mar 29, 2016",look: 1.25 | smell: 1 | taste: 1 | feel: 1.25 | overall: 1.25,-55.1%,Budweiser | Anheuser-Busch
"Mar 25, 2016",look: 2.75 | smell: 2.75 | taste: 2.25 | feel: 2.25 | overall: 2.25,-1.2%,Budweiser | Anheuser-Busch
"Mar 24, 2016",look: 4 | smell: 2.5 | taste: 2.5 | feel: 2 | overall: 2.75,+6.6%,Budweiser | Anheuser-Busch
"Mar 24, 2016",look: 1.25 | smell: 1 | taste: 1.25 | feel: 1 | overall: 1,-53.9%,Budweiser | Anheuser-Busch
"Mar 18, 2016",look: 2.75 | smell: 2.25 | taste: 2.75 | feel: 3 | overall: 2.75,+9.5%,Budweiser | Anheuser-Busch
"Mar 05, 2016",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Feb 26, 2016",look: 5 | smell: 3 | taste: 3 | feel: 4.75 | overall: 3.5,+39.9%,Budweiser | Anheuser-Busch
"Feb 20, 2016",look: 3 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3,+30%,Budweiser | Anheuser-Busch
"Feb 06, 2016",look: 3.75 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+6.2%,Budweiser | Anheuser-Busch
"Jan 18, 2016",look: 2.25 | smell: 3.25 | taste: 1.25 | feel: 3.5 | overall: 1.75,-12.8%,Budweiser | Anheuser-Busch
"Jan 09, 2016",look: 4 | smell: 2 | taste: 2 | feel: 1 | overall: 2.75,-10.7%,Budweiser | Anheuser-Busch
"Jan 05, 2016",look: 2 | smell: 1.5 | taste: 2.5 | feel: 4 | overall: 2.75,look: 2 | smell: 1.5 | taste: 2.5 | feel: 4 | overall: 2.75,Budweiser | Anheuser-Busch
"Jan 04, 2016",look: 2.75 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 2.5,+2.1%,Budweiser | Anheuser-Busch
"Dec 31, 2015",look: 2.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3,+17.3%,Budweiser | Anheuser-Busch
"Dec 27, 2015",look: 3 | smell: 2.75 | taste: 3 | feel: 2 | overall: 2.75,+14.8%,Budweiser | Anheuser-Busch
"Dec 20, 2015",look: 2.5 | smell: 1.5 | taste: 2 | feel: 2.5 | overall: 1.5,-23.5%,Budweiser | Anheuser-Busch
"Dec 19, 2015",look: 4 | smell: 2 | taste: 2.25 | feel: 2 | overall: 2.5,-4.5%,Budweiser | Anheuser-Busch
"Dec 13, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Dec 10, 2015",look: 2 | smell: 2 | taste: 1.5 | feel: 2 | overall: 1.75,-28%,Budweiser | Anheuser-Busch
"Dec 03, 2015",look: 1 | smell: 1 | taste: 2 | feel: 2 | overall: 2,-30%,Budweiser | Anheuser-Busch
"Nov 28, 2015",look: 2.5 | smell: 2 | taste: 1.5 | feel: 1 | overall: 1.5,-32.9%,Budweiser | Anheuser-Busch
"Nov 28, 2015",look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.25 | overall: 1.25,-48.6%,Budweiser | Anheuser-Busch
"Nov 26, 2015",look: 2 | smell: 1.5 | taste: 2 | feel: 2.5 | overall: 2,-20.6%,Budweiser | Anheuser-Busch
"Nov 23, 2015",look: 2.25 | smell: 2.25 | taste: 2 | feel: 2.75 | overall: 2.25,-9.5%,Budweiser | Anheuser-Busch
"Nov 19, 2015",look: 2 | smell: 2.5 | taste: 3 | feel: 4 | overall: 3,+20.2%,Budweiser | Anheuser-Busch
"Nov 14, 2015",look: 4 | smell: 3.5 | taste: 3 | feel: 1 | overall: 4,+30.9%,Budweiser | Anheuser-Busch
"Nov 09, 2015",look: 2.5 | smell: 2 | taste: 1.75 | feel: 2 | overall: 2,-20.6%,Budweiser | Anheuser-Busch
"Nov 08, 2015",look: 3.25 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3,+21.8%,Budweiser | Anheuser-Busch
"Nov 08, 2015",look: 2.25 | smell: 2 | taste: 2.25 | feel: 2.25 | overall: 2.25,-9.9%,Budweiser | Anheuser-Busch
"Nov 02, 2015",look: 3.25 | smell: 2.75 | taste: 3 | feel: 3 | overall: 2.75,+19.8%,Budweiser | Anheuser-Busch
"Nov 01, 2015",look: 2 | smell: 2 | taste: 2 | feel: 3.5 | overall: 2.75,-5.3%,Budweiser | Anheuser-Busch
"Oct 29, 2015",look: 4.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.75,+40.3%,Budweiser | Anheuser-Busch
"Oct 25, 2015",look: 3 | smell: 2 | taste: 3 | feel: 2.5 | overall: 3,+11.5%,Budweiser | Anheuser-Busch
"Oct 17, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Oct 16, 2015",look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4,+68.7%,Budweiser | Anheuser-Busch
"Oct 04, 2015",look: 3 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3,+24.7%,Budweiser | Anheuser-Busch
"Sep 27, 2015",look: 1.25 | smell: 1 | taste: 1 | feel: 1 | overall: 1.5,-53.9%,Budweiser | Anheuser-Busch
"Sep 27, 2015",look: 2 | smell: 2.75 | taste: 2.25 | feel: 1.5 | overall: 2.25,-6.2%,Budweiser | Anheuser-Busch
"Sep 25, 2015",look: 2 | smell: 1.25 | taste: 2 | feel: 2 | overall: 2,-25.1%,Budweiser | Anheuser-Busch
"Sep 25, 2015",look: 3.25 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4,+58%,Budweiser | Anheuser-Busch
"Sep 25, 2015",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+2.9%,Budweiser | Anheuser-Busch
"Sep 15, 2015",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Sep 02, 2015",look: 2.75 | smell: 3 | taste: 3 | feel: 2.5 | overall: 2.75,+18.9%,Budweiser | Anheuser-Busch
"Aug 27, 2015",look: 2.75 | smell: 3 | taste: 4 | feel: 4 | overall: 4,+51.9%,Budweiser | Anheuser-Busch
"Aug 26, 2015",look: 1.5 | smell: 1.25 | taste: 2 | feel: 1.75 | overall: 1.75,-29.2%,Budweiser | Anheuser-Busch
"Aug 23, 2015",look: 1 | smell: 1.5 | taste: 1.25 | feel: 1.75 | overall: 1.5,-42.4%,Budweiser | Anheuser-Busch
"Aug 20, 2015",look: 2.25 | smell: 2 | taste: 1.75 | feel: 1.75 | overall: 1.75,-24.3%,Budweiser | Anheuser-Busch
"Aug 18, 2015",look: 3 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-15.2%,Budweiser | Anheuser-Busch
"Aug 16, 2015",look: 3 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.25,+35.8%,Budweiser | Anheuser-Busch
"Aug 10, 2015",look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.75 | overall: 3.5,+38.7%,Budweiser | Anheuser-Busch
"Aug 05, 2015",look: 3.5 | smell: 1.5 | taste: 2 | feel: 3 | overall: 2,-14.8%,Budweiser | Anheuser-Busch
"Aug 04, 2015",look: 3.5 | smell: 1 | taste: 1.25 | feel: 1.5 | overall: 2,-38.3%,Budweiser | Anheuser-Busch
"Jul 24, 2015",look: 2.5 | smell: 1.25 | taste: 1 | feel: 1.5 | overall: 1,-50.6%,Budweiser | Anheuser-Busch
"Jul 23, 2015",look: 1.75 | smell: 2.25 | taste: 1.75 | feel: 2.25 | overall: 1.75,-21%,Budweiser | Anheuser-Busch
"Jul 22, 2015",look: 2.75 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3,+23.9%,Budweiser | Anheuser-Busch
"Jul 08, 2015",look: 3 | smell: 2.75 | taste: 2.75 | feel: 3.25 | overall: 3,+18.1%,Budweiser | Anheuser-Busch
"Jul 06, 2015",look: 2.5 | smell: 2.75 | taste: 3 | feel: 2.75 | overall: 3,+18.9%,Budweiser | Anheuser-Busch
"Jul 05, 2015",look: 3 | smell: 2 | taste: 2.5 | feel: 2.75 | overall: 2.5,+0.4%,Budweiser | Anheuser-Busch
"Jul 04, 2015",look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5,+85.2%,Budweiser | Anheuser-Busch
"Jul 03, 2015",look: 2.5 | smell: 1.75 | taste: 1.75 | feel: 1.25 | overall: 1.75,-28%,Budweiser | Anheuser-Busch
"Jul 01, 2015",look: 1.75 | smell: 2.25 | taste: 1.75 | feel: 2 | overall: 2,-19.8%,Budweiser | Anheuser-Busch
"Jun 24, 2015",look: 3.5 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75,+15.2%,Budweiser | Anheuser-Busch
"Jun 23, 2015",look: 2.25 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.5,-46.5%,Budweiser | Anheuser-Busch
"Jun 13, 2015",look: 4 | smell: 2 | taste: 3 | feel: 3.5 | overall: 3,+18.1%,Budweiser | Anheuser-Busch
"Jun 08, 2015",look: 1.5 | smell: 1 | taste: 1 | feel: 1.25 | overall: 1,-56.4%,Budweiser | Anheuser-Busch
"Jun 07, 2015",look: 2.75 | smell: 2.5 | taste: 4 | feel: 4.25 | overall: 3.5,+43.6%,Budweiser | Anheuser-Busch
"Jun 02, 2015",look: 3.25 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5,+39.5%,Budweiser | Anheuser-Busch
"Jun 02, 2015",look: 1.5 | smell: 1.75 | taste: 1.75 | feel: 1.5 | overall: 1.75,-29.6%,Budweiser | Anheuser-Busch
"May 30, 2015",look: 3 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3,+21%,Budweiser | Anheuser-Busch
"May 18, 2015",look: 3 | smell: 1.5 | taste: 2 | feel: 3 | overall: 2.5,-11.9%,Budweiser | Anheuser-Busch
"May 15, 2015",look: 2 | smell: 1.5 | taste: 2.25 | feel: 2 | overall: 2.25,-16.5%,Budweiser | Anheuser-Busch
"May 10, 2015",look: 2 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 2,-32.9%,Budweiser | Anheuser-Busch
"May 09, 2015",look: 3 | smell: 2 | taste: 2 | feel: 3.75 | overall: 1.75,-9.9%,Budweiser | Anheuser-Busch
"May 06, 2015",look: 4 | smell: 5 | taste: 3 | feel: 3 | overall: 4,+53.9%,Budweiser | Anheuser-Busch
"May 05, 2015",look: 2 | smell: 1 | taste: 1.5 | feel: 1.25 | overall: 1.75,-40.7%,Budweiser | Anheuser-Busch
"May 04, 2015",look: 3 | smell: 1 | taste: 1 | feel: 3 | overall: 2,-37.4%,Budweiser | Anheuser-Busch
"May 04, 2015",look: 3.5 | smell: 5 | taste: 5 | feel: 5 | overall: 4.5,+97.9%,Budweiser | Anheuser-Busch
"Apr 29, 2015",look: 3.25 | smell: 3 | taste: 3.75 | feel: 3 | overall: 3.75,+42.8%,Budweiser | Anheuser-Busch
"Apr 28, 2015",look: 3 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75,+53.1%,Budweiser | Anheuser-Busch
"Apr 27, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Apr 24, 2015",look: 2.5 | smell: 3 | taste: 3.5 | feel: 2.5 | overall: 3,+28.4%,Budweiser | Anheuser-Busch
"Apr 23, 2015",look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.25 | overall: 1,-50.6%,Budweiser | Anheuser-Busch
"Apr 22, 2015",look: 4 | smell: 2.5 | taste: 2 | feel: 2.5 | overall: 3.25,+4.5%,Budweiser | Anheuser-Busch
