Region,Export Country,Year,WEX,WEM,ECA,ANZ,USC,LAC,AME,APA
WEX,FRA,1990,203835.00,2969918.00,6655.00,32436.00,630076.00,44250.00,55775.00,336876.00
WEX,FRA,1991,209202.00,2869352.00,8398.00,23728.00,619842.00,47732.00,53692.00,283036.00
WEX,FRA,1992,199989.00,2978314.00,9859.00,22653.00,697135.00,47742.00,61503.00,285590.00
WEX,FRA,1993,114063.00,2525094.00,19512.00,22291.00,646398.00,54602.00,52322.00,234974.00
WEX,FRA,1994,130521.00,2743370.00,20508.00,25110.00,671734.00,57725.00,53639.00,316911.00
WEX,FRA,1995,174496.00,3116854.00,21704.00,25988.00,722453.00,117178.00,76699.00,346144.00
WEX,FRA,1996,166326,3235791,31960,25543,787683,71108,53404,384393
WEX,FRA,1997,165709,3242614,43793,34946,919763,77790,57283,509751
WEX,FRA,1998,250009,3681976,54822,35430,1017547,91354,60737,678924
WEX,FRA,1999,246264,3883345,50043,48249,1178647,94552,66207,515081
WEX,FRA,2000,207767,3024357,50515,31767,1070791,80603,58366,485408
WEX,FRA,2001,173884,2957655,58776,26347,962166,62821,58945,475925
WEX,FRA,2002,206142,3351939,75198,35241,1093205,57905,66935,490870
WEX,FRA,2003,271466,4088139,102935,51934,1332339,67697,83888,583254
WEX,FRA,2004,326871,4199504,121597,50214,1282777,70808,102485,730312
WEX,FRA,2005,345843,4086238,142891,64564,1354395,81090,121248,729010
WEX,FRA,2006,393444,4363773,184403,62594,1621672,96832,150101,916558
WEX,FRA,2007,497424,5355503,229766,86506,1597692,118297,189750,1153580
WEX,FRA,2008,487448,5893930,239711,112488,1540853,135439,283241,1373197
WEX,FRA,2009,326222,4439324,165512,67563,1219751,95431,200402,1180683
WEX,ITA,1990,197644,909584,9365,12841,332227,3872,3679,20617
WEX,ITA,1991,198499,948327,20209,12083,319419,4834,2559,25179
WEX,ITA,1992,177268,949423,44658,12642,371077,5440,5320,24121
WEX,ITA,1993,119523,736847,58161,9684,302537,7302,2253,19587
WEX,ITA,1994,203940,850328,107474,12275,352000,11783,2973,32394
WEX,ITA,1995,347871,1269312,122869,15082,353438,22458,4459,47748
WEX,ITA,1996,204544,1336415,51475,25543,787683,21075,4603,72876
WEX,ITA,1997,137545,1296028,40002,34946,919763,29726,5062,101635
WEX,ITA,1998,206087,1384002,31455,35430,1017547,32869,5424,181562
WEX,ITA,1999,279587,1487636,27012,48249,1178647,35926,7324,108833
WEX,ITA,2000,170984,1282371,30888,31767,1070791,40229,7558,107518
WEX,ITA,2001,119528,1342471,32016,26347,962166,35522,9815,114756
WEX,ITA,2002,106287,1481190,39941,35241,1093205,33223,10711,124135
WEX,ITA,2003,114381,1706274,57135,51934,1332339,35055,9035,142716
WEX,ITA,2004,145286,1980412,77504,50214,1282777,41503,11065,154342
WEX,ITA,2005,161849,2065079,108725,64564,1354395,40160,12134,149209
WEX,ITA,2006,177651,2185815,149078,62594,1621672,49939,15121,168211
WEX,ITA,2007,223287,2649703,223066,86506,1597692,63039,18300,208800
WEX,ITA,2008,247369,3013773,264108,112488,1540853,72914,29113,233760
