Region,Export Country,Year,WEX,WEM,ECA,ANZ,USC,LAC,AME,APA
WEX,FRA,1990,415181,27402,488,103,473,526,14969,50
WEX,FRA,1991,506898,19760,1521,667,665,668,15735,232
WEX,FRA,1992,549235,20805,4640,1221,2190,981,9781,250
WEX,FRA,1993,544158,11540,5949,1193,1016,1264,9647,202
WEX,FRA,1994,613151,29492,8879,614,1621,1433,11883,56
WEX,FRA,1995,599149,54846,12098,308.84,1812,7656.59,14455,176
WEX,FRA,1996,434189,46476,10853,368,2513,3836,15673,392
WEX,FRA,1997,501202,42670,8355,823,6159,9730,13747,461
WEX,FRA,1998,500452,34062,6613,1245,5950,7863,14212,602
WEX,FRA,1999,544307,27010,12694,2063,4490,2083,13528,366
WEX,FRA,2000,482853,34317,5169,2950,6204,10628,20574,199
WEX,FRA,2001,434302,29134,6050,5284,5488,11348,17232,502
WEX,FRA,2002,383545,29687,2311,4064,5876,11279,31671,342
WEX,FRA,2003,399922,31662,1703,5185,10297,19225,17825,279
WEX,FRA,2004,457861,27651,1789,6863,12774,22609,17897,316
WEX,FRA,2005,453692,27616,816,7053,6174,20564,17955,461
WEX,FRA,2006,437465,31783,957,8557,5233,17902,23499,514
WEX,FRA,2007,431036,28933,2005,7665,6347,22121,25182,599
WEX,FRA,2008,470816,30731,486,3487,9574,20419,19614,525
WEX,FRA,2009,453323,37720,857,2595,4668,20496,15717,890
WEX,ITA,1990,56571,16295,575,na,106,32,23,na
WEX,ITA,1991,63310,14853,651,na,79,na,na,na
WEX,ITA,1992,49678,21758,727,na,99,42,34,na
WEX,ITA,1993,23314,21129,926,16,198,40,na,na
WEX,ITA,1994,21256,8706,708,9,317,65,143,na
WEX,ITA,1995,17305,9593,552,15,278,3383,321,na
WEX,ITA,1996,21977,2429,868,19,531,206,247,11
WEX,ITA,1997,52529,3169,1202,165,747,723,255,18
WEX,ITA,1998,65677,12452,1191,75,677,758,152,773
WEX,ITA,1999,43268,6747,1757,146,1048,45,15205,31
WEX,ITA,2000,40088,4332,1930,144,1069,805,494,12
WEX,ITA,2001,46112,3956,5452,305,938,1149,878,430
WEX,ITA,2002,58739,7773,5560,398,465,807,244,13
WEX,ITA,2003,151487,8114,2808,267,710,2233,1722,4
WEX,ITA,2004,159196,4983,2653,1110,14458,2328,789,16
WEX,ITA,2005,103695,7828,2066,1174,52218,2639,605,20
WEX,ITA,2006,87986,6718,882,1381,54200,2286,463,64
WEX,ITA,2007,113802,5087,1284,1037,53064,3137,1247,86
WEX,ITA,2008,106062,6879,2545,497,45298,1916,999,38
WEX,ITA,2009,53507,6129,1518,464,51963,1985,1833,18
WEX,POR,1990,22878,2434,na,na,na,na,na,na
WEX,POR,1991,6288,1337,na,na,133,na,na,na
WEX,POR,1992,4602,1339,na,na,100,na,na,na
WEX,POR,1993,20671,150,na,na,18,na,na,na
WEX,POR,1994,133625,1907,na,na,11,na,na,na
WEX,POR,1995,118853,247,na,na,na,2953,na,na
WEX,POR,1996,48604,167,0,na,na,12,1,19
WEX,POR,1997,42835,55,0,na,na,40,1,9
WEX,POR,1998,157702,115,8,na,14,38,9,40
WEX,POR,1999,64457,71,16,11,87,45,na,1
WEX,POR,2000,199200,221,51,na,113,93,70,1
WEX,POR,2001,167788,255,9,1,30,74,12,na
WEX,POR,2002,134257,623,16,0,147,48,32,na
WEX,POR,2003,134432,543,4,0,17,38,25,1
WEX,POR,2004,162029,793,23,1,102,42,47,4
WEX,POR,2005,138296,989,4,2,217,70,15,0
WEX,POR,2006,88077,768,4,0,145,76,4,0
WEX,POR,2007,123613,948,1,na,54,185,40,2
WEX,POR,2008,137476,899,1,21,2,144,17,7
WEX,POR,2009,158867,946,2,20,5,287,36,0
WEX,SPN,1990,5398,698,na,22,63,3239,na,na
WEX,SPN,1991,5649,7167,na,na,25,834,na,18
WEX,SPN,1992,6204,686,na,na,152,474,na,na
WEX,SPN,1993,5294,2078,na,46,73,142,24,na
WEX,SPN,1994,49338,1440,242,7,78,84,na,na
WEX,SPN,1995,159098,1337,1840,na,311,158663,na,213
WEX,SPN,1996,23924,889,19,35,876,42628,2,183
WEX,SPN,1997,14123,480,106,0,150,548,22,290
WEX,SPN,1998,87243,7299,1650,0,241,526,18,84
WEX,SPN,1999,136734,1273,169,18,255,145,17,136
WEX,SPN,2000,80292,1094,84,62,238,1042,122,332
WEX,SPN,2001,21292,1366,184,19,306,1653,59,275
WEX,SPN,2002,25193,2221,219,91,453,1372,342,251
WEX,SPN,2003,27493,1990,184,46,10,1588,314,217
WEX,SPN,2004,26337,1378,175,80,337,1967,66,18
WEX,SPN,2005,31882,2494,383,296,231,1419,359,35
WEX,SPN,2006,49788,2636,517,524,321,1671,175,36
WEX,SPN,2007,70113,3285,801,357,123,1503,126,19
WEX,SPN,2008,61770,1860,266,282,837,5557,279,62
WEX,SPN,2009,31323,1969,264,510,214,1394,99,4
WEM,AUT,1990,31242,451,443,22,50,na,92,na
WEM,AUT,1991,25110,548,454,na,117,91,117,na
WEM,AUT,1992,23650,580,428,25,106,92,156,na
WEM,AUT,1993,22149,862,49,16,75,80,113,na
WEM,AUT,1994,19915,838,139,58,118,77,80,na
WEM,AUT,1995,30977,2771,383,30,49,108,98,9
WEM,AUT,1996,32411,2184,2428,103,105,182,146,0
WEM,AUT,1997,60318,2996,3727,215,256,309,179,49
WEM,AUT,1998,55511,4465,2822,303,145,316,271,0
WEM,AUT,1999,43655,6854,1017,453,585,165,161,1
WEM,AUT,2000,42746,6091,860,219,185,739,205,0
WEM,AUT,2001,50333,6714,2030,569,92,894,233,9
WEM,AUT,2002,48156,6679,1435,528,55,579,198,na
WEM,AUT,2003,46438,7918,1093,521,95,714,223,na
WEM,AUT,2004,49730,7847,2755,680,24,684,345,3
WEM,AUT,2005,52999,11318,1979,738,172,673,324,5
WEM,AUT,2006,54786,13291,899,541,232,981,362,1
WEM,AUT,2007,55899,16861,656,317,5108,928,630,4
WEM,AUT,2008,46801,13039,943,212,3133,1371,600,0
WEM,AUT,2009,45670,13985,1002,727,917,308,611,0
WEM,BEL,1990,201645,10830,2091,12,423,933,867,95
WEM,BEL,1991,201367,9475,3014,14,666,1100,881,86
WEM,BEL,1992,211079,10462,2289,26,651,1476,853,88
WEM,BEL,1993,229225,11587,1397,96,867,778,1334,113
WEM,BEL,1994,213058,15241,792,95,569,887,1600,122
WEM,BEL,1995,200958,14488,873,302,2904,1633,2237,121
WEM,BEL,1996,211770,12900,2223,1661,2743,3035,5307,95
WEM,BEL,1997,239306,13866,2221,2448,4714,4498,8486,146
WEM,BEL,1998,265666,15690,2241,3800,5546,4880,7931,75
WEM,BEL,1999,253109,14201,1770,3882,5716,569,9123,73
WEM,BEL,2000,239145,13722,1063,3491,8499,5759,9037,189
WEM,BEL,2001,233568,16044,993,4507,15950,6372,8370,114
WEM,BEL,2002,240759,15634,941,5137,10907,5642,7238,203
WEM,BEL,2003,231504,16220,898,6412,7878,9000,8789,186
