Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,1788,1949,2000,2209,2095,1790,1522,1299,1205,1084
ANZ,Australia,57,81,124,197,287,336,312,333,395,476
WEM,Austria,163,235,267,269,272,258,245,226,242,327
WEM,Bel-Lux,124,125,163,178,210,231,244,235,252,404
LAC,Brazil,159,166,194,278,325,271,257,288,312,333
ECA,Bulgaria,153,207,207,215,210,196,178,163,117,47
USC,Canada,43,58,103,159,223,250,217,232,303,398
LAC,Chile,484,437,494,490,515,413,296,236,238,253
APA,China,0,0,0,10,136,83,188,244,414,810
ECA,Croatia,na,na,na,na,na,na,227,200,168,83
WEM,Denmark,16,22,40,63,87,110,117,139,158,168
WEM,Finland,8,12,20,22,24,26,39,57,71,61
WEX,France,5859,5720,5512,5273,4735,4223,3539,3184,3288,2556
ECA,Georgia,na,na,na,na,na,na,165,67,35,27
WEM,Germany,1107,1205,1495,1852,1989,1840,1680,1742,1908,2167
WEM,Greece,315,332,344,372,417,308,320,337,299,360
APA,Hong Kong,na,na,na,na,na,na,na,8,9,10
ECA,Hungary,301,349,390,364,335,239,283,281,298,246
APA,India,0,0,0,0,0,0,0,0,1,8
WEM,Ireland,4,5,7,10,9,14,16,27,54,76
WEX,Italy,5464,5940,5942,5183,4801,3913,3217,2790,2752,2704
APA,Japan,15,32,38,55,77,103,114,221,255,259
APA,Korea,na,na,na,na,na,na,na,7,13,28
APA,Malaysia,0,0,1,1,1,2,2,2,3,6
LAC,Mexico,6,8,12,13,20,21,15,16,17,58
ECA,Moldova,na,na,na,na,na,na,na,na,50,27
WEM,Netherlands,31,51,103,159,198,224,254,293,322,367
ANZ,New Zealand,6,10,22,31,43,50,52,59,70,87
APA,Philippines,0,0,0,0,0,1,0,3,5,7
WEX,Portugal,889,911,763,753,776,657,549,501,489,493
ECA,Romania,511,528,553,700,636,591,530,560,459,253
ECA,Russia,1124,1947,3163,2930,3019,1663,754,827,825,1092
APA,Singapore,0,0,1,2,2,1,2,3,5,6
AME,South Africa,142,186,243,240,268,306,312,376,369,348
WEX,Spain,1903,2063,2351,2520,2164,1761,1311,1201,1173,1177
WEM,Sweden,29,39,59,74,87,104,103,113,152,180
WEM,Switzerland,207,237,281,283,312,319,297,282,280,290
APA,Thailand,na,na,na,na,na,na,7,19,6,8
AME,Turkey,20,28,29,20,23,27,31,37,27,66
ECA,Ukraine,na,na,na,na,na,na,130,123,158,261
WEM,United Kingdom,108,141,235,337,460,621,646,750,1155,1362
LAC,Uruguay,75,75,72,72,83,74,79,91,86,85
USC,USA,665,787,1220,1536,1951,2132,1888,2057,2358,2689
