Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,,,1555.532105,2168.971639,2959.413701,3371.617981,6725.8408,7960.344095,4332.967976,7580.526039
ANZ,Australia,1953.713394,2654.204679,4664.387627,8183.316988,11570.24636,13764.77889,18291.12732,21829.2431,23358.86455,42346.4842
WEM,Austria,1139.015591,1639.923861,3448.299741,7603.700622,9777.027817,16091.99267,24196.39626,27698.90488,29909.3611,46514.55193
WEM,Bel-Lux,3939.10695,5342.266829,11207.75042,21936.88654,24755.66561,38991.06117,63965.9299,75581.58482,88517.41833,146039.06
LAC,Brazil,,,,,1531.242758,2280.371951,3194.328723,4733.014259,3144.40089,7559.227715
ECA,Bulgaria,,,,,2123.858805,2595.285631,1226.614207,1492.84171,2472.251963,6160.175028
USC,Canada,2342.720292,3324.708165,5660.486872,9196.24649,12312.71679,17537.95834,20578.12071,21502.10487,27002.85495,43075.25416
LAC,Chile,653.5992528,798.014263,1351.010811,1364.705335,2276.325023,1811.195799,3352.411399,5294.312087,5137.238136,10255.67752
APA,China,76.63186205,98.12917992,141.9421518,172.8024714,205.1608805,282.0401326,387.6210678,798.2562241,1249.731867,3026.069434
ECA,Croatia,,,,,,,,5316.260318,7117.690336,13740.28047
WEM,Denmark,1743.295097,2717.223895,5294.560835,11016.23184,12323.3007,20669.05834,28508.1218,33823.90239,37731.65698,58154.90929
WEM,Finland,1492.238201,2032.378757,3844.007241,7698.178249,10904.48842,19895.86538,21440.82908,25655.58442,30549.88585,47479.42405
WEX,France,1674.67568,2448.391558,4328.671774,8694.649742,11083.51208,16320.75273,22962.06574,25318.83719,27592.12112,41297.32241
ECA,Georgia,,,,,,,784.7492123,719.8199111,912.1832645,2561.586677
WEM,Germany,,,4405.256009,8737.036391,10491.51969,16396.47715,25544.7493,27936.65774,28354.59188,41423.64925
WEM,Greece,678.6190071,1113.085464,2220.891166,4419.375673,5468.260729,6916.524019,10714.52377,13473.56869,16770.29368,28834.18412
APA,Hong Kong,529.9737204,737.2930646,1637.642712,3693.208081,5855.188028,9799.414441,19085.09634,25762.20636,24700.30654,30257.80901
ECA,Hungary,,,,,,,3771.992074,4657.854589,7644.307114,13469.44901
APA,India,99.91694342,100.4211284,139.9274658,198.1187511,281.1645426,344.7441406,323.3890667,426.3097457,534.9863825,979.1846484
WEM,Ireland,838.3883548,1160.594504,2183.556976,4048.153088,6114.662651,9906.235566,15105.32806,23494.04499,37375.19431,57233.36516
WEX,Italy,1056.540194,1600.365684,2941.052851,5291.857372,7662.552687,14372.70046,20750.42637,22247.22597,25289.77631,37181.64093
APA,Japan,687.6878107,1351.782656,3341.145549,7242.559089,9790.76259,21584.10462,33455.15263,34425.2031,33521.11227,36324.47574
APA,Korea,114.1946013,178.8707713,417.8003039,1326.527457,2022.867865,4301.86477,8740.052535,11004.33731,13546.41521,20708.03342
APA,Malaysia,255.5723322,325.0187854,565.4737392,1176.787189,1852.394934,1970.190962,3197.226169,4003.422084,4341.816114,7308.49038
LAC,Mexico,400.3642337,583.5689849,931.7481065,1558.449695,2682.68011,2066.403739,4729.02609,4949.972648,6941.091298,8782.249578
ECA,Moldova,,,,,,,,440.0544823,533.9096697,1350.645455
WEM,Netherlands,1317.513566,2114.686556,4755.920513,10136.56206,11616.15852,16199.47433,23053.21693,27647.24846,32650.3128,51131.11185
ANZ,New Zealand,2556.922023,2085.690844,3750.320743,5482.144902,7633.986988,12207.49704,13099.43355,16582.17929,19522.77805,29667.2887
APA,Philippines,191.9445168,218.4220471,253.5098046,488.817184,700.906699,615.8145153,820.9811444,1085.557121,1012.540534,1710.01791
WEX,Portugal,422.9689005,684.167566,1528.953328,2413.635809,3107.7515,5086.973815,9821.348658,12110.25372,14607.43916,22620.27088
ECA,Romania,,,,,,1753.876799,1211.022418,1677.00507,2573.120847,8099.878232
ECA,Russia,,,,,,3428.762018,3043.393124,2136.76319,2888.231625,9054.879364
APA,Singapore,479.2825364,678.1973073,1589.598685,3174.363259,5806.933954,8401.871937,17632.47988,24067.30156,23643.2026,37775.51194
AME,South Africa,470.8135318,669.3181492,1112.806982,1681.702381,2913.037684,3163.471708,3534.385442,3472.466501,3488.747127,5890.78435
WEX,Spain,563.747111,971.5477736,2020.25423,4254.254137,5295.780437,8771.313918,14428.71345,15625.69587,19698.24928,32276.0532
WEM,Sweden,2428.641163,3596.619454,6544.15342,12278.05386,14549.78693,22175.48757,28385.19057,30801.44149,33986.14871,50383.68814
WEM,Switzerland,2224.546003,3053.032192,,,17657.23327,28791.69037,39370.72042,42276.25596,45272.97692,65590.99031
APA,Thailand,116.3403847,172.3995085,251.3959221,488.7648813,736.0783796,1041.600011,2089.30278,2359.258738,2245.953418,3982.447794
AME,Turkey,327.9188772,507.0731746,658.8171174,1586.313187,1385.152969,1743.627676,2754.309345,3648.655297,4266.690309,9010.719772
ECA,Ukraine,,,,,,,1215.992004,833.7430885,1019.021999,2952.036498
WEM,United Kingdom,1572.052653,1977.997288,3193.093262,5650.326992,9367.241118,13989.03725,19621.53878,26554.79785,32680.08509,44624.8118
LAC,Uruguay,,630.7370876,1210.747989,1738.044653,3012.049596,2441.089599,4459.585577,7150.6797,4527.376737,7841.250471
USC,USA,3314.715576,4552.702842,6429.285829,10091.38705,14147.80923,20905.39549,26034.90113,32302.76195,39259.66601,47475.39687
