Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,0,-2,-6,-30,-16,-17,-17,-138,-92,-316
ANZ,Australia,-7,-8,-4,1,0,-16,-98,-263,-452,-697
WEM,Austria,38,33,24,15,-21,23,9,27,-4,7
WEM,Bel-Lux,71,94,123,144,175,189,211,180,522,581
LAC,Brazil,1,1,3,6,3,5,6,14,32,43
ECA,Bulgaria,-78,-146,-195,-222,-274,-214,-85,-152,-80,-87
USC,Canada,12,18,40,86,127,137,143,182,250,304
LAC,Chile,1,0,-3,-25,-13,-18,-80,-183,-354,-549
APA,China,0,0,0,0,0,-1,-4,22,33,126
ECA,Croatia,0,0,0,0,0,0,-10,-8,0,11
WEM,Denmark,13,18,35,56,79,106,128,128,92,162
WEM,Finland,4,7,11,11,11,14,25,31,47,60
WEX,France,946,333,221,51,-303,-761,-691,-968,-997,-846
ECA,Georgia,0,0,0,0,0,0,-1,-9,-18,-17
WEM,Germany,437,535,720,779,870,721,736,900,953,1047
WEM,Greece,-27,-67,-72,-88,-27,-89,-56,-51,-15,-14
APA,Hong Kong,0,0,0,0,0,0,1,7,10,19
ECA,Hungary,-30,-50,-106,-157,-206,-157,-93,-102,-65,-45
APA,India,0,0,0,0,0,0,0,0,0,1
WEM,Ireland,4,5,6,8,11,13,19,23,68,66
WEX,Italy,-162,-183,-865,-1302,-1625,-1218,-1215,-1565,-1396,-1629
APA,Japan,0,0,11,20,39,58,77,174,197,168
APA,Korea,0,0,0,0,0,0,1,6,12,25
APA,Malaysia,0,0,0,0,0,0,0,6,4,2
LAC,Mexico,1,1,2,3,5,5,14,28,22,36
ECA,Moldova,0,0,0,0,0,0,-94,-102,-148,-122
WEM,Netherlands,22,41,92,148,186,218,235,223,279,320
ANZ,New Zealand,1,1,2,2,2,3,11,11,4,-46
APA,Philippines,0,0,0,0,0,0,0,2,7,10
WEX,Portugal,-178,-251,-199,-156,-145,-122,-160,-102,-77,-148
ECA,Romania,-28,-50,-77,-75,-80,-41,1,-44,-38,16
ECA,Russia,65,267,721,695,714,313,217,296,204,311
APA,Singapore,0,0,0,0,0,0,1,5,7,10
AME,South Africa,-16,-13,-11,-7,-10,-7,-17,na,-186,-392
WEX,Spain,-178,-244,-351,-504,-548,-494,-636,-610,-976,-1198
WEM,Sweden,30,37,56,73,82,101,119,120,140,172
WEM,Switzerland,141,164,212,208,242,209,178,185,177,180
APA,Thailand,0,0,0,0,0,0,0,5,4,6
AME,Turkey,-2,-5,-5,-4,-4,-3,-3,-6,-5,-4
ECA,Ukraine,0,0,0,0,0,0,11,-9,-5,6
WEM,United Kingdom,101,138,231,302,413,600,732,933,1084,1242
LAC,Uruguay,0,-2,-1,-5,-2,0,1,na,2,-5
USC,USA,40,55,143,240,413,314,167,173,236,479
