Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,11.5,11.6,11.2,11.6,10.4,8.4,7,6.2,5.9,5.8
ANZ,Australia,6,6.7,7.8,8.9,9.1,8.8,7.9,7.6,7.8,7.8
WEM,Austria,8.7,10.1,11,10.5,10.6,10.8,11.2,10.4,10.2,10.9
WEM,Bel-Lux,7.7,8,9.6,10.1,10.3,9.9,9.5,8.9,8.4,8.4
LAC,Brazil,0.6,0.6,0.8,1,1.3,2,3.4,4,4.7,5.7
ECA,Bulgaria,5.3,6.3,7.3,8.3,8.6,8.7,8.1,7,8.8,6.8
USC,Canada,4.6,5.2,6.4,7.7,7.9,7.2,6.3,5.9,6.2,6.4
LAC,Chile,7.2,6.7,6.9,6,7.5,6.6,5.6,5.3,4.5,4.7
APA,China,0.4,0.4,0.5,0.8,1.4,2.3,2.8,3.7,2.7,2.5
ECA,Croatia,na,na,na,na,na,na,10.4,10.2,10.1,7.2
WEM,Denmark,4.7,5.6,7.3,8.4,9.3,9.5,9.9,9.9,9.3,8.6
WEM,Finland,2.6,3.2,5.2,6.1,6.2,6.9,7.1,6.9,7.3,7.8
WEX,France,18.9,18,17,16.4,14.7,13.3,11.9,10.9,10.6,8.8
ECA,Georgia,na,na,na,na,na,na,4.7,2.1,2.9,2.4
WEM,Germany,9.1,10.2,11.8,12.6,12.3,11.5,11.4,10.9,10.5,10.4
WEM,Greece,4.9,5.4,5.6,8.1,8.8,8.1,8.5,8,7.2,7.5
APA,Hong Kong,na,na,na,na,na,na,na,na,2.8,2.9
ECA,Hungary,7.1,8.2,10.2,11.9,12.6,12.2,11.6,10.2,9.9,8.6
APA,India,0.2,0.2,0.2,0.3,0.3,0.1,0.4,0.5,0.3,0.5
WEM,Ireland,4.2,5.2,7.1,8.1,7.1,7.1,8.5,10.2,10.5,9.6
WEX,Italy,14.7,15.7,15.7,13.7,12.5,10.5,9,7.8,7.7,7.9
APA,Japan,2,2,2.6,3.2,3.9,4.5,5,5.1,5,6.2
APA,Korea,na,na,na,na,na,na,na,na,1.9,2
APA,Malaysia,0.3,0.3,0.3,0.4,0.5,0.4,0.5,0.6,0.4,0.4
LAC,Mexico,1.3,1.7,2.1,1.7,2.1,2.6,3.1,3.2,3.3,3.4
ECA,Moldova,na,na,na,na,na,na,na,na,na,2.6
WEM,Netherlands,3,4.2,6.3,8.2,8.2,7.8,8,8.1,7.9,7.5
ANZ,New Zealand,5.9,6.4,7.7,8.7,8.8,8.5,8.2,6.9,6.4,6.8
APA,Philippines,0.6,1.1,1.3,1.7,2.1,2.4,2.3,2.3,2.8,3
WEX,Portugal,12.2,13.2,12.2,12.1,12,11.3,11.6,10.8,9.9,9.1
ECA,Romania,5,5.2,5,7.6,7.5,7.3,8.4,8.3,7.9,6.8
ECA,Russia,na,na,na,na,na,na,6,8,8.9,9.5
APA,Singapore,0.9,1.1,1.5,1.6,1.7,0.5,1.2,1.6,1.5,1.2
AME,South Africa,2.3,2.6,3,3.1,3.8,4.2,4.7,5,4.4,5.1
WEX,Spain,9.6,11.4,12.5,13.4,12.4,11.3,10,9.5,9,9.2
WEM,Sweden,4.7,5.4,6.1,6.5,5.7,5.8,6.1,5.7,5.6,5.6
WEM,Switzerland,9.5,10,10.9,10.5,11.2,11,10.2,9.2,8.8,8.3
APA,Thailand,0.3,0.9,1.1,2.2,3.5,na,3.7,4.2,4.8,5.1
AME,Turkey,0.2,0.2,0.3,0.5,0.7,0.5,0.8,1,1,1
ECA,Ukraine,na,na,na,na,na,na,4,3,6.2,7.4
WEM,United Kingdom,5.1,5.4,6.6,7.8,7.7,8.1,8.1,8,8.7,8.8
LAC,Uruguay,4.9,4.6,4.7,4.4,5.9,5.3,5.4,5.6,4.9,4.8
USC,USA,5.2,5.9,7,7.8,8.1,7.5,6.8,6.4,6.5,6.7
