Region,Export Country,Year,WEX,WEM,ECA,ANZ,USC,LAC,AME,APA
WEX,FRA,1990,0.93,2.43,0.06,1.39,1.86,1.63,1.74,3.92
WEX,FRA,1991,0.93,2.28,0.11,1.18,1.92,1.52,1.65,3.53
WEX,FRA,1992,0.86,2.26,0.08,1.14,1.91,1.28,1.20,3.49
WEX,FRA,1993,0.63,2.30,0.10,1.06,2.05,1.22,1.94,3.23
WEX,FRA,1994,0.55,2.25,0.10,0.95,1.96,1.06,1.89,3.53
WEX,FRA,1995,0.52,2.11,0.09,1.03,2.29,1.54,1.34,3.06
WEX,FRA,1996,0.68,2.08,0.18,0.81,1.43,1.01,1.34,2.36
WEX,FRA,1997,0.72,2.07,0.21,0.87,1.45,0.89,1.35,2.11
WEX,FRA,1998,0.89,2.05,0.33,0.86,1.41,1.02,1.52,2.03
WEX,FRA,1999,0.82,2.02,0.47,0.95,1.40,0.99,1.77,2.17
WEX,FRA,2000,0.97,1.87,0.41,0.81,1.37,0.84,1.87,2.33
WEX,FRA,2001,0.90,1.85,0.35,0.75,1.33,0.62,1.75,2.51
WEX,FRA,2002,1.03,1.91,0.33,0.75,1.28,0.73,1.65,2.32
WEX,FRA,2003,1.06,1.94,0.38,0.81,1.25,0.75,1.72,2.39
WEX,FRA,2004,1.17,1.78,0.42,0.67,1.20,0.68,1.92,2.63
WEX,FRA,2005,1.27,1.75,0.46,0.73,1.19,0.68,1.98,2.52
WEX,FRA,2006,1.35,1.74,0.60,0.61,1.23,0.63,2.11,2.52
WEX,FRA,2007,1.39,1.81,0.55,0.62,1.08,0.66,2.14,2.40
WEX,FRA,2008,1.16,1.86,0.49,0.63,1.04,0.67,2.48,2.33
WEX,FRA,2009,1.07,1.71,0.40,0.54,1.08,0.58,2.31,2.22
WEX,ITA,1990,2.55,1.14,0.27,1.10,1.93,0.23,0.18,0.24
WEX,ITA,1991,2.32,1.15,0.75,1.25,1.81,0.25,0.12,0.32
WEX,ITA,1992,1.98,1.12,1.20,1.39,1.92,0.25,0.18,0.31
WEX,ITA,1993,1.96,1.11,0.98,1.05,1.85,0.32,0.13,0.33
WEX,ITA,1994,2.58,1.04,1.76,0.97,1.84,0.40,0.15,0.38
WEX,ITA,1995,2.82,1.18,1.26,1.07,1.58,0.41,0.11,0.42
WEX,ITA,1996,1.69,1.09,0.56,1.53,2.72,0.44,0.15,0.48
WEX,ITA,1997,1.12,1.09,0.37,1.72,2.85,0.55,0.16,0.50
WEX,ITA,1998,1.40,1.03,0.36,1.75,2.85,0.59,0.18,0.68
WEX,ITA,1999,1.88,0.98,0.44,1.83,2.68,0.57,0.23,0.52
WEX,ITA,2000,1.37,1.03,0.43,1.47,2.50,0.66,0.27,0.56
WEX,ITA,2001,1.02,1.11,0.33,1.36,2.40,0.58,0.34,0.65
WEX,ITA,2002,0.83,1.12,0.31,1.39,2.36,0.69,0.32,0.66
WEX,ITA,2003,0.69,1.09,0.37,1.54,2.39,0.66,0.23,0.67
WEX,ITA,2004,0.78,1.16,0.47,1.24,2.20,0.67,0.24,0.60
WEX,ITA,2005,0.85,1.20,0.59,1.27,2.08,0.53,0.22,0.54
WEX,ITA,2006,0.86,1.18,0.82,1.06,2.17,0.52,0.23,0.48
WEX,ITA,2007,0.90,1.24,0.96,1.13,1.97,0.58,0.23,0.48
WEX,ITA,2008,0.90,1.33,1.01,1.15,1.90,0.60,0.26,0.44
WEX,ITA,2009,0.86,1.47,0.89,0.86,1.72,0.51,0.23,0.41
WEX,POR,1990,5.47,0.80,0.01,0.85,0.52,0.93,6.05,0.34
WEX,POR,1991,5.16,0.78,0.06,0.95,0.47,0.87,7.37,0.43
WEX,POR,1992,5.71,0.74,0.01,0.80,0.40,0.59,10.76,0.33
WEX,POR,1993,6.52,0.89,0.04,0.63,0.48,0.78,3.88,0.43
WEX,POR,1994,5.36,0.87,0.01,0.67,0.53,0.96,4.99,0.36
WEX,POR,1995,4.39,0.87,0.02,0.70,0.48,1.11,2.56,0.37
