Region,Export Country,Year,WEX,WEM,ECA,ANZ,USC,LAC,AME,APA
WEX,FRA,1990,0.32,2.14,0.03,0.54,1.62,1.14,0.61,2.21
WEX,FRA,1991,0.33,2.03,0.08,0.42,1.76,0.94,0.61,2.07
WEX,FRA,1992,0.18,2.15,0.05,0.41,1.66,0.94,0.46,2.20
WEX,FRA,1993,0.11,2.17,0.09,0.27,1.78,0.87,0.57,2.29
WEX,FRA,1994,0.09,2.16,0.12,0.23,1.81,0.65,0.69,2.42
WEX,FRA,1995,0.13,2.12,0.07,0.65,1.98,1.11,0.88,2.66
WEX,FRA,1996,0.13,2.03,0.12,0.28,1.58,0.35,0.38,2.02
WEX,FRA,1997,0.15,2.07,0.12,0.37,1.61,0.32,0.37,1.93
WEX,FRA,1998,0.18,2.00,0.36,0.26,1.51,0.36,0.43,1.50
WEX,FRA,1999,0.23,1.90,0.76,0.34,1.52,0.47,0.58,1.46
WEX,FRA,2000,0.20,1.89,0.38,0.34,1.52,0.29,0.70,1.68
WEX,FRA,2001,0.14,1.94,0.38,0.29,1.36,0.24,0.58,1.89
WEX,FRA,2002,0.18,1.83,0.40,0.31,1.32,0.36,0.54,2.12
WEX,FRA,2003,0.17,1.85,0.54,0.30,1.16,0.32,0.46,1.89
WEX,FRA,2004,0.19,1.75,0.41,0.33,1.15,0.36,0.61,2.30
WEX,FRA,2005,0.24,1.73,0.36,0.45,1.16,0.30,0.63,2.33
WEX,FRA,2006,0.26,1.66,0.65,0.46,1.14,0.31,0.69,1.86
WEX,FRA,2007,0.26,1.69,0.68,0.42,1.09,0.23,0.54,1.83
WEX,FRA,2008,0.23,1.73,0.37,0.56,1.05,0.29,0.84,1.94
WEX,FRA,2009,0.22,1.63,0.38,0.43,0.95,0.19,0.94,2.22
WEX,ITA,1990,6.17,1.29,0.06,1.10,1.55,0.12,0.35,0.16
WEX,ITA,1991,5.17,1.21,0.15,1.25,1.52,0.14,0.03,0.20
WEX,ITA,1992,3.96,1.25,0.30,0.97,1.70,0.15,0.07,0.22
WEX,ITA,1993,3.11,1.28,0.55,0.65,1.80,0.20,0.05,0.24
WEX,ITA,1994,4.34,1.19,0.88,0.40,1.56,0.20,0.10,0.28
WEX,ITA,1995,3.86,1.43,0.52,0.68,1.66,0.23,0.05,0.32
WEX,ITA,1996,3.94,1.33,0.48,0.28,1.56,0.25,0.06,0.44
WEX,ITA,1997,2.71,1.45,0.34,0.41,1.79,0.31,0.06,0.46
WEX,ITA,1998,2.96,1.28,0.53,0.29,1.67,0.33,0.08,0.64
WEX,ITA,1999,7.04,1.18,0.78,0.30,1.37,0.42,0.17,0.46
WEX,ITA,2000,3.21,1.35,0.74,0.30,1.33,0.30,0.29,0.59
WEX,ITA,2001,2.33,1.40,0.51,0.30,1.43,0.31,0.62,0.78
WEX,ITA,2002,1.73,1.50,0.43,0.33,1.39,0.50,0.37,0.78
WEX,ITA,2003,0.92,1.54,0.41,0.38,1.45,0.49,0.16,0.76
WEX,ITA,2004,0.88,1.58,0.46,0.37,1.27,0.52,0.13,0.72
WEX,ITA,2005,1.07,1.64,0.54,0.42,1.09,0.39,0.13,0.70
WEX,ITA,2006,1.34,1.66,0.82,0.40,0.98,0.39,0.12,0.56
WEX,ITA,2007,1.09,1.66,1.14,0.37,0.96,0.32,0.09,0.53
WEX,ITA,2008,0.85,1.76,1.07,0.47,0.88,0.43,0.16,0.51
WEX,ITA,2009,1.07,1.83,1.19,0.31,0.67,0.28,0.15,0.45
WEX,POR,1990,2.36,0.74,0.00,1.64,0.77,1.00,7.57,0.67
WEX,POR,1991,2.00,0.71,0.15,1.51,0.65,1.09,9.42,0.72
WEX,POR,1992,2.66,0.53,0.01,0.89,0.43,0.61,16.54,0.40
WEX,POR,1993,2.72,0.70,0.05,0.56,0.53,0.78,11.22,0.50
WEX,POR,1994,1.73,0.78,0.01,0.52,0.61,0.91,14.07,0.44
WEX,POR,1995,1.54,0.90,0.01,0.73,0.68,1.39,9.40,0.59
WEX,POR,1996,2.64,0.74,0.15,0.53,0.56,1.30,10.71,0.48
WEX,POR,1997,3.98,0.63,0.05,0.37,0.39,1.11,12.77,0.38
WEX,POR,1998,2.40,0.68,0.02,0.30,0.52,1.01,17.89,0.27
WEX,POR,1999,2.47,0.64,0.02,0.35,0.69,1.47,12.06,0.25
WEX,POR,2000,2.58,0.75,0.02,0.45,0.72,1.03,7.57,0.21
WEX,POR,2001,2.36,0.81,0.03,0.54,0.81,1.10,7.73,0.24
WEX,POR,2002,4.29,0.60,0.02,0.33,0.63,0.94,6.97,0.22
WEX,POR,2003,5.27,0.49,0.02,0.28,0.41,0.66,8.00,0.14
WEX,POR,2004,4.19,0.52,0.02,0.31,0.42,0.79,14.69,0.16
WEX,POR,2005,3.00,0.63,0.04,0.36,0.54,1.13,17.59,0.22
WEX,POR,2006,3.29,0.56,0.31,0.29,0.47,1.08,19.46,0.19
WEX,POR,2007,4.05,0.51,0.58,0.24,0.44,0.66,9.25,0.19
WEX,POR,2008,3.17,0.57,0.40,0.21,0.50,0.90,13.26,0.20
WEX,POR,2009,2.17,0.74,0.16,0.27,0.61,0.85,18.16,0.28
WEX,SPN,1990,0.70,0.99,1.92,0.31,0.79,0.86,8.93,0.51
WEX,SPN,1991,1.23,1.03,2.59,0.15,0.42,0.70,8.05,0.33
WEX,SPN,1992,2.11,1.09,0.67,0.23,0.48,0.77,3.77,0.32
WEX,SPN,1993,3.23,0.97,1.27,0.07,0.37,0.48,5.22,0.20
WEX,SPN,1994,2.66,1.09,0.27,1.76,0.42,0.42,3.96,0.36
WEX,SPN,1995,1.61,1.26,0.11,1.19,0.47,0.52,7.54,0.38
WEX,SPN,1996,2.17,1.20,0.41,0.49,0.38,0.68,4.87,0.31
WEX,SPN,1997,4.00,1.10,0.31,1.50,0.27,0.54,4.96,0.57
WEX,SPN,1998,3.80,1.01,0.34,1.85,0.26,1.22,4.24,0.69
WEX,SPN,1999,0.95,1.08,0.73,1.45,0.54,1.91,7.15,1.57
WEX,SPN,2000,3.37,0.75,0.35,0.72,0.31,6.21,5.49,1.04
WEX,SPN,2001,5.25,0.77,0.36,0.11,0.30,5.49,4.67,0.57
WEX,SPN,2002,5.08,0.85,0.43,0.14,0.36,4.16,4.80,0.55
WEX,SPN,2003,6.51,0.89,0.39,0.14,0.33,1.69,3.42,0.41
WEX,SPN,2004,6.97,0.88,0.43,0.16,0.34,2.53,2.49,0.40
WEX,SPN,2005,7.14,0.88,0.46,0.15,0.41,1.49,2.30,0.98
WEX,SPN,2006,5.47,0.94,0.65,0.15,0.48,0.80,2.14,1.04
WEX,SPN,2007,5.90,0.85,0.73,0.12,0.48,2.93,1.17,0.62
WEX,SPN,2008,7.86,0.86,0.76,0.11,0.44,1.19,1.30,0.56
WEX,SPN,2009,7.93,0.77,1.06,0.09,0.40,2.84,1.84,0.47
WEM,AUT,1990,0.04,0.72,6.50,na,0.16,na,na,0.43
WEM,AUT,1991,0.02,0.54,10.14,na,0.06,na,na,0.77
WEM,AUT,1992,0.21,0.85,4.77,na,0.08,na,na,0.23
WEM,AUT,1993,0.57,1.50,0.28,na,0.17,na,na,0.41
WEM,AUT,1994,0.07,1.48,1.26,na,0.15,na,na,0.38
WEM,AUT,1995,0.05,0.80,4.29,0.01,0.07,na,na,0.36
