Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,15,16,18,19,20,22,23,26,27,29
ANZ,Australia,8,8,9,10,11,13,14,15,16,17
WEM,Austria,6,6,6,6,6,6,6,7,7,7
WEM,Bel-Lux,7,8,8,8,8,8,9,9,9,13
LAC,Brazil,44,50,59,69,80,90,102,115,128,139
ECA,Bulgaria,6,6,7,7,7,7,7,7,7,7
USC,Canada,12,14,16,18,20,21,23,24,26,27
LAC,Chile,5,5,6,7,8,9,10,11,12,13
APA,China,411,455,518,585,675,772,847,906,980,1056
ECA,Croatia,na,na,na,na,na,na,4,4,4,4
WEM,Denmark,4,4,4,4,4,4,4,4,4,4
WEM,Finland,3,3,4,4,4,4,4,4,4,4
WEX,France,35,37,39,41,43,44,46,47,49,50
ECA,Georgia,na,na,na,na,na,na,4,4,4,4
WEM,Germany,58,59,61,63,64,66,67,69,70,71
WEM,Greece,6,6,7,7,8,8,8,9,9,10
APA,Hong Kong,na,na,na,na,na,na,0,3,3,3
ECA,Hungary,8,8,8,8,8,8,8,8,9,9
APA,India,276,303,344,390,442,499,562,632,709,790
WEM,Ireland,2,2,2,2,2,3,3,3,3,3
WEX,Italy,38,39,41,43,45,47,48,49,49,51
APA,Japan,69,76,81,86,91,97,103,107,109,110
APA,Korea,16,17,19,23,26,30,33,35,37,39
APA,Malaysia,5,5,6,8,9,10,12,14,16,18
LAC,Mexico,22,25,30,35,40,47,54,62,69,76
ECA,Moldova,na,na,na,na,na,na,3,3,3,3
WEM,Netherlands,8,9,10,11,11,12,12,13,13,13
ANZ,New Zealand,2,2,2,2,2,3,3,3,3,3
APA,Philippines,16,18,21,25,29,34,39,45,51,58
WEX,Portugal,6,6,6,7,7,8,8,8,9,9
ECA,Romania,14,14,15,16,17,17,18,18,18,18
ECA,Russia,na,na,na,na,na,na,116,118,121,121
APA,Singapore,1,1,1,2,2,2,2,3,3,4
AME,South Africa,11,12,14,16,18,21,24,28,31,34
WEX,Spain,23,24,25,27,28,30,32,33,35,38
WEM,Sweden,6,6,6,7,7,7,7,7,7,8
WEM,Switzerland,4,5,5,5,5,5,6,6,6,6
APA,Thailand,17,19,22,26,31,37,41,45,48,52
AME,Turkey,17,19,22,26,29,33,38,43,48,53
ECA,Ukraine,na,na,na,na,na,na,41,41,40,40
WEM,United Kingdom,41,42,43,44,45,46,47,47,49,50
LAC,Uruguay,2,2,2,2,2,2,2,2,3,3
USC,USA,134,143,155,170,182,193,204,217,231,245
