Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,,,39228925109,58821424802,86513857982,1.06E+11,2.28E+11,2.87E+11,1.65E+11,3.05E+11
ANZ,Australia,21193582708,31719397469,62377978302,1.17E+11,1.85E+11,2.27E+11,3.21E+11,4.06E+11,4.63E+11,8.95E+11
WEM,Austria,8153004747,12122634453,26092707542,57485007019,70433884523,1.22E+11,1.90E+11,2.21E+11,2.43E+11,3.86E+11
WEM,Bel-Lux,14756059867,21993875323,45308552534,97879275914,97136712463,1.59E+11,2.46E+11,2.85E+11,3.24E+11,5.21E+11
LAC,Brazil,,,,,1.99E+11,3.29E+11,5.00E+11,7.99E+11,5.74E+11,1.47E+12
ECA,Bulgaria,,,,,18342652778,23223669935,10455297743,12357768081,19416284575,46380069612
USC,Canada,44071732354,68443501345,1.26E+11,2.20E+11,3.29E+11,4.70E+11,5.90E+11,6.47E+11,8.52E+11,1.43E+12
LAC,Chile,5333680151,7260866382,13546946291,14836474205,23996858429,22912646054,45935083479,77736719553,80448108747,1.70E+11
APA,China,51920342839,75038589650,1.24E+11,1.64E+11,2.23E+11,3.08E+11,4.55E+11,9.87E+11,1.61E+12,4.00E+12
ECA,Croatia,,,,,,,,24079797438,31600203655,60932820249
WEM,Denmark,8142545340,13178913582,26537414651,56164812028,60038778967,1.06E+11,1.48E+11,1.79E+11,2.03E+11,3.19E+11
WEM,Finland,6728703938,9367819779,17911238122,36544807264,52314534763,98349133599,1.08E+11,1.32E+11,1.59E+11,2.52E+11
WEX,France,81279557728,1.25E+11,2.31E+11,4.77E+11,5.75E+11,9.42E+11,1.35E+12,1.52E+12,1.71E+12,2.65E+12
ECA,Georgia,,,,,,,3815749194,3254745187,3932978732,10370032363
WEM,Germany,,,3.47E+11,6.83E+11,7.65E+11,1.28E+12,2.06E+12,2.29E+12,2.34E+12,3.40E+12
WEM,Greece,5743349645,9693388634,19794103208,41520288140,51103349043,69365666725,1.12E+11,1.44E+11,1.83E+11,3.19E+11
APA,Hong Kong,1784448198,2772256112,6901222642,17359210759,31691297763,55048978961,1.12E+11,1.68E+11,1.67E+11,2.10E+11
ECA,Hungary,,,,,,,39078017712,47863200703,77500706258,1.35E+11
APA,India,47390798479,52793340643,82383695080,1.31E+11,2.10E+11,2.85E+11,2.96E+11,4.30E+11,5.89E+11,1.17E+12
WEM,Ireland,2386453670,3378333247,6705214284,13430633406,20774946887,34946140549,53858534611,86893960834,1.49E+11,2.53E+11
WEX,Italy,54028203068,81558691683,1.51E+11,2.83E+11,4.42E+11,7.41E+11,1.18E+12,1.25E+12,1.39E+12,2.11E+12
APA,Japan,66369693650,1.37E+11,3.61E+11,8.30E+11,1.21E+12,2.64E+12,4.16E+12,4.34E+12,4.27E+12,4.65E+12
APA,Korea,3081215298,5484954970,14187654074,48903977273,87096897477,1.80E+11,3.85E+11,5.07E+11,6.47E+11,1.01E+12
APA,Malaysia,2271984843,3331863322,6611669941,15440393096,29024813266,33509176507,62420591592,88044255216,1.07E+11,1.97E+11
LAC,Mexico,16595370000,28193248000,52906712000,1.02E+11,1.87E+11,1.69E+11,4.27E+11,4.90E+11,7.37E+11,1.00E+12
ECA,Moldova,,,,,,,,1608871029,1930402018,4825913690
WEM,Netherlands,15682878307,26819060019,63768108429,1.41E+11,1.53E+11,2.38E+11,3.51E+11,4.33E+11,5.29E+11,8.40E+11
ANZ,New Zealand,6415160517,5691834427,11055376664,17077596234,23639074888,40019491925,46621259618,62800803628,78164185935,1.26E+11
APA,Philippines,5450877317,7295106573,9822449999,21738498399,34351813605,35881224209,54211612577,80098643375,83224780298,1.54E+11
WEX,Portugal,3806770409,6049729366,13262224975,22972958756,28743491617,50972559397,97890657216,1.23E+11,1.52E+11,2.39E+11
ECA,Romania,,,,,,40442807777,27639421524,37795133387,55743909305,1.68E+11
ECA,Russia,,,,,,5.07E+11,4.52E+11,3.16E+11,4.18E+11,1.29E+12
APA,Singapore,850287469,1354354502,3473244569,7438609190,16940469212,23806930830,58013305622,92139629273,98104334165,1.78E+11
AME,South Africa,8814661137,14042068949,26172466840,44034295747,84525518670,1.06E+11,1.31E+11,1.44E+11,1.60E+11,2.88E+11
WEX,Spain,17597901093,31970610388,70225084750,1.56E+11,1.85E+11,3.39E+11,5.64E+11,6.20E+11,8.27E+11,1.47E+12
WEM,Sweden,18437503090,28389507428,53223556492,1.01E+11,1.13E+11,1.87E+11,2.47E+11,2.73E+11,3.04E+11,4.63E+11
WEM,Switzerland,12534223898,18421922070,,,1.09E+11,1.89E+11,2.72E+11,3.00E+11,3.31E+11,4.99E+11
APA,Thailand,3443122442,5923509564,10023618116,22035698894,38319081232,56887565516,1.21E+11,1.43E+11,1.45E+11,2.64E+11
AME,Turkey,9619444444,15740000000,23019793471,61826352726,65208766372,85626382086,1.54E+11,2.12E+11,2.78E+11,6.01E+11
ECA,Ukraine,,,,,,,63349113203,42043170594,48854563655,1.37E+11
WEM,United Kingdom,84031916439,1.09E+11,1.79E+11,3.18E+11,5.02E+11,7.96E+11,1.13E+12,1.55E+12,1.95E+12,2.75E+12
LAC,Uruguay,,1746250000,3416238889,4993044199,7534449370,7475499376,14140231337,23463809860,15059311000,26254288749
USC,USA,6.23E+11,9.10E+11,1.36E+12,2.24E+12,3.56E+12,5.09E+12,6.73E+12,8.86E+12,1.13E+13,1.44E+13
