Region,Export Country,Year,WEX,WEM,ECA,ANZ,USC,LAC,AME,APA
WEX,FRA,1990,51964,1042875,3115,2969,127902,15272,18145,45659
WEX,FRA,1991,58132,1050420,7111,2138,143885,13016,18768,38738
WEX,FRA,1992,30041,994334,5838,2028,120905,13116,17434,37354
WEX,FRA,1993,17374,962743,14096,1956,116073,15988,16186,38696
WEX,FRA,1994,18838,996002,16283,2213,122839,15932,17650,50599
WEX,FRA,1995,29218,961470,11953,4949,140186,27047,20384,62995
WEX,FRA,1996,20708,1071780,17000,2219,158079,10542,10741,69385
WEX,FRA,1997,24536,1210927,22812,4099,210475,12827,12308,115649
WEX,FRA,1998,39698,1285161,41168,3778,187751,14941,13459,144306
WEX,FRA,1999,52551,1287925,48684,5104,175514,14943,17575,90454
WEX,FRA,2000,40584,1113472,34655,3263,175382,14203,15789,85783
WEX,FRA,2001,25159,1216253,44621,3056,168406,13179,16021,89803
WEX,FRA,2002,28126,1152888,53722,3880,171297,10810,18678,92642
WEX,FRA,2003,29309,1118542,72765,4102,158829,10250,16024,87276
WEX,FRA,2004,32993,1046981,53897,3866,152054,10551,16157,97594
WEX,FRA,2005,35718,998035,58885,4325,156043,9639,17369,95387
WEX,FRA,2006,37150,999870,106902,5315,169419,11237,21025,105275
WEX,FRA,2007,39378,1038688,104970,6147,166937,12134,24359,115555
WEX,FRA,2008,33957,951442,53862,8972,154948,11454,27031,128598
WEX,FRA,2009,27213,859505,47257,5468,141106,8570,22479,141077
WEX,ITA,1990,364022,707693,6181,4963,118575,2019,10361,4993
WEX,ITA,1991,381036,697050,11830,4848,123053,2268,1156,5366
WEX,ITA,1992,336139,655015,31448,4060,118238,2399,2568,5347
WEX,ITA,1993,266153,615815,71585,4037,109128,3866,1373,5493
WEX,ITA,1994,495330,754255,120805,4444,127992,6448,3642,10578
WEX,ITA,1995,644515,1001434,118256,7519,169276,9996,2281,16416
WEX,ITA,1996,324870,798421,65975,2219,158079,7808,1793,20644
WEX,ITA,1997,261224,867834,56697,4099,210475,11198,2052,33395
WEX,ITA,1998,367634,862127,52635,3778,187751,12434,2439,67036
WEX,ITA,1999,595592,995663,54248,5104,175514,14932,6499,39369
WEX,ITA,2000,415426,967382,69529,3263,175382,17013,7970,41597
WEX,ITA,2001,267940,929692,56712,3056,168406,15936,16316,43548
WEX,ITA,2002,197304,963101,54942,3880,171297,13937,12465,41392
WEX,ITA,2003,112807,826121,46125,4102,158829,12493,4871,35139
WEX,ITA,2004,123338,896924,54480,3866,152054,13549,3353,35720
WEX,ITA,2005,146167,1004962,91023,4325,156043,13021,3993,37706
WEX,ITA,2006,180260,1117164,149258,5315,169419,16095,4550,43671
WEX,ITA,2007,159464,1129719,182671,6147,166937,19016,4894,45786
WEX,ITA,2008,133144,1105201,161146,8972,154948,19541,6942,48557
WEX,ITA,2009,155832,1218953,177582,5468,141106,16657,5687,48766
WEX,POR,1990,47004,71653,63,1215,10916,2160,25542,2790
WEX,POR,1991,47300,75773,1689,1058,10305,2440,32839,2801
WEX,POR,1992,87662,79110,200,988,9340,2174,76664,2213
WEX,POR,1993,68476,81808,1305,763,8614,2981,42901,2274
WEX,POR,1994,54465,83837,278,812,9186,3958,44006,2285
WEX,POR,1995,47297,76591,137,822,8952,5363,27560,2869
WEX,POR,1996,55628,81160,3313,627,10888,5851,34670,3482
WEX,POR,1997,91708,84167,1391,681,10951,7073,48632,5115
WEX,POR,1998,67317,84672,243,593,11415,5712,50837,4687
WEX,POR,1999,63960,74902,152,659,12792,5895,35693,2482
WEX,POR,2000,64474,80025,190,582,13987,6745,20550,1860
WEX,POR,2001,42345,74999,334,609,13255,6359,20894,1691
WEX,POR,2002,85533,72530,446,597,14298,4077,30141,1985
WEX,POR,2003,155376,82545,538,826,13991,4515,46696,1793
WEX,POR,2004,141039,90389,741,852,14875,5307,59898,2162
WEX,POR,2005,77204,84937,1290,674,15830,6771,62767,2275
WEX,POR,2006,86010,83784,10978,692,16158,7864,77858,2797
WEX,POR,2007,123755,89203,21994,852,17936,8140,75255,3476
WEX,POR,2008,91452,83290,12447,755,17892,7597,69337,3645
WEX,POR,2009,47807,87500,3820,676,18638,6925,60850,4400
WEX,SPN,1990,37038,236308,55923,622,28178,4617,53625,5405
WEX,SPN,1991,95677,350380,77442,395,23238,5289,64380,4439
WEX,SPN,1992,155877,367525,38511,646,25528,6473,55617,4475
WEX,SPN,1993,241434,418266,124472,416,24273,7286,64048,3881
WEX,SPN,1994,248737,404984,22734,8681,23998,6920,46519,6919
WEX,SPN,1995,173375,382763,9515,4791,23647,7750,60388,7067
WEX,SPN,1996,127487,377789,27129,1745,22890,9370,44523,6909
WEX,SPN,1997,233221,435713,30770,7842,23924,11095,57123,24143
WEX,SPN,1998,336425,515712,24489,13563,26157,28008,53960,50523
WEX,SPN,1999,76662,370667,19490,7656,30646,21333,53880,43451
WEX,SPN,2000,281949,336447,19139,3917,26915,102538,47484,37411
WEX,SPN,2001,334050,386707,26856,720,28798,106850,53076,22256
WEX,SPN,2002,290771,400020,35035,1035,34169,50783,65565,19658
WEX,SPN,2003,415843,479634,40196,1425,39394,33358,62449,18152
WEX,SPN,2004,508053,554994,51427,1779,47245,49384,46931,20658
WEX,SPN,2005,468475,525336,67136,1371,56967,37013,46514,44475
WEX,SPN,2006,359897,511606,86891,1455,63858,21657,44364,53880
WEX,SPN,2007,415967,500454,95086,1518,67517,95644,40989,39650
WEX,SPN,2008,517570,520101,100157,1783,68627,40539,38005,43773
WEX,SPN,2009,466168,462077,123710,1286,65520,92194,40213,38453
WEM,AUT,1990,65,5448,6453,na,181,na,na,142
WEM,AUT,1991,74,7184,13456,na,117,na,na,372
WEM,AUT,1992,550,8988,8036,na,115,na,na,89
WEM,AUT,1993,870,9732,429,na,155,na,na,103
WEM,AUT,1994,158,11280,1955,na,157,na,na,137
WEM,AUT,1995,285,11598,15931,2,154,na,na,298
WEM,AUT,1996,143,11722,11661,1,268,6,13,394
WEM,AUT,1997,199,19453,4075,10,282,17,7,540
WEM,AUT,1998,1306,21217,2352,11,364,15,6,520
WEM,AUT,1999,174,23062,6568,11,620,4,23,539
WEM,AUT,2000,180,28881,6119,29,501,11,48,281
WEM,AUT,2001,306,33499,20411,8,605,23,201,290
WEM,AUT,2002,5169,55615,17304,23,718,53,48,246
WEM,AUT,2003,2867,57555,24820,28,1086,11,46,207
WEM,AUT,2004,2238,45323,24751,16,1029,74,52,233
WEM,AUT,2005,3058,42664,20231,16,1042,15,18,205
WEM,AUT,2006,888,37660,10697,19,1635,29,31,237
WEM,AUT,2007,770,44477,8710,30,1647,19,41,200
WEM,AUT,2008,776,47681,8644,57,1844,40,68,229
WEM,AUT,2009,732,56269,10309,58,1771,25,86,329
WEM,BEL,1990,480,14964,na,na,62,70,22,87
WEM,BEL,1991,929,14642,241,na,90,101,6,211
WEM,BEL,1992,410,11881,na,na,191,342,na,55
WEM,BEL,1993,769,14973,1014,na,378,549,102,172
WEM,BEL,1994,1249,16167,388,na,150,973,109,218
WEM,BEL,1995,2276,19698,2018,22,44,283,316,119
WEM,BEL,1996,1497,16282,219,25,63,137,246,159
WEM,BEL,1997,2212,18841,230,24,157,159,331,411
WEM,BEL,1998,2104,20030,319,26,200,193,291,329
WEM,BEL,1999,561,610,0,na,13,na,1,16
WEM,BEL,2000,2934,17141,190,8,577,60,285,416
WEM,BEL,2001,2683,15360,255,11,234,299,222,390
WEM,BEL,2002,2949,13904,249,4,354,10,136,96
WEM,BEL,2003,2973,12281,252,20,207,33,220,53
WEM,BEL,2004,2137,11435,299,11,132,69,198,26
WEM,BEL,2005,3237,13350,659,7,227,237,259,25
WEM,BEL,2006,3589,14488,1545,1,208,51,342,58
WEM,BEL,2007,4673,13283,3143,18,10632,28,383,36
WEM,BEL,2008,4156,13951,3796,47,17562,74,254,114
WEM,BEL,2009,5892,13546,919,65,1860,37,289,173
WEM,DEN,1990,na,3089,na,na,76,na,na,na
WEM,DEN,1991,76,2998,167,na,51,na,na,na
WEM,DEN,1992,167,2253,na,na,71,20,na,na
WEM,DEN,1993,100,1981,719,na,52,18,na,na
WEM,DEN,1994,183,3014,1031,na,65,38,na,na
WEM,DEN,1995,652,3791,258,na,na,na,na,na
WEM,DEN,1996,183,4248,104,na,7,9,3,2
WEM,DEN,1997,432,8357,163,na,na,na,na,na
WEM,DEN,1998,257,11236,182,na,na,3,1,17
WEM,DEN,1999,19,1372,220,na,1,na,0,2
WEM,DEN,2000,38,9571,162,1,7,0,3,3
WEM,DEN,2001,99,18013,232,6,27,12,5,26
WEM,DEN,2002,1353,35688,250,0,0,1,8,20
WEM,DEN,2003,439,38409,191,0,7,0,11,17
