Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,0,0,0,3,2,0,9,14,5,4
ANZ,Australia,0,1,4,14,23,35,38,61,84,306
WEM,Austria,6,6,10,17,17,32,53,100,139,214
WEM,Bel-Lux,22,33,82,207,255,364,623,904,1703,2799
LAC,Brazil,1,1,3,9,7,11,23,63,73,160
ECA,Bulgaria,0,2,5,13,10,1,3,7,2,15
USC,Canada,8,14,40,101,141,203,292,430,700,1361
LAC,Chile,0,0,0,1,1,0,0,4,2,4
APA,China,0,0,0,0,0,1,1,22,32,262
ECA,Croatia,na,na,na,na,na,na,3,3,8,22
WEM,Denmark,6,8,23,60,83,146,233,388,434,637
WEM,Finland,2,3,5,7,8,16,38,71,111,203
WEX,France,228,119,163,287,256,276,383,505,480,698
ECA,Georgia,na,na,na,na,na,na,0,1,0,2
WEM,Germany,82,114,263,526,763,1009,1503,1911,1908,2667
WEM,Greece,0,0,2,1,1,3,11,13,26,39
APA,Hong Kong,0,0,0,0,0,0,7,75,64,257
ECA,Hungary,2,4,3,7,9,13,5,3,5,23
APA,India,0,0,0,0,0,0,0,2,2,12
WEM,Ireland,3,3,7,15,21,33,57,106,199,316
WEX,Italy,4,10,44,53,60,125,183,176,226,408
APA,Japan,1,1,13,27,59,163,344,756,862,1158
APA,Korea,0,0,0,0,0,0,2,15,35,117
APA,Malaysia,0,0,0,0,0,0,1,8,17,40
LAC,Mexico,0,0,3,6,10,7,30,34,69,140
ECA,Moldova,na,na,na,na,na,na,1,6,4,5
WEM,Netherlands,10,18,59,162,226,334,491,552,628,1033
ANZ,New Zealand,1,1,3,4,9,17,35,55,79,115
APA,Philippines,0,0,0,0,0,0,0,7,10,14
WEX,Portugal,0,0,0,4,0,17,23,74,77,89
ECA,Romania,1,1,1,6,3,0,23,3,2,38
ECA,Russia,42,101,247,470,643,357,155,326,265,559
APA,Singapore,0,0,0,0,0,0,10,119,139,339
AME,South Africa,1,1,2,3,4,3,3,na,8,17
WEX,Spain,0,1,5,2,4,16,37,92,93,215
WEM,Sweden,10,12,22,48,63,105,181,243,325,560
WEM,Switzerland,30,40,89,161,242,354,459,625,683,940
APA,Thailand,0,0,0,0,0,0,2,16,8,23
AME,Turkey,0,0,0,0,0,0,0,0,0,3
ECA,Ukraine,na,na,na,na,na,na,11,15,16,57
WEM,United Kingdom,70,84,201,364,604,1127,1633,2499,3195,4616
LAC,Uruguay,0,0,0,0,0,0,2,7,5,5
USC,USA,43,73,194,411,833,1061,1059,1778,2897,4440
