Region,Export Country,Year,WEX,WEM,ECA,ANZ,USC,LAC,AME,APA
WEX,FRA,1990,323016,22289,819,512,1425,703,13211,177
WEX,FRA,1991,349211,20869,1398,690,1730,971,14041,342
WEX,FRA,1992,371169,19854,3704,1321,4008,1362,11647,546
WEX,FRA,1993,294522,15976,4616,1411,2506,1725,10889,733
WEX,FRA,1994,344683,34517,6244,1269,2834,2077,12329,104
WEX,FRA,1995,446844,76419,12954,584.6,2287,3984.77,16418,623
WEX,FRA,1996,378773,98772,6333,853,3942,3786,14776,935
WEX,FRA,1997,339761,118409,5348,1879,7590,10681,12617,1096
WEX,FRA,1998,353120,85609,4687,2174,8573,11617,16974,1899
WEX,FRA,1999,365557,83878,5659,3946,6415,11772,15806,1072
WEX,FRA,2000,278740,71935,3520,4876,6876,13664,18535,1049
WEX,FRA,2001,257919,86622,3816,8883,7206,15945,17013,1600
WEX,FRA,2002,264493,92141,2500,7489,13227,17282,20757,793
WEX,FRA,2003,321967,105316,2764,9858,14564,20005,22341,1289
WEX,FRA,2004,379206,98230,2954,11587,14177,23270,28381,868
WEX,FRA,2005,372243,110825,1692,11299,10351,25050,25292,1818
WEX,FRA,2006,347684,154525,1749,11016,19976,25035,25149,1501
WEX,FRA,2007,410231,185561,3318,14243,16755,29983,29867,1750
WEX,FRA,2008,491477,185853,2889,8831,29743,29232,31945,1819
WEX,FRA,2009,428257,189877,2308,7188,9336,28465,25520,4129
WEX,ITA,1990,205320,10597,632,na,417,54,65,na
WEX,ITA,1991,213913,12669,660,na,410,na,na,na
WEX,ITA,1992,202688,10731,674,na,446,113,68,na
WEX,ITA,1993,114050,8329,468,70,371,111,na,na
WEX,ITA,1994,127631,4032,855,74,403,157,154,na
WEX,ITA,1995,155521,6031,584,73,296,944,2208,18
WEX,ITA,1996,154424,5009,926,43,762,382,379,34
WEX,ITA,1997,162219,7830,1117,358,745,965,555,78
WEX,ITA,1998,227641,21655,1195,220,948,1370,494,886
WEX,ITA,1999,205843,8493,1175,442,1384,1132,765,110
WEX,ITA,2000,171990,6294,1150,443,1922,1485,599,64
WEX,ITA,2001,149058,9307,1884,822,1264,2562,1306,530
WEX,ITA,2002,178840,8645,2405,764,761,1703,504,51
WEX,ITA,2003,267684,11808,2662,848,1349,3355,2149,23
WEX,ITA,2004,326093,15008,3042,2339,12710,4219,1067,123
WEX,ITA,2005,304375,22858,1975,2016,42666,4119,1332,115
WEX,ITA,2006,329401,16162,2042,2290,46863,3591,1008,219
WEX,ITA,2007,418185,17608,2569,2094,49433,4496,1958,513
WEX,ITA,2008,397370,25181,33737,1032,57416,3617,1740,307
WEX,ITA,2009,245964,18133,2719,1280,60013,3194,1768,181
WEX,POR,1990,13952,637,na,na,na,na,na,na
WEX,POR,1991,7679,1087,na,na,69,na,na,na
WEX,POR,1992,10271,1137,na,na,77,na,na,na
WEX,POR,1993,17221,169,na,na,140,na,na,na
WEX,POR,1994,63118,942,na,na,98,na,na,na
WEX,POR,1995,84639,1397,na,2,na,580,na,na
WEX,POR,1996,42917,364,1,na,na,25,7,39
WEX,POR,1997,32735,435,1,na,na,74,2,28
WEX,POR,1998,98529,473,11,na,20,103,14,115
WEX,POR,1999,141991,507,19,68,148,262,1,20
WEX,POR,2000,97385,853,144,na,88,222,112,16
WEX,POR,2001,68485,785,16,6,95,178,22,na
WEX,POR,2002,61696,1743,29,2,239,124,42,na
WEX,POR,2003,72320,1838,7,3,18,110,34,3
WEX,POR,2004,85598,2551,77,4,312,143,218,11
WEX,POR,2005,75102,2713,8,10,235,244,52,2
WEX,POR,2006,61674,2115,11,8,149,260,25,1
WEX,POR,2007,85527,3342,2,na,176,497,84,3
WEX,POR,2008,113617,4159,4,268,12,501,123,19
WEX,POR,2009,104458,4264,25,193,25,742,131,0
WEX,SPN,1990,29814,682,na,100,251,1315,na,na
WEX,SPN,1991,29294,1483,na,na,199,816,na,50
WEX,SPN,1992,34309,1793,na,na,1218,1188,na,na
WEX,SPN,1993,22608,2795,na,150,538,419,61,na
WEX,SPN,1994,42350,1918,852,54,561,281,na,na
WEX,SPN,1995,114268,3227,1247,2,397,27800,2,302
WEX,SPN,1996,46809,2534,81,51,1380,9114,209,263
WEX,SPN,1997,40489,1306,257,1,206,974,160,401
WEX,SPN,1998,93135,3397,1056,4,375,1249,115,130
WEX,SPN,1999,115992,2495,325,61,408,1842,41,177
WEX,SPN,2000,84460,3118,359,134,441,2367,182,252
WEX,SPN,2001,57276,7139,707,201,301,3587,155,230
WEX,SPN,2002,66384,5486,900,405,513,3351,222,216
WEX,SPN,2003,91155,6202,808,369,81,4429,337,221
WEX,SPN,2004,112624,4608,841,496,973,4612,227,37
WEX,SPN,2005,133306,6247,904,1057,979,4977,653,45
WEX,SPN,2006,170572,7242,1482,996,656,6033,394,62
WEX,SPN,2007,251596,12316,2162,1040,687,5817,557,22
WEX,SPN,2008,265522,8670,1722,829,3034,7425,584,59
WEX,SPN,2009,158078,8879,1540,893,812,4129,574,23
WEM,AUT,1990,55355,761,392,64,253,na,131,na
WEM,AUT,1991,55167,786,414,na,594,202,193,na
WEM,AUT,1992,54620,1013,343,95,583,232,280,na
WEM,AUT,1993,45598,1164,54,61,412,219,230,na
WEM,AUT,1994,43754,1314,203,203,664,282,191,na
WEM,AUT,1995,63064,5880,770,119,168,297,324,11
WEM,AUT,1996,72626,6510,1479,306,193,474,499,12
WEM,AUT,1997,87948,7574,1994,598,438,720,481,160
WEM,AUT,1998,114749,12645,1785,800,269,899,476,6
WEM,AUT,1999,98389,19790,1003,1163,725,1454,320,22
WEM,AUT,2000,85574,13137,862,992,284,1731,787,1
WEM,AUT,2001,92618,16175,1421,1874,122,2009,696,10
WEM,AUT,2002,102773,19217,1342,1829,144,1406,636,na
WEM,AUT,2003,123057,26650,1434,2188,1496,2060,967,na
WEM,AUT,2004,137157,29067,2594,2588,91,1545,1543,50
WEM,AUT,2005,133896,36928,1659,2224,200,1752,1414,13
WEM,AUT,2006,138232,36199,1363,1678,7571,1961,1353,10
WEM,AUT,2007,168436,49462,1756,1059,10489,2103,2366,97
WEM,AUT,2008,183857,47303,1700,781,13663,2211,2023,1
WEM,AUT,2009,157195,57368,1798,1009,2114,1556,1935,0
WEM,BEL,1990,548390,18982,3093,59,1017,1418,1686,187
WEM,BEL,1991,557436,22199,5035,67,1225,1535,1872,190
WEM,BEL,1992,640663,27871,3781,123,1314,2414,1924,187
WEM,BEL,1993,610477,29743,2614,226,1421,1313,2487,223
WEM,BEL,1994,575488,35482,1136,303,1049,1476,2832,229
WEM,BEL,1995,655884,36832,1328,1281,4678,2371,6252,210
WEM,BEL,1996,678264,30702,2516,3764,5196,4366,7115,228
WEM,BEL,1997,640554,28912,2369,5506,8126,6214,7604,273
WEM,BEL,1998,737463,39636,2356,7312,9833,9790,10270,178
WEM,BEL,1999,768264,34169,2062,7949,10280,10349,11034,174
WEM,BEL,2000,638790,27108,1231,10518,14030,11815,13501,209
WEM,BEL,2001,583573,31051,1125,9232,27314,12207,10880,184
WEM,BEL,2002,690058,36240,1277,11013,18868,12265,10071,474
WEM,BEL,2003,819312,43025,1585,14135,13804,18063,15935,398
WEM,BEL,2004,888657,42895,2271,20464,13559,25607,19181,583
WEM,BEL,2005,890470,50128,2519,32295,11976,30449,21924,633
WEM,BEL,2006,926343,52896,3475,32361,8108,33355,19483,576
WEM,BEL,2007,1328565,59693,3618,38864,6242,37889,24230,1087
WEM,BEL,2008,1484657,73013,2877,35305,9216,45876,26560,497
WEM,BEL,2009,1097147,76766,3231,28542,12593,41448,29718,356
WEM,DEN,1990,186058,14058,2170,1625,2586,4034,260,na
WEM,DEN,1991,191659,15170,2940,2303,3802,4876,307,na
WEM,DEN,1992,229348,17285,2787,1215,4786,5645,2791,na
WEM,DEN,1993,185746,17937,2500,2473,3853,4355,1561,na
WEM,DEN,1994,210611,17288,2603,2090,5994,5766,2143,na
WEM,DEN,1995,290047,22106,4356,4294,4585,8766,1208,na
WEM,DEN,1996,291957,27827,4398,6119,8395,16625,6626,19
WEM,DEN,1997,287764,20528,4015,7350,9892,22878,4538,40
WEM,DEN,1998,307376,20175,3508,7614,10502,23488,5336,25
WEM,DEN,1999,308764,19418,2575,7577,11989,31209,5989,31
WEM,DEN,2000,280419,14467,2019,7865,12572,32805,9166,36
WEM,DEN,2001,260477,13675,1836,10980,6199,31398,8896,39
WEM,DEN,2002,277469,12888,2536,18241,5688,36694,12642,17
WEM,DEN,2003,315561,17184,3205,24933,10330,50443,16387,21
WEM,DEN,2004,322274,26127,4006,34401,14169,61980,21970,55
WEM,DEN,2005,332888,31969,1597,38093,18939,64795,26782,68
WEM,DEN,2006,342665,32831,1082,43829,20729,66826,27316,85
WEM,DEN,2007,385988,47712,601,50687,15769,74261,35090,61
WEM,DEN,2008,387595,60224,1040,54836,15462,92153,40754,93
WEM,DEN,2009,349085,59389,1214,33939,14385,78865,38140,59
WEM,FIN,1990,20241,6265,4643,737,581,1022,529,na
WEM,FIN,1991,21904,9378,4409,1885,1381,2158,274,na
WEM,FIN,1992,17128,9861,5844,3526,1336,2024,639,na
WEM,FIN,1993,16782,6669,5488,1756,1588,1936,978,na
WEM,FIN,1994,23422,5969,5820,1164,1247,1571,669,na
WEM,FIN,1995,36664,6145,4686,2097,2139,2738,1108,na
WEM,FIN,1996,37318,7086,4170,1484,3253,4521,929,na
WEM,FIN,1997,41455,7302,4042,2509,3618,6629,858,na
WEM,FIN,1998,52973,9645,3774,1802,2918,7267,1057,1
WEM,FIN,1999,59482,10069,3904,1994,3145,8515,1790,na
WEM,FIN,2000,51627,9155,3412,2064,2326,10251,2307,19
WEM,FIN,2001,58863,10275,2975,3055,2004,9698,3118,na
WEM,FIN,2002,69578,11032,2927,4041,1412,13183,3562,na
WEM,FIN,2003,77210,14699,2948,4448,2604,16258,5733,na
WEM,FIN,2004,80685,18308,4296,7055,4360,21743,9501,59
WEM,FIN,2005,83600,20539,4747,8506,5480,26878,8009,0
WEM,FIN,2006,85752,21914,5348,11055,5118,31420,9047,0
WEM,FIN,2007,98147,29026,6754,14909,4696,38734,10856,124
WEM,FIN,2008,110863,29259,7606,14066,3218,49297,15386,60
WEM,FIN,2009,96778,29085,9561,14528,2426,46177,13823,1
WEM,GER,1990,1340753,59103,65141,1021,3191,1755,9343,133
WEM,GER,1991,1490681,66485,68879,862,5250,2415,11398,219
WEM,GER,1992,1506274,70716,81733,1531,7351,4266,13955,453
WEM,GER,1993,1146884,60084,76151,2249,6495,3115,14084,208
WEM,GER,1994,1235903,70934,64196,5185,9179,4990,15561,341
WEM,GER,1995,1690703,92289,66238,6472,5079,6174,21704,275
WEM,GER,1996,1872470,92501,66820,8537,18227,11232,27470,514
WEM,GER,1997,1779081,112810,73420,13085,24353,20227,25269,425
WEM,GER,1998,1934942,123963,71037,14023,18351,26026,22281,438
WEM,GER,1999,1980238,109912,73655,31257,14335,33372,23717,429
WEM,GER,2000,1619162,96921,60946,32364,14638,38419,27101,404
WEM,GER,2001,1568895,97429,58175,28688,13465,43008,25195,311
WEM,GER,2002,1637103,110105,56158,29600,11817,35081,27072,629
WEM,GER,2003,1884702,137255,62102,39790,19314,45251,41232,269
WEM,GER,2004,2071641,157033,62160,54991,26434,63667,52951,479
WEM,GER,2005,2016718,165104,55314,55739,25920,72331,68255,698
WEM,GER,2006,2060299,186186,52100,41203,41872,62415,59473,1105
WEM,GER,2007,2295966,217357,66913,46816,47300,82856,81626,992
WEM,GER,2008,2609475,241156,40820,35526,49179,78948,92182,681
WEM,GER,2009,2379081,219697,56925,29090,44955,77079,84728,791
WEM,GRE,1990,9410,965,,,94,,,
WEM,GRE,1991,11898,1963,106,,276,,,
WEM,GRE,1992,9827,1009,75,,230,,,
WEM,GRE,1993,9470,1062,65,,139,,72,
WEM,GRE,1994,8546,1187,,,61,,199,
WEM,GRE,1995,13704,1353,122,24,82,,,
WEM,GRE,1996,10514,1398,4170,31,127,na,11,3
WEM,GRE,1997,9913,470,91,5,217,10,10,na
WEM,GRE,1998,14596,630,246,4,926,12,11,na
WEM,GRE,1999,18061,981,126,7,189,na,8,na
WEM,GRE,2000,20735,1432,374,10,103,na,12,0
WEM,GRE,2001,21044,1939,146,7,62,22,16,16
WEM,GRE,2002,26512,3580,130,56,21,68,56,na
WEM,GRE,2003,29808,4876,468,269,19,117,63,7
WEM,GRE,2004,29198,2040,493,161,137,156,69,2
WEM,GRE,2005,22591,5166,339,63,112,402,211,19
WEM,GRE,2006,31697,2889,465,63,113,402,92,1
WEM,GRE,2007,35763,5750,574,210,317,572,214,1
WEM,GRE,2008,45388,4774,844,281,60,825,229,1
WEM,GRE,2009,31684,6347,801,177,117,1090,197,3
WEM,IRL,1990,45102,4054,473,2309,768,456,na,na
WEM,IRL,1991,44329,4899,617,4182,908,941,197,76
WEM,IRL,1992,45033,5803,328,6543,986,1558,894,na
WEM,IRL,1993,35634,4955,313,5990,2114,1955,836,na
WEM,IRL,1994,42297,4225,293,7045,3024,2301,1180,na
WEM,IRL,1995,47756,6334,389,9877,3126,2939,1399,na
WEM,IRL,1996,51038,9204,486,11421,6036,5177,3020,na
WEM,IRL,1997,54382,10381,123,13158,7358,7719,3529,na
WEM,IRL,1998,65986,12819,532,17752,10635,10328,3739,na
WEM,IRL,1999,72697,15822,591,21322,11098,16367,4704,na
WEM,IRL,2000,56524,17152,186,22924,11793,19852,5414,na
WEM,IRL,2001,61201,16991,179,23677,13473,23848,5622,1
WEM,IRL,2002,72522,22046,148,28202,10080,28336,9270,1
WEM,IRL,2003,86038,35445,129,31275,12152,32250,12855,16
WEM,IRL,2004,98755,50305,181,44078,13907,39401,14529,6
WEM,IRL,2005,102489,53653,280,48412,6713,41033,15939,23
WEM,IRL,2006,121816,61812,393,48418,7943,42354,14732,1
WEM,IRL,2007,155735,74960,646,69909,5605,47543,15202,1
WEM,IRL,2008,169378,65794,742,59743,4331,53778,15437,1
WEM,IRL,2009,112734,74657,302,39177,3032,43765,7648,1
WEM,NLD,1990,382433,69119,5237,1406,997,2076,1300,53
WEM,NLD,1991,402847,71138,7555,1490,1142,3971,2787,384
WEM,NLD,1992,449512,76247,7614,2142,1429,6038,4340,116
WEM,NLD,1993,369331,53731,8050,2490,2972,4516,3761,135
WEM,NLD,1994,405284,75202,8689,4041,3146,4841,6330,275
WEM,NLD,1995,502132,105405,11737,5041,8882,7756,15338,462
WEM,NLD,1996,495689,108919,10315,6971,9650,12015,22286,2122
WEM,NLD,1997,490518,99793,8882,9148,16185,18117,19081,2287
WEM,NLD,1998,542948,106865,10508,9247,46234,20678,24975,2742
WEM,NLD,1999,549483,105407,6386,15639,77584,23354,30613,840
WEM,NLD,2000,449516,80022,4065,19425,76572,26079,38556,584
WEM,NLD,2001,437196,76679,3266,19883,69094,25608,40580,401
WEM,NLD,2002,502046,86926,2840,24932,53100,27083,46568,512
WEM,NLD,2003,597181,103741,2184,31001,74309,31491,70131,395
WEM,NLD,2004,628700,122177,1757,41751,85766,43660,78985,473
WEM,NLD,2005,621463,141013,1103,57689,34496,54729,76910,477
WEM,NLD,2006,639796,149781,1100,60057,38689,63083,56741,747
WEM,NLD,2007,749910,177940,1480,91010,21300,80929,76919,1702
WEM,NLD,2008,808445,211559,1520,75341,24223,104240,71023,1989
WEM,NLD,2009,698247,234525,636,73970,13779,106330,64790,728
WEM,SWE,1990,106788,17857,8428,15446,3862,1234,1038,287
WEM,SWE,1991,91805,18350,8745,18050,4635,3816,946,na
WEM,SWE,1992,95641,22403,8193,25459,5991,10147,627,na
WEM,SWE,1993,103474,26598,5504,19384,7545,10855,546,na
WEM,SWE,1994,160090,43648,7798,27077,10907,10909,2112,na
WEM,SWE,1995,164322,31819,7329,12859,4063,6979,3621,na
WEM,SWE,1996,181858,29480,8009,13982,8513,11810,8012,696
WEM,SWE,1997,160870,25257,7920,9392,12156,14032,8098,628
WEM,SWE,1998,187683,26048,7601,8775,12712,13826,7339,31
WEM,SWE,1999,180775,29949,6368,12822,9774,17170,9033,136
WEM,SWE,2000,167921,32551,6300,12432,8109,21507,9668,104
WEM,SWE,2001,164833,42602,5312,10585,6626,21259,8399,74
WEM,SWE,2002,195862,49414,5985,16116,2738,27085,9884,101
WEM,SWE,2003,222893,67032,5036,22437,4357,26276,22822,55
WEM,SWE,2004,223315,74849,6629,27523,6077,28298,36501,60
WEM,SWE,2005,227600,74562,10893,30991,19619,28308,46149,115
WEM,SWE,2006,241388,77524,8840,36241,19141,29842,54533,57
WEM,SWE,2007,298992,116052,8648,38238,11261,39670,70101,123
WEM,SWE,2008,338930,121269,10392,34955,12602,49610,82941,447
WEM,SWE,2009,308430,98611,9776,35792,11178,51653,86310,65
WEM,SWISS,1990,496993,13419,1996,680,4221,1181,2856,na
WEM,SWISS,1991,460810,11915,132,1914,4181,506,856,na
WEM,SWISS,1992,424957,10290,2466,1956,4336,575,1771,63
WEM,SWISS,1993,370797,10103,1586,2408,4156,694,1941,79
WEM,SWISS,1994,410377,12515,2765,3248,7279,1539,2364,na
WEM,SWISS,1995,517527,14258,5056,6031,13023,3128,7583,37
WEM,SWISS,1996,523621,13951,2612,6812,13886,4091,5627,69
WEM,SWISS,1997,511759,12708,2534,9945,18351,6712,5542,59
WEM,SWISS,1998,578435,12714,2267,9537,23221,11370,5907,233
WEM,SWISS,1999,612836,16093,2117,12225,25484,14800,5427,119
WEM,SWISS,2000,491809,17056,1456,14386,23611,14982,6306,201
WEM,SWISS,2001,506648,18760,1393,14050,5650,15638,5787,53
WEM,SWISS,2002,532492,22054,1892,16396,7054,12871,5840,93
WEM,SWISS,2003,659157,26248,2109,15580,14389,15647,6667,140
WEM,SWISS,2004,703544,28927,2408,12361,14034,14134,7882,157
WEM,SWISS,2005,654847,33700,1673,7053,11339,13648,7374,236
WEM,SWISS,2006,708461,45637,2116,4890,14082,12949,6568,179
WEM,SWISS,2007,840259,61053,1911,4814,25008,17542,8751,327
WEM,SWISS,2008,1022339,72534,2222,4190,17225,20903,9560,508
WEM,SWISS,2009,871171,64793,2376,6006,18070,24242,7990,531
WEM,UK,1990,1342477,255005,34704,42199,22947,5039,7339,1012
WEM,UK,1991,1180056,249839,39614,69871,28479,8572,9954,1160
WEM,UK,1992,1228847,245889,43511,97365,38092,11552,16247,876
WEM,UK,1993,1030368,179593,52435,134530,36301,13095,18507,924
WEM,UK,1994,1215792,187436,54373,160367,45752,16894,31395,2904
WEM,UK,1995,1299523,193274,60706,156236,59017,29210,56343,359
WEM,UK,1996,1364207,187602,63225,226950,81620,54500,69140,572
WEM,UK,1997,1477712,191843,53793,264321,108396,84446,69902,411
WEM,UK,1998,1652075,186154,55245,313704,141881,104513,73247,1084
WEM,UK,1999,1786617,187876,46391,407681,131257,142072,81499,1216
WEM,UK,2000,1355937,139621,31274,421524,142438,139364,97108,612
WEM,UK,2001,1460977,138826,27472,470073,167959,148693,86312,665
WEM,UK,2002,1689803,146527,23429,553586,188412,140431,117550,638
WEM,UK,2003,2150709,187675,24893,582772,212391,157443,166933,1043
WEM,UK,2004,2307230,200207,24166,801916,298795,190847,204131,996
WEM,UK,2005,2360094,219007,18498,814636,150476,190625,198229,1807
WEM,UK,2006,2513781,240987,18399,833541,268783,199737,151250,2180
WEM,UK,2007,3077264,295265,17289,1005258,281746,275451,185205,4003
WEM,UK,2008,3274592,294447,21995,862642,261255,272301,197412,6830
WEM,UK,2009,2555280,206321,19630,677290,193246,261587,195819,2855
ECA,BUL,1990,1281,411,,,,,,
ECA,BUL,1991,1493,,,,,,,
ECA,BUL,1992,779,120,1497,,,,,
ECA,BUL,1993,1541,,3826,,,,,
ECA,BUL,1994,170,120,3471,,,,,
ECA,BUL,1995,317,59,5949,,65,,,
ECA,BUL,1996,10,189,1375,na,na,na,2,2
ECA,BUL,1997,23,341,4961,na,na,na,1,na
ECA,BUL,1998,62,70,10685,na,na,na,92,na
ECA,BUL,1999,277,224,3269,49,75,na,5,na
ECA,BUL,2000,212,411,1448,na,na,na,3,na
ECA,BUL,2001,279,196,207,na,195,na,2,40
ECA,BUL,2002,374,237,753,0,6,na,19,na
ECA,BUL,2003,566,292,264,131,na,58,1,na
ECA,BUL,2004,934,615,115,53,na,26,1,4
ECA,BUL,2005,1800,379,1305,na,na,69,na,1
ECA,BUL,2006,3831,669,4324,na,na,573,3,0
ECA,BUL,2007,6506,640,4664,74,14,947,86,0
ECA,BUL,2008,13091,1377,1664,290,na,1255,264,0
ECA,BUL,2009,8683,1117,1015,161,27,1259,190,1
ECA,CRO,1990,na,na,na,na,na,na,na,na
ECA,CRO,1991,na,na,na,na,na,na,na,na
ECA,CRO,1992,323,130,3264,na,na,na,na,na
ECA,CRO,1993,1463,119,623,na,na,na,na,na
ECA,CRO,1994,943,228,1248,na,na,na,na,na
ECA,CRO,1995,718,383,1216,na,na,na,na,na
ECA,CRO,1996,781,395,2582,na,na,2,na,na
ECA,CRO,1997,802,262,1740,5,na,na,na,na
ECA,CRO,1998,922,311,1688,na,na,24,na,na
ECA,CRO,1999,879,286,1523,na,na,na,na,na
ECA,CRO,2000,926,251,1524,na,na,23,4,na
ECA,CRO,2001,1333,268,2774,5,75,35,na,na
ECA,CRO,2002,1771,438,3131,na,21,16,na,na
ECA,CRO,2003,2554,503,7427,2,na,49,na,1
ECA,CRO,2004,2580,667,10706,94,na,na,43,19
ECA,CRO,2005,2873,949,11366,52,4,85,48,2
ECA,CRO,2006,3389,1136,13981,63,na,321,29,4
ECA,CRO,2007,5269,1951,16959,156,41,795,17,1
ECA,CRO,2008,5698,1812,5433,166,67,540,na,0
ECA,CRO,2009,3185,1800,15061,78,na,413,90,3
ECA,GEO,1990,na,na,na,na,na,na,na,na
ECA,GEO,1991,na,na,na,na,na,na,na,na
ECA,GEO,1992,na,na,na,na,na,na,na,na
ECA,GEO,1993,na,134,na,na,na,na,na,na
ECA,GEO,1994,204,78,67,na,na,na,na,na
ECA,GEO,1995,146,182,210,na,na,na,na,na
ECA,GEO,1996,491,156,2122,na,na,na,150,na
ECA,GEO,1997,167,370,2862,na,na,na,na,na
ECA,GEO,1998,177,46,932,78,na,na,na,na
ECA,GEO,1999,58,7,193,29,na,na,na,na
ECA,GEO,2000,16,117,175,15,na,na,na,na
ECA,GEO,2001,25,228,550,na,na,na,na,na
ECA,GEO,2002,37,36,579,74,na,na,8,na
ECA,GEO,2003,112,47,682,na,17,na,na,na
