params,1,2,3,4,5,6,7,8,9,10
colsample_bytree,0.856900207496,0.997312884744,0.1,0.924157424045,0.130027950366,0.109219888913,0.905802177072,0.1,0.1,0.1
gamma,1.32182475445,5.73273352597,10.0,0.0476507259603,6.79468272477,0.641781051253,9.29029692772,0.0,10.0,0.0
lamb,3.51587252165,5.09693301697,0.0,9.41276741079,2.36811468201,0.632205557099,9.97946169675,10.0,10.0,10.0
max_depth,5.01935181382,5.05550852735,5.0,5.0,5.03190606662,5.13887194455,5.05946482699,5.0,5.0,5.0
min_child_weight,19.6377388624,9.57798321209,20.0,8.88438114301,12.8035533632,13.2523597548,6.2724881019,20.0,20.0,20.0
subsample,0.50010471404,0.773066668501,0.5,0.528525587585,0.541038821721,0.702122138085,0.517417725567,0.5,0.5,0.5
