,Product Name,Price ( USD )
0,SAM's Curious Kit,199
1,SAM's Inventor Kit,139
2,Button,31
3,Slider,33
4,Dimmer,33
5,Light Sensor,33
6,Pressure Sensor,33
7,Proximity Sensor,33
8,Tilt Sensor,33
9,Heat Sensor,34
10,Servo,37
11,RGB Light,31
12,Vibration Motor,37
13,DC Motor,45
14,Buzzer,33
15,Charging Dock,17
16,Cloud (beta),71
