,Lego Edu Product,Price (USD)
1,LEGO® Education WeDo 2.0 Core Set,175.95
2, WeDo 2.0 Replacement Pack,10.95
3,WeDo 2.0 Add-on Power Pack,87.95
4,WeDo 2.0 Medium Motor,22.95
5,WeDo 2.0 Motion Sensor,22.95
6,MoreToMath Core Set 1-2,62.95
7,LEGO MINDSTORMS Education EV3 Core Set ,389.95
8,LEGO MINDSTORMS Education EV3 Comprehensive Solution,4299.95
9,EV3 Space Challenge Set,225.95
10,LEGO MINDSTORMS Education EV3 Expansion Set,"101.95
"
11,EV3 Cable Pack,15.95
12,EV3 Color Sensor,"40.95
"
13,EV3 Gyro Sensor ,"30.95
"
14,"Build Me ""Emotions""","69.95
"
15,Animal Bingo,34.95
16,StoryTales Set with Storage,"114.95
"
17,Tubes Experiment Set with Storage,"119.95
"
18,Playground Set with Storage,109.95
19,Community Minifigure Set,46.95
20,Community People Set,"64.95
"
21,Fantasy Minifigure Set,"46.95
"
22,Large Farm Set,"149.95
"
23,"Doors, Windows & Roof Set","49.95
"
24,Large Building Plates,"34.95
"
25,Small Building Plates,"39.95
"
26,StoryStarter Core Set,"125.95
"
27,StoryStarter Community Expansion Set,"39.95
"
28,StoryStarter Fairytale Expansion Set,"39.95
"
29,StoryStarter Space Expansion Set,"39.95
"
30,Simple & Powered Machines Set,"169.95
"
31,Renewable Energy Add-on Set,"115.95
"
32,Pneumatics Add-on Set,"73.95
"
33,M&M Replacement Pack 2,"10.95
"
34,E-Motor,"25.95
"
35,Energy Display,"61.95
"
36,Energy Storage,"30.95
"
37,Early Simple Machines Set,"149.95
"
38,Simple Machines Set,"72.95
"
39,M&M Replacement Pack 1,10.95
40,Power Functions Battery Box,7.95
41,Power Functions Extension Wire 20,"4.95
"
42,LearnToLearn Core Set and Curriculum Pack,"101.95
"
43,LEGO Education WeDo Construction Set,164.95
44,WeDo Resource set,"73.95
"
45,WeDo Replacement Pack 2,"10.95
"
46,WeDo Motion Sensor,25.95
47,WeDo Replacement Pack 1,"10.95
"
48,WeDo Tilt Sensor,"25.95
"
49,BuildToExpress Core Set,"55.95
"
