Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date
1|1|1|9|Gold Digger|KANYE WEST featuring JAMIE FOXX|2005-07-30|92|1|39|20050924
2|2|2|9|Shake It Off|MARIAH CAREY|2005-07-30|66|2|26|20050924
3|4|1|24|We Belong Together|MARIAH CAREY|2005-04-16|81|1|43|20050924
4|6|4|8|Like You|BOW WOW featuring CIARA|2005-08-06|63|3|21|20050924
5|3|3|19|Lose Control|MISSY ELLIOTT featuring CIARA & FAT MAN SCOOP|2005-05-21|86|3|28|20050924
6|5|2|21|Don't Cha|THE PUSSYCAT DOLLS featuring BUSTA RHYMES|2005-05-07|95|2|40|20050924
7|16|7|6|My Humps|BLACK EYED PEAS|2005-08-20|85|3|36|20050924
8|7|2|16|Pon de Replay|RHIANNA|2005-06-11|97|2|27|20050924
9|25|9|10|Outta Control (Remix)|50 CENT featuring MOBB DEEP|2005-07-23|96|6|19|20050924
10|11|10|8|Wake Me Up When September Ends|GREEN DAY|2005-08-06|98|6|27|20050924
11|9|4|18|Let Me Hold You|BOW WOW featuring OMARION|2005-05-28|93|4|24|20050924
12|15|12|24|Beverly Hills|WEEZER|2005-04-16|25|10|43|20050924
13|10|5|28|You & Me|LIFEHOUSE|2005-03-19|99|5|58|20050924
14|18|14|10|Play|DAVID BANNER|2005-07-23|90|7|20|20050924
16|12|8|17|Listen To Your Heart|D.H.T.|2005-06-04|87|8|27|20050924
17|13|6|23|Behind These Hazel Eyes|KELLY CLARKSON|2005-04-23|87|6|34|20050924
18|14|14|7|Don't Lie|BLACK EYED PEAS|2005-08-13|81|14|20|20050924
19|17|14|18|Feel Good Inc|GORILLAZ / DE LA SOUL|2005-05-28|74|14|45|20050924
20|21|13|11|Cool|GWEN STEFANI|2005-07-16|86|13|20|20050924
21|19|9|16|Pimpin' All Over The World|LUDACRIS featuring BOBBY VALENTINO|2005-06-11|81|9|20|20050924
22|23|17|13|These Words|NATASHA BEDINGFIELD|2005-07-02|100|17|20|20050924
23|24|23|21|La Tortura|SHAKIRA featuring ALEJANDRO SANZ|2005-05-07|98|23|31|20050924
24|22|1|26|Hollaback|GWEN STEFANI|2005-04-02|82|1|31|20050924
25|34|25|8|Your Body|PRETTY RICKY|2005-08-06|88|12|20|20050924
26|48|26|4|Soul Survivor|YOUNG JEEZY featuring AKON|2005-09-03|83|4|24|20050924
27|28|19|25|Holiday|GREEN DAY|2005-04-09|98|19|32|20050924
28|29|15|33|Scars|PAPA ROACH|2005-02-12|73|15|38|20050924
29|26|14|22|Cater 2 U|DESTINY'S CHILD|2005-04-30|95|14|24|20050924
30|27|2|41|Since U Been Gone|KELLY CLARKSON|2004-12-18|70|2|46|20050924
31|20|11|9|Just The Girl|THE CLICK FIVE|2005-07-30|83|11|20|20050924
32|35|32|11|Badd|YING YANG TWINS featuring MIKE JONES & MR. COLLIPARK|2005-07-16|92|29|19|20050924
33|30|10|33|Mr. Brightside|KILLERS|2005-02-12|40|10|38|20050924
34|43|34|4|Because Of You|KELLY CLARKSON|2005-09-03|99|7|37|20050924
35|31|9|17|Get It Poppin'|FAT JOE featuring NELLY|2005-06-04|88|9|20|20050924
36|32|3|23|Don't Phunk With My Heart|BLACK EYED PEAS|2005-04-23|97|3|26|20050924
37|36|28|13|Alcohol|BRAD PAISLEY|2005-07-02|89|28|18|20050924
38|44|38|12|A Real Fine Place To Start|SARA EVANS|2005-07-09|99|38|20|20050924
39|37|37|13|Play Something Country|BROOKS & DUNN|2005-07-02|92|37|17|20050924
40|50|40|15|Must Be Nice|LYFE JENNINGS|2005-06-18|89|40|19|20050924
41|33|33|12|Helena (So Long & Goodnight)|MY CHEMICAL ROMANCE|2005-07-09|98|33|16|20050924
42|63|42|3|Photograph|NICKELBACK|2005-09-10|75|2|33|20050924
43|38|18|20|Best Of You|FOO FIGHTERS|2005-05-14|51|18|21|20050924
44|47|6|32|Lonely No More|ROB THOMAS|2005-02-19|78|6|34|20050924
45|46|45|7|Belly Dancer (Bananza)|AKON|2005-08-13|98|30|20|20050924
46|56|46|5|Run It!|CHRIS BROWN|2005-08-27|92|1|38|20050924
47|76|47|6|All Jacked Up|GRETCHEN WILSON|2005-08-20|97|42|11|20050924
48|42|28|17|As Good As I Once Was|TOBY KEITH|2005-06-04|80|28|20|20050924
49|39|3|27|Just A Lil Bit|50 CENT|2005-03-26|87|3|27|20050924
50|64|50|5|I'm Sprung|T-PAIN|2005-08-27|100|8|26|20050924
51|67|51|5|Naked|MARQUES HOUSTON|2005-08-27|89|47|14|20050924
52|57|52|8|Something To Be Proud Of|MONTGOMERY GENTRY|2005-08-06|96|41|20|20050924
53|45|22|17|Back Then|MIKE JONES|2005-06-04|91|22|20|20050924
54|55|51|11|Tell Me|BOBBY VALENTINO|2005-07-16|85|51|14|20050924
55|59|55|8|Redneck Yacht Club|CRAIG MORGAN|2005-08-06|100|45|19|20050924
56|53|29|16|Mississippi Girl|FAITH HILL|2005-06-11|85|29|20|20050924
57|52|52|11|This Is How A Heart Breaks|ROB THOMAS|2005-07-16|98|52|20|20050924
"58|60|58|9|Welcome To Jamrock|DAMIAN ""JR. GONG"" MARLEY|2005-07-30|96|55|12|20050924"
59|86|59|3|Girl Tonite|TWISTA featuring TREY SONGZ|2005-09-10|100|14|20|20050924
60|66|60|7|Stay With Me (Brass Bed)|JOSH GRACIN|2005-08-13|99|47|16|20050924
61|72|61|9|Somebody's Hero|JAMIE O'NEAL|2005-07-30|99|51|17|20050924
62|58|58|6|Dirty Little Secret|ALL-AMERICAN REJECTS|2005-08-20|91|9|38|20050924
63|61|35|19|Something More|SUGARLAND|2005-05-21|99|35|20|20050924
64|82|64|4|Best I Ever Had|GARY ALLAN|2005-09-03|98|51|17|20050924
65|62|48|14|So Seductive|TONY YAYO featuring 50 CENT|2005-06-25|76|48|15|20050924
66|90|66|3|Better Life|KEITH URBAN|2005-09-10|98|44|20|20050924
67|83|67|8|Charlie Last Name: Wilson|CHARLIE WILSON|2005-08-06|92|67|14|20050924
68|73|55|14|Right Here|STAIND|2005-06-25|85|55|20|20050924
69|41|29|4|Wake Up|HILARY DUFF|2005-09-03|29|29|6|20050924
70|78|70|4|Probably Wouldn't Be This Way|LeANN RIMES|2005-09-03|96|54|14|20050924
71|NEW|71|1|Boyfriend|ASHLEE SIMPSON|2005-09-24|71|19|20|20050924
72|94|72|2|More Than Words|FRANKIE J|2005-09-17|94|25|18|20050924
73|51|43|19|Diamonds From Sierra Leone|KANYE WEST|2005-05-21|94|43|19|20050924
74|84|74|7|Hicktown|JASON ALDEAN|2005-08-13|100|68|13|20050924
75|65|59|11|Do You Want Fries With That|TIM McGRAW|2005-07-16|90|59|11|20050924
76|88|76|2|We Be Burnin'|SEAN PAUL|2005-09-17|88|6|28|20050924
77|89|77|4|Shake|YING YANG TWINS featuring PITBULL|2005-09-03|94|41|20|20050924
78|91|78|6|Georgia Rain|TRISHA YEARWOOD|2005-08-20|98|78|8|20050924
79|80|67|10|And Then What|YOUNG JEEZY featuring MANNIE FRESH|2005-07-23|91|67|11|20050924
80|85|80|4|Home|MICHALE BUBLE|2005-09-03|91|72|14|20050924
81|70|70|4|Just Want You To Know|BACKSTREET BOYS|2005-09-03|89|70|4|20050924
82|96|82|2|I'm A King|P$C featuring T.I. & LIL SCRAPPY|2005-09-17|96|67|9|20050924
83|68|35|17|Make Her Feel Good|TEAIRRA MARI|2005-06-04|98|35|18|20050924
84|74|74|5|All These Things That I've Done|THE KILLERS|2005-08-27|95|74|14|20050924
85|77|39|18|How To Deal|FRANKIE J|2005-05-28|94|39|19|20050924
86|NEW|86|1|Skin (Sarabeth)|RASCAL FLATTS|2005-09-24|86|42|14|20050924
