Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,
1|1|1|16|Take A Bow|MADONNA|1994-12-17|45|1|30|19950401,,
2|2|2|13|Candy Rain|SOUL FOR REAL|1995-01-07|71|2|25|19950401,,
3|3|1|21|Creep|TLC|1994-11-12|71|1|32|19950401,,
4|4|4|5|Red Light Special|TLC|1995-03-04|39|2|22|19950401,,
5|5|5|14|Strong Enough|SHERYL CROW|1994-12-31|81|5|26|19950401,,
6|10|6|4|Run Away|REAL McCOY|1995-03-11|30|3|20|19950401,,
7|16|7|6|This Is How We Do It|MONTELL JORDAN|1995-02-25|93|1|29|19950401,,
8|8|4|9|Baby|BRANDY|1995-02-04|60|4|20|19950401,,
9|6|6|12|Big Poppa / Warning|NOTORIOUS B.I.G.|1995-01-14|82|6|24|19950401,,
10|7|5|31|You Gotta Be|DES'REE|1994-09-03|90|5|44|19950401,,
11|11|11|10|I Know|DIONNE FARRIS|1995-01-28|61|4|38|19950401,,
12|9|8|17|If You Love Me|BROWNSTONE|1994-12-10|79|8|27|19950401,,
13|14|13|8|Freak Like Me|ADINA HOWARD|1995-02-11|54|2|30|19950401,,
14|13|10|26|Hold My Hand|HOOTIE AND THE BLOWFISH|1994-10-08|95|10|44|19950401,,
15|12|3|32|Another Night|MC SAR & THE REAL McCOY|1994-08-27|77|3|45|19950401,,
16|15|1|20|On Bended Knee|BOYZ II MEN|1994-11-19|14|1|27|19950401,,
17|17|17|9|This Lil Game We Play|SUBWAY|1995-02-04|64|15|20|19950401,,
18|18|16|7|Like The Way I Do / If I Wanted To|MELISSA ETHERIDGE|1995-02-18|25|16|20|19950401,,
19|25|19|3|Keep Their Heads Ringin'|DR. DRE|1995-03-18|96|10|20|19950401,,
20|24|20|4|Believe|ELTON JOHN|1995-03-11|52|13|20|19950401,,
21|22|21|16|In The House Of Stone And Light|MARTIN PAGE|1994-12-17|87|14|35|19950401,,
22|20|4|27|Always|BON JOVI|1994-10-01|91|4|32|19950401,,
23|21|21|6|Thank You|BOYZ II MEN|1995-02-25|73|21|20|19950401,,
24|19|19|4|Dear Mama / Old School|2PAC|1995-03-11|31|9|20|19950401,,
25|27|25|10|Hold On|JAMIE WALTERS|1995-01-28|88|16|27|19950401,,
26|23|8|29|Sukiyaki|4PM|1994-09-17|90|8|32|19950401,,
27|32|27|7|I Believe|BLESSED UNION OF SOULS|1995-02-18|85|8|31|19950401,,
28|26|17|7|If You Think You're Lonely Now|K-CI HAILEY OF JODECI|1995-02-18|52|17|16|19950401,,
29|31|27|10|Everlasting Love|GLORIA ESTEFAN|1995-01-28|77|27|20|19950401,,
30|29|13|18|You Don't Know How It Feels|TOM PETTY|1994-12-03|69|13|22|19950401,,
31|34|31|6|I Live My Life For You|FIREHOUSE|1995-02-25|76|26|20|19950401,,
32|28|11|21|Rhythm Of The Night|CORONA|1994-11-12|84|11|27|19950401,,
33|30|7|24|Before I Let You Go|BLACKSTREET|1994-10-22|94|7|27|19950401,,
34|33|33|7|You Got It|BONNIE RAITT|1995-02-18|74|33|17|19950401,,
35|35|8|35|I'm The Only Love|MELISSA ETHERIDGE|1994-08-06|96|8|40|19950401,,
36|36|20|19|Every Day Of The Week|JADE|1994-11-26|53|20|22|19950401,,
37|42|37|8|Dream About You / Funky Melody|STEVIE B|1995-02-11|76|29|23|19950401,,
38|51|38|4|Cotton Eye Joe|REDNEX|1995-03-11|94|25|23|19950401,,
39|45|39|22|Get Ready For This|2 UNLIMITED|1994-11-05|85|38|27|19950401,,
40|37|22|18|I Miss You|N II U|1994-12-03|91|22|20|19950401,,
41|41|37|19|House Of Love|AMY GRANT & VINCE GILL|1994-11-26|96|37|21|19950401,,
42|38|38|14|Get Down|CRAIG MACK|1994-12-31|73|38|20|19950401,,
43|39|18|21|The Sweetest Days|VANESSA WILLIAMS|1994-11-12|83|18|23|19950401,,
44|52|44|5|Mr. Personality|20 FINGERS feat GILLETTE|1995-03-04|84|42|18|19950401,,
45|44|1|29|Here Comes The Hotstepper|INI KAMOZE|1994-09-17|97|1|30|19950401,,
46|48|14|30|Short Dick Man|20 FINGERS|1994-09-10|85|14|30|19950401,,
