Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,
1|1|1|9|I'm Too Sexy|RIGHT SAID FRED|1991-12-21|67|1|21|19920215,,
2|2|2|13|I Love Your Smile|SHANICE|1991-11-23|93|2|26|19920215,,
3|4|3|11|Diamonds And Pearls|PRINCE & THE N.P.G.|1991-12-07|88|3|21|19920215,,
4|3|1|11|Don't Let The Sun Go Down On Me|GEORGE MICHAEL & ELTON JOHN|1991-12-07|72|1|20|19920215,,
5|8|5|9|To Be With You|MR. BIG|1991-12-21|82|1|24|19920215,,
6|5|1|15|All 4 Love|COLOR ME BADD|1991-11-09|37|1|28|19920215,,
7|10|7|15|Tell Me What You Want Me To Do|TEVIN CAMPBELL|1991-11-09|93|7|24|19920215,,
8|13|8|4|Remember The Time|MICHAEL JACKSON|1992-01-25|53|3|20|19920215,,
9|6|6|11|Smells Like Teen Spirit|NIRVANA|1991-12-07|40|6|21|19920215,,
10|7|2|14|Can't Let Go|MARIAH CAREY|1991-11-16|42|2|20|19920215,,
11|9|5|21|Finally|CE CE PENISTON|1991-09-28|94|5|33|19920215,,
12|11|9|13|Mysterious Ways|U2|1991-11-23|77|9|20|19920215,,
13|12|12|12|The Way I Feel About You|KARYN WHITE|1991-11-30|84|12|20|19920215,,
14|17|14|5|Good For Me|AMY GRANT|1992-01-18|69|8|20|19920215,,
15|14|5|15|2 Legit 2 Quit|HAMMER|1991-11-09|61|5|20|19920215,,
16|16|16|5|Vibeology|PAULA ABDUL|1992-01-18|65|16|14|19920215,,
17|18|17|12|Keep It Comin'|KEITH SWEAT|1991-11-30|75|17|20|19920215,,
18|19|18|13|I Can't Make You Love Me|BONNIE RAITT|1991-11-23|87|18|20|19920215,,
19|26|19|3|Masterpiece|ATLANTIC STARR|1992-02-01|39|3|20|19920215,,
20|15|1|13|Black Or White|MICHAEL JACKSON|1991-11-23|35|1|20|19920215,,
