BBL,Street Number,Street Name,Borough,Zip,Benchmarking Submission,Entry Number,Site EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Indoor Water Intensity (All Water Sources)(gal/ft2),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,Number of Buildings,Reported BINs
1000010010,1,GOVERNORS ISLAND,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,
1000020002,,MARGINAL STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,0,
1000047501,1,WATER STREET,MANHATTAN,10004,Yes,41,102,287.9,16.37,Manual,75,25932.68,2428325,Office,1,1000005
1000057501,125,BROAD STREET,MANHATTAN,10004,Yes,3871,119.6,261.5,,Manual,70,11637.42,1338000,Office,1,1000006
1003620001,134,AVENUE D,MANHATTAN,10009,Yes,8312,30.3,85.7,1.57,ABS,N/A,13709.99,5207812,Multifamily Housing,7,1077504;1077538;1077539;1077540;1077541;1077541;1077544;1077545;1077546;1077547;1077548;1077549;1077550;1077507;1077551;1077552;1077553;1077554;1077554;1077896;1078045;1078046;1078047;1078048;1078048;1078050;1078051;1078052;1078053;1078054;1078055;1078056
1000090001,34,WHITEHALL STREET,MANHATTAN,10004,Yes,8575,99.5,302.6,,Manual,55,7771.16,852840,Office,1,1000018
1000090014,17,STATE STREET,MANHATTAN,10004,Yes,735,79.7,210,,Manual,82,4033.53,574095,Office,1,1000020
1000090029,24,WHITEHALL STREET,MANHATTAN,10004,Yes,93,139.4,295.2,11.06,Manual,41,10308.19,859807,Office,1,1000021
1000100014,33,WHITEHALL STREET,MANHATTAN,10004,Yes,641,134.5,432.9,,Manual,36,5068.06,405310,Office,1,
1000100016,90,BROAD STREET,MANHATTAN,10004,Yes,2711,39.8,118.2,,Manual,90,1405.66,388153,Office,1,1-00010-0016
1000100023,1,WHITEHALL STREET,MANHATTAN,10004,Yes,90,102.8,244.4,17.9,Manual,67,2939.91,329991,Office,1,1000027
1000110001,2,BROADWAY,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,
1012900021,535,MADISON AVENUE,MANHATTAN,10022,Yes,136,71.8,207.5,5.88,ABS,80,3091.99,473356,Bank/Financial Institution,1,1035747
1000110021,80,BROAD STREET,MANHATTAN,10004,Yes,12104,52.6,146.3,,Manual,96,2254.53,475000,Office,1,1000038
1000130001,1,BROADWAY,MANHATTAN,10004,Yes,12928,65.7,183.7,,Manual,72,1241.58,208039,Office,1,1000043
1000130005,11,BROADWAY,MANHATTAN,10004,Yes,638,80.1,214,,Manual,78,3030.18,423348,Office,1,BIN# 1000044
1011200022,15,WEST   67 STREET,MANHATTAN,10023,Yes,12382,62.4,91.8,8.92,ABS,N/A,330.36,64899,Multifamily Housing,1,1028241
1000157501,17,BATTERY PLACE,MANHATTAN,10004,Yes,5502,28.7,99.6,,Manual,N/A,3419.27,1346985,Office,1,1082634
1000157501,17,BATTERY PLACE,MANHATTAN,10004,Yes,9917,50,143.8,,Manual,N/A,6274.93,1427048,Office,1,1082634;1087080
1000157502,20,WEST STREET,MANHATTAN,10004,Yes,2843,50.1,141.4,,Manual,N/A,907.9,227463,Multifamily Housing,1,1087243;1000046
3068180025,1840,EAST   13 STREET,BROOKLYN,11229,Yes,7792,49.7,82.4,10.56,ABS,N/A,430.36,138476,Multifamily Housing,1,3183899
1011860091,316,WEST   79 STREET,MANHATTAN,10024,Yes,1747,60.9,92.3,10.72,ABS,N/A,315.64,63121,Multifamily Housing,1,1031130
1000160100,345,SOUTH END AVENUE,MANHATTAN,10280,Yes,10515,67.5,194.5,,Manual,N/A,7481.3,1368917,Multifamily Housing,6,1083378; 1083373; 1083374; 1083375; 1083376; 1083377
1000160120,200,LIBERTY STREET,MANHATTAN,10281,Yes,45,111.2,249.7,11.53,Manual,88,14083.52,1485610,Office,1,1000057
1000160150,250,VESEY PLACE,MANHATTAN,10282,Yes,47,31.4,288.2,26.78,Manual,39,28565.59,1615675,Bank/Financial Institution,1,1000060
1000160180,20,RIVER TERRACE,MANHATTAN,10007,Yes,203,112.4,197.7,30.54,Manual,N/A,2633.83,356786,Multifamily Housing,1,1086174
1000160185,211,NORTH END AVENUE,MANHATTAN,10282,Yes,202,96.3,160.3,36.28,Manual,N/A,1853.76,300000,Multifamily Housing,1,1086547
1000160190,22,RIVER TERRACE,MANHATTAN,10282,Yes,517,70.3,134.6,,Manual,N/A,1613.33,331500,Multifamily Housing,1,BIN# 1085929
1000160195,325,NORTH END AVENUE,MANHATTAN,10282,Yes,10059,100.5,192,43.57,Manual,N/A,2183.42,322505,Multifamily Housing,1,1086507
1000160200,400,CHAMBERS STREET,MANHATTAN,10282,Yes,10060,80.9,149.9,35.49,Manual,N/A,2382.84,440079,Multifamily Housing,1,1085774;1088317
1000160205,455,NORTH END AVENUE,MANHATTAN,10282,No Record as of 08/1/13,,,,,,,,,,1,
1000650024,24,JOHN STREET,MANHATTAN,10038,No Record as of 08/1/13,,,,,,,,,,1,
1000160210,399,CHAMBERS STREET,MANHATTAN,10282,Yes,519,72.2,133.8,,Manual,N/A,1773.46,357975,Multifamily Housing,1,BIN# 1085486
1000160221,201,WARREN STREET,MANHATTAN,10282,No Record as of 08/1/13,,,,,,,,,,1,
1000160225,1,NORTH END AVENUE,MANHATTAN,10281,Yes,630,148.3,366.7,25.73,Manual,80,8094.66,622439,Office,1,1085502
1000160260,200,WEST STREET,MANHATTAN,10282,Yes,1735,111.5,325.8,,Manual,N/A,21433.62,2137781,Bank/Financial Institution,1,1087239
1000167501,377,RECTOR PLACE,MANHATTAN,10280,Yes,1642,64.9,123.6,,Manual,N/A,976.09,199141,Multifamily Housing,1,1000061
1000167502,320,ALBANY STREET,MANHATTAN,10280,Yes,2987,71.5,129.3,,Manual,N/A,821.88,150667,Multifamily Housing,1,1000301
1009087501,200,EAST   28 STREET,MANHATTAN,10016,Yes,7760,68.4,110.9,12.33,ABS,N/A,633.57,147001,Multifamily Housing,1,1031111
1000167504,300,ALBANY STREET,MANHATTAN,10280,Yes,2993,74.6,159.4,,Manual,N/A,600.86,112312,Multifamily Housing,1,1000436
1000167505,380,RECTOR PLACE,MANHATTAN,10280,Yes,1643,116.7,231.3,,Manual,N/A,2033.74,235366,Multifamily Housing,1,1000544
