Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
12086,1000410001,,1000410001,1001007,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,918919,,Office,
14354,4021460028,,,,63-10,108 STREET,Queens,11375,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,82730,,1
12150,2027620097,,2027620097,2006460,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,64200,,Multifamily Housing,
12590,1006700001,,,,201,11 AVENUE,Manhattan,10001,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,440360,,1
15591,2048300034,,2048300034,2063117,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,50000,,Multifamily Housing,
12135,2006120205,,2-00612-0205,3008876,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,61800,,Distribution Center,
8523,3050770001,,3-05077-0001,3116471,1600,CATON AVENUE,Brooklyn,11226,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,102198,102198,Multifamily Housing,1
15920,3065710023,,3065710023,3173037,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,174.6,,46620,,Multifamily Housing,
14241,4004490013,,,,44-02,11 STREET,Queens,11101,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,120570,,1
15925,3072240128,,3072240128,3196035,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,54029,,Multifamily Housing,
9685,3087210375,,3-08721-0375,3245726,1311,BRIGHTWATER AVENUE,Brooklyn,11235,Filed,,Not Available,,Not Available,Not Available,Yes,ABS,Not Available,,,,0,288548,Multifamily Housing,1
7540,3008640001,,3008640001,3337343,526,59 STREET,Brooklyn,11220,Filed,,Not Available,,Not Available,17.51,Yes,ABS,Not Available,,,,171502,353342,K-12 School,5
14360,4022370033,,,,72-36,112 STREET,Queens,11375,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,85200,,1
10588,4024310023,,4-02431-0023,4056316,46-01,67 STREET,Queens,11377,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,68750,62500,Multifamily Housing,1
14423,4031680013,,,,    98-30,  67 AVENUE         ,Queens,11374,No Submission Matched to BBL,,,,,,N/A,None,,,,,#N/A,132724,,1
12515,1004370001,,,,150,1 AVENUE,Manhattan,10009,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,52390,,1
3028,1013110040,,Not Available,Not Available,950,3 AVENUE,Manhattan,10022,Filed,125.4,123.8,239.8,237.9,33.47,No,Manual,68,3556.4,0,3556.4,330000,313200,Office,1
14609,4100970020,,,,153-20,JAMAICA AVENUE,Queens,11432,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,738000,,1
12096,1006460047,,1-00646-0047,1012238,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,69160,,Mixed Use Property,
6666,2033970029,,2033970029,2019798,529,EAST  235 STREET,Bronx,10470,Filed,,Not Available,,Not Available,61.14,Yes,ABS,Not Available,,,,52974,52599,Multifamily Housing,1
8914,3058870001,,3-05887-0001,3146368,7119,SHORE ROAD,Brooklyn,11209,Filed,,Not Available,,Not Available,19.59,Yes,ABS,Not Available,,,,82200,82200,Multifamily Housing,1
11586,4097150220,,4-09715-0220,4207873,140-55,BURDEN CRESCENT,Queens,11435,Filed,,Not Available,,Not Available,48.57,Yes,ABS,Not Available,,,,63360,63360,Office,1
11714,4103360060,,4103360060,4220265,109-10,180 STREET,Queens,11433,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,,,52960,53000,Other,1
14307,4015250047,,,,    42-72,  80 STREET         ,Queens,11373,No Submission Matched to BBL,,,,,,N/A,None,,,,,#N/A,89000,,1
12761,1009220070,,,,295,1 AVENUE,Manhattan,10003,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,98260,,1
12091,1001242024,,1001242024,1082894,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,154754,,Hotel,
16027,4042820100,,Not Available,Not Available,,,Queens,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,465667,,Other,
13378,2031170023,,,,855,EAST  178 STREET,Bronx,10460,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,90600,,1
14911,1007400013,,1007400013,1013048,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,331.3,68329,,Office,
15103,1012770006,,1-01277-0006,1035346,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,5.24,N/A,None,Not Available,,0,,66546,,Office,
12140,2022150042,,2-02215-0042,1064521,,,Bronx,,BBL not valid,6224.5,6182.2,6533,6488.6,Not Available,N/A,N/A,Not Available,,,5.8,342048,,Multifamily Housing,
14960,1008830029,,1-00883-0029,1082096,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,58456,,Office,
6435,2032810077,,2-03281-0077,2016465,400,EAST MOSHOLU PARKWAY,Bronx,10458,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,88440,88440,Office,1
7261,2058251554,,2058251554,2084533,6225,BROADWAY,Bronx,10471,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,87295,78825,Multifamily Housing,1
5842,2028240005,,2028240005,2094530,1650,SELWYN AVENUE,Bronx,10457,Filed,,Not Available,,Not Available,41.64,Yes,ABS,Not Available,,,,255597,243426,Senior Care Community,3
7428,3002447501,,3002447501,3002008,195,MONTAGUE STREET,Brooklyn,11201,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,220991,296555,Office,1
9533,3075620001,,3-07562-0001,3206027,3413,AVENUE H,Brooklyn,11210,Filed,,Not Available,,Not Available,78.56,Yes,ABS,Not Available,,,,66000,66000,Office,1
14197,4001680001,,,,    43-09,  47 AVENUE         ,Queens,11104,No Submission Matched to BBL,,,,,,N/A,None,,,,,#N/A,89781,,1
12306,,,Not Available,Not Available,,,Staten Island,,No BBL on submission,0,0,0,0,Not Available,N/A,N/A,100,0,0,0,61219,,Office,
13754,3013820004,,,,283,ALBANY AVENUE,Brooklyn,11213,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,57720,,1
12496,1002830018,,,,143,HENRY STREET,Manhattan,10002,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,81953,,1
13616,2059200670,,,,3801,HUDSON MANOR TERRACE,Bronx,10463,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,152400,,1
14932,1008210064,,1008210064,1015484,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,121.5,73000,,Office,
1317,1008240032,,1008240032,101559,3,WEST   22 STREET,Manhattan,10010,Filed,,Not Available,,Not Available,8,Yes,ABS,Not Available,,273.7,,74027,74027,Office,1
15011,1010140033,,1010140033,1024686,,,Manhattan,,Not on Covered Buildings List,154.9,154.9,352.7,352.7,24.89,N/A,None,59,9525,2207.9,7317.1,841709,,Office,
9863,4002520018,,4002520018,4003447,32-36,47 AVENUE,Queens,11101,Filed,46,46,51,51,0.02,Yes,ABS,100,1356.2,1288.5,67.7,390400,184400,Office,1
10923,4049560013,,4049560013,4112104,139-06,34 ROAD,Queens,11354,Filed,,Not Available,,Not Available,106.58,Yes,ABS,Not Available,,,,70800,59000,Multifamily Housing,1
16122,4101000001,,4101000001,4215612,,,Queens,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,400000,,Office,
13809,3021110015,,,,30,LAFAYETTE AVENUE,Brooklyn,11217,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,170000,,1
13454,2033470010,,,,3260,PERRY AVENUE,Bronx,10467,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,52800,,1
102,1000380001,,1-00038-0001,1000875,100,WALL STREET,Manhattan,10005,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,426531,463664,Office,1
206,1001240004,,1-00124-0004,1001399,9,PARK PLACE,Manhattan,10007,Filed,,Not Available,,Not Available,27.88,Yes,ABS,Not Available,,,,220624,205000,Office,1
15030,1010760051,,1-01076-0051,1027001,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,179.3,250000,,Hotel,
15110,1012930035,,1-01293-0035,1036067,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,0,,340574,,Office,
12133,2002810001,,2002810001,2007849,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,89.4,96990,,Multifamily Housing,
12214,3020470004,,3020470004,3348771,,,Brooklyn,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,520.4,,638094,,Office,
12237,4004370002,,4004370002,4000000,,,Queens,,BBL not valid,66.2,65.6,177.8,177.2,10.32,N/A,N/A,84,2641.2,414.1,2227.1,528060,,Office,
16043,4051810006,,4-05181-0006,4117035,,,Queens,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,49925,,Office,
12183,2147483647,,2-14748-3647,4464076,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,1027.0999999999999,,248056,,Multifamily Housing,
13380,2031340014,,,,984,BRONX PARK SOUTH,Bronx,10460,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,52030,,1
13912,3036310030,,,,20,HEGEMAN AVENUE,Brooklyn,11212,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,125000,,1
13595,2057230100,,,,500,KAPPOCK STREET,Bronx,10463,No Submission Matched to BBL,,,,,,Yes,None,,,,,#N/A,64142,,1
14085,3070870076,,,,143,LAKE STREET,Brooklyn,11223,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,221704,,1
13902,3032600001,,,,374,STOCKHOLM STREET,Brooklyn,11237,No Submission Matched to BBL,,,,,,No,None,,,,,#N/A,360000,,1
977,1007660061,,1-00766-0061,1013820,230,WEST   17 STREET,Manhattan,10011,Filed,122.3,122.4,347,347.3,1.35,Yes,ABS,4,584.4,76.8,507.6,59468,53168,Office,1
1256,1008150046,,1008150046,1015281,1430,BROADWAY,Manhattan,10018,Filed,117,115.9,257,255.7,Not Available,No,None,52,3613,0,3613,364000,364000,Office,1
12088,1001000007,,1001000007,1022676,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,,,,106076,,Hotel,
4862,1020930029,,1020930029,1062398,3565,BROADWAY,Manhattan,10031,Filed,,Not Available,,Not Available,67.32,Yes,ABS,Not Available,,,,78678,72099,Multifamily Housing,1
12159,2042260016,,2-04226-0016,2047127,,,Bronx,,BBL not valid,4.7,4.7,14.8,14.8,Not Available,N/A,N/A,100,88.1,0,88.1,230000,,Office,
12179,2147483647,,2-14748-3647,3194728,,,Bronx,,BBL not valid,90.1,90.2,130.9,131,46.22,N/A,N/A,Not Available,404.6,296,108.6,76752,,Multifamily Housing,
15600,3001470004,,3001470004,3319418,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,913378,,Office,
15867,3046480033,,3046480033,3323081,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,60.96,N/A,None,Not Available,,217.7,,92800,,Multifamily Housing,
15924,3068550001,,3068550001,3329173,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,,61404,,K-12 School,
12206,3001450035,,3001450035,3413889,,,Brooklyn,,BBL not valid,0.3,Not Available,0.8,Not Available,Not Available,N/A,N/A,100,3.6,0,3.6,175601,,Office,
12375,,,Not Available,Not Available,,,Staten Island,,No BBL on submission,,Not Available,,Not Available,Not Available,N/A,N/A,Not Available,0,0,0,0,,College/University,
16099,4084010096,,4084010096,   4453435,,,Queens,,Not on Covered Buildings List,180.5,178.7,233.7,231.8,Not Available,N/A,None,Not Available,966.7,806.6,160.1,91968,,Multifamily Housing,
500,1005050001,,1005050001,  1007817,150,VARICK STREET,Manhattan,10013,Filed,82.1,81.9,201.3,201.2,8.71,Yes,ABS,44,1392.3,337.9,1054.4000000000001,235370,214110,Distribution Center,1
5017,1021420100,,1021420100,  1063495,4079,BROADWAY,Manhattan,10032,Filed,137.69999999999999,137.5,192.5,192.1,Not Available,No,None,Not Available,673.6,541.79999999999995,131.80000000000001,64806,64816,Multifamily Housing,1
5116,1021750080,,1021750080,  1064235,60,SHERMAN AVENUE,Manhattan,10040,Filed,103.2,103,138.6,138.2,Not Available,No,None,Not Available,485,403,82,62839,62847,Multifamily Housing,1
363,1003360005,,  1003360005,  1088884,16,BIALYSTOKER PLACE,Manhattan,10002,Filed,74,74,115.8,115.8,Not Available,No,None,Not Available,435.5,290,145.5,98000,98052,Multifamily Housing,1
6876,2040830013,,2040830013,  2044217,1525,JARRETT PLACE,Bronx,10461,Filed,36.4,36.3,80.900000000000006,80.8,Not Available,Yes,None,98,133.69999999999999,45.3,88.4,53275,53285,Office,1
10714,4031680056,,4031680056,  4075089,99-21,67 ROAD,Queens,11375,Filed,114.8,114.5,166,165.8,Not Available,No,None,Not Available,414.9,305.3,109.6,61846,61856,Multifamily Housing,1
1214,1008070028,,1-00807-0028, 1015181,119,WEST   31 STREET,Manhattan,10001,Filed,130,128.4,258.7,257.3,22.89,Yes,ABS,57,1965.4,977.8,987.6,204417,221227,Office,1
1544,1008580014,,1-00858-0014, 1016899,80,MADISON AVENUE,Manhattan,10016,Filed,138.30000000000001,138.3,233.7,233.9,Not Available,No,None,Not Available,597.29999999999995,384.1,213.2,60110,60110,Multifamily Housing,1
1905,1009687501,,1-00968-7501, 1022060,630,1 AVENUE,Manhattan,10016,Filed,56909,Not Available,68511.899999999994,Not Available,Not Available,No,None,Not Available,2307283.7000000002,82.7,2307201,457946,550141,Multifamily Housing,1
2301,1011390001,,1-01139-0001, 1028849,145,WEST   67 STREET,Manhattan,10023,Filed,88.2,87.5,150.6,149.3,Not Available,No,None,Not Available,2812.8,1657.9,1154.9000000000001,511001,568001,Multifamily Housing,1
15059,1012090148,,1-01209-00148, 1031751,,,Manhattan,,Not on Covered Buildings List,15.7,15.7,23.5,23.5,Not Available,N/A,None,100,52.4,37.200000000000003,15.2,56442,,Hotel,
674,1005680024,,1005680024, 1032045,60,UNIVERSITY PLACE,Manhattan,10003,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,104.7,60939,56252,Multifamily Housing,1
2537,1012120110,,1012120110, 1032045,155,WEST   81 STREET,Manhattan,10024,Filed,85.7,Not Available,115.3,Not Available,47.4,Yes,ABS,Not Available,507.8,422,85.8,78435,67230,Multifamily Housing,1
2841,1012747502,,1-01274-7502, 1035250,57,WEST   58 STREET,Manhattan,10019,Filed,195.7,Not Available,315.8,Not Available,Not Available,No,None,Not Available,1148.0999999999999,790.1,358,80293,96137,Multifamily Housing,1
2945,1012920048,,1012920048, 1035788,32,EAST   57 STREET,Manhattan,10022,Filed,79.099999999999994,79.1,175,175.2,8.77,Yes,ABS,74,653.6,271.8,381.8,104990,77511,Office,1
15120,1013040033,,1013040033, 1036446,,,Manhattan,,Not on Covered Buildings List,144.1,142.4,309.3,307.2,Not Available,N/A,None,26,6472.5,0,6472.5,528180,,Office,
3053,1013150044,,1-01315-0044, 1037547,214,EAST   42 STREET,Manhattan,10017,Filed,200.9,200.9,311.89999999999998,312,62.18,Yes,None,13,5302.6,3569.4,1733.2,440895,502158,Hotel,1
4233,1016440059,,1-01644-0059, 1052315,136,EAST  117 STREET,Manhattan,10035,Filed,104.6,102.4,142.4,139.7,Not Available,Yes,ABS,Not Available,556.1,458.3,97.8,69656,55725,Multifamily Housing,1
4777,1020230028,, 1020230028, 1060220,2340,ADAM C POWELL BLVD,Manhattan,10030,Filed,86.7,86.7,87.6,87.6,Not Available,No,None,Not Available,406.6,406.6,0,62300,57834,Multifamily Housing,1
4912,1021310044,,1021310044, 1063170,2308,AMSTERDAM AVENUE,Manhattan,10033,Filed,102.1,101.9,139.69999999999999,139.3,Not Available,Yes,None,Not Available,494.3,404.4,89.9,64838,64848,Multifamily Housing,1
5210,1021800486,,1021800486, 1064460,179,BENNETT AVENUE,Manhattan,10040,Filed,21.2,21.1,57.7,57.3,Not Available,No,None,Not Available,130,18.3,111.7,80917,80927,Multifamily Housing,1
5295,1022470001,,1022470001, 1065057,37,PAYSON AVENUE,Manhattan,10034,Filed,78.3,77.6,106.3,105.6,Not Available,No,None,Not Available,367,302.3,64.7,62205,56700,Multifamily Housing,1
1575,1008610044,,1008610044, 1080788; 1080789,      462,PARK AVENUE SOUTH   ,Manhattan,10016,Filed,,Not Available,,Not Available,15.12,N/A,None,Not Available,,,,292061,227053,Office,2
15025,1010560001,,1010560001, 1081659; 1081660; 1081664; 1081665; 1081666; 1081667; 1081668; 1081669; 1081670;1081674;1081675,,,Manhattan,,Not on Covered Buildings List,55.2,55.3,106.1,106.2,Not Available,N/A,None,Not Available,236.5,112.8,123.7,66000,,Multifamily Housing,
21,1000160140,,1000160140,1000059,200,VESEY STREET,Manhattan,10281,Filed,96.8,96.9,216.4,216.5,11.83,No,Manual,76,16465.5,24.1,16441.400000000001,2280527,2249866,Office,1
4208,1016240033,, 1016240033, 1082901,     1710,   3 AVENUE         ,Manhattan,10029,Filed,83.2,83.2,149.6,149.6,Not Available,N/A,None,Not Available,2676.1,1443.1,1233,509100,509090,Multifamily Housing,1
4799,1020427502,,1020427502, 1085457 ;1085457  ;1085452 ;1085451 ;1085453  ;1085454  ;1085455  ;1085456,2611,FREDRICK DOUGLASS BL,Manhattan,10030,Filed,145.1,144.4,212.4,211.7,Not Available,Yes,None,Not Available,478.2,346.9,131.30000000000001,56170,68836,Multifamily Housing,1
1568,1008607501,,1008607501, 1087118,43,EAST   30 STREET,Manhattan,10016,Filed,59.4,59,111.6,111,Not Available,Yes,None,Not Available,291.8,145.19999999999999,146.6,76430,59993,Multifamily Housing,1
5427,2024320047,,2-02432-0047, 2002195,309,EAST  164 STREET,Bronx,10456,Filed,88.7,88.1,132,130.8,108.9,Yes,ABS,Not Available,402.8,286.2,116.6,76992,71070,Multifamily Housing,1
5476,2024560175,,2024560175, 2002751,1181,SHERIDAN AVENUE,Bronx,10456,Filed,100.8,100.4,134.9,134.5,Not Available,Yes,None,Not Available,537.70000000000005,447.8,89.9,72000,72276,Multifamily Housing,1
5564,2024880031,,2-02488-0031, 2003001,1183,GERARD AVENUE,Bronx,10452,Filed,103.1,Not Available,128.4,Not Available,Not Available,No,None,Not Available,462.2,407,55.2,60259,60269,Multifamily Housing,1
15424,2025120069,,2-02512-0069, 2003232,,,Bronx,,Not on Covered Buildings List,95.5,Not Available,129.6,Not Available,Not Available,N/A,None,Not Available,514.1,423.5,90.6,72000,,Multifamily Housing,
5658,2025820034,,2025820034, 2003971,526,TINTON AVENUE,Bronx,10455,Filed,66.8,66.8,80.7,80.7,Not Available,No,None,Not Available,385.2,347,38.200000000000003,75914,75924,Multifamily Housing,1
5816,2028100001,,2-02810-0001, 2007721,1930,GRAND CONCOURSE,Bronx,10457,Filed,162.6,Not Available,220,Not Available,27.99,Yes,None,Not Available,526,418.2,107.8,56000,56000,Multifamily Housing,1
5947,2028700016,,2-02870-0016, 2008629,2010,GRAND AVENUE,Bronx,10453,Filed,110.7,110.2,158.9,158.3,Not Available,No,None,Not Available,325.2,241.3,83.9,61871,50400,Multifamily Housing,1
6080,2029910034,,2029910034, 2010685,1788,HOE AVENUE,Bronx,10460,Filed,718.6,718.6,932.9,932.9,Not Available,No,None,1,2821.4,2340.8000000000002,480.6,68952,58962,Hospital (General Medical & Surgical),1
6275,2032160048,,2032160048, 2014696,2015,DR M L KING JR BLVD,Bronx,10453,Filed,65,65,94,93.9,Not Available,Yes,None,Not Available,376.1,292.5,83.6,77990,78000,Multifamily Housing,1
6398,2032590022,,2032590022, 2015867,2840,BAILEY AVENUE,Bronx,10463,Filed,113.4,113.4,148,148,Not Available,Yes,None,Not Available,731.7,622.20000000000005,109.5,86402,86412,Multifamily Housing,1
6597,2033350060,,2033350060, 2017998,3150,ROCHAMBEAU AVENUE,Bronx,10467,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,156,174705,174705,Multifamily Housing,1
7084,2048940011,,2048940011, 2065676,3525,BAYCHESTER AVENUE,Bronx,10466,Filed,171.4,Not Available,300.7,Not Available,117.05,Yes,ABS,100,1052.4000000000001,659.2,393.2,80844,80844,Hospital (General Medical & Surgical),1
7283,2059030283,,2059030283, 2085775,3611,HENRY HUDSON PKWY W,Bronx,10463,Filed,84.9,84.9,125,125.1,Not Available,No,None,Not Available,861.6,661.1,200.5,133990,134000,Multifamily Housing,1
6285,2032200037,,2032200037, 2094694;2094693;2817361,100,WEST KINGSBRIDGE RD,Bronx,10468,Filed,217.2,Not Available,351.4,Not Available,Not Available,No,Manual,1,3185.4,2050.6999999999998,1134.7,235297,235297,Senior Care Community,3
6568,2033270001,,2033270001, 2096398;2096401 ;2807922 ;2096399 ;2096396;2102884,111,EAST  210 STREET,Bronx,10467,Filed,482.4,482.4,522.79999999999995,522.9,Not Available,No,None,45,2635,2567.1999999999998,67.8,99526,895256,Hospital (General Medical & Surgical),11
7088,2049930001,,2049930001, 2097440,613,EAST  233 STREET,Bronx,10466,Filed,15.6,15.5,30.7,30.6,Not Available,Yes,None,Not Available,239,109,130,234000,234000,Parking,1
7634,3011850021,,3011850021, 3029671,284,EASTERN PARKWAY,Brooklyn,11225,Filed,90,89.3,118,117.3,Not Available,No,None,Not Available,390.5,320.2,70.3,76670,76680,Multifamily Housing,1
7716,3013220026,,3013220026, 3035118,474,BROOKLYN AVENUE,Brooklyn,11225,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,26.3,54456,54456,Multifamily Housing,1
7758,3014030025,,3014030025, 3037798,1752,UNION STREET,Brooklyn,11213,Filed,70.8,70.4,96,95.4,6.86,Yes,ABS,Not Available,267.3,211.6,55.7,66010,57400,Multifamily Housing,1
8110,3029290042,,3-02929-0042, 3070504,1247,GRAND STREET,Brooklyn,11211,Filed,7.2,7.1,12.7,12.5,0.01,No,Manual,99,36.200000000000003,20.399999999999999,15.8,80060,80060,Non-Refrigerated Warehouse,1
8375,3045980001,,3045980001, 3099485,1064,EAST NEW YORK AVENUE,Brooklyn,11212,Filed,,Not Available,,Not Available,45.42,No,Manual,Not Available,,213,,68172,68172,Multifamily Housing,1
8492,3050600018,,3050600018, 3116112,20,CROOKE AVENUE,Brooklyn,11226,Filed,63.1,63.2,198.1,198.4,Not Available,Yes,None,Not Available,65.599999999999994,0,65.599999999999994,12789,55458,Multifamily Housing,1
8538,3050820067,,3050820067, 3116594,141,EAST   21 STREET,Brooklyn,11226,Filed,3,3,8.5,8.5,Not Available,No,None,Not Available,17.399999999999999,1.8,15.6,75043,75043,Multifamily Housing,1
8603,3051220001,,3-05122-0001, 3117590,1800,ALBEMARLE ROAD,Brooklyn,11226,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,0,0,0,116940,93552,Multifamily Housing,1
8629,3051550050,,3051550050, 3118652,405,WESTMINSTER ROAD,Brooklyn,11218,Filed,96.8,97.8,135,136.1,Not Available,Yes,None,Not Available,857.2,658.1,199.1,153414,153424,Multifamily Housing,1
8951,3060080001,,3060080001, 3152094,8215,4 AVENUE,Brooklyn,11209,Filed,79,79,85,85,Not Available,Yes,None,Not Available,316,305.5,10.5,53000,53000,Multifamily Housing,1
20,1000160125,,1-00016-0125,1000058,225,LIBERTY STREET,Manhattan,10280,Filed,103.8,103.3,247.9,247.3,12.51,Yes,None,64,17688.3,41.5,17646.8,2158767,2267925,Office,1
9390,3072370002,,3072370002, 3196059,2775,SHORE PARKWAY,Brooklyn,11223,Filed,78,77.4,89.1,88.5,Not Available,No,None,Not Available,206.4,192.6,13.8,48710,97440,Multifamily Housing,1
9424,3072960029,,3-07296-0029, 3196929,1970,EAST   18 STREET,Brooklyn,11229,Filed,117.7,117.1,146,145.4,Not Available,No,None,Not Available,695.5,602.70000000000005,92.8,106200,106000,Multifamily Housing,1
9567,3076560073,,3076560073, 3210009,1865,OCEAN AVENUE,Brooklyn,11230,Filed,92,91.2,122.1,121.3,Not Available,No,None,Not Available,452.2,366.3,85.9,86505,75222,Multifamily Housing,1
9392,3072380002,,3072380002, 3320730,9,MURDOCK COURT,Brooklyn,11223,Filed,72.8,72.2,82.7,82.1,Not Available,No,None,Not Available,223.2,209.4,13.8,56534,169632,Multifamily Housing,3
9065,3064710013,,3-06471-0013, 3329131,2230,CROPSEY AVENUE,Brooklyn,11214,Filed,245.1,Not Available,411.8,Not Available,Not Available,No,None,4,1821.5,1096.4000000000001,725.1,120618,120618,Senior Care Community,2
7763,3014177501,,3014177501, 3393724,580,CROWN STREET,Brooklyn,11213,Filed,28.5,28.4,59,58.9,20.55,Yes,ABS,Not Available,502.8,203.5,299.3,264000,193962,Multifamily Housing,1
7849,3017780089,,3017780089, 3398151,       41,KOSCIUSZKO STREET   ,Brooklyn,11205,Filed,36.799999999999997,36.2,107.1,105.3,Not Available,N/A,None,Not Available,230.3,16.899999999999999,213.4,80000,86826,Multifamily Housing,1
9763,4001340029,,4001340029, 4001163,41-06,50 STREET,Queens,11377,Filed,107,105.9,145.5,144.3,Not Available,No,None,Not Available,467.6,307.60000000000002,160,61590,57936,Multifamily Housing,1
9978,4005840001,,4005840001, 4007289,34-50,29 STREET,Queens,11106,Filed,102.4,102,139.1,138.7,Not Available,No,None,Not Available,317.89999999999998,252.7,65.2,52490,58200,Multifamily Housing,1
10403,4019490106,,4019490106, 4047930,58-03,CALLOWAY STREET,Queens,11368,Filed,86.3,85.9,121.2,120.5,Not Available,No,None,Not Available,846.4,644.9,201.5,169490,169500,Multifamily Housing,1
10794,4033340260,,4033340260, 4079634,118-17,UNION TURNPIKE,Queens,11375,Filed,53.1,52.5,112.7,111,Not Available,No,None,Not Available,767,293.39999999999998,473.6,213644,213654,Multifamily Housing,1
1352,1008290016,,1008290016,1015680,31,WEST   27 STREET,Manhattan,10001,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,142140,106800,Office,1
11028,4050480001,,4050480001, 4114658,143-09,BARCLAY AVENUE,Queens,11355,Filed,69.5,69.5,103.3,103.4,Not Available,No,None,Not Available,660,469.5,190.5,161038,161048,Multifamily Housing,1
11640,4098150067,,4098150067, 4210063,88-24,MERRICK BOULEVARD,Queens,11432,Filed,107.1,106.2,120.1,119.2,0,Yes,None,Not Available,492.6,467,25.6,82576,82576,Multifamily Housing,1
11651,4098290048,,4098290048, 4210303,87-70,173 STREET,Queens,11432,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,71000,66580,Multifamily Housing,1
