Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
4902,1021220105,,1021220105,1062935,558,WEST  164 STREET,Manhattan,10032,Filed,105,104.5,140.4,139.7,140,Yes,ABS,Not Available,520,433.8,86.2,63900,56634,Multifamily Housing,1
4903,1021220120,,1-02122-0120,1062938,1061,ST NICHOLAS AVENUE,Manhattan,10032,Filed,117.4,117.2,170.8,170.5,Not Available,No,None,Not Available,469.2,364.8,104.4,52428,50412,Multifamily Housing,1
4906,1021240017,,1021240017,1062989,1132,ST NICHOLAS AVENUE,Manhattan,10032,Filed,377.4,377,753.8,753.7,Not Available,No,None,Not Available,6872.7,3035.4,3837.3,275533,286481,Office,1
15328,1021240043,,1021240043,1062993,,,Manhattan,,Not on Covered Buildings List,527.5,530.2,967.9,971.1,Not Available,N/A,None,Not Available,2349.6,1225.5999999999999,1124,69705,,Office,
4908,1021260001,,1-02126-0001,1063014,4018,BROADWAY,Manhattan,10032,Filed,84.2,84.2,122.6,122.6,33.51,Yes,ABS,Not Available,414.6,302.60000000000002,112,84100,84102,Multifamily Housing,1
4909,1021270001,,1-02127-0001,1063036,1200,ST NICHOLAS AVENUE,Manhattan,10032,Filed,72.2,72.1,96.9,96.6,45.66,Yes,ABS,Not Available,378.4,314.7,63.7,70000,60000,Multifamily Housing,1
4910,1021280008,,1021280008,1063063,1228,ST NICHOLAS AVENUE,Manhattan,10032,Filed,,Not Available,,Not Available,124.8,Yes,ABS,Not Available,,13.8,,67305,57690,Multifamily Housing,1
4911,1021310013,,1021310013,1063154;1085381,562,WEST  175 STREET,Manhattan,10033,Filed,112,Not Available,130.9,Not Available,Not Available,Yes,None,Not Available,567.20000000000005,521.70000000000005,45.5,67560,56300,Multifamily Housing,1
4913,1021320032,,1-02132-0032,1063187,508,WEST  178 STREET,Manhattan,10033,Filed,72.599999999999994,Not Available,93.2,Not Available,Not Available,No,None,Not Available,307.10000000000002,264.60000000000002,42.5,56532,56532,Multifamily Housing,1
15332,1021320094,Secondary,1021320047;1021320094;1021320100;1021320110;1021320114,1063193;1063207;1063209;1063213;1063215,,,Manhattan,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15333,1021320100,Secondary,1021320047;1021320094;1021320100;1021320110;1021320114,1063193;1063207;1063209;1063213;1063215,,,Manhattan,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
