Date,WTI,WCS - Heavy,WCS - Light & Medium
1/1/2010,78.33,64.95440329,73.26178091
2/1/2010,76.39,63.21184746,73.46497978
3/1/2010,81.2,67.1492764,77.3660916
4/1/2010,84.29,66.3671631,78.83264765
5/1/2010,73.74,52.27954072,65.65341224
6/1/2010,75.34,58.46597559,66.84730125
7/1/2010,76.32,60.98057286,68.70408803
8/1/2010,76.6,58.86918347,70.16102347
9/1/2010,75.24,52.19509966,67.63115964
10/1/2010,81.89,52.9720825,69.98349941
11/1/2010,84.25,65.68697048,76.91842139
12/1/2010,89.15,70.4121081,82.16848019
1/1/2011,89.17,66.05785569,80.60666403
2/1/2011,88.58,58.58229491,80.68763717
3/1/2011,102.86,73.50506639,95.81985986
4/1/2011,109.53,84.19719261,110.6751424
5/1/2011,100.9,81.6725721,99.73993804
6/1/2011,96.26,75.28858912,95.61563012
7/1/2011,97.3,74.08052408,94.63738734
8/1/2011,86.33,63.40003313,84.64445522
9/1/2011,85.52,68.02112398,86.79617101
10/1/2011,86.32,71.64056225,87.43317094
11/1/2011,97.16,82.08144447,95.52593921
12/1/2011,98.56,82.07202871,92.636339
1/1/2012,100.27,81.67740039,92.17952017
2/1/2012,102.2,76.93140177,90.84213691
3/1/2012,106.16,68.38102627,81.95134338
4/1/2012,103.32,63.20380766,79.40937855
5/1/2012,94.66,68.74789019,82.70195801
6/1/2012,82.3,62.22168507,75.9518101
7/1/2012,87.9,59.39699469,71.29928566
8/1/2012,94.13,64.29556171,81.92181417
9/1/2012,94.51,73.43872439,88.65332854
10/1/2012,89.49,75.39665728,89.57808383
11/1/2012,86.53,67.75259287,80.9555805
12/1/2012,87.86,50.19494186,71.11672534
1/1/2013,94.76,55.39567841,83.0895126
2/1/2013,95.31,51.23446363,81.86904937
3/1/2013,92.94,60.43460811,82.31337591
4/1/2013,92.02,62.43026843,84.08185253
5/1/2013,94.51,76.37753589,89.47305223
6/1/2013,95.77,70.67716412,84.95925372
7/1/2013,104.67,85.48964692,97.15955061
8/1/2013,106.57,86.40002096,97.07651313
9/1/2013,106.29,78.08803627,91.9797085
10/1/2013,100.54,67.57951421,83.65396284
11/1/2013,93.86,56.70179884,73.51495546
12/1/2013,97.63,53.35120312,73.59394513
1/1/2014,94.62,58.27813032,77.52854978
2/1/2014,100.82,75.99803445,91.18988304
3/1/2014,100.8,73.56567785,89.68293953
4/1/2014,102.07,73.76390774,89.55920184
5/1/2014,102.18,77.75824622,92.72028712
6/1/2014,105.79,80.48832178,94.59906236
7/1/2014,103.59,77.55075168,89.86506831
8/1/2014,96.54,70.49135827,83.40703841
9/1/2014,93.21,70.42611936,80.6055144
10/1/2014,84.4,65.28429833,74.76505015
11/1/2014,75.79,58.03430734,65.41919153
12/1/2014,59.29,38.36191012,44.42014133
1/1/2015,47.22,27.11911549,34.48056132
2/1/2015,50.58,34.85918554,39.65171964
3/1/2015,47.82,32.34258041,37.82540945
4/1/2015,54.45,38.53426206,45.02623039
5/1/2015,59.27,45.49470992,51.68430668
6/1/2015,59.82,50.31826761,54.84279673
7/1/2015,50.9,42.60857168,46.41509223
8/1/2015,42.87,28.65124493,34.63551875
9/1/2015,45.48,27.61001184,34.65505673
10/1/2015,46.22,33.01810441,39.07946647
11/1/2015,42.44,29.85330922,35.59916447
12/1/2015,37.19,23.92546108,30.54868089
1/1/2016,31.68,18.21061422,24.16129156
2/1/2016,30.32,16.67308073,22.58478099
3/1/2016,37.55,24.48293113,30.78560482
4/1/2016,40.75,26.44694197,34.17633723
5/1/2016,46.71,32.25219529,37.92653366
6/1/2016,48.76,36.91787604,41.99826112
7/1/2016,44.65,33.65482682,38.92492737
8/1/2016,44.72,31.38151718,36.75058301
9/1/2016,45.18,33.1274424,37.26867592
10/1/2016,49.78,38.65600521,42.9138133
