"","BaID","Licencee","Licence","FieldCentre","ActivityStartDate","Number","From","To","Length","fLat","fLong","tLat","tLong","Date","YearMonth","County.From","County.To"
"5034","0JL8","Apache Canada Ltd.",55293,"Wainwright","09 Sep 2013",1,"01-30-035-04W4","08-19-035-04W4",1.41,52.1238806648333,-110.01170424788,52.1019531932085,-110.309473773148,2013-09-09,"13-09-01","Provost No. 52","Special Area No. 4"
"5035","0JL8","Apache Canada Ltd.",55293,"Wainwright","09 Sep 2013",2,"01-30-035-04W4","08-19-035-04W4",1.41,52.1238806648333,-110.01170424788,52.1019531932085,-110.309473773148,2013-09-09,"13-09-01","Provost No. 52","Special Area No. 4"
"5036","A12R","Birchcliff Energy Ltd.",27643,"Grande Prairie","09 Sep 2013",10,"02-18-071-03W6","01-18-071-03W6",0.53,55.232516980934,-110.16790905055,55.2325250646493,-110.161603070507,2013-09-09,"13-09-01","Lakeland County","Lakeland County"
"5037","A5D4","Cenovus Energy Inc.",30348,"Midnapore","29 Aug 2013",152,"02-21-027-18W4","07-21-027-18W4",0.48,51.3779488135783,-112.174223178598,51.3820803633676,-112.145541823919,2013-08-29,"13-08-01","Special Area No. 2","Special Area No. 2"
"5038","A5D4","Cenovus Energy Inc.",43648,"Midnapore","30 Aug 2013",28,"07-21-027-18W4","02-21-027-18W4",0.48,51.3820803633676,-112.145541823919,51.3779488135783,-112.174223178598,2013-08-30,"13-08-01","Special Area No. 2","Special Area No. 2"
"5039","A5D4","Cenovus Energy Inc.",54908,"Midnapore","30 Aug 2013",4,"03-21-027-18W4","02-21-027-18W4",0.73,51.3778439625293,-112.179992778487,51.3779488135783,-112.174223178598,2013-08-30,"13-08-01","Special Area No. 2","Special Area No. 2"
"5040","A5D4","Cenovus Energy Inc.",54908,"Midnapore","30 Aug 2013",5,"02-21-027-18W4","15-16-027-18W4",0.23,51.3779488135783,-112.174223178598,51.361160569598,-112.81070249302,2013-08-30,"13-08-01","Special Area No. 2","Kneehill County"
"5041","A5D4","Cenovus Energy Inc.",54908,"Midnapore","30 Aug 2013",6,"03-21-027-18W4","02-21-027-18W4",0.73,51.3778439625293,-112.179992778487,51.3779488135783,-112.174223178598,2013-08-30,"13-08-01","Special Area No. 2","Special Area No. 2"
"5042","A5D4","Cenovus Energy Inc.",54908,"Midnapore","30 Aug 2013",7,"15-16-027-18W4","01-15-027-18W4",2.96,51.361160569598,-112.81070249302,51.3492360605591,-112.856276612836,2013-08-30,"13-08-01","Kneehill County","Kneehill County"
"5043","0R46","Husky Oil Operations Limited",4933,"Wainwright","06 Sep 2013",116,"01-05-046-06W4","02-05-046-06W4",0.31,53.0068611416774,-110.99140870605,53.0068128685287,-110.997391976272,2013-09-06,"13-09-01","Wainwright No. 61","Wainwright No. 61"
"5044","A0XE","Angle Energy Inc.",48342,"Red Deer","07 Sep 2013",25,"16-35-038-08W5","12-25-038-08W5",2.18,52.398600922701,-110.55255405984,52.3703025142422,-111.678581674515,2013-09-07,"13-09-01","Provost No. 52","Flagstaff County"
"5045","0G30","ARC Resources Ltd.",55400,"Drayton Valley","06 Sep 2013",1,"16-35-049-07W5","07-35-049-07W5",1.02,53.3579529511565,-110.41912024201,53.3474510879973,-110.304437686979,2013-09-06,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5046","0XZ4","Bonterra Energy Corp.",55013,"Drayton Valley","06 Sep 2013",4,"16-22-047-10W5","01-27-047-10W5",0.12,53.150123383537,-111.162370415563,53.1376816286638,-112.099401295798,2013-09-06,"13-09-01","Minburn County No. 27","Beaver County"
"5047","A5RD","Enerplus Corporation",30508,"Medicine Hat","10 Sep 2013",64,"03-16-013-05W4","03-16-013-05W4",0.5,50.1578241664739,-111.053771823459,50.1578241664739,-111.053771823459,2013-09-10,"13-09-01","Cypress County","Cypress County"
"5048","A5RD","Enerplus Corporation",37298,"Medicine Hat","10 Sep 2013",35,"03-16-013-05W4","03-16-013-05W4",0.5,50.1578241664739,-111.053771823459,50.1578241664739,-111.053771823459,2013-09-10,"13-09-01","Cypress County","Cypress County"
"5049","A5RD","Enerplus Corporation",37298,"Medicine Hat","10 Sep 2013",36,"03-16-013-05W4","03-16-013-05W4",0.5,50.1578241664739,-111.053771823459,50.1578241664739,-111.053771823459,2013-09-10,"13-09-01","Cypress County","Cypress County"
"5050","A5RD","Enerplus Corporation",37298,"Medicine Hat","10 Sep 2013",37,"03-16-013-05W4","03-16-013-05W4",0.5,50.1578241664739,-111.053771823459,50.1578241664739,-111.053771823459,2013-09-10,"13-09-01","Cypress County","Cypress County"
"5051","0CE2","Lac La Biche District Natural Gas Co-Op Ltd.",22284,"Bonnyville","11 Sep 2013",10,"03-29-094-07W4","06-29-094-07W4",0.33,57.2370896009966,-111.906479848974,57.2411659132075,-111.873496588823,2013-09-11,"13-09-01","Wood Buffalo","Wood Buffalo"
"5052","A5LJ","Pinecrest Energy Inc.",55269,"St. Albert","08 Sep 2013",9,"05-07-088-11W5","05-31-087-11W5",3.3,56.6775739593186,-111.70311633331,56.6545058750319,-111.077765720872,2013-09-08,"13-09-01","Wood Buffalo","Wood Buffalo"
"5053","A267","Secure Energy Services Inc.",55401,"Drayton Valley","09 Sep 2013",1,"03-31-054-17W5","04-31-054-17W5",0.4,53.7653839220618,-111.910339362279,53.7692721671936,-111.89223729201,2013-09-09,"13-09-01","Two Hills County No. 21","Two Hills County No. 21"
"5054","0T03","Shell Canada Limited",55280,"St. Albert","09 Sep 2013",1,"16-12-063-20W5","14-14-063-20W5",4.36,54.4903907897826,-113.385290852499,54.489719388143,-113.273383370069,2013-09-09,"13-09-01","Athabasca County No. 12","Athabasca County No. 12"
"5055","0T03","Shell Canada Limited",55281,"St. Albert","09 Sep 2013",1,"14-14-063-20W5","16-12-063-20W5",4.36,54.489719388143,-113.273383370069,54.4903907897826,-113.385290852499,2013-09-09,"13-09-01","Athabasca County No. 12","Athabasca County No. 12"
"5056","0T03","Shell Canada Limited",55281,"St. Albert","09 Sep 2013",3,"16-12-063-20W5","15-07-063-19W5",1.3,54.4903907897826,-113.385290852499,54.4878424913276,-112.74737781627,2013-09-09,"13-09-01","Athabasca County No. 12","Thorhild County No. 7"
"5057","0T03","Shell Canada Limited",55282,"St. Albert","09 Sep 2013",1,"14-14-063-20W5","07-14-063-20W5",0.88,54.489719388143,-113.273383370069,54.4813782838462,-113.31612475432,2013-09-09,"13-09-01","Athabasca County No. 12","Athabasca County No. 12"
"5058","0JL8","Apache Canada Ltd.",54972,"Red Deer","10 Sep 2013",1,"11-19-041-05W5","11-20-041-04W5",12.41,52.6244622225594,-110.474035213216,52.6249943407909,-110.307279737395,2013-09-10,"13-09-01","Wainwright No. 61","Wainwright No. 61"
"5059","0HE9","Canadian Natural Resources Limited",19243,"Bonnyville","09 Sep 2013",17,"08-01-056-01W4","10-01-056-01W4",0.68,53.8894379136212,-110.220510804511,53.889415817591,-110.232724191379,2013-09-09,"13-09-01","Bonnyville No. 87","Bonnyville No. 87"
"5060","0HE9","Canadian Natural Resources Limited",19243,"Bonnyville","09 Sep 2013",18,"06-01-056-01W4","15-01-056-01W4",0.96,53.8859187760198,-110.159430240637,53.8932001910098,-110.104491934622,2013-09-09,"13-09-01","Bonnyville No. 87","Bonnyville No. 87"
"5061","0HE9","Canadian Natural Resources Limited",37375,"Bonnyville","11 Sep 2013",30,"06-10-057-06W4","11-10-057-06W4",0.35,53.9851421395474,-110.776425118145,53.9882360304857,-110.856057669514,2013-09-11,"13-09-01","St. Paul County No. 19","St. Paul County No. 19"
"5062","0CB8","Chief Mountain Gas Co-Op Ltd",21769,"Midnapore","12 Sep 2013",15,"10-14-007-29W4","16-23-007-29W4",2.4,49.5687093498526,-114.256270357437,49.6123136678449,-113.60625031231,2013-09-12,"13-09-01","Pincher Creek No. 9","Peigan 147"
"5063","A2PJ","Deethree Exploration Ltd.",54096,"Medicine Hat","11 Sep 2013",12,"02-12-003-17W4","12-01-003-17W4",1.11,49.2625714848689,-112.540832580372,49.2507853088563,-112.243118015492,2013-09-11,"13-09-01","Warner County No. 5","Warner County No. 5"
"5064","A1H9","Ember Resources Inc.",50501,"Midnapore","12 Sep 2013",161,"12-01-029-27W4","01-07-029-26W4",3.11,51.4812581464406,-113.74717683737,51.4888880706955,-113.614038524974,2013-09-12,"13-09-01","Mountain View County","Kneehill County"
"5065","0026","Encana Corporation",27658,"Grande Prairie","09 Sep 2013",165,"01-34-070-09W6","01-32-070-09W6",3.86,55.1724813270347,-110.672007918766,55.1722091581295,-110.722128849445,2013-09-09,"13-09-01","Lakeland County","Lakeland County"
"5066","0026","Encana Corporation",53951,"Grande Prairie","09 Sep 2013",24,"01-32-070-09W6","01-34-070-09W6",3.86,55.1722091581295,-110.722128849445,55.1724813270347,-110.672007918766,2013-09-09,"13-09-01","Lakeland County","Lakeland County"
"5067","0026","Encana Corporation",53951,"Grande Prairie","09 Sep 2013",25,"01-32-070-09W6","01-34-070-09W6",3.86,55.1722091581295,-110.722128849445,55.1724813270347,-110.672007918766,2013-09-09,"13-09-01","Lakeland County","Lakeland County"
"5068","0026","Encana Corporation",55242,"Grande Prairie","09 Sep 2013",4,"03-33-070-09W6","01-34-070-09W6",2.99,55.1722786885726,-110.709661330517,55.1724813270347,-110.672007918766,2013-09-09,"13-09-01","Lakeland County","Lakeland County"
"5069","0026","Encana Corporation",55242,"Grande Prairie","09 Sep 2013",5,"03-33-070-09W6","01-32-070-09W6",0.87,55.1722786885726,-110.709661330517,55.1722091581295,-110.722128849445,2013-09-09,"13-09-01","Lakeland County","Lakeland County"
"5070","0AW4","Paramount Resources Ltd.",55345,"Medicine Hat","10 Sep 2013",1,"06-31-031-17W4","14-31-031-17W4",0.86,51.7653954513377,-111.797022215996,51.7733038249539,-111.750745030099,2013-09-10,"13-09-01","Special Area No. 2","Special Area No. 2"
"5071","0AW4","Paramount Resources Ltd.",55345,"Medicine Hat","10 Sep 2013",2,"14-31-031-17W4","05-07-032-17W4",2.64,51.7733038249539,-111.750745030099,51.7853597014109,-112.360104802681,2013-09-10,"13-09-01","Special Area No. 2","Starland County"
"5072","0AW4","Paramount Resources Ltd.",55345,"Medicine Hat","10 Sep 2013",3,"16-31-031-17W4","14-31-031-17W4",0.89,51.774624000285,-111.902211338783,51.7733038249539,-111.750745030099,2013-09-10,"13-09-01","Special Area No. 2","Special Area No. 2"
"5073","0AW4","Paramount Resources Ltd.",55345,"Medicine Hat","10 Sep 2013",4,"08-31-031-17W4","16-31-031-17W4",0.48,51.768125982482,-111.855357890389,51.774624000285,-111.902211338783,2013-09-10,"13-09-01","Special Area No. 2","Special Area No. 2"
"5074","A5RX","Bonavista Energy Corporation",19249,"Red Deer","12 Sep 2013",421,"13-26-045-02W5","14-26-045-02W5",0.69,52.9890737797622,-110.853812302291,52.9891150797145,-110.847831295156,2013-09-12,"13-09-01","Wainwright No. 61","Wainwright No. 61"
"5075","0R46","Husky Oil Operations Limited",30015,"Bonnyville","10 Sep 2013",6,"05-24-082-14W4","14-09-082-12W4",15.6,56.1792115112532,-112.791911815882,56.1616838232221,-111.727145531804,2013-09-10,"13-09-01","Opportunity No. 17","Wood Buffalo"
"5076","A517","Long Run Exploration Ltd.",53065,"St. Albert","12 Sep 2013",31,"14-18-057-21W4","11-18-057-21W4",1.03,53.9934126912355,-112.748975623528,53.9869235350848,-112.877186411737,2013-09-12,"13-09-01","Lamont County","Thorhild County No. 7"
"5077","A267","Secure Energy Services Inc.",55202,"Drayton Valley","16 Sep 2013",1,"11-12-047-11W5","13-08-047-10W5",3,53.118673513796,-111.945024906084,53.1158914474969,-111.345777976483,2013-09-16,"13-09-01","Beaver County","Wainwright No. 61"
"5078","A5E0","Bellatrix Exploration Ltd.",47991,"Drayton Valley","13 Sep 2013",2,"13-23-047-07W5","03-26-047-07W5",0.46,53.1507369492282,-110.553785561139,53.1444592779065,-111.65317897795,2013-09-13,"13-09-01","Vermilion River County No. 24","Beaver County"
"5079","A5E0","Bellatrix Exploration Ltd.",49059,"Drayton Valley","12 Sep 2013",20,"13-10-045-09W5","14-10-045-09W5",0.4,52.943540603149,-111.148747432218,52.9435962066415,-111.142772919494,2013-09-12,"13-09-01","Wainwright No. 61","Wainwright No. 61"
"5080","0026","Encana Corporation",54899,"Red Deer","13 Sep 2013",1,"01-35-043-03W5","05-35-043-03W5",1.35,52.8209890584961,-109.749526820639,52.8245765690182,-109.737588113129,2013-09-13,"13-09-01",NA,NA
"5081","A0A7","NuVista Energy Ltd.",51413,"Grande Prairie","13 Sep 2013",21,"13-24-065-06W6","13-24-065-06W6",0.32,54.7268737732893,-111.440888793445,54.7268737732893,-111.440888793445,2013-09-13,"13-09-01","Lakeland County","Lakeland County"
"5082","A0A7","NuVista Energy Ltd.",54779,"Grande Prairie","13 Sep 2013",13,"13-24-065-06W6","13-24-065-06W6",0.32,54.7268737732893,-111.440888793445,54.7268737732893,-111.440888793445,2013-09-13,"13-09-01","Lakeland County","Lakeland County"
"5083","A2EZ","Cenovus FCCL Ltd.",34071,"Bonnyville","14 Sep 2013",42,"11-15-070-04W4","12-15-070-04W4",0.27,55.1340321577582,-111.051986165548,55.138567340729,-110.932551883671,2013-09-14,"13-09-01","Lakeland County","Lakeland County"
"5084","A2EZ","Cenovus FCCL Ltd.",46246,"Bonnyville","14 Sep 2013",54,"12-15-070-04W4","11-15-070-04W4",0.27,55.138567340729,-110.932551883671,55.1340321577582,-111.051986165548,2013-09-14,"13-09-01","Lakeland County","Lakeland County"
"5085","A1H9","Ember Resources Inc.",53618,"Midnapore","14 Sep 2013",28,"13-09-029-28W4","04-16-029-28W4",0.59,51.4943078114837,-113.790004220539,51.4850027207477,-114.279533637818,2013-09-14,"13-09-01","Mountain View County","Mountain View County"
"5086","A1H9","Ember Resources Inc.",53618,"Midnapore","14 Sep 2013",29,"15-09-029-28W4","13-09-029-28W4",0.61,51.4946724138915,-113.778445933217,51.4943078114837,-113.790004220539,2013-09-14,"13-09-01","Mountain View County","Mountain View County"
"5087","A1H9","Ember Resources Inc.",53618,"Midnapore","14 Sep 2013",30,"16-13-029-28W4","12-19-029-27W4",1.45,51.4949810655172,-114.303989735203,51.5339714070849,-113.428368989011,2013-09-14,"13-09-01","Mountain View County","Kneehill County"
"5088","A1H9","Ember Resources Inc.",53618,"Midnapore","14 Sep 2013",31,"12-14-029-28W4","16-16-029-28W4",2.43,51.4954696146123,-114.187997052867,51.4924858673955,-114.372965300808,2013-09-14,"13-09-01","Mountain View County","Mountain View County"
"5089","A1H9","Ember Resources Inc.",53618,"Midnapore","14 Sep 2013",32,"08-14-029-28W4","12-14-029-28W4",1.55,51.4886004165,-114.280097716452,51.4954696146123,-114.187997052867,2013-09-14,"13-09-01","Mountain View County","Mountain View County"
"5090","A1H9","Ember Resources Inc.",53618,"Midnapore","14 Sep 2013",33,"04-14-029-28W4","06-14-029-28W4",0.5,51.4866347432698,-114.233554868757,51.4870420227991,-114.222002194532,2013-09-14,"13-09-01","Mountain View County","Mountain View County"
"5091","0R46","Husky Oil Operations Limited",55367,"Wainwright","17 Sep 2013",1,"03-20-047-04W4","06-20-047-04W4",0.73,53.1408614945192,-110.262868278485,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5092","0R46","Husky Oil Operations Limited",55367,"Wainwright","17 Sep 2013",2,"07-20-047-04W4","06-20-047-04W4",0.88,53.1445450607368,-110.226874587875,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5093","0R46","Husky Oil Operations Limited",55367,"Wainwright","17 Sep 2013",3,"11-20-047-04W4","06-20-047-04W4",0.66,53.1479743647112,-110.310935813457,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5094","0R46","Husky Oil Operations Limited",55367,"Wainwright","17 Sep 2013",4,"03-21-047-04W4","05-21-047-04W4",0.74,53.1409100090193,-110.238979482476,53.144566312188,-110.214988901648,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5095","0R46","Husky Oil Operations Limited",55367,"Wainwright","17 Sep 2013",5,"05-21-047-04W4","06-20-047-04W4",1.42,53.144566312188,-110.214988901648,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5096","0R46","Husky Oil Operations Limited",55367,"Wainwright","17 Sep 2013",6,"01-20-047-04W4","07-20-047-04W4",0.77,53.1408864503804,-110.250864165097,53.1445450607368,-110.226874587875,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5097","0R46","Husky Oil Operations Limited",55367,"Wainwright","17 Sep 2013",7,"06-20-047-04W4","05-20-047-04W4",0.51,53.1445338937307,-110.232877153598,53.1445224351311,-110.238879716223,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5098","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",1,"07-20-047-04W4","08-20-047-04W4",0.93,53.1445450607368,-110.226874587875,53.1480183674214,-110.292926760046,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5099","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",2,"07-20-047-04W4","10-20-047-04W4",0.41,53.1445450607368,-110.226874587875,53.1479893239001,-110.304932799683,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
