Date,Conventional,Oil Sandhu,Total AB Sales,BC,SK,Canada,USA
1/1/2012,273.2441,1151.34514,253.3148,18.38989,103.22332,581.08556,706.06569
2/1/2012,261.94471,1057.64295,248.97646,20.24969,94.63425,551.10649,643.21065
3/1/2012,288.81086,1083.79997,225.33732,24.49871,97.12665,539.28043,664.80685
4/1/2012,275.34634,1095.11821,209.42594,23.88663,45.93068,422.42056,647.68736
5/1/2012,278.06257,1123.62815,221.66061,22.33126,84.98103,499.32408,675.90462
6/1/2012,261.37641,1095.61092,206.33956,22.97079,90.9395,516.65196,713.10379
7/1/2012,268.58795,1201.33867,241.40742,23.28606,104.19117,579.14166,728.09199
8/1/2012,271.51762,1194.36959,263.18516,25.65186,96.28548,593.08821,720.77541
9/1/2012,266.76766,1120.70736,244.40931,24.64329,101.48445,580.61108,666.47048
10/1/2012,285.18597,1189.64532,255.35797,21.3489,103.62805,581.21168,647.12919
11/1/2012,281.08202,1163.11584,237.86547,20.49102,102.04063,562.54258,638.97776
12/1/2012,295.15185,1285.43131,260.34423,23.15739,112.52557,629.25976,718.85159
1/1/2013,291.5192,1246.5288,261.98026,20.10845,101.00538,594.97604,775.26847
2/1/2013,271.59625,1131.31289,213.7816,22.78591333,92.118275,522.3358741,673.3239358
3/1/2013,302.08691,1269.18332,244.81788,23.88788333,98.492555,569.3381141,690.3550958
4/1/2013,292.24398,1158.7352,209.19129,22.99339333,99.858605,534.2266341,683.8199758
5/1/2013,295.52667,1093.89231,184.865,21.88022333,98.061665,504.0909341,674.5110158
6/1/2013,279.03622,1142.58954,226.79598,20.56711333,96.339165,544.1315141,673.8009958
7/1/2013,286.67656,1233.03137,243.94955,22.85463333,96.840205,564.0352141,689.5623158
8/1/2013,290.43702,1324.55319,269.31478,24.33107333,95.824475,592.0759841,707.9760958
9/1/2013,279.09226,1222.2646,188.34719,24.40193333,62.502855,446.5052141,688.3263158
10/1/2013,294.46083,1292.28709,211.05532,25.07185333,83.654615,518.2042941,703.9279858
11/1/2013,287.67209,1295.8834,249.14655,24.67415333,97.595185,585.1513841,705.9063058
12/1/2013,301.33969,1362.11802,262.48848,22.68989333,99.382535,591.6386141,722.2225058
1/1/2014,299.49753,1344.11897,264.82012,23.86405333,94.681725,589.2138241,710.2720658
2/1/2014,272.72329,1205.85767,236.58859,23.39079333,93.848395,556.8852141,681.5199958
3/1/2014,311.28109,1380.5867,259.43086,24.27767333,95.434845,587.4510541,710.8744658
4/1/2014,302.90876,1292.06102,223.61379,24.81672333,81.822165,525.5060941,699.9831158
5/1/2014,300.14812,1296.25091,226.75343,26.25678333,100.050725,565.4749341,698.7396958
6/1/2014,287.77385,1305.802,258.27939,25.59503333,95.329275,586.1308441,677.3914458
7/1/2014,297.77298,1371.35557,256.21328,26.05699333,101.179925,602.8784941,694.8385758
8/1/2014,301.79953,1376.30296,267.22538,25.41078333,97.530405,609.2315341,735.0246158
9/1/2014,288.03562,1324.65425,231.68814,23.72755333,91.468465,560.4886041,728.0019158
10/1/2014,302.46971,1436.8461,259.93908,26.42179333,96.005515,601.3904941,722.9682458
11/1/2014,289.03508,1353.85836,266.76462,22.75874333,93.170795,593.7658441,726.7739158
12/1/2014,304.53587,1438.20433,271.87409,24.33825333,98.354905,612.6577441,740.1911758
1/1/2015,298.26983,1461.12362,263.72762,21.12559,103.66848,651.76707,1197.72026
2/1/2015,268.10463,1369.23083,246.09144,16.35195,77.2686,542.51541,1006.05051
3/1/2015,288.9093,1484.83499,274.29795,22.58067,86.23784,610.29909,1195.73588
4/1/2015,272.7872,1302.79627,217.07703,17.74521,84.24278,543.21796,1193.16485
5/1/2015,272.26924,1246.07711,231.5968,23.48038,88.47456,543.98989,1156.53473
6/1/2015,255.58055,1321.21576,233.58129,23.62804,86.02577,529.30351,1110.30441
7/1/2015,266.11518,1533.60371,228.70793,26.45631,52.47346,500.16164,1218.72635
8/1/2015,261.8856,1585.1754,287.39299,22.35833,82.82913,620.0447,1341.9505
9/1/2015,248.8144,1303.18808,246.08775,24.14182,86.25736,559.67929,1347.85129
10/1/2015,257.22783,1442.18647,247.53992,25.1021,95.85208,586.14513,1251.06067
11/1/2015,249.57414,1450.14724,248.70365,24.9331,90.93268,589.58713,1284.25092
12/1/2015,255.2873,1516.51739,249.02464,25.75626,104.01664,617.83259,1365.54625
1/1/2016,251.61184,1500.38066,255.62361,23.88607,90.66392,567.89476,1455.03255
2/1/2016,229.4721,1389.11233,242.33809,18.192,83.72759,527.55451,1247.90199
3/1/2016,253.64233,1474.49703,259.9697,44.82717,123.51174,731.62029,1323.10621
4/1/2016,240.04119,1272.98171,223.81545,44.21339,100.04783,614.8339,1195.55834
5/1/2016,241.96517,1016.15783,143.20489,37.48168,95.7627,475.71189,1126.54191
6/1/2016,235.72584,1153.72318,194.30841,21.7787,112.60721,534.98577,1118.68153
7/1/2016,242.30988,1457.08001,256.371,35.82109,116.63308,667.75203,1216.88464
8/1/2016,237.99691,1514.77945,279.31625,35.49851,124.10337,700.03875,1380.48218
9/1/2016,231.36736,1457.63256,209.28895,29.88484,94.41544,559.29025,1291.31562
10/1/2016,231.43948,1530.54887,241.28105,42.93096,117.19579,658.11073,1330.47109
