timestamp, sensor, data_name, data_display, data_raw
"2017-03-18T10:01:01Z", GPS, Enabled, Yes, true
"2017-03-18T10:01:01Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-18T10:01:01Z", GPS, Latitude, 40.76313306115639, 40.7631330611564
"2017-03-18T10:01:01Z", GPS, Longitude, -73.77160700044945, -73.7716070004494
"2017-03-18T10:01:01Z", GPS, Altitude, 22.39462280273438 Meters, 22.3946228027344
"2017-03-18T10:01:01Z", GPS, Floor, No Data, NULL
"2017-03-18T10:01:01Z", GPS, Horizontal Accuracy, 10 Meters, 10.0
"2017-03-18T10:01:01Z", GPS, Vertical Accuracy, 3 Meters, 3.0
"2017-03-18T10:01:01Z", Cell Radio, Radio Access Technology, 4G (LTE), 4G (LTE)
"2017-03-18T10:01:01Z", Cell Radio, Carrier, AT&T, AT&T
"2017-03-18T10:01:01Z", Proximity, Active, No, false
"2017-03-18T10:01:01Z", Battery, Level, 92%, 0.92
"2017-03-18T10:01:01Z", Battery, State, Discharging, Discharging
"2017-03-18T10:01:01Z", Cell Radio, Radio Access Technology, 4G (LTE), 4G (LTE)
"2017-03-18T10:01:01Z", Cell Radio, Carrier, AT&T, AT&T
"2017-03-18T10:01:01Z", GPS, Enabled, Yes, true
"2017-03-18T10:01:01Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-18T10:01:01Z", GPS, Latitude, 40.76313549190831, 40.7631354919083
"2017-03-18T10:01:01Z", GPS, Longitude, -73.77161689109519, -73.7716168910952
"2017-03-18T10:01:01Z", GPS, Altitude, 22.10452270507812 Meters, 22.1045227050781
"2017-03-18T10:01:01Z", GPS, Floor, No Data, NULL
"2017-03-18T10:01:01Z", GPS, Horizontal Accuracy, 10 Meters, 10.0
"2017-03-18T10:01:01Z", GPS, Vertical Accuracy, 3 Meters, 3.0
"2017-03-18T10:01:01Z", Accelerometer (raw), x, -0.09051513671875, -0.09051513671875
"2017-03-18T10:01:01Z", Accelerometer (raw), y, -0.3418121337890625, -0.341812133789062
"2017-03-18T10:01:01Z", Accelerometer (raw), z, -0.76629638671875, -0.76629638671875
"2017-03-18T10:01:01Z", Bluetooth, Status, On, On
